Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240556.0,414602.0,583232.0,611105.0,619740.0,841170.0,1083617.0,1356098.0,1607345.0,1836539.0,1866045.0,1870510.0,2136341.0,2356334.0,2544333.0,2699569.0,2841673.0,2851312.0,2852476.0,2960587.0,3054801.0,3140822.0,3226746.0,3304852.0,3314889.0,3315244.0,3452350.0,3611255.0,3769002.0,3913480.0,4049546.0,4059269.0,4060334.0,4196584.0,4335386.0,4470898.0,4641833.0,4792639.0,4816858.0,4819556.0,4977064.0,5143236.0,5294225.0,5442406.0,5581907.0,5605045.0,5608022.0,5754179.0,5904095.0,6057621.0,6214656.0,6379924.0,6392711.0,6393677.0,6544246.0,6676868.0,6795818.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8298.0,8365.0,8365.0,8365.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13193.0,24964.0,44327.0,52656.0,55531.0,55739.0,55773.0,55773.0,55773.0,55783.0,55783.0,55783.0,55783.0,55783.0,55783.0,55804.0,55844.0,56016.0,56160.0,56278.0,56282.0,56282.0,56687.0,69091.0,223000.0,388634.0,550000.0,574111.0,580960.0,794625.0,1031769.0,1296457.0,1541278.0,1763890.0,1790003.0,1793830.0,2065830.0,2308714.0,2524442.0,2710113.0,2864644.0,2875654.0,2876828.0,2998637.0,3088869.0,3153350.0,3208281.0,3258806.0,3261540.0,3261958.0,3376818.0,3520187.0,3665965.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29121.0,29703.0,29718.0,29718.0,30467.0,31334.0,32124.0,32911.0,33486.0,33506.0,33506.0,34095.0,34798.0,35342.0,35910.0,36456.0,36456.0,36456.0,37064.0,37699.0,38208.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19739.0,19808.0,19808.0,20707.0,21613.0,22078.0,22493.0,22805.0,22805.0,22805.0,23351.0,23938.0,24736.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73120.0,76689.0,79916.0,82263.0,84809.0,84809.0,84809.0,88985.0,93745.0,98493.0,102859.0,106604.0,106610.0,106610.0,110897.0,116075.0,120694.0,126410.0,131611.0,131729.0,131729.0,136795.0,142295.0,148296.0,153505.0,158763.0,159126.0,159169.0,165164.0,171275.0,176934.0,182203.0,187422.0,187807.0,187992.0,193543.0,198628.0,203442.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15421.0,15490.0,15490.0,19038.0,23368.0,28859.0,35190.0,41255.0,41814.0,41814.0,49749.0,56555.0,62578.0,67396.0,72003.0,72155.0,72160.0,75714.0,78237.0,80299.0,82052.0,83637.0,83640.0,83660.0,87232.0,91629.0,96007.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26369.0,28443.0,30602.0,32732.0,34791.0,34846.0,34846.0,36839.0,38750.0,40072.0,41209.0,43259.0,43453.0,43453.0,44935.0,46142.0,47156.0,47984.0,48991.0,49055.0,49057.0,50190.0,51207.0,52430.0,54065.0,55391.0,55487.0,55487.0,56750.0,58411.0,59944.0,62111.0,63211.0,63275.0,63275.0,64451.0,65788.0,67233.0,68731.0,70223.0,70223.0,70223.0,71579.0,72916.0,73970.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11784.0,14294.0,17114.0,19857.0,22692.0,22786.0,22786.0,25700.0,28528.0,31210.0,33686.0,35822.0,35867.0,35867.0,37976.0,40077.0,41289.0,42094.0,42856.0,42862.0,42862.0,43740.0,44774.0,45500.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19974.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37666.0,39539.0,41478.0,42559.0,42612.0,42614.0,44529.0,46960.0,49298.0,51581.0,53111.0,53188.0,53188.0,54568.0,55754.0,56718.0,57869.0,59883.0,60182.0,60182.0,62141.0,64079.0,65915.0,67965.0,69982.0,70086.0,70086.0,72390.0,74683.0,76916.0,79084.0,80822.0,80823.0,80835.0,83331.0,85906.0,88398.0,90675.0,93100.0,93100.0,93100.0,95284.0,97348.0,98704.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,502.0,1744.0,2654.0,3640.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3724.0,3751.0,3751.0,3751.0,3760.0,4431.0,9419.0,14602.0,19064.0,19487.0,19488.0,22918.0,25324.0,27542.0,29590.0,32020.0,32388.0,32388.0,34775.0,37477.0,40177.0,42003.0,43234.0,43258.0,43263.0,44934.0,46619.0,47987.0,49879.0,51203.0,51204.0,51204.0,52268.0,53527.0,54649.0
