Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24835.0,44185.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70186.0,240545.0,414562.0,583228.0,611077.0,619713.0,841160.0,1083609.0,1356108.0,1607322.0,1836539.0,1866045.0,1870511.0,2136334.0,2356299.0,2544333.0,2699570.0,2841685.0,2851324.0,2852488.0,2960592.0,3054798.0,3140885.0,3226801.0,3304892.0,3314866.0,3315221.0,3452299.0,3611158.0,3768933.0,3913604.0,4049794.0,4059437.0,4060503.0,4197014.0,4335964.0,4471687.0,4643074.0,4794227.0,4818524.0,4821270.0,4978926.0,5145193.0,5295927.0,5443851.0,5579600.0,5602742.0,5605587.0,5749395.0,5896276.0,6049032.0,6205415.0,6371236.0,6384094.0,6385063.0,6535722.0,6668890.0,6795337.0,6929520.0,6931365.0,6933232.0,6933886.0,7013174.0,7105497.0,7199663.0,7275732.0,7345800.0,7356773.0,7357853.0,7435259.0,7509537.0,7588137.0,7649513.0,7707104.0,7714913.0,7715771.0,7759335.0,7798137.0,7829017.0,7884641.0,7924187.0,7929884.0,7930232.0,7972924.0,8011431.0,8054415.0,8083408.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44322.0,52655.0,55536.0,55746.0,55780.0,55780.0,55780.0,55790.0,55790.0,55790.0,55790.0,55790.0,55790.0,55811.0,55851.0,56024.0,56168.0,56286.0,56290.0,56290.0,56697.0,69109.0,223095.0,388841.0,550330.0,574455.0,581348.0,795237.0,1032616.0,1297979.0,1543342.0,1766330.0,1792452.0,1796286.0,2068577.0,2311921.0,2527822.0,2713807.0,2868474.0,2879457.0,2880632.0,3002526.0,3092982.0,3157702.0,3212849.0,3263735.0,3266477.0,3266898.0,3382285.0,3526764.0,3679804.0,3848121.0,3853287.0,3854625.0,3855083.0,4059595.0,4205959.0,4344105.0,4506638.0,4654489.0,4669298.0,4670657.0,4829108.0,4988687.0,5137958.0,5281629.0,5414050.0,5428380.0,5430131.0,5578333.0,5724974.0,5869471.0,6012276.0,6155031.0,6166881.0,6167565.0,6320023.0,6451221.0,6575091.0,6693685.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19484.0,19565.0,19565.0,20358.0,21139.0,21842.0,22523.0,22896.0,22907.0,22907.0,23546.0,24362.0,25285.0,26014.0,26758.0,26763.0,26763.0,27299.0,27893.0,28424.0,29116.0,29699.0,29714.0,29714.0,30460.0,31323.0,32114.0,32901.0,33454.0,33474.0,33474.0,34048.0,34744.0,35284.0,35853.0,36400.0,36400.0,36400.0,37001.0,37634.0,38176.0,38770.0,38770.0,38834.0,38836.0,39250.0,39637.0,40001.0,40308.0,40595.0,40597.0,40597.0,40976.0,41326.0,41677.0,41996.0,42293.0,42296.0,42296.0,42558.0,42905.0,43154.0,43487.0,43789.0,43805.0,43805.0,44097.0,44357.0,44686.0,45029.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22805.0,22805.0,22805.0,23352.0,23942.0,24756.0,25533.0,25539.0,25539.0,25539.0,26292.0,26935.0,27475.0,28001.0,28525.0,28531.0,28531.0,29360.0,30273.0,31098.0,31744.0,32324.0,32328.0,32328.0,32880.0,33570.0,34110.0,34639.0,35178.0,35191.0,35192.0,35822.0,36356.0,36904.0,37470.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43440.0,43445.0,50645.0,56067.0,60864.0,64996.0,69039.0,69194.0,69194.0,73108.0,76676.0,79902.0,82249.0,84795.0,84795.0,84795.0,88969.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116064.0,120684.0,126406.0,131608.0,131728.0,131728.0,136777.0,142259.0,148242.0,153431.0,158431.0,158793.0,158837.0,164752.0,170814.0,176436.0,181683.0,186897.0,187282.0,187468.0,192981.0,198070.0,203008.0,207711.0,208003.0,208458.0,208653.0,211798.0,215267.0,219066.0,222126.0,224676.0,225186.0,225330.0,228607.0,231705.0,234770.0,237376.0,239899.0,240882.0,241016.0,242470.0,243460.0,244327.0,245901.0,247014.0,247557.0,247582.0,248530.0,249442.0,250338.0,251032.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12763.0,15424.0,15493.0,15493.0,19041.0,23370.0,28860.0,35194.0,41259.0,41818.0,41818.0,49756.0,56563.0,62585.0,67414.0,72048.0,72200.0,72205.0,75772.0,78303.0,80366.0,82121.0,83708.0,83711.0,83731.0,87305.0,91710.0,96096.0,101095.0,101127.0,101133.0,101139.0,107363.0,112555.0,117271.0,121274.0,127071.0,127277.0,127291.0,132732.0,137845.0,143210.0,148257.0,152729.0,153450.0,153504.0,159603.0,165016.0,170162.0,175217.0,179998.0,180549.0,180711.0,185793.0,189476.0,193557.0,198520.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2812.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2969.0,4411.0,7244.0,9638.0,9942.0,9976.0,12405.0,14954.0,17969.0,20726.0,23607.0,23723.0,23723.0,26372.0,28445.0,30602.0,32732.0,34791.0,34846.0,34846.0,36838.0,38749.0,40071.0,41208.0,43260.0,43455.0,43455.0,44936.0,46143.0,47156.0,47984.0,48992.0,49057.0,49059.0,50189.0,51208.0,52438.0,54080.0,55416.0,55516.0,55516.0,56783.0,58445.0,59978.0,62126.0,63221.0,63285.0,63285.0,64450.0,65752.0,67181.0,68674.0,70186.0,70282.0,70282.0,71638.0,73014.0,74222.0,75384.0,75470.0,75612.0,75613.0,76582.0,77966.0,78891.0,79826.0,80085.0,80086.0,80086.0,81010.0,81931.0,82939.0,83661.0,84340.0,84371.0,84371.0,85114.0,85867.0,86548.0,87175.0,87568.0,87629.0,87629.0,88234.0,88851.0,89434.0,89791.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2733.0,2801.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2805.0,2820.0,2831.0,2843.0,2851.0,2852.0,2852.0,2854.0,2915.0,4168.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17138.0,19881.0,22716.0,22810.0,22810.0,25750.0,28580.0,31262.0,33739.0,35875.0,35920.0,35920.0,38028.0,40129.0,41341.0,42146.0,42909.0,42915.0,42915.0,43797.0,44831.0,45659.0,46533.0,46539.0,46541.0,46542.0,48098.0,49385.0,50616.0,52131.0,53220.0,53272.0,53272.0,54046.0,55770.0,57463.0,59289.0,60192.0,60245.0,60247.0,60896.0,62834.0,64339.0,65058.0,66473.0,66491.0,66494.0,68076.0,69715.0,71020.0,72063.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9462.0,15283.0,19994.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35823.0,37664.0,39556.0,41495.0,42576.0,42629.0,42631.0,44546.0,46977.0,49314.0,51598.0,53128.0,53205.0,53205.0,54586.0,55770.0,56737.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65973.0,68027.0,70051.0,70155.0,70155.0,72487.0,74796.0,77001.0,79154.0,80873.0,80874.0,80886.0,83349.0,85898.0,88365.0,90626.0,93041.0,93041.0,93041.0,95223.0,97279.0,99012.0,100672.0,100672.0,100672.0,100672.0,102267.0,103776.0,105525.0,106712.0,108215.0,108343.0,108343.0,108757.0,110278.0,111667.0,112782.0,113800.0,113800.0,113800.0,114907.0,116268.0,117174.0,118221.0,119129.0,119129.0,119129.0,119919.0,121037.0,122128.0,122912.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9437.0,14622.0,19087.0,19510.0,19511.0,22974.0,25399.0,27619.0,29694.0,32129.0,32497.0,32497.0,34935.0,37658.0,40520.0,42350.0,43582.0,43606.0,43611.0,45284.0,46970.0,48337.0,50232.0,51558.0,51559.0,51559.0,52625.0,53882.0,55322.0,56818.0,56819.0,56819.0,56819.0,59432.0,61477.0,63251.0,65167.0,66736.0,66742.0,66742.0,68671.0,71251.0,73446.0,75551.0,77352.0,77358.0,77358.0,79399.0,81857.0,84117.0,86311.0,88068.0,88072.0,88072.0,89387.0,91598.0,93728.0,95302.0
