Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70189.0,240549.0,414570.0,583228.0,611077.0,619711.0,841176.0,1083639.0,1356153.0,1607412.0,1836639.0,1866152.0,1870618.0,2136469.0,2356461.0,2544494.0,2699732.0,2841847.0,2851486.0,2852650.0,2960760.0,3054969.0,3141059.0,3226980.0,3305230.0,3315207.0,3315562.0,3452641.0,3611508.0,3769294.0,3913971.0,4050178.0,4059823.0,4060887.0,4197415.0,4336367.0,4472100.0,4643488.0,4794657.0,4818953.0,4821699.0,4979378.0,5145660.0,5296438.0,5444379.0,5580158.0,5603303.0,5606149.0,5750045.0,5896948.0,6049718.0,6206126.0,6371986.0,6384854.0,6385823.0,6536534.0,6669738.0,6796238.0,6930522.0,6932369.0,6934243.0,6934900.0,7014365.0,7106848.0,7201167.0,7277399.0,7347735.0,7358827.0,7359914.0,7437513.0,7511920.0,7590630.0,7652176.0,7709954.0,7717774.0,7718633.0,7762308.0,7801255.0,7832240.0,7888404.0,7928128.0,7933836.0,7934187.0,7977044.0,8015850.0,8059187.0,8089881.0,8140468.0,8141521.0,8142315.0,8218087.0,8298868.0,8380121.0,8461429.0,8544829.0,8562105.0,8563062.0,8666047.0,8773064.0,8877502.0,8974042.0,9076772.0,9077871.0,9078136.0,9202353.0,9337747.0,9462216.0,9588744.0,9596453.0,9622730.0,9626416.0,9801697.0,9990274.0,10169904.0,10335057.0,10478618.0,10519616.0,10528690.0,10676196.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44337.0,52673.0,55557.0,55767.0,55801.0,55801.0,55801.0,55812.0,55812.0,55812.0,55812.0,55812.0,55812.0,55833.0,55873.0,56046.0,56190.0,56308.0,56312.0,56312.0,56720.0,69133.0,223151.0,388925.0,550449.0,574577.0,581470.0,795421.0,1032861.0,1298307.0,1543855.0,1766892.0,1793031.0,1796865.0,2069239.0,2312693.0,2528645.0,2714685.0,2869386.0,2880369.0,2881545.0,3003456.0,3093967.0,3158715.0,3213900.0,3264966.0,3267711.0,3268132.0,3383561.0,3528103.0,3681215.0,3849611.0,3854786.0,3856131.0,3856592.0,4061254.0,4207718.0,4345944.0,4508561.0,4656494.0,4671315.0,4672670.0,4831260.0,4991089.0,5140510.0,5284395.0,5416972.0,5431303.0,5433056.0,5581439.0,5728216.0,5873009.0,6016112.0,6159164.0,6171025.0,6171711.0,6324476.0,6455931.0,6580793.0,6704737.0,6741457.0,6742657.0,6743316.0,6818611.0,6906521.0,6999434.0,7075494.0,7138819.0,7146938.0,7147381.0,7217216.0,7301717.0,7379483.0,7439387.0,7494994.0,7495396.0,7495564.0,7542134.0,7589310.0,7630204.0,7693205.0,7694550.0,7700786.0,7701372.0,7762120.0,7818476.0,7866472.0,7902320.0,7942638.0,7948344.0,7949305.0,8005987.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6071.0,6089.0,6089.0,7326.0,8483.0,10110.0,11449.0,12805.0,12853.0,12861.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24360.0,25283.0,26012.0,26756.0,26761.0,26761.0,27297.0,27891.0,28422.0,29114.0,29697.0,29712.0,29712.0,30458.0,31321.0,32113.0,32899.0,33452.0,33472.0,33472.0,34046.0,34742.0,35282.0,35851.0,36401.0,36401.0,36401.0,37003.0,37636.0,38178.0,38772.0,38772.0,38836.0,38838.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42575.0,42923.0,43172.0,43506.0,43808.0,43824.0,43824.0,44117.0,44377.0,44708.0,45072.0,45493.0,45594.0,45594.0,46071.0,46540.0,46924.0,47335.0,47654.0,47689.0,47689.0,48118.0,48578.0,49061.0,49431.0,49810.0,49891.0,49893.0,50359.0,50967.0,51630.0,52309.0,52309.0,52727.0,52727.0,54246.0,55773.0,57036.0,58027.0,59230.0,59559.0,59559.0,60732.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27484.0,28010.0,28536.0,28542.0,28542.0,29371.0,30285.0,31110.0,31757.0,32339.0,32343.0,32343.0,32896.0,33587.0,34127.0,34659.0,35198.0,35211.0,35212.0,35842.0,36377.0,36928.0,37538.0,37727.0,37727.0,37727.0,38066.0,38480.0,38878.0,39196.0,39456.0,39468.0,39468.0,39784.0,40176.0,40524.0,40763.0,40956.0,40965.0,40968.0,41357.0,41778.0,42042.0,42423.0,42424.0,42471.0,42471.0,42876.0,43227.0,43675.0,43994.0,44486.0,44538.0,44538.0,45030.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73110.0,76678.0,79904.0,82251.0,84797.0,84797.0,84797.0,88971.0,93730.0,98471.0,102837.0,106583.0,106590.0,106590.0,110878.0,116069.0,120689.0,126412.0,131616.0,131735.0,131735.0,136785.0,142270.0,148255.0,153447.0,158451.0,158813.0,158857.0,164774.0,170840.0,176463.0,181712.0,186926.0,187311.0,187497.0,193012.0,198100.0,203042.0,207747.0,208040.0,208496.0,208691.0,211840.0,215313.0,219114.0,222175.0,224728.0,225241.0,225385.0,228667.0,231767.0,234835.0,237447.0,239972.0,240956.0,241090.0,242549.0,243541.0,244408.0,245990.0,247104.0,247648.0,247673.0,248627.0,249540.0,250438.0,251146.0,252535.0,252568.0,252604.0,255441.0,258806.0,261992.0,265151.0,268017.0,269248.0,269502.0,273374.0,277242.0,280836.0,284259.0,287940.0,288214.0,288294.0,292909.0,298297.0,303009.0,307535.0,308056.0,309085.0,309289.0,316352.0,324159.0,330003.0,336509.0,342359.0,342608.0,342737.0,349063.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67419.0,72053.0,72206.0,72211.0,75778.0,78312.0,80376.0,82131.0,83719.0,83722.0,83742.0,87317.0,91722.0,96108.0,101110.0,101142.0,101148.0,101154.0,107378.0,112571.0,117290.0,121293.0,127094.0,127300.0,127314.0,132757.0,137874.0,143243.0,148295.0,152771.0,153492.0,153546.0,159649.0,165068.0,170218.0,175269.0,180055.0,180606.0,180768.0,185853.0,189535.0,193621.0,198642.0,200516.0,200675.0,200805.0,204020.0,207562.0,211532.0,214513.0,217067.0,217620.0,217741.0,220544.0,223807.0,226720.0,228890.0,231227.0,231320.0,231429.0,233343.0,235066.0,236417.0,238307.0,238442.0,238736.0,238769.0,240585.0,242249.0,243316.0,244375.0,245784.0,245823.0,245854.0,248016.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14954.0,17973.0,20730.0,23611.0,23727.0,23727.0,26375.0,28448.0,30606.0,32736.0,34795.0,34850.0,34850.0,36842.0,38753.0,40077.0,41214.0,43266.0,43461.0,43461.0,44943.0,46151.0,47164.0,47992.0,49000.0,49066.0,49068.0,50198.0,51218.0,52448.0,54090.0,55427.0,55527.0,55527.0,56794.0,58456.0,59990.0,62140.0,63235.0,63299.0,63299.0,64462.0,65765.0,67194.0,68687.0,70222.0,70325.0,70325.0,71681.0,73060.0,74270.0,75434.0,75520.0,75662.0,75663.0,76634.0,78021.0,78948.0,79884.0,80143.0,80144.0,80144.0,81068.0,81989.0,82998.0,83720.0,84418.0,84449.0,84449.0,85194.0,85949.0,86631.0,87611.0,88020.0,88080.0,88080.0,88688.0,89443.0,90069.0,90495.0,90938.0,90942.0,90942.0,91812.0,92625.0,93758.0,94696.0,95495.0,95576.0,95576.0,96736.0,98030.0,99186.0,100262.0,101361.0,101422.0,101428.0,102676.0,104091.0,105536.0,107058.0,107214.0,108007.0,108007.0,110016.0,112347.0,114398.0,116641.0,118399.0,118760.0,118760.0,120571.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14324.0,17149.0,19893.0,22730.0,22824.0,22824.0,25765.0,28596.0,31283.0,33775.0,35912.0,35957.0,35957.0,38068.0,40169.0,41381.0,42186.0,42950.0,42956.0,42956.0,43838.0,44873.0,45700.0,46575.0,46582.0,46586.0,46587.0,48145.0,49433.0,50665.0,52194.0,53284.0,53337.0,53337.0,54113.0,55845.0,57542.0,59371.0,60285.0,60337.0,60339.0,60987.0,62927.0,64433.0,65153.0,66612.0,66631.0,66634.0,68223.0,69868.0,71183.0,72249.0,72635.0,72635.0,72636.0,73547.0,74647.0,75514.0,75699.0,75913.0,75921.0,75921.0,77083.0,78290.0,79144.0,79659.0,80255.0,80271.0,80274.0,81190.0,82152.0,82914.0,83655.0,83696.0,83848.0,83849.0,84691.0,85495.0,86136.0,86852.0,87356.0,87395.0,87398.0,88064.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9462.0,15285.0,20009.0,20463.0,20463.0,24063.0,26481.0,28712.0,30777.0,33287.0,33764.0,33764.0,35872.0,37727.0,39619.0,41558.0,42640.0,42693.0,42695.0,44611.0,47043.0,49379.0,51665.0,53195.0,53272.0,53272.0,54653.0,55837.0,56805.0,57957.0,59977.0,60276.0,60276.0,62250.0,64200.0,66046.0,68100.0,70125.0,70229.0,70229.0,72564.0,74873.0,77080.0,79231.0,80952.0,80953.0,80965.0,83430.0,85978.0,88450.0,90714.0,93129.0,93129.0,93129.0,95321.0,97379.0,99112.0,100778.0,100778.0,100778.0,100778.0,102379.0,103902.0,105658.0,106860.0,108367.0,108498.0,108498.0,108915.0,110444.0,111839.0,112961.0,113983.0,113983.0,113983.0,115092.0,116464.0,117370.0,118423.0,119337.0,119337.0,119337.0,120128.0,121249.0,122342.0,123189.0,124296.0,124296.0,124296.0,125769.0,127292.0,128603.0,129931.0,131328.0,131517.0,131517.0,133050.0,134820.0,136404.0,137755.0,139390.0,139414.0,139414.0,141077.0,143064.0,145031.0,146850.0,146850.0,146897.0,146897.0,149923.0,153447.0,156619.0,159379.0,161597.0,161599.0,161599.0,164134.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1742.0,2659.0,3656.0,3735.0,3735.0,3735.0,3735.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3736.0,3743.0,3770.0,3770.0,3770.0,3779.0,4451.0,9448.0,14640.0,19116.0,19539.0,19540.0,23016.0,25446.0,27667.0,29754.0,32194.0,32562.0,32562.0,35029.0,37808.0,40672.0,42506.0,43739.0,43763.0,43768.0,45443.0,47131.0,48499.0,50395.0,51721.0,51722.0,51722.0,52792.0,54052.0,55494.0,56992.0,56993.0,56993.0,56993.0,59634.0,61685.0,63462.0,65380.0,66953.0,66959.0,66959.0,68898.0,71496.0,73697.0,75878.0,77683.0,77689.0,77689.0,79736.0,82198.0,84463.0,86664.0,88427.0,88431.0,88431.0,89751.0,91965.0,94196.0,95997.0,96784.0,96784.0,96784.0,98003.0,99446.0,101178.0,102314.0,103288.0,103352.0,103352.0,104211.0,105860.0,107167.0,108212.0,108913.0,108913.0,108913.0,110006.0,111429.0,112549.0,113772.0,113772.0,113781.0,113781.0,114883.0,116265.0,117350.0,118101.0,118713.0,118717.0,118719.0,120218.0
