Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44221.0,53530.0,56587.0,56999.0,56999.0,56999.0,57016.0,57037.0,57038.0,57038.0,57038.0,57039.0,57039.0,57039.0,70222.0,240594.0,414625.0,583396.0,611247.0,619883.0,841389.0,1083877.0,1356314.0,1607703.0,1836968.0,1866490.0,1870958.0,2136816.0,2356878.0,2544922.0,2700188.0,2842317.0,2851959.0,2853121.0,2961225.0,3055426.0,3141527.0,3227464.0,3305743.0,3315786.0,3316141.0,3453292.0,3612252.0,3770097.0,3914835.0,4051052.0,4060696.0,4061761.0,4198358.0,4337393.0,4473207.0,4644642.0,4795877.0,4820165.0,4822913.0,4980764.0,5147398.0,5298679.0,5447494.0,5587257.0,5610437.0,5613289.0,5760040.0,5910322.0,6064609.0,6222077.0,6388666.0,6401610.0,6402579.0,6553831.0,6687810.0,6814894.0,6949690.0,6951547.0,6953428.0,6954086.0,7034018.0,7127177.0,7222074.0,7298824.0,7369708.0,7380899.0,7381996.0,7460104.0,7535126.0,7614473.0,7676771.0,7735170.0,7743071.0,7743947.0,7787844.0,7827054.0,7858204.0,7914567.0,7954409.0,7960158.0,7960509.0,8003574.0,8042597.0,8086094.0,8116960.0,8167897.0,8168989.0,8169788.0,8245795.0,8326853.0,8408349.0,8489939.0,8574023.0,8591407.0,8592367.0,8695669.0,8803077.0,8907921.0,9004931.0,9108170.0,9109221.0,9109486.0,9234072.0,9370174.0,9495917.0,9624406.0,9632708.0,9659537.0,9663234.0,9839090.0,10028947.0,10209610.0,10376543.0,10521985.0,10563582.0,10572701.0,10728655.0,10868080.0,10977173.0,11032778.0,11075161.0,11089912.0,11091891.0,11145771.0,11205999.0,11282607.0,11378945.0,11459556.0,11482274.0,11483697.0,11588751.0,11673830.0,11779415.0,11850362.0,11911834.0,11928404.0,11930199.0,11937518.0,12037143.0,12112668.0,12161126.0,12199318.0,12210398.0,12211429.0,12212674.0,12252607.0,12300710.0,12387598.0,12453034.0,12468582.0,12470587.0,12518346.0,12562039.0,12635844.0,12693901.0,12744491.0,12764495.0,12766892.0,12816086.0,12896300.0,12950999.0,13022462.0,13024583.0,13034543.0,13035473.0,13083113.0,13123300.0,13156642.0,13192488.0,13250649.0,13273675.0,13275737.0,13291211.0,13300486.0,13307547.0,13316189.0,13324550.0,13325610.0,13325640.0,13425134.0,13537885.0,13542651.0,13545904.0,13548884.0,13549124.0,13549179.0,13625994.0,13693968.0,13696697.0,13699004.0,13701086.0,13701367.0,13701591.0,13740065.0,13774287.0,13776190.0,13777744.0,13779040.0,13779216.0,13779292.0,13804287.0,13826385.0,13840708.0,13842272.0,13843652.0,13843857.0,13843918.0,13861155.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24983.0,44370.0,52715.0,55603.0,55813.0,55846.0,55846.0,55846.0,55857.0,55857.0,55858.0,55858.0,55858.0,55858.0,55880.0,55920.0,56094.0,56239.0,56357.0,56361.0,56361.0,56770.0,69188.0,223282.0,389142.0,550827.0,574966.0,581865.0,795958.0,1033528.0,1299122.0,1544810.0,1768010.0,1794178.0,1798017.0,2070498.0,2314163.0,2530214.0,2716390.0,2871164.0,2882181.0,2883353.0,3005381.0,3096012.0,3160829.0,3216071.0,3267198.0,3269946.0,3270369.0,3385899.0,3530614.0,3683875.0,3852436.0,3857616.0,3858962.0,3859425.0,4064331.0,4211020.0,4349458.0,4512280.0,4660380.0,4675219.0,4676575.0,4835506.0,4995842.0,5146031.0,5290939.0,5426760.0,5441147.0,5442909.0,5593986.0,5744138.0,5890604.0,6034981.0,6178782.0,6190719.0,6191411.0,6345066.0,6477595.0,6603244.0,6727793.0,6764730.0,6765938.0,6766605.0,6842483.0,6931131.0,7024794.0,7101490.0,7165386.0,7173596.0,7174041.0,7244466.0,7329836.0,7408365.0,7469051.0,7525307.0,7525714.0,7525885.0,7572972.0,7620679.0,7661953.0,7725316.0,7726679.0,7732963.0,7733552.0,7794693.0,7851630.0,7900022.0,7936315.0,7977222.0,7983004.0,7983979.0,8043644.0,8115234.0,8187043.0,8255631.0,8324100.0,8337164.0,8338394.0,8438490.0,8542969.0,8643324.0,8736956.0,8831301.0,8840701.0,8841296.0,8953768.0,9075788.0,9193189.0,9303219.0,9346653.0,9366526.0,9368673.0,9381005.0,9586490.0,9750190.0,9891376.0,10014295.0,10046026.0,10049404.0,10052539.0,10230044.0,10363978.0,10445836.0,10510678.0,10529674.0,10531776.0,10628425.0,10707299.0,10790813.0,10885528.0,10970491.0,10992320.0,10994858.0,11121293.0,11222189.0,11327598.0,11418113.0,11420713.0,11434164.0,11435366.0,11508423.0,11600885.0,11670965.0,11711912.0,11768606.0,11778758.0,11779617.0,11819968.0,11860971.0,11888545.0,11969717.0,12037832.0,12047966.0,12048405.0,12072071.0,12097443.0,12157152.0,12200011.0,12231537.0,12232448.0,12232469.0,12253636.0,12273089.0,12390867.0,12470100.0,12519135.0,12520141.0,12520341.0,12542276.0,12565987.0,12642888.0,12702060.0,12756558.0,12758367.0,12758563.0,12783353.0,12801251.0,12814712.0,12894317.0,12946516.0,12947628.0,12947764.0,13022324.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10459.0,33777.0,73395.0,107761.0,117669.0,119459.0,146927.0,167006.0,183735.0,196892.0,200936.0,201329.0,201378.0,205554.0,209232.0,213186.0,216228.0,218604.0,218882.0,218894.0,218972.0,222734.0,235152.0,298721.0,348816.0,358889.0,360144.0,361370.0,393270.0,416174.0,430182.0,441656.0,445087.0,445488.0,455894.0,463484.0,468281.0,472147.0,476065.0,477639.0,477810.0,481898.0,484731.0,487450.0,492756.0,492853.0,493322.0,493424.0,496059.0,497794.0,499196.0,500789.0,502019.0,503445.0,503487.0,504431.0,505208.0,505740.0,506217.0,506492.0,506504.0,506505.0,507503.0,508356.0,508580.0,508762.0,508942.0,508957.0,508957.0,509177.0,509430.0,509535.0,509645.0,509736.0,509749.0,509749.0,510170.0,513245.0,514545.0,516022.0,517893.0,519062.0,519679.0,524610.0,529347.0,532922.0,534399.0,535852.0,536905.0,537301.0,540999.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70074.0,160084.0,257085.0,260551.0,260639.0,418863.0,597173.0,707281.0,814764.0,906980.0,910275.0,910694.0,974997.0,1048768.0,1130414.0,1231945.0,1309681.0,1311460.0,1311664.0,1403450.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73573.0,73803.0,74237.0,74548.0,74641.0,74641.0,74767.0,74870.0,74944.0,75044.0,75093.0,75115.0,75115.0,75276.0,75440.0,75551.0,75652.0,75768.0,75773.0,75773.0,75895.0,76003.0,76082.0,76169.0,76221.0,76224.0,76224.0,76299.0,76359.0,76410.0,76440.0,76490.0,76495.0,76495.0,76536.0,76587.0,76621.0,76679.0,76709.0,76750.0,76750.0,76796.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55012.0,56178.0,57193.0,57454.0,57515.0,57516.0,59232.0,60289.0,60920.0,61398.0,61489.0,61520.0,61986.0,62481.0,63128.0,63779.0,64238.0,64320.0,64320.0,64700.0,64970.0,65263.0,65523.0,65523.0,65567.0,65600.0,65749.0,65980.0,66223.0,66505.0,66767.0,66834.0,66835.0,66947.0,67132.0,67333.0,67743.0,68031.0,68096.0,68096.0,68317.0,68588.0,69035.0,69482.0,69821.0,69868.0,69868.0,70192.0,70593.0,71012.0,71320.0,71520.0,71622.0,71622.0,71863.0,72100.0,72389.0,72745.0,73027.0,73080.0,73080.0,73227.0,73339.0,73439.0,73585.0,73661.0,73695.0,73695.0,73870.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7673.0,7753.0,7841.0,7854.0,7854.0,7916.0,7993.0,8047.0,8091.0,8152.0,8162.0,8162.0,8227.0,8284.0,8326.0,8375.0,8411.0,8411.0,8411.0,8445.0,8484.0,8523.0,8566.0,8585.0,8587.0,8587.0,8639.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2882.0,3893.0,4738.0,4802.0,4802.0,5247.0,5648.0,5959.0,6265.0,6477.0,6508.0,6508.0,6746.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76687.0,79913.0,82260.0,84806.0,84806.0,84806.0,88983.0,93744.0,98491.0,102861.0,106606.0,106613.0,106613.0,110901.0,116092.0,120714.0,126436.0,131639.0,131758.0,131758.0,136826.0,142333.0,148337.0,153553.0,158821.0,159183.0,159227.0,165238.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193652.0,198751.0,203710.0,208423.0,208716.0,209172.0,209367.0,212548.0,216042.0,219872.0,222966.0,225551.0,226070.0,226214.0,229525.0,232658.0,235753.0,238383.0,240930.0,241916.0,242050.0,243513.0,244527.0,245397.0,246982.0,248100.0,248666.0,248691.0,249646.0,250559.0,251457.0,252166.0,253560.0,253593.0,253629.0,256469.0,259838.0,263029.0,266193.0,269068.0,270307.0,270562.0,274452.0,278332.0,281932.0,285359.0,289043.0,289318.0,289398.0,294019.0,299411.0,304128.0,308655.0,309176.0,310205.0,310409.0,317480.0,325289.0,331148.0,337663.0,343528.0,343777.0,343906.0,350365.0,352808.0,354739.0,357313.0,360361.0,360898.0,360918.0,363969.0,367416.0,371794.0,376143.0,379711.0,380974.0,380997.0,384864.0,388444.0,392705.0,395778.0,398497.0,398851.0,398902.0,399646.0,403507.0,407257.0,408892.0,409640.0,409758.0,409771.0,410215.0,411637.0,413615.0,416795.0,419268.0,419704.0,419738.0,421741.0,423635.0,426516.0,429065.0,431349.0,432032.0,432069.0,434600.0,438215.0,441207.0,444079.0,444862.0,445752.0,445788.0,448710.0,451700.0,454497.0,458351.0,461683.0,462286.0,462306.0,462516.0,462662.0,463227.0,463677.0,463815.0,463819.0,463819.0,467575.0,472444.0,472455.0,472470.0,472477.0,472477.0,472477.0,475708.0,478764.0,478780.0,478803.0,478820.0,478821.0,478822.0,480606.0,482388.0,482418.0,482426.0,482445.0,482445.0,482445.0,484084.0,485395.0,486303.0,486378.0,486389.0,486389.0,486389.0,487484.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41271.0,41833.0,41833.0,49771.0,56579.0,62603.0,67434.0,72069.0,72224.0,72229.0,75798.0,78345.0,80418.0,82178.0,83771.0,83774.0,83794.0,87378.0,91786.0,96180.0,101189.0,101221.0,101227.0,101233.0,107463.0,112664.0,117390.0,121398.0,127207.0,127414.0,127428.0,132901.0,138044.0,143437.0,148521.0,153198.0,153933.0,153988.0,160205.0,165709.0,170904.0,175992.0,180804.0,181357.0,181519.0,186656.0,190358.0,194460.0,199496.0,201376.0,201535.0,201666.0,204926.0,208504.0,212518.0,215554.0,218153.0,218717.0,218839.0,221686.0,224993.0,227936.0,230126.0,232487.0,232580.0,232689.0,234629.0,236377.0,237751.0,239654.0,239791.0,240094.0,240128.0,241963.0,243663.0,244748.0,245819.0,247234.0,247273.0,247304.0,249501.0,251867.0,254426.0,256835.0,258960.0,259319.0,259367.0,263147.0,266842.0,270296.0,273606.0,276968.0,277597.0,277699.0,281994.0,286576.0,291130.0,295221.0,297193.0,297712.0,297862.0,299161.0,307452.0,314482.0,319422.0,324040.0,324883.0,324910.0,325522.0,330976.0,334374.0,337137.0,339953.0,340522.0,340556.0,344803.0,348460.0,352489.0,356697.0,360075.0,361128.0,361161.0,366376.0,370542.0,374573.0,378587.0,379445.0,380320.0,380385.0,383557.0,387739.0,391369.0,393734.0,395517.0,395778.0,395790.0,397545.0,398860.0,400483.0,403184.0,405300.0,405648.0,405655.0,406343.0,407013.0,408355.0,408987.0,409451.0,409458.0,409458.0,409844.0,410180.0,415083.0,417921.0,419727.0,419752.0,419756.0,420619.0,421874.0,427259.0,430806.0,433396.0,433398.0,433400.0,434548.0,435409.0,436474.0,442130.0,446098.0,446101.0,446103.0,448943.0
