Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240555.0,414601.0,583229.0,611102.0,619737.0,841167.0,1083615.0,1356096.0,1607345.0,1836541.0,1866047.0,1870512.0,2136343.0,2356337.0,2544337.0,2699573.0,2841677.0,2851315.0,2852479.0,2960589.0,3054804.0,3140824.0,3226749.0,3304854.0,3314891.0,3315246.0,3452358.0,3611271.0,3769047.0,3913668.0,4049768.0,4059439.0,4060504.0,4196768.0,4335552.0,4471068.0,4642094.0,4792948.0,4817167.0,4819865.0,4977374.0,5143546.0,5294537.0,5442742.0,5582237.0,5605375.0,5608352.0,5754512.0,5904436.0,6057967.0,6215065.0,6380445.0,6393315.0,6394281.0,6545060.0,6678225.0,6804129.0,6928520.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13194.0,24965.0,44328.0,52657.0,55532.0,55740.0,55774.0,55774.0,55774.0,55784.0,55784.0,55784.0,55784.0,55784.0,55784.0,55805.0,55845.0,56017.0,56161.0,56279.0,56283.0,56283.0,56688.0,69092.0,223003.0,388632.0,550007.0,574117.0,580966.0,794659.0,1031803.0,1296499.0,1541408.0,1764076.0,1790189.0,1794016.0,2066044.0,2309098.0,2524788.0,2710493.0,2865025.0,2876036.0,2877210.0,2999020.0,3089257.0,3153742.0,3208686.0,3259226.0,3261960.0,3262378.0,3377399.0,3521227.0,3673278.0,3832331.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26021.0,26765.0,26770.0,26770.0,27307.0,27900.0,28431.0,29122.0,29704.0,29719.0,29719.0,30468.0,31335.0,32125.0,32913.0,33488.0,33508.0,33508.0,34097.0,34800.0,35344.0,35912.0,36458.0,36458.0,36458.0,37066.0,37702.0,38247.0,38807.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23353.0,23940.0,24756.0,25504.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73120.0,76689.0,79916.0,82263.0,84809.0,84809.0,84809.0,88985.0,93746.0,98494.0,102861.0,106606.0,106612.0,106612.0,110899.0,116077.0,120696.0,126412.0,131613.0,131731.0,131731.0,136797.0,142297.0,148298.0,153508.0,158766.0,159129.0,159172.0,165167.0,171278.0,176937.0,182206.0,187425.0,187810.0,187995.0,193546.0,198631.0,203574.0,208064.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15423.0,15492.0,15492.0,19040.0,23370.0,28861.0,35193.0,41258.0,41817.0,41817.0,49752.0,56558.0,62581.0,67400.0,72007.0,72159.0,72164.0,75718.0,78241.0,80303.0,82056.0,83641.0,83644.0,83664.0,87237.0,91636.0,96026.0,100984.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26369.0,28443.0,30602.0,32732.0,34791.0,34846.0,34846.0,36839.0,38750.0,40072.0,41209.0,43259.0,43453.0,43453.0,44935.0,46142.0,47156.0,47984.0,48991.0,49055.0,49057.0,50190.0,51207.0,52430.0,54065.0,55391.0,55487.0,55487.0,56750.0,58411.0,59944.0,62111.0,63209.0,63273.0,63273.0,64449.0,65786.0,67231.0,68729.0,70221.0,70304.0,70304.0,71660.0,72997.0,74207.0,75252.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11785.0,14295.0,17115.0,19858.0,22693.0,22787.0,22787.0,25702.0,28530.0,31212.0,33688.0,35824.0,35869.0,35869.0,37978.0,40079.0,41291.0,42096.0,42858.0,42864.0,42864.0,43744.0,44778.0,45603.0,46424.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19974.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37666.0,39539.0,41478.0,42559.0,42612.0,42614.0,44529.0,46960.0,49298.0,51582.0,53112.0,53189.0,53189.0,54569.0,55755.0,56719.0,57871.0,59886.0,60185.0,60185.0,62144.0,64082.0,65918.0,67968.0,69985.0,70089.0,70089.0,72393.0,74686.0,76919.0,79087.0,80826.0,80827.0,80839.0,83335.0,85910.0,88402.0,90679.0,93104.0,93104.0,93104.0,95288.0,97353.0,99088.0,100566.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,502.0,1744.0,2654.0,3640.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3717.0,3724.0,3751.0,3751.0,3751.0,3760.0,4431.0,9419.0,14601.0,19063.0,19486.0,19487.0,22917.0,25323.0,27541.0,29590.0,32020.0,32388.0,32388.0,34775.0,37477.0,40177.0,42003.0,43234.0,43258.0,43263.0,44934.0,46619.0,47987.0,49881.0,51205.0,51206.0,51206.0,52270.0,53529.0,54952.0,56210.0
