Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24835.0,44186.0,53490.0,56551.0,56963.0,56963.0,56963.0,56980.0,57001.0,57002.0,57002.0,57002.0,57003.0,57003.0,57003.0,70185.0,240542.0,414559.0,583224.0,611072.0,619708.0,841161.0,1083609.0,1356106.0,1607320.0,1836535.0,1866040.0,1870506.0,2136330.0,2356295.0,2544329.0,2699566.0,2841681.0,2851320.0,2852484.0,2960588.0,3054795.0,3140881.0,3226795.0,3304886.0,3314860.0,3315215.0,3452296.0,3611156.0,3768930.0,3913601.0,4049791.0,4059434.0,4060500.0,4197014.0,4335964.0,4471689.0,4643076.0,4794233.0,4818529.0,4821275.0,4978931.0,5145198.0,5295932.0,5443857.0,5579616.0,5602760.0,5605605.0,5749487.0,5896368.0,6049125.0,6205508.0,6371330.0,6384189.0,6385158.0,6535820.0,6668993.0,6795451.0,6929674.0,6931519.0,6933386.0,6934040.0,7013331.0,7105658.0,7199822.0,7275900.0,7345984.0,7356957.0,7358037.0,7435453.0,7509730.0,7588331.0,7649705.0,7707299.0,7715109.0,7715967.0,7759533.0,7798344.0,7829224.0,7884849.0,7924411.0,7930108.0,7930456.0,7973174.0,8011700.0,8054829.0,8085240.0,8133995.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44322.0,52654.0,55535.0,55745.0,55779.0,55779.0,55779.0,55789.0,55789.0,55789.0,55789.0,55789.0,55789.0,55810.0,55850.0,56023.0,56167.0,56285.0,56289.0,56289.0,56696.0,69108.0,223094.0,388842.0,550332.0,574457.0,581350.0,795245.0,1032636.0,1298001.0,1543365.0,1766352.0,1792474.0,1796308.0,2068601.0,2311947.0,2527849.0,2713835.0,2868504.0,2879487.0,2880662.0,3002553.0,3093013.0,3157734.0,3212881.0,3263769.0,3266511.0,3266932.0,3382322.0,3526804.0,3679850.0,3848175.0,3853341.0,3854679.0,3855137.0,4059657.0,4206024.0,4344174.0,4506707.0,4654565.0,4669374.0,4670733.0,4829189.0,4988774.0,5138056.0,5281728.0,5414157.0,5428487.0,5430238.0,5578498.0,5725157.0,5869680.0,6012636.0,6155511.0,6167364.0,6168048.0,6320574.0,6451817.0,6576237.0,6699087.0,6733872.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19484.0,19565.0,19565.0,20358.0,21139.0,21842.0,22523.0,22896.0,22907.0,22907.0,23546.0,24362.0,25285.0,26014.0,26758.0,26763.0,26763.0,27299.0,27893.0,28424.0,29116.0,29699.0,29714.0,29714.0,30460.0,31323.0,32114.0,32901.0,33454.0,33474.0,33474.0,34048.0,34744.0,35284.0,35853.0,36400.0,36400.0,36400.0,37001.0,37634.0,38176.0,38770.0,38770.0,38834.0,38836.0,39250.0,39637.0,40001.0,40308.0,40595.0,40597.0,40597.0,40977.0,41326.0,41677.0,41996.0,42293.0,42296.0,42296.0,42558.0,42906.0,43155.0,43488.0,43790.0,43806.0,43806.0,44098.0,44358.0,44687.0,45043.0,45432.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22805.0,22805.0,22805.0,23352.0,23942.0,24756.0,25533.0,25539.0,25539.0,25539.0,26292.0,26935.0,27475.0,28001.0,28525.0,28531.0,28531.0,29360.0,30273.0,31098.0,31744.0,32324.0,32328.0,32328.0,32880.0,33570.0,34110.0,34640.0,35179.0,35192.0,35193.0,35823.0,36358.0,36906.0,37515.0,37697.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43440.0,43445.0,50645.0,56067.0,60864.0,64996.0,69039.0,69194.0,69194.0,73108.0,76676.0,79902.0,82249.0,84795.0,84795.0,84795.0,88969.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116064.0,120684.0,126406.0,131608.0,131728.0,131728.0,136777.0,142259.0,148242.0,153431.0,158431.0,158793.0,158837.0,164752.0,170814.0,176436.0,181683.0,186897.0,187282.0,187468.0,192982.0,198071.0,203009.0,207714.0,208006.0,208461.0,208656.0,211801.0,215270.0,219069.0,222130.0,224680.0,225190.0,225334.0,228611.0,231709.0,234774.0,237381.0,239904.0,240887.0,241021.0,242475.0,243465.0,244332.0,245905.0,247018.0,247561.0,247586.0,248534.0,249446.0,250342.0,251047.0,252422.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12763.0,15424.0,15493.0,15493.0,19041.0,23370.0,28860.0,35194.0,41259.0,41818.0,41818.0,49756.0,56563.0,62585.0,67414.0,72048.0,72200.0,72205.0,75772.0,78303.0,80366.0,82121.0,83708.0,83711.0,83731.0,87305.0,91710.0,96096.0,101096.0,101128.0,101134.0,101140.0,107364.0,112556.0,117273.0,121276.0,127073.0,127279.0,127293.0,132734.0,137847.0,143212.0,148259.0,152731.0,153452.0,153506.0,159605.0,165018.0,170165.0,175214.0,179996.0,180547.0,180709.0,185792.0,189475.0,193557.0,198570.0,200364.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26371.0,28444.0,30601.0,32731.0,34790.0,34845.0,34845.0,36837.0,38748.0,40070.0,41207.0,43259.0,43454.0,43454.0,44935.0,46142.0,47155.0,47983.0,48991.0,49056.0,49058.0,50188.0,51207.0,52437.0,54079.0,55415.0,55515.0,55515.0,56782.0,58444.0,59977.0,62125.0,63220.0,63284.0,63284.0,64449.0,65752.0,67181.0,68674.0,70186.0,70282.0,70282.0,71638.0,73014.0,74222.0,75384.0,75470.0,75612.0,75613.0,76582.0,77966.0,78891.0,79826.0,80085.0,80086.0,80086.0,81010.0,81931.0,82939.0,83661.0,84340.0,84371.0,84371.0,85114.0,85867.0,86548.0,87175.0,87568.0,87629.0,87629.0,88235.0,88852.0,89435.0,89834.0,90271.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7000.0,9228.0,9486.0,9512.0,11807.0,14317.0,17138.0,19881.0,22716.0,22810.0,22810.0,25750.0,28580.0,31262.0,33739.0,35875.0,35920.0,35920.0,38028.0,40129.0,41341.0,42146.0,42909.0,42915.0,42915.0,43797.0,44831.0,45659.0,46533.0,46539.0,46541.0,46542.0,48098.0,49385.0,50616.0,52131.0,53220.0,53272.0,53272.0,54046.0,55770.0,57463.0,59289.0,60192.0,60245.0,60247.0,60896.0,62834.0,64339.0,65058.0,66473.0,66491.0,66494.0,68076.0,69715.0,71020.0,72083.0,72464.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9462.0,15283.0,19994.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35823.0,37664.0,39556.0,41495.0,42576.0,42629.0,42631.0,44546.0,46977.0,49314.0,51598.0,53128.0,53205.0,53205.0,54586.0,55770.0,56737.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65973.0,68027.0,70051.0,70155.0,70155.0,72487.0,74796.0,77001.0,79154.0,80873.0,80874.0,80886.0,83349.0,85898.0,88365.0,90626.0,93040.0,93040.0,93040.0,95222.0,97278.0,99011.0,100672.0,100672.0,100672.0,100672.0,102266.0,103775.0,105524.0,106711.0,108214.0,108342.0,108342.0,108756.0,110277.0,111666.0,112778.0,113796.0,113796.0,113796.0,114903.0,116264.0,117170.0,118217.0,119125.0,119125.0,119125.0,119914.0,121032.0,122123.0,122963.0,123853.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9437.0,14622.0,19087.0,19510.0,19511.0,22974.0,25399.0,27619.0,29694.0,32129.0,32497.0,32497.0,34935.0,37658.0,40520.0,42350.0,43582.0,43606.0,43611.0,45284.0,46970.0,48337.0,50232.0,51558.0,51559.0,51559.0,52625.0,53882.0,55322.0,56818.0,56819.0,56819.0,56819.0,59432.0,61477.0,63251.0,65167.0,66736.0,66742.0,66742.0,68671.0,71251.0,73446.0,75551.0,77352.0,77358.0,77358.0,79399.0,81857.0,84117.0,86311.0,88068.0,88072.0,88072.0,89387.0,91598.0,93792.0,95560.0,96224.0
