Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
Total,Primera,420.0,5198.0,8341.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,9057.0,10500.0,10705.0,10705.0,10705.0,10705.0,10705.0,10705.0,10705.0,10706.0,12824.0,13781.0,13804.0,13804.0,24843.0,44198.0,53503.0,56561.0,56973.0,56973.0,56973.0,56990.0,57011.0,57012.0,57012.0,57012.0,57013.0,57013.0,57013.0,70194.0,240557.0,414582.0,583277.0,611126.0,619760.0,841235.0,1083706.0,1356129.0,1607482.0,1836719.0,1866239.0,1870706.0,2136568.0,2356596.0,2544636.0,2699894.0,2842014.0,2851655.0,2852817.0,2960927.0,3055134.0,3141235.0,3227162.0,3305415.0,3315394.0,3315749.0,3452842.0,3611709.0,3769499.0,3914179.0,4050383.0,4060030.0,4061094.0,4197639.0,4336593.0,4472331.0,4643717.0,4794892.0,4819182.0,4821930.0,4979619.0,5145905.0,5296690.0,5444631.0,5580415.0,5603559.0,5606402.0,5750304.0,5897221.0,6049997.0,6206406.0,6372284.0,6385178.0,6386147.0,6536874.0,6670080.0,6796597.0,6930895.0,6932743.0,6934621.0,6935277.0,7014749.0,7107253.0,7201599.0,7277836.0,7348188.0,7359283.0,7360370.0,7437973.0,7512396.0,7591116.0,7652674.0,7710464.0,7718285.0,7719145.0,7762839.0,7801823.0,7832829.0,7889026.0,7928761.0,7934469.0,7934820.0,7977701.0,8016530.0,8059894.0,8090610.0,8141228.0,8142292.0,8143089.0,8218945.0,8299832.0,8381194.0,8462607.0,8546414.0,8563714.0,8564675.0,8667807.0,8774981.0,8879633.0,8976471.0,9079403.0,9080445.0,9080710.0,9205136.0,9340717.0,9465449.0,9592173.0,9599893.0,9626335.0,9630030.0,9805547.0,9994852.0,10175031.0,10341424.0,10486443.0,10527925.0,10537028.0,10692458.0,10831107.0,10939598.0,10994737.0,11036741.0,11051399.0,11053374.0,11106858.0,11166508.0,11242426.0,11338290.0,11418435.0,11441094.0,11442516.0,11547189.0,11631917.0,11737101.0,11807733.0,11868841.0,11885375.0,11887167.0,11894436.0,11993818.0,12069215.0,12117413.0,12155409.0,12166444.0,12167469.0,12168692.0,12208391.0,12255751.0,12281402.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24969.0,44347.0,52687.0,55571.0,55781.0,55814.0,55814.0,55814.0,55825.0,55825.0,55826.0,55826.0,55826.0,55826.0,55848.0,55888.0,56061.0,56205.0,56323.0,56327.0,56327.0,56736.0,69150.0,223203.0,389008.0,550580.0,574712.0,581606.0,795594.0,1033085.0,1298592.0,1544185.0,1767264.0,1793423.0,1797259.0,2069662.0,2313230.0,2529242.0,2715339.0,2870067.0,2881052.0,2882223.0,3004164.0,3094720.0,3159499.0,3214698.0,3265783.0,3268531.0,3268955.0,3384434.0,3529016.0,3682165.0,3850625.0,3855804.0,3857149.0,3857610.0,4062354.0,4208878.0,4347156.0,4509823.0,4657806.0,4672634.0,4673989.0,4832653.0,4992551.0,5142077.0,5286025.0,5418660.0,5432999.0,5434755.0,5583197.0,5730036.0,5874899.0,6018115.0,6161229.0,6173114.0,6173804.0,6326636.0,6458167.0,6583104.0,6707124.0,6743873.0,6745076.0,6745742.0,6821131.0,6909131.0,7002144.0,7078255.0,7141636.0,7149778.0,7150221.0,7220122.0,7304695.0,7382531.0,7442501.0,7498175.0,7498578.0,7498748.0,7545428.0,7592734.0,7633711.0,7696800.0,7698153.0,7704410.0,7704998.0,7765847.0,7822360.0,7870514.0,7906564.0,7947183.0,7952933.0,7953904.0,8013304.0,8084579.0,8156222.0,8224623.0,8292848.0,8305863.0,8307085.0,8406863.0,8510939.0,8610955.0,8704297.0,8798193.0,8807558.0,8808151.0,8920264.0,9041635.0,9157826.0,9265987.0,9308597.0,9328141.0,9330246.0,9341726.0,9538597.0,9695068.0,9829520.0,9946553.0,9977149.0,9980372.0,9983268.0,10150412.0,10274521.0,10300209.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10440.0,33738.0,73340.0,107647.0,117553.0,119343.0,146789.0,166851.0,183530.0,196647.0,200695.0,201087.0,201136.0,205328.0,208996.0,212909.0,215941.0,218287.0,218565.0,218577.0,218678.0,222416.0,234816.0,298324.0,348256.0,358319.0,359570.0,360789.0,392372.0,414777.0,419073.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46554.0,46938.0,47350.0,47670.0,47705.0,47705.0,48135.0,48595.0,49078.0,49449.0,49828.0,49909.0,49911.0,50378.0,50986.0,51649.0,52329.0,52329.0,52749.0,52749.0,54268.0,55796.0,57059.0,58058.0,59266.0,59595.0,59595.0,60829.0,61815.0,62548.0,62983.0,63248.0,63286.0,63320.0,63660.0,64117.0,64656.0,65278.0,65625.0,65677.0,65721.0,65969.0,66151.0,66322.0,66502.0,66636.0,66652.0,66665.0,66665.0,66857.0,67099.0,67369.0,67649.0,67705.0,67718.0,67718.0,67887.0,68051.0,68179.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42434.0,42435.0,42482.0,42482.0,42887.0,43239.0,43688.0,44015.0,44511.0,44563.0,44563.0,45066.0,45560.0,45933.0,46368.0,46661.0,46693.0,46706.0,47121.0,47696.0,48144.0,48544.0,48912.0,48984.0,48994.0,49432.0,49947.0,50544.0,51101.0,51382.0,51592.0,51646.0,51649.0,53480.0,54846.0,56009.0,57020.0,57281.0,57342.0,57343.0,59052.0,60096.0,60314.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4229.0,4506.0,4681.0,4725.0,4731.0,4731.0,4934.0,5119.0,5149.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36324.0,42673.0,43443.0,43448.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88979.0,93738.0,98479.0,102845.0,106591.0,106598.0,106598.0,110886.0,116077.0,120697.0,126420.0,131624.0,131743.0,131743.0,136793.0,142279.0,148264.0,153456.0,158460.0,158822.0,158866.0,164783.0,170849.0,176472.0,181720.0,186936.0,187321.0,187507.0,193022.0,198109.0,203052.0,207758.0,208051.0,208507.0,208702.0,211851.0,215324.0,219125.0,222187.0,224740.0,225253.0,225397.0,228680.0,231781.0,234849.0,237461.0,239986.0,240970.0,241104.0,242565.0,243557.0,244424.0,246008.0,247124.0,247668.0,247693.0,248647.0,249560.0,250457.0,251166.0,252556.0,252589.0,252625.0,255462.0,258829.0,262018.0,265179.0,268045.0,269276.0,269530.0,273404.0,277272.0,280868.0,284291.0,287974.0,288248.0,288328.0,292947.0,298337.0,303051.0,307577.0,308098.0,309127.0,309331.0,316398.0,324206.0,330056.0,336566.0,342419.0,342668.0,342797.0,349250.0,351684.0,353605.0,356173.0,359203.0,359740.0,359760.0,362795.0,366220.0,370570.0,374907.0,378456.0,379717.0,379740.0,383594.0,387167.0,391421.0,394491.0,397203.0,397557.0,397608.0,398346.0,402200.0,405948.0,407578.0,408325.0,408444.0,408457.0,408900.0,410317.0,412296.0,413205.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35198.0,41263.0,41825.0,41825.0,49762.0,56570.0,62592.0,67422.0,72057.0,72212.0,72217.0,75784.0,78321.0,80385.0,82141.0,83729.0,83732.0,83752.0,87328.0,91733.0,96119.0,101122.0,101154.0,101160.0,101166.0,107390.0,112584.0,117303.0,121306.0,127109.0,127315.0,127329.0,132772.0,137890.0,143259.0,148313.0,152790.0,153511.0,153566.0,159671.0,165092.0,170244.0,175296.0,180083.0,180634.0,180796.0,185881.0,189564.0,193651.0,198675.0,200549.0,200708.0,200839.0,204056.0,207602.0,211574.0,214556.0,217111.0,217667.0,217788.0,220593.0,223857.0,226771.0,228940.0,231279.0,231372.0,231481.0,233396.0,235120.0,236472.0,238362.0,238497.0,238792.0,238825.0,240641.0,242306.0,243374.0,244436.0,245846.0,245885.0,245916.0,248103.0,250454.0,253002.0,255404.0,257512.0,257868.0,257916.0,261660.0,265321.0,268760.0,272067.0,275413.0,276042.0,276144.0,280433.0,285009.0,289551.0,293637.0,295605.0,296124.0,296274.0,297437.0,305264.0,311894.0,316584.0,320805.0,321562.0,321588.0,322160.0,327058.0,330144.0,330967.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.0,5938.0,7629.0,8422.0,8452.0,8452.0,8947.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9142.0,11691.0,14552.0,15194.0,15198.0,15296.0,17026.0,18017.0,18226.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12406.0,14958.0,17978.0,20735.0,23618.0,23734.0,23734.0,26383.0,28464.0,30627.0,32758.0,34822.0,34877.0,34877.0,36869.0,38780.0,40104.0,41246.0,43298.0,43494.0,43494.0,44976.0,46184.0,47197.0,48026.0,49031.0,49097.0,49099.0,50229.0,51249.0,52479.0,54121.0,55458.0,55558.0,55558.0,56825.0,58488.0,60022.0,62176.0,63270.0,63334.0,63334.0,64497.0,65799.0,67228.0,68721.0,70257.0,70384.0,70384.0,71741.0,73120.0,74330.0,75494.0,75580.0,75722.0,75723.0,76693.0,78084.0,79011.0,79946.0,80205.0,80206.0,80206.0,81131.0,82051.0,83055.0,83777.0,84475.0,84506.0,84506.0,85251.0,86007.0,86691.0,87672.0,88080.0,88140.0,88140.0,88749.0,89503.0,90129.0,90555.0,90999.0,91004.0,91004.0,91893.0,92706.0,93848.0,94788.0,95633.0,95717.0,95717.0,96912.0,98206.0,99400.0,100631.0,101732.0,101792.0,101798.0,103049.0,104466.0,105911.0,107437.0,107594.0,108389.0,108389.0,110416.0,112843.0,114901.0,117161.0,119057.0,119472.0,119473.0,121538.0,123460.0,123951.0,123958.0,123976.0,123979.0,123979.0,124161.0,125573.0,127280.0,129283.0,130990.0,131559.0,131566.0,133284.0,134969.0,136540.0,137749.0,138853.0,139159.0,139159.0,139236.0,140581.0,141955.0,143452.0,144722.0,145130.0,145130.0,145133.0,145345.0,145586.0,145749.0
