Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44221.0,53530.0,56587.0,56999.0,56999.0,56999.0,57016.0,57037.0,57038.0,57038.0,57038.0,57039.0,57039.0,57039.0,70222.0,240594.0,414625.0,583397.0,611248.0,619884.0,841391.0,1083879.0,1356317.0,1607708.0,1836973.0,1866495.0,1870963.0,2136822.0,2356884.0,2544928.0,2700196.0,2842326.0,2851968.0,2853130.0,2961236.0,3055437.0,3141538.0,3227475.0,3305755.0,3315798.0,3316153.0,3453304.0,3612264.0,3770109.0,3914848.0,4051065.0,4060709.0,4061774.0,4198371.0,4337406.0,4473218.0,4644652.0,4795887.0,4820174.0,4822922.0,4980772.0,5147407.0,5298687.0,5447501.0,5587265.0,5610445.0,5613297.0,5760047.0,5910330.0,6064617.0,6222083.0,6388672.0,6401616.0,6402585.0,6553838.0,6687818.0,6814902.0,6949698.0,6951556.0,6953437.0,6954095.0,7034027.0,7127186.0,7222083.0,7298833.0,7369717.0,7380908.0,7382005.0,7460115.0,7535138.0,7614485.0,7676783.0,7735183.0,7743084.0,7743960.0,7787857.0,7827067.0,7858216.0,7914579.0,7954423.0,7960172.0,7960523.0,8003588.0,8042611.0,8086107.0,8116973.0,8167910.0,8169002.0,8169801.0,8245808.0,8326866.0,8408363.0,8489953.0,8574038.0,8591422.0,8592382.0,8695684.0,8803092.0,8907936.0,9004946.0,9108185.0,9109236.0,9109501.0,9234087.0,9370188.0,9495931.0,9624419.0,9632721.0,9659550.0,9663247.0,9839104.0,10028961.0,10209623.0,10376556.0,10521999.0,10563596.0,10572715.0,10728671.0,10868096.0,10977190.0,11032795.0,11075178.0,11089929.0,11091908.0,11145788.0,11206016.0,11282624.0,11378963.0,11459575.0,11482293.0,11483716.0,11588770.0,11673849.0,11779434.0,11850380.0,11911851.0,11928421.0,11930216.0,11937535.0,12037158.0,12112683.0,12161141.0,12199333.0,12210413.0,12211444.0,12212689.0,12252622.0,12300725.0,12387613.0,12453048.0,12468596.0,12470601.0,12518360.0,12562055.0,12635861.0,12693918.0,12744508.0,12764512.0,12766909.0,12816104.0,12896318.0,12951018.0,13022484.0,13024605.0,13034565.0,13035495.0,13083136.0,13123322.0,13156672.0,13192519.0,13250681.0,13273707.0,13275769.0,13291242.0,13300517.0,13307579.0,13316221.0,13324582.0,13325642.0,13325672.0,13425186.0,13537970.0,13542737.0,13545990.0,13548971.0,13549212.0,13549267.0,13626099.0,13694073.0,13696802.0,13699109.0,13701191.0,13701472.0,13701696.0,13740169.0,13774391.0,13776298.0,13777853.0,13779149.0,13779325.0,13779401.0,13804395.0,13826496.0,13840820.0,13842386.0,13843775.0,13843997.0,13844068.0,13861903.0,13878835.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24983.0,44370.0,52715.0,55603.0,55813.0,55846.0,55846.0,55846.0,55857.0,55857.0,55858.0,55858.0,55858.0,55858.0,55880.0,55920.0,56094.0,56239.0,56357.0,56361.0,56361.0,56770.0,69188.0,223284.0,389144.0,550830.0,574969.0,581868.0,795959.0,1033529.0,1299125.0,1544815.0,1768015.0,1794183.0,1798022.0,2070507.0,2314174.0,2530227.0,2716409.0,2871186.0,2882203.0,2883375.0,3005405.0,3096038.0,3160856.0,3216099.0,3267228.0,3269976.0,3270399.0,3385933.0,3530650.0,3683912.0,3852471.0,3857651.0,3858997.0,3859461.0,4064366.0,4211055.0,4349493.0,4512317.0,4660418.0,4675257.0,4676613.0,4835544.0,4995880.0,5146069.0,5290977.0,5426798.0,5441185.0,5442947.0,5594024.0,5744177.0,5890644.0,6035021.0,6178822.0,6190759.0,6191451.0,6345107.0,6477638.0,6603288.0,6727838.0,6764775.0,6765983.0,6766650.0,6842528.0,6931176.0,7024839.0,7101536.0,7165432.0,7173642.0,7174087.0,7244513.0,7329884.0,7408413.0,7469099.0,7525356.0,7525763.0,7525934.0,7573021.0,7620729.0,7662003.0,7725367.0,7726731.0,7733015.0,7733604.0,7794745.0,7851684.0,7900075.0,7936369.0,7977276.0,7983058.0,7984033.0,8043699.0,8115291.0,8187101.0,8255689.0,8324158.0,8337222.0,8338452.0,8438549.0,8543028.0,8643382.0,8737014.0,8831359.0,8840759.0,8841354.0,8953827.0,9075848.0,9193249.0,9303280.0,9346715.0,9366588.0,9368735.0,9381068.0,9586555.0,9750255.0,9891442.0,10014363.0,10046094.0,10049472.0,10052607.0,10230117.0,10364053.0,10445914.0,10510757.0,10529753.0,10531855.0,10628507.0,10707381.0,10790896.0,10885612.0,10970577.0,10992406.0,10994944.0,11121380.0,11222276.0,11327686.0,11418204.0,11420804.0,11434255.0,11435457.0,11508514.0,11600976.0,11671059.0,11712007.0,11768701.0,11778853.0,11779712.0,11820063.0,11861068.0,11888642.0,11969814.0,12037930.0,12048064.0,12048503.0,12072170.0,12097544.0,12157252.0,12200111.0,12231639.0,12232550.0,12232571.0,12253741.0,12273196.0,12390976.0,12470212.0,12519249.0,12520255.0,12520455.0,12542391.0,12566101.0,12643066.0,12702237.0,12756737.0,12758546.0,12758742.0,12783530.0,12801438.0,12814903.0,12894493.0,12946911.0,12948047.0,12948207.0,13025109.0,13112314.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10459.0,33777.0,73395.0,107761.0,117670.0,119460.0,146928.0,167007.0,183736.0,196893.0,200937.0,201330.0,201379.0,205555.0,209233.0,213187.0,216229.0,218605.0,218883.0,218895.0,218973.0,222735.0,235153.0,298723.0,348819.0,358892.0,360147.0,361373.0,393273.0,416177.0,430185.0,441659.0,445090.0,445491.0,455897.0,463487.0,468284.0,472150.0,476068.0,477642.0,477813.0,481901.0,484734.0,487453.0,492759.0,492856.0,493325.0,493427.0,496062.0,497797.0,499199.0,500792.0,502022.0,503448.0,503490.0,504435.0,505212.0,505744.0,506221.0,506496.0,506508.0,506509.0,507507.0,508360.0,508584.0,508766.0,508946.0,508961.0,508961.0,509181.0,509434.0,509539.0,509649.0,509740.0,509753.0,509753.0,510174.0,513249.0,514549.0,516026.0,517897.0,519066.0,519683.0,524614.0,529351.0,532926.0,534403.0,535865.0,536918.0,537314.0,541311.0,545377.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70074.0,160084.0,257088.0,260554.0,260642.0,418867.0,597185.0,707301.0,814789.0,907017.0,910336.0,910755.0,975069.0,1048850.0,1130499.0,1232083.0,1310004.0,1311809.0,1312026.0,1406031.0,1494290.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73573.0,73803.0,74237.0,74548.0,74641.0,74641.0,74767.0,74870.0,74944.0,75044.0,75093.0,75115.0,75115.0,75276.0,75440.0,75551.0,75652.0,75768.0,75773.0,75773.0,75895.0,76003.0,76082.0,76169.0,76221.0,76224.0,76224.0,76299.0,76359.0,76410.0,76440.0,76490.0,76495.0,76495.0,76536.0,76587.0,76621.0,76679.0,76709.0,76750.0,76750.0,76796.0,76832.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55012.0,56178.0,57193.0,57454.0,57515.0,57516.0,59232.0,60289.0,60920.0,61398.0,61489.0,61520.0,61986.0,62481.0,63128.0,63779.0,64238.0,64320.0,64320.0,64700.0,64970.0,65263.0,65523.0,65523.0,65567.0,65600.0,65749.0,65980.0,66223.0,66505.0,66767.0,66834.0,66835.0,66947.0,67132.0,67333.0,67743.0,68031.0,68096.0,68096.0,68317.0,68588.0,69035.0,69482.0,69821.0,69868.0,69868.0,70192.0,70593.0,71012.0,71320.0,71520.0,71622.0,71622.0,71863.0,72100.0,72389.0,72745.0,73027.0,73080.0,73080.0,73227.0,73339.0,73439.0,73585.0,73661.0,73695.0,73695.0,73872.0,74029.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7673.0,7753.0,7841.0,7854.0,7854.0,7916.0,7993.0,8047.0,8091.0,8152.0,8162.0,8162.0,8227.0,8284.0,8326.0,8375.0,8411.0,8411.0,8411.0,8445.0,8484.0,8523.0,8566.0,8585.0,8587.0,8587.0,8639.0,8687.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2882.0,3893.0,4738.0,4802.0,4802.0,5247.0,5648.0,5959.0,6265.0,6477.0,6508.0,6508.0,6753.0,7000.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76687.0,79913.0,82260.0,84806.0,84806.0,84806.0,88983.0,93744.0,98491.0,102861.0,106606.0,106613.0,106613.0,110901.0,116092.0,120714.0,126436.0,131639.0,131758.0,131758.0,136826.0,142333.0,148337.0,153553.0,158821.0,159183.0,159227.0,165238.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193652.0,198751.0,203710.0,208423.0,208716.0,209172.0,209367.0,212548.0,216042.0,219872.0,222966.0,225551.0,226070.0,226214.0,229525.0,232658.0,235753.0,238383.0,240930.0,241916.0,242050.0,243513.0,244527.0,245397.0,246982.0,248100.0,248666.0,248691.0,249646.0,250559.0,251457.0,252166.0,253560.0,253593.0,253629.0,256469.0,259838.0,263029.0,266193.0,269068.0,270307.0,270562.0,274452.0,278332.0,281932.0,285359.0,289043.0,289318.0,289398.0,294019.0,299411.0,304128.0,308655.0,309176.0,310205.0,310409.0,317480.0,325289.0,331148.0,337663.0,343528.0,343777.0,343906.0,350365.0,352808.0,354739.0,357313.0,360361.0,360898.0,360918.0,363969.0,367416.0,371794.0,376143.0,379711.0,380974.0,380997.0,384864.0,388444.0,392705.0,395778.0,398497.0,398851.0,398902.0,399646.0,403507.0,407257.0,408892.0,409640.0,409758.0,409771.0,410215.0,411637.0,413615.0,416795.0,419268.0,419704.0,419738.0,421741.0,423635.0,426516.0,429065.0,431349.0,432032.0,432069.0,434600.0,438215.0,441207.0,444079.0,444862.0,445752.0,445788.0,448710.0,451700.0,454497.0,458351.0,461683.0,462286.0,462306.0,462516.0,462662.0,463227.0,463677.0,463815.0,463819.0,463819.0,467576.0,472445.0,472456.0,472471.0,472478.0,472478.0,472478.0,475709.0,478765.0,478781.0,478804.0,478821.0,478822.0,478823.0,480607.0,482389.0,482419.0,482427.0,482446.0,482447.0,482447.0,484086.0,485397.0,486305.0,486380.0,486391.0,486391.0,486391.0,487492.0,488480.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41271.0,41833.0,41833.0,49771.0,56579.0,62603.0,67434.0,72069.0,72224.0,72229.0,75798.0,78345.0,80418.0,82178.0,83771.0,83774.0,83794.0,87378.0,91786.0,96180.0,101189.0,101221.0,101227.0,101233.0,107463.0,112664.0,117390.0,121398.0,127207.0,127414.0,127428.0,132901.0,138044.0,143437.0,148521.0,153198.0,153933.0,153988.0,160205.0,165709.0,170904.0,175992.0,180804.0,181357.0,181519.0,186656.0,190358.0,194460.0,199496.0,201376.0,201535.0,201666.0,204926.0,208504.0,212518.0,215554.0,218153.0,218717.0,218839.0,221686.0,224993.0,227936.0,230126.0,232487.0,232580.0,232689.0,234629.0,236377.0,237751.0,239654.0,239791.0,240094.0,240128.0,241963.0,243663.0,244748.0,245819.0,247234.0,247273.0,247304.0,249501.0,251867.0,254426.0,256835.0,258960.0,259319.0,259367.0,263147.0,266842.0,270296.0,273606.0,276968.0,277597.0,277699.0,281994.0,286576.0,291130.0,295221.0,297193.0,297712.0,297862.0,299161.0,307452.0,314482.0,319422.0,324040.0,324883.0,324910.0,325522.0,330976.0,334374.0,337137.0,339953.0,340522.0,340556.0,344804.0,348461.0,352490.0,356698.0,360076.0,361129.0,361162.0,366377.0,370543.0,374574.0,378588.0,379446.0,380321.0,380386.0,383558.0,387740.0,391370.0,393735.0,395518.0,395779.0,395791.0,397546.0,398861.0,400485.0,403186.0,405302.0,405650.0,405657.0,406345.0,407015.0,408357.0,408989.0,409453.0,409460.0,409460.0,409846.0,410182.0,415085.0,417923.0,419729.0,419754.0,419758.0,420621.0,421876.0,427261.0,430808.0,433398.0,433400.0,433402.0,434550.0,435411.0,436476.0,442132.0,446100.0,446103.0,446105.0,448964.0,452534.0
