Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44221.0,53530.0,56587.0,56998.0,56998.0,56998.0,57015.0,57036.0,57037.0,57037.0,57037.0,57038.0,57038.0,57038.0,70221.0,240593.0,414625.0,583402.0,611253.0,619889.0,841397.0,1083887.0,1356326.0,1607718.0,1836984.0,1866507.0,1870975.0,2136834.0,2356897.0,2544944.0,2700213.0,2842345.0,2851987.0,2853149.0,2961255.0,3055456.0,3141557.0,3227494.0,3305774.0,3315817.0,3316172.0,3453325.0,3612285.0,3770131.0,3914873.0,4051090.0,4060734.0,4061799.0,4198396.0,4337429.0,4473240.0,4644672.0,4795907.0,4820194.0,4822942.0,4980793.0,5147426.0,5298704.0,5447518.0,5587281.0,5610461.0,5613313.0,5760064.0,5910349.0,6064636.0,6222102.0,6388691.0,6401635.0,6402604.0,6553856.0,6687835.0,6814919.0,6949713.0,6951571.0,6953452.0,6954110.0,7034044.0,7127203.0,7222100.0,7298851.0,7369735.0,7380926.0,7382023.0,7460133.0,7535156.0,7614504.0,7676802.0,7735203.0,7743104.0,7743980.0,7787877.0,7827088.0,7858237.0,7914600.0,7954444.0,7960193.0,7960544.0,8003609.0,8042632.0,8086128.0,8116994.0,8167932.0,8169023.0,8169822.0,8245829.0,8326888.0,8408387.0,8489977.0,8574062.0,8591446.0,8592406.0,8695708.0,8803118.0,8907962.0,9004974.0,9108213.0,9109264.0,9109529.0,9234116.0,9370214.0,9495958.0,9624445.0,9632747.0,9659576.0,9663273.0,9839131.0,10028988.0,10209650.0,10376583.0,10522025.0,10563623.0,10572742.0,10728697.0,10868124.0,10977218.0,11032823.0,11075207.0,11089958.0,11091937.0,11145817.0,11206045.0,11282653.0,11378991.0,11459603.0,11482321.0,11483744.0,11588799.0,11673877.0,11779463.0,11850409.0,11911878.0,11928451.0,11930246.0,11937564.0,12037188.0,12112716.0,12161176.0,12199368.0,12210449.0,12211480.0,12212725.0,12252665.0,12300771.0,12387660.0,12453097.0,12468646.0,12470651.0,12518413.0,12562113.0,12635919.0,12693977.0,12744568.0,12764573.0,12766970.0,12816168.0,12896385.0,12951085.0,13022556.0,13024677.0,13034637.0,13035567.0,13083209.0,13123398.0,13156750.0,13192597.0,13250762.0,13273791.0,13275853.0,13291330.0,13300612.0,13307675.0,13316321.0,13324689.0,13325748.0,13325778.0,13425295.0,13538088.0,13542862.0,13546117.0,13549099.0,13549340.0,13549395.0,13626226.0,13694205.0,13696934.0,13699241.0,13701323.0,13701605.0,13701829.0,13740315.0,13774545.0,13776452.0,13778007.0,13779311.0,13779486.0,13779562.0,13804561.0,13826664.0,13840988.0,13842558.0,13843953.0,13844176.0,13844247.0,13862139.0,13879725.0,13881091.0,13882231.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24983.0,44370.0,52715.0,55603.0,55813.0,55846.0,55846.0,55846.0,55857.0,55857.0,55858.0,55858.0,55858.0,55858.0,55880.0,55920.0,56094.0,56239.0,56357.0,56361.0,56361.0,56770.0,69188.0,223284.0,389146.0,550835.0,574974.0,581873.0,795970.0,1033545.0,1299144.0,1544841.0,1768045.0,1794215.0,1798054.0,2070545.0,2314217.0,2530277.0,2716461.0,2871241.0,2882258.0,2883430.0,3005461.0,3096097.0,3160916.0,3216159.0,3267288.0,3270036.0,3270459.0,3385998.0,3530723.0,3683994.0,3852568.0,3857750.0,3859098.0,3859562.0,4064464.0,4211153.0,4349592.0,4512415.0,4660517.0,4675356.0,4676712.0,4835643.0,4995978.0,5146167.0,5291075.0,5426895.0,5441282.0,5443044.0,5594124.0,5744277.0,5890746.0,6035125.0,6178926.0,6190863.0,6191555.0,6345211.0,6477742.0,6603391.0,6727942.0,6764878.0,6766086.0,6766753.0,6842631.0,6931279.0,7024943.0,7101642.0,7165541.0,7173751.0,7174196.0,7244622.0,7329995.0,7408524.0,7469210.0,7525467.0,7525874.0,7526045.0,7573132.0,7620840.0,7662114.0,7725478.0,7726842.0,7733126.0,7733715.0,7794856.0,7851795.0,7900185.0,7936480.0,7977389.0,7983171.0,7984146.0,8043813.0,8115406.0,8187216.0,8255804.0,8324273.0,8337338.0,8338568.0,8438667.0,8543151.0,8643508.0,8737140.0,8831488.0,8840888.0,8841483.0,8953960.0,9075981.0,9193384.0,9303417.0,9346852.0,9366725.0,9368872.0,9381206.0,9586695.0,9750396.0,9891585.0,10014507.0,10046239.0,10049618.0,10052753.0,10230265.0,10364202.0,10446067.0,10510911.0,10529907.0,10532009.0,10628663.0,10707538.0,10791056.0,10885774.0,10970743.0,10992572.0,10995110.0,11121550.0,11222448.0,11327863.0,11418382.0,11420982.0,11434434.0,11435636.0,11508694.0,11601158.0,11671243.0,11712192.0,11768883.0,11779036.0,11779895.0,11820246.0,11861262.0,11888837.0,11970014.0,12038135.0,12048270.0,12048709.0,12072380.0,12097754.0,12157461.0,12200322.0,12231851.0,12232762.0,12232783.0,12253957.0,12273414.0,12391199.0,12470437.0,12519473.0,12520479.0,12520679.0,12542615.0,12566330.0,12643314.0,12702486.0,12756999.0,12758813.0,12759009.0,12783801.0,12801714.0,12815180.0,12894791.0,12947217.0,12948353.0,12948513.0,13025624.0,13115820.0,13148881.0,13171668.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10459.0,33777.0,73396.0,107762.0,117671.0,119461.0,146929.0,167008.0,183737.0,196894.0,200939.0,201332.0,201381.0,205558.0,209238.0,213192.0,216234.0,218610.0,218888.0,218900.0,218978.0,222740.0,235158.0,298729.0,348825.0,358898.0,360153.0,361379.0,393280.0,416184.0,430193.0,441667.0,445098.0,445499.0,455905.0,463495.0,468292.0,472158.0,476076.0,477650.0,477821.0,481909.0,484742.0,487461.0,492767.0,492864.0,493333.0,493435.0,496070.0,497805.0,499207.0,500800.0,502030.0,503456.0,503498.0,504448.0,505225.0,505757.0,506234.0,506509.0,506521.0,506522.0,507520.0,508373.0,508597.0,508779.0,508959.0,508974.0,508974.0,509194.0,509447.0,509552.0,509662.0,509753.0,509766.0,509766.0,510187.0,513262.0,514562.0,516039.0,517910.0,519079.0,519696.0,524627.0,529364.0,532939.0,534418.0,535881.0,536934.0,537330.0,541334.0,545624.0,546982.0,548060.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70079.0,160088.0,257094.0,260560.0,260648.0,418878.0,597206.0,707328.0,814837.0,907096.0,910391.0,910810.0,975154.0,1048995.0,1130652.0,1232274.0,1310314.0,1312154.0,1312371.0,1406881.0,1497609.0,1618352.0,1729857.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73573.0,73803.0,74237.0,74548.0,74641.0,74641.0,74767.0,74870.0,74944.0,75044.0,75093.0,75115.0,75115.0,75276.0,75440.0,75551.0,75652.0,75768.0,75773.0,75773.0,75895.0,76003.0,76082.0,76169.0,76221.0,76224.0,76224.0,76299.0,76359.0,76410.0,76440.0,76490.0,76495.0,76495.0,76536.0,76587.0,76621.0,76679.0,76709.0,76750.0,76750.0,76796.0,76832.0,76861.0,76893.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55012.0,56178.0,57193.0,57454.0,57515.0,57516.0,59232.0,60289.0,60920.0,61398.0,61489.0,61520.0,61986.0,62481.0,63128.0,63779.0,64238.0,64320.0,64320.0,64700.0,64970.0,65263.0,65523.0,65523.0,65567.0,65600.0,65749.0,65980.0,66223.0,66505.0,66767.0,66834.0,66835.0,66947.0,67132.0,67333.0,67743.0,68031.0,68096.0,68096.0,68317.0,68588.0,69035.0,69482.0,69821.0,69868.0,69868.0,70192.0,70593.0,71012.0,71320.0,71520.0,71622.0,71622.0,71863.0,72100.0,72389.0,72745.0,73027.0,73080.0,73080.0,73227.0,73339.0,73439.0,73585.0,73661.0,73695.0,73695.0,73872.0,74030.0,74199.0,74302.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7673.0,7753.0,7841.0,7854.0,7854.0,7916.0,7993.0,8047.0,8091.0,8152.0,8162.0,8162.0,8227.0,8284.0,8326.0,8375.0,8411.0,8411.0,8411.0,8445.0,8484.0,8523.0,8566.0,8585.0,8587.0,8587.0,8639.0,8687.0,8713.0,8740.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2882.0,3893.0,4738.0,4802.0,4802.0,5247.0,5648.0,5959.0,6265.0,6477.0,6508.0,6508.0,6753.0,7001.0,7263.0,7507.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76687.0,79913.0,82260.0,84806.0,84806.0,84806.0,88983.0,93744.0,98491.0,102861.0,106606.0,106613.0,106613.0,110901.0,116092.0,120714.0,126436.0,131639.0,131758.0,131758.0,136826.0,142333.0,148337.0,153553.0,158821.0,159183.0,159227.0,165238.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193652.0,198751.0,203710.0,208423.0,208716.0,209172.0,209367.0,212548.0,216042.0,219872.0,222966.0,225551.0,226070.0,226214.0,229525.0,232658.0,235753.0,238383.0,240930.0,241916.0,242050.0,243513.0,244527.0,245397.0,246982.0,248100.0,248666.0,248691.0,249646.0,250559.0,251457.0,252166.0,253560.0,253593.0,253629.0,256469.0,259838.0,263029.0,266193.0,269068.0,270307.0,270562.0,274452.0,278332.0,281932.0,285359.0,289043.0,289318.0,289398.0,294020.0,299412.0,304129.0,308656.0,309177.0,310206.0,310410.0,317481.0,325290.0,331149.0,337664.0,343529.0,343778.0,343907.0,350366.0,352809.0,354740.0,357314.0,360362.0,360899.0,360919.0,363970.0,367417.0,371795.0,376144.0,379712.0,380975.0,380998.0,384865.0,388445.0,392706.0,395779.0,398498.0,398852.0,398903.0,399647.0,403508.0,407259.0,408894.0,409642.0,409760.0,409773.0,410217.0,411639.0,413617.0,416797.0,419270.0,419706.0,419740.0,421743.0,423638.0,426519.0,429068.0,431352.0,432035.0,432072.0,434603.0,438218.0,441210.0,444082.0,444865.0,445755.0,445791.0,448714.0,451704.0,454501.0,458355.0,461687.0,462290.0,462310.0,462520.0,462666.0,463231.0,463681.0,463819.0,463823.0,463823.0,467580.0,472449.0,472460.0,472475.0,472482.0,472482.0,472482.0,475713.0,478769.0,478785.0,478808.0,478825.0,478826.0,478827.0,480611.0,482393.0,482423.0,482431.0,482450.0,482450.0,482450.0,484089.0,485400.0,486308.0,486383.0,486394.0,486395.0,486395.0,487496.0,488497.0,488515.0,488532.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41271.0,41833.0,41833.0,49772.0,56580.0,62604.0,67436.0,72071.0,72226.0,72231.0,75800.0,78347.0,80420.0,82180.0,83773.0,83776.0,83796.0,87380.0,91787.0,96181.0,101191.0,101223.0,101229.0,101235.0,107465.0,112666.0,117392.0,121400.0,127209.0,127416.0,127430.0,132903.0,138045.0,143438.0,148522.0,153199.0,153934.0,153989.0,160206.0,165710.0,170905.0,175993.0,180805.0,181358.0,181520.0,186657.0,190359.0,194461.0,199497.0,201377.0,201536.0,201667.0,204927.0,208505.0,212519.0,215555.0,218154.0,218718.0,218840.0,221687.0,224994.0,227937.0,230127.0,232488.0,232581.0,232690.0,234630.0,236378.0,237752.0,239655.0,239792.0,240095.0,240129.0,241964.0,243664.0,244749.0,245820.0,247235.0,247274.0,247305.0,249502.0,251868.0,254427.0,256836.0,258961.0,259320.0,259368.0,263148.0,266843.0,270297.0,273607.0,276969.0,277598.0,277700.0,281996.0,286578.0,291132.0,295223.0,297195.0,297714.0,297864.0,299163.0,307454.0,314484.0,319424.0,324042.0,324885.0,324912.0,325524.0,330978.0,334376.0,337140.0,339956.0,340525.0,340559.0,344807.0,348464.0,352494.0,356702.0,360080.0,361133.0,361166.0,366381.0,370547.0,374578.0,378592.0,379450.0,380326.0,380391.0,383563.0,387745.0,391375.0,393740.0,395523.0,395784.0,395796.0,397551.0,398866.0,400490.0,403191.0,405307.0,405655.0,405662.0,406350.0,407020.0,408362.0,408994.0,409459.0,409466.0,409466.0,409852.0,410188.0,415091.0,417929.0,419735.0,419760.0,419764.0,420627.0,421882.0,427268.0,430815.0,433405.0,433407.0,433409.0,434557.0,435418.0,436483.0,442139.0,446107.0,446110.0,446112.0,448971.0,452558.0,454028.0,455095.0
