Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24835.0,44186.0,53490.0,56551.0,56963.0,56963.0,56963.0,56980.0,57001.0,57002.0,57002.0,57002.0,57003.0,57003.0,57003.0,70184.0,240541.0,414558.0,583223.0,611071.0,619707.0,841162.0,1083610.0,1356107.0,1607321.0,1836536.0,1866041.0,1870507.0,2136331.0,2356296.0,2544330.0,2699567.0,2841682.0,2851321.0,2852485.0,2960588.0,3054795.0,3140881.0,3226795.0,3304886.0,3314860.0,3315215.0,3452296.0,3611156.0,3768930.0,3913601.0,4049791.0,4059434.0,4060500.0,4197014.0,4335964.0,4471689.0,4643077.0,4794235.0,4818531.0,4821277.0,4978933.0,5145201.0,5295936.0,5443863.0,5579622.0,5602766.0,5605611.0,5749494.0,5896378.0,6049135.0,6205521.0,6371344.0,6384203.0,6385172.0,6535835.0,6669007.0,6795465.0,6929697.0,6931543.0,6933412.0,6934066.0,7013362.0,7105696.0,7199860.0,7275943.0,7346030.0,7357003.0,7358083.0,7435502.0,7509780.0,7588384.0,7649761.0,7707355.0,7715165.0,7716023.0,7759589.0,7798402.0,7829284.0,7884910.0,7924473.0,7930170.0,7930518.0,7973242.0,8011769.0,8054935.0,8085373.0,8135495.0,8136535.0,8137185.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44322.0,52654.0,55535.0,55745.0,55779.0,55779.0,55779.0,55789.0,55789.0,55789.0,55789.0,55789.0,55789.0,55810.0,55850.0,56023.0,56167.0,56285.0,56289.0,56289.0,56696.0,69108.0,223094.0,388842.0,550332.0,574457.0,581350.0,795245.0,1032636.0,1298002.0,1543366.0,1766354.0,1792476.0,1796310.0,2068603.0,2311949.0,2527851.0,2713837.0,2868506.0,2879489.0,2880664.0,3002553.0,3093016.0,3157737.0,3212884.0,3263772.0,3266514.0,3266935.0,3382325.0,3526807.0,3679852.0,3848195.0,3853361.0,3854699.0,3855158.0,4059678.0,4206045.0,4344195.0,4506729.0,4654588.0,4669399.0,4670756.0,4829212.0,4988800.0,5138083.0,5281755.0,5414185.0,5428516.0,5430267.0,5578531.0,5725191.0,5869718.0,6012676.0,6155551.0,6167404.0,6168088.0,6320626.0,6451880.0,6576454.0,6699562.0,6735410.0,6736612.0,6737196.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19484.0,19565.0,19565.0,20358.0,21139.0,21842.0,22523.0,22896.0,22907.0,22907.0,23546.0,24362.0,25285.0,26014.0,26758.0,26763.0,26763.0,27299.0,27893.0,28424.0,29116.0,29699.0,29714.0,29714.0,30460.0,31323.0,32114.0,32901.0,33454.0,33474.0,33474.0,34048.0,34744.0,35284.0,35853.0,36400.0,36400.0,36400.0,37001.0,37634.0,38176.0,38770.0,38770.0,38834.0,38836.0,39250.0,39637.0,40001.0,40308.0,40595.0,40597.0,40597.0,40977.0,41326.0,41677.0,41996.0,42293.0,42296.0,42296.0,42558.0,42906.0,43155.0,43488.0,43790.0,43806.0,43806.0,44098.0,44358.0,44688.0,45044.0,45459.0,45560.0,45560.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22805.0,22805.0,22805.0,23352.0,23942.0,24756.0,25533.0,25539.0,25539.0,25539.0,26292.0,26935.0,27475.0,28001.0,28525.0,28531.0,28531.0,29360.0,30273.0,31098.0,31744.0,32324.0,32328.0,32328.0,32880.0,33570.0,34110.0,34640.0,35179.0,35192.0,35193.0,35823.0,36358.0,36908.0,37517.0,37704.0,37704.0,37704.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43440.0,43445.0,50645.0,56067.0,60864.0,64996.0,69039.0,69194.0,69194.0,73107.0,76675.0,79901.0,82248.0,84794.0,84794.0,84794.0,88968.0,93728.0,98468.0,102833.0,106579.0,106586.0,106586.0,110874.0,116063.0,120683.0,126405.0,131607.0,131727.0,131727.0,136776.0,142258.0,148241.0,153430.0,158430.0,158792.0,158836.0,164751.0,170813.0,176435.0,181682.0,186896.0,187281.0,187467.0,192981.0,198070.0,203008.0,207713.0,208005.0,208460.0,208655.0,211800.0,215269.0,219068.0,222129.0,224679.0,225189.0,225333.0,228610.0,231708.0,234773.0,237380.0,239903.0,240886.0,241020.0,242474.0,243464.0,244331.0,245904.0,247017.0,247560.0,247585.0,248538.0,249448.0,250345.0,251051.0,252439.0,252472.0,252500.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12763.0,15424.0,15493.0,15493.0,19041.0,23370.0,28860.0,35194.0,41259.0,41818.0,41818.0,49756.0,56563.0,62585.0,67414.0,72048.0,72200.0,72205.0,75772.0,78303.0,80366.0,82121.0,83708.0,83711.0,83731.0,87305.0,91710.0,96096.0,101096.0,101128.0,101134.0,101140.0,107364.0,112556.0,117273.0,121276.0,127073.0,127279.0,127293.0,132733.0,137847.0,143212.0,148259.0,152731.0,153452.0,153506.0,159605.0,165018.0,170165.0,175214.0,179996.0,180547.0,180709.0,185793.0,189476.0,193558.0,198577.0,200439.0,200605.0,200708.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26371.0,28444.0,30601.0,32731.0,34790.0,34845.0,34845.0,36837.0,38748.0,40070.0,41207.0,43259.0,43454.0,43454.0,44935.0,46142.0,47155.0,47983.0,48991.0,49056.0,49058.0,50188.0,51207.0,52437.0,54079.0,55415.0,55515.0,55515.0,56782.0,58444.0,59977.0,62125.0,63220.0,63284.0,63284.0,64449.0,65752.0,67181.0,68674.0,70186.0,70282.0,70282.0,71638.0,73014.0,74222.0,75384.0,75470.0,75612.0,75613.0,76582.0,77966.0,78891.0,79826.0,80085.0,80086.0,80086.0,81010.0,81931.0,82939.0,83661.0,84340.0,84371.0,84371.0,85114.0,85867.0,86548.0,87175.0,87568.0,87629.0,87629.0,88235.0,88852.0,89437.0,89836.0,90275.0,90275.0,90275.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7000.0,9228.0,9486.0,9512.0,11807.0,14317.0,17138.0,19881.0,22716.0,22810.0,22810.0,25750.0,28580.0,31262.0,33739.0,35875.0,35920.0,35920.0,38028.0,40129.0,41341.0,42146.0,42909.0,42915.0,42915.0,43797.0,44831.0,45659.0,46533.0,46539.0,46541.0,46542.0,48098.0,49386.0,50617.0,52132.0,53221.0,53273.0,53273.0,54047.0,55771.0,57464.0,59290.0,60193.0,60246.0,60248.0,60897.0,62835.0,64340.0,65059.0,66474.0,66492.0,66495.0,68077.0,69716.0,71021.0,72084.0,72467.0,72467.0,72467.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9462.0,15283.0,19994.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35823.0,37664.0,39556.0,41495.0,42576.0,42629.0,42631.0,44546.0,46977.0,49314.0,51598.0,53128.0,53205.0,53205.0,54586.0,55770.0,56737.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65973.0,68027.0,70051.0,70155.0,70155.0,72487.0,74796.0,77001.0,79154.0,80873.0,80874.0,80886.0,83349.0,85898.0,88365.0,90626.0,93040.0,93040.0,93040.0,95222.0,97278.0,99011.0,100672.0,100672.0,100672.0,100672.0,102266.0,103777.0,105526.0,106714.0,108218.0,108346.0,108346.0,108760.0,110281.0,111670.0,112785.0,113803.0,113803.0,113803.0,114910.0,116271.0,117177.0,118224.0,119132.0,119132.0,119132.0,119922.0,121040.0,122131.0,122971.0,124011.0,124011.0,124011.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9437.0,14622.0,19087.0,19510.0,19511.0,22974.0,25399.0,27619.0,29694.0,32129.0,32497.0,32497.0,34935.0,37658.0,40520.0,42350.0,43582.0,43606.0,43611.0,45284.0,46970.0,48337.0,50232.0,51558.0,51559.0,51559.0,52625.0,53882.0,55322.0,56818.0,56819.0,56819.0,56819.0,59432.0,61477.0,63251.0,65167.0,66736.0,66742.0,66742.0,68672.0,71253.0,73448.0,75553.0,77354.0,77360.0,77360.0,79401.0,81859.0,84119.0,86313.0,88070.0,88074.0,88074.0,89389.0,91600.0,93794.0,95562.0,96232.0,96232.0,96232.0
