Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70189.0,240549.0,414572.0,583235.0,611084.0,619718.0,841185.0,1083649.0,1356165.0,1607425.0,1836652.0,1866166.0,1870632.0,2136485.0,2356478.0,2544511.0,2699750.0,2841865.0,2851504.0,2852668.0,2960782.0,3054994.0,3141085.0,3227006.0,3305257.0,3315234.0,3315589.0,3452670.0,3611538.0,3769325.0,3914001.0,4050208.0,4059853.0,4060917.0,4197453.0,4336407.0,4472145.0,4643532.0,4794702.0,4818999.0,4821745.0,4979424.0,5145710.0,5296492.0,5444434.0,5580215.0,5603360.0,5606206.0,5750102.0,5897006.0,6049777.0,6206185.0,6372047.0,6384916.0,6385885.0,6536599.0,6669801.0,6796301.0,6930588.0,6932435.0,6934309.0,6934966.0,7014423.0,7106906.0,7201227.0,7277462.0,7347799.0,7358892.0,7359979.0,7437578.0,7511986.0,7590698.0,7652245.0,7710025.0,7717845.0,7718705.0,7762381.0,7801331.0,7832317.0,7888486.0,7928211.0,7933919.0,7934270.0,7977136.0,8015957.0,8059299.0,8089997.0,8140593.0,8141646.0,8142441.0,8218247.0,8299087.0,8380393.0,8461707.0,8545110.0,8562386.0,8563343.0,8666336.0,8773364.0,8877840.0,8974388.0,9077127.0,9078226.0,9078491.0,9202790.0,9338208.0,9462790.0,9589323.0,9597032.0,9623309.0,9626997.0,9802324.0,9991131.0,10170992.0,10336559.0,10481100.0,10522454.0,10531551.0,10686273.0,10823983.0,10928685.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44338.0,52674.0,55558.0,55768.0,55802.0,55802.0,55802.0,55813.0,55813.0,55813.0,55813.0,55813.0,55813.0,55834.0,55874.0,56047.0,56191.0,56309.0,56313.0,56313.0,56721.0,69135.0,223162.0,388944.0,550476.0,574604.0,581497.0,795457.0,1032910.0,1298375.0,1543937.0,1766980.0,1793122.0,1796956.0,2069338.0,2312805.0,2528766.0,2714810.0,2869514.0,2880497.0,2881673.0,3003587.0,3094112.0,3158872.0,3214060.0,3265128.0,3267874.0,3268295.0,3383733.0,3528287.0,3681407.0,3849815.0,3854990.0,3856335.0,3856796.0,4061476.0,4207955.0,4346189.0,4508813.0,4656760.0,4671581.0,4672936.0,4831545.0,4991384.0,5140838.0,5284753.0,5417345.0,5431678.0,5433431.0,5581820.0,5728613.0,5873415.0,6016568.0,6159635.0,6171498.0,6172184.0,6324976.0,6456447.0,6581327.0,6705281.0,6742009.0,6743209.0,6743869.0,6819183.0,6907109.0,7000044.0,7076111.0,7139442.0,7147563.0,7148006.0,7217857.0,7302372.0,7380148.0,7440068.0,7495698.0,7496101.0,7496270.0,7542892.0,7590079.0,7630976.0,7693990.0,7695338.0,7701575.0,7702161.0,7762930.0,7819318.0,7867360.0,7903300.0,7943756.0,7949496.0,7950462.0,8009698.0,8080358.0,8149060.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6071.0,6089.0,6089.0,7326.0,8483.0,10110.0,11449.0,12805.0,12853.0,12861.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24360.0,25283.0,26012.0,26756.0,26761.0,26761.0,27297.0,27891.0,28422.0,29114.0,29697.0,29712.0,29712.0,30458.0,31321.0,32113.0,32899.0,33452.0,33472.0,33472.0,34046.0,34742.0,35282.0,35851.0,36401.0,36401.0,36401.0,37003.0,37636.0,38178.0,38772.0,38772.0,38836.0,38838.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42575.0,42923.0,43172.0,43506.0,43808.0,43824.0,43824.0,44117.0,44377.0,44708.0,45072.0,45494.0,45595.0,45595.0,46073.0,46543.0,46927.0,47338.0,47657.0,47692.0,47692.0,48122.0,48582.0,49065.0,49435.0,49814.0,49895.0,49897.0,50363.0,50971.0,51634.0,52313.0,52313.0,52731.0,52731.0,54250.0,55777.0,57040.0,58035.0,59238.0,59567.0,59567.0,60786.0,61759.0,62470.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27484.0,28010.0,28536.0,28542.0,28542.0,29371.0,30285.0,31110.0,31757.0,32339.0,32343.0,32343.0,32896.0,33587.0,34127.0,34659.0,35198.0,35211.0,35212.0,35842.0,36377.0,36928.0,37538.0,37727.0,37727.0,37727.0,38066.0,38480.0,38878.0,39196.0,39456.0,39468.0,39468.0,39784.0,40176.0,40524.0,40763.0,40956.0,40965.0,40968.0,41357.0,41778.0,42042.0,42423.0,42424.0,42471.0,42471.0,42876.0,43227.0,43676.0,43996.0,44488.0,44540.0,44540.0,45041.0,45527.0,45893.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88974.0,93733.0,98474.0,102840.0,106586.0,106593.0,106593.0,110881.0,116072.0,120692.0,126415.0,131619.0,131738.0,131738.0,136788.0,142273.0,148258.0,153450.0,158454.0,158816.0,158860.0,164777.0,170843.0,176466.0,181714.0,186928.0,187313.0,187499.0,193014.0,198102.0,203044.0,207750.0,208043.0,208499.0,208694.0,211843.0,215316.0,219117.0,222178.0,224731.0,225244.0,225388.0,228670.0,231770.0,234838.0,237450.0,239975.0,240959.0,241093.0,242552.0,243544.0,244411.0,245993.0,247107.0,247651.0,247676.0,248630.0,249543.0,250440.0,251148.0,252537.0,252570.0,252606.0,255443.0,258809.0,261995.0,265154.0,268020.0,269251.0,269505.0,273377.0,277245.0,280839.0,284262.0,287943.0,288217.0,288297.0,292912.0,298300.0,303012.0,307538.0,308059.0,309088.0,309292.0,316355.0,324162.0,330006.0,336512.0,342363.0,342612.0,342741.0,349193.0,351625.0,353527.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67419.0,72053.0,72206.0,72211.0,75778.0,78315.0,80379.0,82134.0,83722.0,83725.0,83745.0,87320.0,91725.0,96111.0,101114.0,101146.0,101152.0,101158.0,107382.0,112575.0,117294.0,121297.0,127098.0,127304.0,127318.0,132761.0,137879.0,143248.0,148302.0,152778.0,153499.0,153553.0,159656.0,165076.0,170226.0,175277.0,180064.0,180615.0,180777.0,185862.0,189545.0,193631.0,198652.0,200526.0,200685.0,200815.0,204031.0,207573.0,211543.0,214524.0,217078.0,217631.0,217752.0,220555.0,223818.0,226732.0,228902.0,231239.0,231332.0,231441.0,233356.0,235079.0,236430.0,238320.0,238455.0,238749.0,238782.0,240598.0,242262.0,243329.0,244388.0,245798.0,245837.0,245868.0,248053.0,250403.0,252930.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14954.0,17974.0,20731.0,23612.0,23728.0,23728.0,26376.0,28449.0,30607.0,32737.0,34796.0,34851.0,34851.0,36843.0,38754.0,40078.0,41215.0,43267.0,43462.0,43462.0,44944.0,46152.0,47165.0,47994.0,49002.0,49068.0,49070.0,50200.0,51220.0,52450.0,54092.0,55429.0,55529.0,55529.0,56796.0,58458.0,59992.0,62141.0,63236.0,63300.0,63300.0,64463.0,65766.0,67195.0,68688.0,70223.0,70327.0,70327.0,71684.0,73063.0,74273.0,75437.0,75523.0,75665.0,75666.0,76636.0,78023.0,78950.0,79886.0,80145.0,80146.0,80146.0,81070.0,81991.0,82999.0,83721.0,84419.0,84450.0,84450.0,85195.0,85950.0,86632.0,87612.0,88021.0,88081.0,88081.0,88690.0,89446.0,90072.0,90498.0,90941.0,90945.0,90945.0,91827.0,92640.0,93773.0,94711.0,95510.0,95591.0,95591.0,96751.0,98045.0,99237.0,100313.0,101412.0,101473.0,101479.0,102727.0,104142.0,105587.0,107109.0,107265.0,108058.0,108058.0,110079.0,112501.0,114557.0,116814.0,118589.0,119003.0,119004.0,121063.0,122971.0,123425.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14325.0,17152.0,19896.0,22734.0,22828.0,22828.0,25769.0,28605.0,31292.0,33784.0,35921.0,35966.0,35966.0,38077.0,40178.0,41390.0,42195.0,42959.0,42965.0,42965.0,43847.0,44882.0,45710.0,46585.0,46592.0,46596.0,46597.0,48156.0,49444.0,50676.0,52205.0,53295.0,53348.0,53348.0,54124.0,55856.0,57553.0,59385.0,60299.0,60351.0,60353.0,61001.0,62941.0,64447.0,65167.0,66627.0,66646.0,66649.0,68241.0,69887.0,71207.0,72273.0,72659.0,72659.0,72660.0,73571.0,74671.0,75538.0,75723.0,75937.0,75945.0,75945.0,77107.0,78314.0,79173.0,79688.0,80284.0,80300.0,80303.0,81219.0,82181.0,82943.0,83684.0,83725.0,83878.0,83879.0,84721.0,85529.0,86171.0,86891.0,87395.0,87436.0,87439.0,88183.0,89378.0,89885.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9462.0,15285.0,20014.0,20468.0,20468.0,24068.0,26486.0,28717.0,30782.0,33292.0,33769.0,33769.0,35877.0,37733.0,39625.0,41565.0,42647.0,42700.0,42702.0,44618.0,47050.0,49387.0,51673.0,53203.0,53280.0,53280.0,54661.0,55845.0,56813.0,57965.0,59986.0,60285.0,60285.0,62260.0,64211.0,66058.0,68112.0,70137.0,70241.0,70241.0,72576.0,74888.0,77095.0,79247.0,80968.0,80969.0,80981.0,83446.0,85994.0,88467.0,90731.0,93146.0,93146.0,93146.0,95338.0,97396.0,99129.0,100796.0,100796.0,100796.0,100796.0,102399.0,103924.0,105681.0,106884.0,108391.0,108522.0,108522.0,108939.0,110467.0,111863.0,112986.0,114011.0,114011.0,114011.0,115120.0,116493.0,117399.0,118452.0,119365.0,119365.0,119365.0,120158.0,121279.0,122374.0,123222.0,124330.0,124330.0,124330.0,125804.0,127329.0,128643.0,129972.0,131369.0,131558.0,131558.0,133091.0,134861.0,136445.0,137796.0,139431.0,139455.0,139455.0,141195.0,143182.0,145149.0,146968.0,146968.0,147015.0,147015.0,150038.0,153564.0,156736.0,159495.0,161777.0,161779.0,161779.0,164640.0,167496.0,169698.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1743.0,2660.0,3657.0,3736.0,3736.0,3736.0,3736.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3744.0,3771.0,3771.0,3771.0,3780.0,4453.0,9454.0,14648.0,19128.0,19551.0,19552.0,23028.0,25458.0,27679.0,29768.0,32209.0,32577.0,32577.0,35044.0,37827.0,40692.0,42526.0,43760.0,43784.0,43789.0,45464.0,47154.0,48523.0,50419.0,51745.0,51746.0,51746.0,52816.0,54077.0,55520.0,57018.0,57019.0,57019.0,57019.0,59664.0,61718.0,63497.0,65415.0,66988.0,66994.0,66994.0,68933.0,71534.0,73737.0,75924.0,77734.0,77740.0,77740.0,79786.0,82253.0,84520.0,86725.0,88487.0,88492.0,88492.0,89817.0,92031.0,94263.0,96062.0,96849.0,96849.0,96849.0,98073.0,99520.0,101253.0,102389.0,103363.0,103427.0,103427.0,104288.0,105937.0,107244.0,108289.0,108995.0,108995.0,108995.0,110135.0,111561.0,112681.0,113905.0,113906.0,113915.0,113915.0,115018.0,116401.0,117492.0,118243.0,118875.0,118879.0,118881.0,120519.0,122116.0,123367.0
