Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02
Total,Primera,420.0,5198.0,8341.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,9057.0,10500.0,10705.0,10705.0,10705.0,10705.0,10705.0,10705.0,10705.0,10706.0,12824.0,13781.0,13804.0,13804.0,24844.0,44199.0,53504.0,56562.0,56974.0,56974.0,56974.0,56991.0,57012.0,57013.0,57013.0,57013.0,57014.0,57014.0,57014.0,70195.0,240558.0,414583.0,583280.0,611129.0,619763.0,841240.0,1083712.0,1356135.0,1607490.0,1836726.0,1866246.0,1870713.0,2136577.0,2356606.0,2544646.0,2699904.0,2842024.0,2851665.0,2852827.0,2960938.0,3055146.0,3141248.0,3227175.0,3305428.0,3315407.0,3315762.0,3452855.0,3611722.0,3769513.0,3914193.0,4050397.0,4060044.0,4061109.0,4197653.0,4336608.0,4472346.0,4643733.0,4794910.0,4819200.0,4821948.0,4979638.0,5145923.0,5296709.0,5444650.0,5580434.0,5603578.0,5606421.0,5750322.0,5897237.0,6050014.0,6206424.0,6372303.0,6385198.0,6386167.0,6536895.0,6670101.0,6796617.0,6930915.0,6932763.0,6934641.0,6935297.0,7014770.0,7107275.0,7201624.0,7277861.0,7348215.0,7359310.0,7360398.0,7438001.0,7512425.0,7591145.0,7652705.0,7710494.0,7718315.0,7719175.0,7762870.0,7801855.0,7832861.0,7889058.0,7928792.0,7934500.0,7934851.0,7977733.0,8016559.0,8059923.0,8090644.0,8141263.0,8142327.0,8143124.0,8218982.0,8299870.0,8381232.0,8462644.0,8546451.0,8563752.0,8564713.0,8667847.0,8775022.0,8879676.0,8976514.0,9079449.0,9080491.0,9080756.0,9205182.0,9340765.0,9465498.0,9592225.0,9599945.0,9626392.0,9630087.0,9805642.0,9994959.0,10175139.0,10341539.0,10486611.0,10528098.0,10537201.0,10692673.0,10831341.0,10939849.0,10995007.0,11037053.0,11051711.0,11053686.0,11107179.0,11166800.0,11242749.0,11338620.0,11418771.0,11441430.0,11442852.0,11547529.0,11632259.0,11737448.0,11808094.0,11869204.0,11885738.0,11887530.0,11894807.0,11994218.0,12069630.0,12117885.0,12155870.0,12166908.0,12167935.0,12169158.0,12208924.0,12256747.0,12343039.0,12406262.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24969.0,44350.0,52690.0,55574.0,55784.0,55817.0,55817.0,55817.0,55828.0,55828.0,55829.0,55829.0,55829.0,55829.0,55851.0,55891.0,56064.0,56208.0,56326.0,56330.0,56330.0,56739.0,69153.0,223206.0,389012.0,550586.0,574718.0,581612.0,795603.0,1033092.0,1298602.0,1544198.0,1767278.0,1793437.0,1797273.0,2069680.0,2313253.0,2529265.0,2715362.0,2870090.0,2881075.0,2882246.0,3004187.0,3094747.0,3159527.0,3214726.0,3265813.0,3268561.0,3268985.0,3384464.0,3529047.0,3682196.0,3850656.0,3855835.0,3857180.0,3857642.0,4062386.0,4208911.0,4347190.0,4509859.0,4657845.0,4672673.0,4674028.0,4832693.0,4992593.0,5142123.0,5286072.0,5418709.0,5433048.0,5434804.0,5583248.0,5730089.0,5874957.0,6018177.0,6161291.0,6173176.0,6173866.0,6326701.0,6458234.0,6583171.0,6707194.0,6743943.0,6745146.0,6745812.0,6821204.0,6909207.0,7002220.0,7078331.0,7141714.0,7149857.0,7150300.0,7220201.0,7304777.0,7382616.0,7442586.0,7498261.0,7498664.0,7498834.0,7545517.0,7592827.0,7633805.0,7696898.0,7698251.0,7704508.0,7705096.0,7765946.0,7822462.0,7870616.0,7906669.0,7947291.0,7953041.0,7954012.0,8013412.0,8084699.0,8156341.0,8224740.0,8292917.0,8305932.0,8307154.0,8406933.0,8510975.0,8611032.0,8704377.0,8798326.0,8807693.0,8808286.0,8920402.0,9041780.0,9157976.0,9266136.0,9308747.0,9328291.0,9330399.0,9341879.0,9538810.0,9695316.0,9829940.0,9947109.0,9977709.0,9980937.0,9983834.0,10151332.0,10276617.0,10352940.0,10412118.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10440.0,33739.0,73340.0,107644.0,117550.0,119340.0,146787.0,166849.0,183529.0,196645.0,200692.0,201084.0,201133.0,205324.0,208992.0,212906.0,215938.0,218284.0,218562.0,218574.0,218675.0,222429.0,234839.0,298360.0,348344.0,358417.0,359671.0,360890.0,392608.0,415343.0,429201.0,439940.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46555.0,46939.0,47351.0,47671.0,47706.0,47706.0,48136.0,48596.0,49079.0,49450.0,49829.0,49910.0,49912.0,50379.0,50987.0,51650.0,52330.0,52330.0,52750.0,52750.0,54269.0,55797.0,57060.0,58059.0,59267.0,59596.0,59596.0,60830.0,61816.0,62549.0,62984.0,63249.0,63287.0,63321.0,63661.0,64118.0,64657.0,65279.0,65626.0,65678.0,65722.0,65970.0,66152.0,66323.0,66503.0,66637.0,66653.0,66666.0,66666.0,66858.0,67101.0,67371.0,67651.0,67707.0,67720.0,67720.0,67889.0,68053.0,68511.0,68840.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42434.0,42435.0,42482.0,42482.0,42887.0,43239.0,43688.0,44015.0,44511.0,44563.0,44563.0,45066.0,45560.0,45933.0,46368.0,46661.0,46693.0,46706.0,47121.0,47696.0,48144.0,48544.0,48912.0,48984.0,48994.0,49432.0,49947.0,50544.0,51101.0,51382.0,51592.0,51646.0,51649.0,53480.0,54848.0,56011.0,57022.0,57283.0,57344.0,57345.0,59054.0,60100.0,60723.0,61154.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4231.0,4508.0,4683.0,4727.0,4733.0,4733.0,4936.0,5121.0,5234.0,5320.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36324.0,42673.0,43443.0,43448.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88979.0,93738.0,98479.0,102845.0,106591.0,106598.0,106598.0,110886.0,116077.0,120697.0,126420.0,131624.0,131743.0,131743.0,136793.0,142279.0,148264.0,153456.0,158460.0,158822.0,158866.0,164783.0,170849.0,176472.0,181720.0,186936.0,187321.0,187507.0,193022.0,198109.0,203052.0,207758.0,208051.0,208507.0,208702.0,211851.0,215324.0,219125.0,222187.0,224740.0,225253.0,225397.0,228680.0,231781.0,234849.0,237461.0,239986.0,240970.0,241104.0,242565.0,243558.0,244425.0,246009.0,247125.0,247669.0,247694.0,248648.0,249561.0,250458.0,251167.0,252557.0,252590.0,252626.0,255463.0,258830.0,262019.0,265180.0,268046.0,269277.0,269531.0,273405.0,277273.0,280869.0,284292.0,287975.0,288249.0,288329.0,292948.0,298338.0,303052.0,307578.0,308099.0,309128.0,309332.0,316399.0,324207.0,330057.0,336567.0,342420.0,342669.0,342798.0,349252.0,351686.0,353607.0,356175.0,359207.0,359744.0,359764.0,362799.0,366224.0,370574.0,374911.0,378460.0,379721.0,379744.0,383598.0,387171.0,391425.0,394495.0,397207.0,397561.0,397612.0,398350.0,402205.0,405953.0,407583.0,408330.0,408449.0,408462.0,408905.0,410322.0,412300.0,415473.0,417930.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35198.0,41263.0,41825.0,41825.0,49762.0,56570.0,62592.0,67422.0,72057.0,72212.0,72217.0,75784.0,78321.0,80385.0,82141.0,83729.0,83732.0,83752.0,87328.0,91733.0,96119.0,101122.0,101154.0,101160.0,101166.0,107390.0,112584.0,117303.0,121306.0,127109.0,127315.0,127329.0,132772.0,137890.0,143259.0,148313.0,152790.0,153511.0,153566.0,159671.0,165092.0,170244.0,175296.0,180083.0,180634.0,180796.0,185881.0,189564.0,193651.0,198675.0,200549.0,200708.0,200839.0,204056.0,207602.0,211574.0,214556.0,217111.0,217667.0,217788.0,220593.0,223857.0,226771.0,228940.0,231279.0,231372.0,231481.0,233396.0,235121.0,236474.0,238364.0,238499.0,238794.0,238827.0,240643.0,242309.0,243377.0,244439.0,245849.0,245888.0,245919.0,248106.0,250457.0,253005.0,255407.0,257515.0,257871.0,257919.0,261663.0,265325.0,268764.0,272071.0,275417.0,276046.0,276148.0,280437.0,285013.0,289555.0,293641.0,295609.0,296128.0,296278.0,297441.0,305269.0,311899.0,316589.0,320810.0,321567.0,321593.0,322165.0,327063.0,330153.0,332742.0,335388.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.0,5938.0,7629.0,8422.0,8452.0,8452.0,8947.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9142.0,11691.0,14552.0,15194.0,15198.0,15296.0,17028.0,18019.0,18556.0,19107.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,2124.0,2812.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2969.0,4411.0,7244.0,9638.0,9942.0,9976.0,12407.0,14959.0,17979.0,20736.0,23619.0,23735.0,23735.0,26384.0,28465.0,30628.0,32759.0,34823.0,34878.0,34878.0,36870.0,38781.0,40105.0,41247.0,43299.0,43495.0,43495.0,44977.0,46185.0,47198.0,48027.0,49032.0,49098.0,49100.0,50230.0,51250.0,52480.0,54122.0,55459.0,55559.0,55559.0,56826.0,58489.0,60023.0,62177.0,63271.0,63335.0,63335.0,64498.0,65800.0,67229.0,68722.0,70258.0,70386.0,70386.0,71743.0,73122.0,74332.0,75496.0,75582.0,75724.0,75725.0,76695.0,78086.0,79013.0,79948.0,80207.0,80208.0,80208.0,81133.0,82053.0,83057.0,83779.0,84477.0,84508.0,84508.0,85253.0,86009.0,86693.0,87674.0,88082.0,88142.0,88142.0,88751.0,89502.0,90128.0,90554.0,90998.0,91003.0,91003.0,91892.0,92705.0,93847.0,94787.0,95632.0,95716.0,95716.0,96911.0,98205.0,99400.0,100631.0,101732.0,101792.0,101798.0,103049.0,104467.0,105912.0,107440.0,107597.0,108392.0,108392.0,110421.0,112852.0,114910.0,117171.0,119113.0,119530.0,119531.0,121604.0,123527.0,124018.0,124025.0,124043.0,124046.0,124046.0,124228.0,125640.0,127347.0,129352.0,131059.0,131628.0,131635.0,133353.0,135038.0,136609.0,137818.0,138922.0,139228.0,139228.0,139305.0,140651.0,142026.0,143522.0,144765.0,145176.0,145176.0,145179.0,145390.0,145631.0,146338.0,146884.0
