Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01
Total,Primera,420.0,5198.0,8341.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,9057.0,10500.0,10705.0,10705.0,10705.0,10705.0,10705.0,10705.0,10705.0,10706.0,12825.0,13782.0,13805.0,13805.0,24856.0,44216.0,53525.0,56582.0,56994.0,56994.0,56994.0,57011.0,57032.0,57033.0,57033.0,57033.0,57034.0,57034.0,57034.0,70217.0,240584.0,414608.0,583352.0,611202.0,619839.0,841324.0,1083791.0,1356217.0,1607578.0,1836824.0,1866345.0,1870812.0,2136680.0,2356716.0,2544759.0,2700020.0,2842144.0,2851786.0,2852948.0,2961055.0,3055256.0,3141357.0,3227291.0,3305566.0,3315609.0,3315964.0,3453118.0,3612078.0,3769923.0,3914661.0,4050880.0,4060525.0,4061590.0,4198201.0,4337245.0,4473065.0,4644512.0,4795753.0,4820043.0,4822791.0,4980641.0,5147257.0,5298548.0,5447353.0,5587123.0,5610303.0,5613155.0,5759896.0,5910164.0,6064454.0,6221920.0,6388499.0,6401441.0,6402410.0,6553663.0,6687639.0,6814725.0,6949523.0,6951378.0,6953259.0,6953915.0,7033847.0,7127001.0,7221899.0,7298644.0,7369529.0,7380720.0,7381817.0,7459919.0,7534931.0,7614279.0,7676575.0,7734974.0,7742875.0,7743751.0,7787644.0,7826855.0,7858000.0,7914367.0,7954206.0,7959955.0,7960306.0,8003371.0,8042395.0,8085889.0,8116755.0,8167690.0,8168782.0,8169581.0,8245573.0,8326630.0,8408120.0,8489705.0,8573787.0,8591171.0,8592131.0,8695430.0,8802843.0,8907679.0,9004686.0,9107912.0,9108962.0,9109227.0,9233808.0,9369899.0,9495662.0,9624142.0,9632444.0,9659261.0,9662960.0,9838810.0,10028664.0,10209308.0,10376230.0,10521663.0,10563257.0,10572376.0,10728316.0,10867717.0,10976795.0,11032385.0,11074765.0,11089516.0,11091495.0,11145366.0,11205579.0,11282173.0,11378500.0,11459104.0,11481823.0,11483246.0,11588288.0,11673352.0,11778926.0,11849863.0,11911338.0,11927901.0,11929696.0,11937015.0,12036600.0,12112114.0,12160560.0,12198731.0,12209800.0,12210830.0,12212074.0,12251973.0,12300050.0,12386922.0,12452320.0,12467854.0,12469858.0,12517566.0,12561221.0,12634967.0,12692971.0,12743515.0,12763502.0,12765897.0,12815053.0,12895196.0,12949856.0,13021209.0,13023323.0,13033261.0,13034189.0,13081778.0,13121957.0,13155245.0,13191017.0,13249055.0,13272060.0,13274089.0,13289506.0,13298726.0,13305732.0,13314310.0,13322515.0,13323564.0,13323577.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8371.0,8371.0,8371.0,9774.0,10369.0,10403.0,10403.0,10408.0,10408.0,10408.0,10408.0,10414.0,10414.0,12522.0,13192.0,13197.0,13199.0,24979.0,44366.0,52710.0,55597.0,55807.0,55840.0,55840.0,55840.0,55851.0,55851.0,55852.0,55852.0,55852.0,55852.0,55874.0,55914.0,56088.0,56233.0,56351.0,56355.0,56355.0,56764.0,69180.0,223246.0,389076.0,550702.0,574837.0,581735.0,795757.0,1033250.0,1298797.0,1544416.0,1767525.0,1793686.0,1797522.0,2069963.0,2313576.0,2529616.0,2715747.0,2870526.0,2881540.0,2882711.0,3004722.0,3095319.0,3160122.0,3215345.0,3266450.0,3269198.0,3269621.0,3385128.0,3529809.0,3683042.0,3851580.0,3856758.0,3858103.0,3858566.0,4063427.0,4210062.0,4348459.0,4511251.0,4659321.0,4674158.0,4675514.0,4834393.0,4994696.0,5144830.0,5289701.0,5425491.0,5439872.0,5441634.0,5592677.0,5742773.0,5889197.0,6033536.0,6177314.0,6189246.0,6189936.0,6343547.0,6476034.0,6601680.0,6726195.0,6763115.0,6764322.0,6764988.0,6840814.0,6929407.0,7023007.0,7099640.0,7163504.0,7171711.0,7172155.0,7242532.0,7327850.0,7406345.0,7466998.0,7523221.0,7523628.0,7523799.0,7570837.0,7618490.0,7659709.0,7723036.0,7724397.0,7730678.0,7731266.0,7792355.0,7849223.0,7897557.0,7933804.0,7974671.0,7980447.0,7981420.0,8041032.0,8112566.0,8184345.0,8252902.0,8321334.0,8334393.0,8335621.0,8435671.0,8540088.0,8640398.0,8733986.0,8828280.0,8837673.0,8838268.0,8950685.0,9072599.0,9189896.0,9299719.0,9343046.0,9362853.0,9364970.0,9376527.0,9574425.0,9731589.0,9866946.0,9984615.0,10015335.0,10018574.0,10021498.0,10190245.0,10316564.0,10393958.0,10455395.0,10473328.0,10475249.0,10544807.0,10610461.0,10684004.0,10769824.0,10845445.0,10864331.0,10866496.0,10963973.0,11049163.0,11144311.0,11228523.0,11230760.0,11242971.0,11244041.0,11309626.0,11397185.0,11464522.0,11504495.0,11558591.0,11568227.0,11569005.0,11605913.0,11644112.0,11670537.0,11749276.0,11814551.0,11824206.0,11824587.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10452.0,33758.0,73369.0,107720.0,117628.0,119418.0,146878.0,166954.0,183678.0,196829.0,200877.0,201269.0,201318.0,205488.0,209160.0,213114.0,216156.0,218532.0,218810.0,218822.0,218900.0,222662.0,235077.0,298624.0,348703.0,358775.0,360030.0,361255.0,393152.0,416047.0,430051.0,441513.0,444943.0,445344.0,455746.0,463333.0,468127.0,471988.0,475904.0,477477.0,477648.0,481724.0,484557.0,487272.0,492577.0,492674.0,493143.0,493245.0,495876.0,497611.0,499011.0,500597.0,501818.0,503243.0,503285.0,504229.0,505006.0,505535.0,506001.0,506273.0,506285.0,506286.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67133.0,67149.0,67162.0,67162.0,67354.0,67598.0,67869.0,68149.0,68205.0,68218.0,68218.0,68387.0,68552.0,69010.0,69355.0,69414.0,69423.0,69598.0,69837.0,70304.0,70761.0,71091.0,71173.0,71173.0,71459.0,72041.0,72475.0,72893.0,72893.0,73008.0,73039.0,73274.0,73573.0,73803.0,74237.0,74548.0,74641.0,74641.0,74767.0,74870.0,74944.0,75044.0,75093.0,75115.0,75115.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23368.0,23959.0,24775.0,25552.0,25558.0,25558.0,25558.0,26312.0,26955.0,27496.0,28023.0,28549.0,28555.0,28555.0,29386.0,30302.0,31131.0,31779.0,32377.0,32381.0,32381.0,32950.0,33649.0,34195.0,34727.0,35266.0,35279.0,35280.0,35917.0,36455.0,37010.0,37621.0,37811.0,37811.0,37811.0,38154.0,38573.0,38971.0,39289.0,39550.0,39562.0,39562.0,39882.0,40275.0,40626.0,40865.0,41058.0,41067.0,41070.0,41461.0,41884.0,42149.0,42533.0,42534.0,42581.0,42581.0,42987.0,43341.0,43793.0,44122.0,44629.0,44682.0,44682.0,45187.0,45682.0,46055.0,46492.0,46786.0,46818.0,46831.0,47247.0,47827.0,48275.0,48675.0,49043.0,49115.0,49125.0,49567.0,50083.0,50681.0,51240.0,51521.0,51731.0,51785.0,51788.0,53625.0,55003.0,56169.0,57183.0,57444.0,57505.0,57506.0,59222.0,60278.0,60908.0,61386.0,61477.0,61508.0,61974.0,62469.0,63115.0,63766.0,64225.0,64307.0,64307.0,64687.0,64956.0,65249.0,65509.0,65509.0,65553.0,65586.0,65735.0,65966.0,66209.0,66491.0,66753.0,66819.0,66820.0,66932.0,67117.0,67318.0,67725.0,68007.0,68072.0,68072.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7193.0,7198.0,7198.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12793.0,15852.0,16036.0,16036.0,19620.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50648.0,56070.0,60866.0,64998.0,69041.0,69198.0,69198.0,73116.0,76684.0,79910.0,82257.0,84803.0,84803.0,84803.0,88980.0,93741.0,98488.0,102857.0,106602.0,106609.0,106609.0,110897.0,116088.0,120709.0,126431.0,131635.0,131754.0,131754.0,136822.0,142329.0,148333.0,153549.0,158817.0,159179.0,159223.0,165234.0,171357.0,177017.0,182288.0,187518.0,187903.0,188089.0,193642.0,198740.0,203698.0,208411.0,208704.0,209160.0,209355.0,212536.0,216030.0,219861.0,222955.0,225540.0,226059.0,226203.0,229514.0,232647.0,235742.0,238371.0,240918.0,241904.0,242038.0,243500.0,244514.0,245384.0,246969.0,248086.0,248652.0,248677.0,249632.0,250545.0,251443.0,252152.0,253545.0,253578.0,253614.0,256453.0,259821.0,263012.0,266176.0,269051.0,270290.0,270545.0,274435.0,278315.0,281915.0,285342.0,289026.0,289301.0,289381.0,294002.0,299394.0,304111.0,308638.0,309159.0,310188.0,310392.0,317463.0,325272.0,331132.0,337647.0,343510.0,343759.0,343888.0,350347.0,352790.0,354722.0,357296.0,360342.0,360879.0,360899.0,363951.0,367397.0,371774.0,376124.0,379693.0,380956.0,380979.0,384846.0,388426.0,392686.0,395759.0,398478.0,398832.0,398883.0,399627.0,403487.0,407237.0,408871.0,409619.0,409738.0,409751.0,410195.0,411615.0,413593.0,416770.0,419243.0,419679.0,419713.0,421716.0,423608.0,426488.0,429033.0,431315.0,431998.0,432035.0,434563.0,438177.0,441169.0,444041.0,444822.0,445710.0,445746.0,448667.0,451656.0,454452.0,458305.0,461636.0,462239.0,462259.0,462469.0,462615.0,463170.0,463620.0,463758.0,463762.0,463762.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19047.0,23375.0,28865.0,35200.0,41265.0,41827.0,41827.0,49764.0,56572.0,62594.0,67424.0,72059.0,72214.0,72219.0,75788.0,78326.0,80390.0,82146.0,83735.0,83738.0,83758.0,87335.0,91741.0,96132.0,101138.0,101170.0,101176.0,101182.0,107409.0,112604.0,117324.0,121328.0,127134.0,127341.0,127355.0,132818.0,137959.0,143351.0,148432.0,153105.0,153840.0,153895.0,160104.0,165592.0,170778.0,175855.0,180660.0,181213.0,181375.0,186499.0,190194.0,194295.0,199328.0,201206.0,201365.0,201496.0,204737.0,208307.0,212307.0,215308.0,217900.0,218462.0,218584.0,221417.0,224715.0,227651.0,229834.0,232191.0,232284.0,232393.0,234316.0,236058.0,237415.0,239307.0,239444.0,239747.0,239780.0,241607.0,243291.0,244363.0,245426.0,246840.0,246879.0,246910.0,249098.0,251453.0,254004.0,256407.0,258521.0,258879.0,258927.0,262696.0,266375.0,269822.0,273131.0,276483.0,277112.0,277214.0,281507.0,286087.0,290635.0,294723.0,296692.0,297211.0,297361.0,298525.0,306357.0,313000.0,317697.0,321922.0,322681.0,322707.0,323282.0,328192.0,331290.0,333898.0,336587.0,337141.0,337174.0,340450.0,343709.0,347390.0,351256.0,354252.0,355198.0,355230.0,359216.0,362829.0,366561.0,370238.0,371041.0,371843.0,371905.0,374834.0,378809.0,382264.0,384528.0,386211.0,386451.0,386462.0,387910.0,389134.0,390697.0,393326.0,395368.0,395714.0,395721.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.0,5941.0,7632.0,8425.0,8456.0,8456.0,8951.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9146.0,11696.0,14557.0,15198.0,15202.0,15300.0,17032.0,18023.0,18561.0,19122.0,19162.0,19177.0,19620.0,19961.0,20167.0,20299.0,20381.0,20543.0,20550.0,20767.0,20896.0,20954.0,20975.0,20978.0,20982.0,20982.0,21006.0,21019.0,21035.0,21058.0,21066.0,21067.0,21068.0,21068.0,21068.0,21080.0,21080.0,21087.0,21087.0,21087.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4421.0,7254.0,9648.0,9953.0,9987.0,12419.0,14972.0,17992.0,20749.0,23634.0,23751.0,23751.0,26402.0,28482.0,30643.0,32774.0,34838.0,34893.0,34893.0,36885.0,38796.0,40120.0,41262.0,43315.0,43511.0,43511.0,44996.0,46205.0,47219.0,48048.0,49053.0,49117.0,49119.0,50255.0,51275.0,52507.0,54150.0,55486.0,55585.0,55585.0,56858.0,58527.0,60069.0,62249.0,63345.0,63409.0,63409.0,64587.0,65930.0,67381.0,68881.0,70419.0,70549.0,70549.0,71911.0,73302.0,74518.0,75682.0,75768.0,75910.0,75911.0,76882.0,78280.0,79215.0,80157.0,80416.0,80417.0,80417.0,81342.0,82271.0,83281.0,84003.0,84702.0,84733.0,84733.0,85479.0,86237.0,86924.0,87905.0,88313.0,88377.0,88377.0,88989.0,89744.0,90375.0,90802.0,91247.0,91252.0,91252.0,92143.0,92960.0,94106.0,95046.0,95891.0,95976.0,95976.0,97172.0,98471.0,99671.0,100904.0,102006.0,102066.0,102072.0,103332.0,104760.0,106224.0,107761.0,107919.0,108724.0,108724.0,110769.0,113209.0,115271.0,117541.0,119490.0,119910.0,119911.0,121999.0,123924.0,124420.0,124427.0,124445.0,124448.0,124448.0,124631.0,126054.0,127766.0,129803.0,131516.0,132086.0,132093.0,133815.0,135507.0,137145.0,138359.0,139465.0,139771.0,139771.0,139848.0,141199.0,142575.0,144077.0,145328.0,145739.0,145739.0,145742.0,145956.0,146197.0,146911.0,147461.0,147633.0,147633.0,148078.0,148638.0,149443.0,150574.0,151652.0,152074.0,152074.0,153193.0,154601.0,155761.0,156790.0,156790.0,157293.0,157293.0,158488.0,159551.0,160545.0,161732.0,163046.0,163820.0,163820.0,164164.0,164615.0,165231.0,165693.0,166162.0,166192.0,166192.0
