Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24835.0,44186.0,53490.0,56551.0,56963.0,56963.0,56963.0,56980.0,57001.0,57002.0,57002.0,57002.0,57003.0,57003.0,57003.0,70184.0,240595.0,414672.0,583384.0,611232.0,619868.0,841398.0,1083917.0,1356503.0,1607802.0,1837095.0,1866600.0,1871066.0,2136975.0,2357034.0,2545145.0,2700439.0,2842620.0,2852259.0,2853423.0,2961552.0,3055789.0,3141905.0,3227845.0,3305949.0,3315923.0,3316278.0,3453412.0,3612329.0,3770164.0,3914852.0,4051123.0,4060767.0,4061833.0,4198425.0,4337415.0,4473172.0,4644596.0,4795795.0,4820091.0,4822837.0,4980536.0,5146849.0,5297618.0,5445583.0,5581384.0,5604528.0,5607373.0,5751288.0,5898199.0,6051006.0,6207461.0,6373355.0,6386215.0,6387184.0,6537926.0,6671172.0,6797670.0,6931961.0,6933807.0,6935681.0,6936336.0,7015763.0,7108225.0,7202433.0,7278549.0,7348709.0,7359740.0,7360820.0,7438273.0,7512604.0,7591241.0,7652661.0,7710268.0,7718078.0,7718936.0,7762505.0,7801335.0,7832233.0,7887898.0,7927487.0,7933184.0,7933532.0,7976287.0,8014832.0,8058053.0,8088623.0,8139034.0,8140079.0,8140843.0,8216162.0,8293282.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44323.0,52655.0,55536.0,55746.0,55780.0,55780.0,55780.0,55790.0,55790.0,55790.0,55790.0,55790.0,55790.0,55811.0,55851.0,56024.0,56168.0,56286.0,56290.0,56290.0,56697.0,69109.0,223144.0,388951.0,550490.0,574615.0,581508.0,795474.0,1032945.0,1298391.0,1543856.0,1766931.0,1793055.0,1796889.0,2069273.0,2312704.0,2528688.0,2714736.0,2869466.0,2880450.0,2881625.0,3003542.0,3094037.0,3158785.0,3213958.0,3264864.0,3267606.0,3268027.0,3383470.0,3528002.0,3681117.0,3849524.0,3854690.0,3856032.0,3856491.0,4061117.0,4207529.0,4345715.0,4508287.0,4656197.0,4671014.0,4672371.0,4830888.0,4990523.0,5139848.0,5283596.0,5416095.0,5430425.0,5432176.0,5580482.0,5727173.0,5871820.0,6014889.0,6157868.0,6169721.0,6170405.0,6323126.0,6454465.0,6579122.0,6702813.0,6739315.0,6740511.0,6741167.0,6816109.0,6900297.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19484.0,19565.0,19565.0,20358.0,21139.0,21842.0,22523.0,22896.0,22907.0,22907.0,23546.0,24362.0,25285.0,26014.0,26758.0,26763.0,26763.0,27299.0,27893.0,28424.0,29116.0,29699.0,29714.0,29714.0,30460.0,31323.0,32114.0,32901.0,33454.0,33474.0,33474.0,34048.0,34744.0,35284.0,35853.0,36403.0,36403.0,36403.0,37005.0,37638.0,38180.0,38774.0,38774.0,38838.0,38840.0,39254.0,39642.0,40006.0,40313.0,40600.0,40602.0,40602.0,40982.0,41331.0,41682.0,42001.0,42298.0,42301.0,42301.0,42563.0,42911.0,43160.0,43493.0,43795.0,43811.0,43811.0,44103.0,44363.0,44693.0,45056.0,45476.0,45577.0,45577.0,46053.0,46485.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22806.0,22806.0,22806.0,23353.0,23943.0,24757.0,25534.0,25540.0,25540.0,25540.0,26293.0,26936.0,27476.0,28002.0,28526.0,28532.0,28532.0,29361.0,30274.0,31099.0,31745.0,32325.0,32329.0,32329.0,32882.0,33572.0,34112.0,34642.0,35181.0,35194.0,35195.0,35825.0,36360.0,36911.0,37521.0,37710.0,37710.0,37710.0,38046.0,38400.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43440.0,43445.0,50645.0,56067.0,60864.0,64996.0,69039.0,69194.0,69194.0,73107.0,76675.0,79901.0,82248.0,84794.0,84794.0,84794.0,88968.0,93728.0,98468.0,102833.0,106579.0,106586.0,106586.0,110874.0,116064.0,120684.0,126406.0,131608.0,131728.0,131728.0,136777.0,142259.0,148242.0,153431.0,158431.0,158793.0,158837.0,164752.0,170814.0,176436.0,181683.0,186897.0,187282.0,187468.0,192982.0,198071.0,203009.0,207714.0,208006.0,208462.0,208657.0,211803.0,215275.0,219075.0,222136.0,224686.0,225196.0,225340.0,228617.0,231715.0,234780.0,237387.0,239910.0,240893.0,241027.0,242481.0,243471.0,244338.0,245911.0,247024.0,247567.0,247592.0,248545.0,249455.0,250352.0,251058.0,252446.0,252479.0,252515.0,255351.0,258649.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12763.0,15424.0,15493.0,15493.0,19041.0,23370.0,28860.0,35195.0,41260.0,41819.0,41819.0,49755.0,56562.0,62584.0,67413.0,72047.0,72199.0,72204.0,75771.0,78302.0,80365.0,82120.0,83707.0,83710.0,83730.0,87304.0,91709.0,96095.0,101095.0,101127.0,101133.0,101139.0,107363.0,112554.0,117271.0,121274.0,127071.0,127277.0,127291.0,132731.0,137844.0,143210.0,148257.0,152729.0,153450.0,153504.0,159603.0,165016.0,170163.0,175212.0,179994.0,180545.0,180707.0,185791.0,189474.0,193556.0,198575.0,200445.0,200604.0,200734.0,203945.0,207386.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26371.0,28444.0,30601.0,32731.0,34790.0,34845.0,34845.0,36837.0,38748.0,40070.0,41207.0,43259.0,43454.0,43454.0,44935.0,46142.0,47155.0,47983.0,48991.0,49057.0,49059.0,50189.0,51208.0,52438.0,54080.0,55416.0,55516.0,55516.0,56783.0,58445.0,59978.0,62126.0,63221.0,63285.0,63285.0,64449.0,65752.0,67181.0,68674.0,70209.0,70306.0,70306.0,71662.0,73040.0,74248.0,75412.0,75498.0,75640.0,75641.0,76610.0,77995.0,78920.0,79855.0,80114.0,80115.0,80115.0,81039.0,81960.0,82968.0,83690.0,84377.0,84408.0,84408.0,85151.0,85904.0,86585.0,87212.0,87617.0,87678.0,87678.0,88284.0,88901.0,89486.0,89886.0,90328.0,90330.0,90330.0,91197.0,91946.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7000.0,9228.0,9486.0,9512.0,11807.0,14317.0,17138.0,19881.0,22716.0,22810.0,22810.0,25750.0,28580.0,31262.0,33739.0,35875.0,35920.0,35920.0,38028.0,40129.0,41341.0,42146.0,42909.0,42915.0,42915.0,43797.0,44831.0,45659.0,46534.0,46540.0,46543.0,46544.0,48100.0,49388.0,50619.0,52134.0,53223.0,53275.0,53275.0,54049.0,55773.0,57466.0,59292.0,60206.0,60258.0,60260.0,60908.0,62846.0,64351.0,65070.0,66508.0,66526.0,66529.0,68113.0,69754.0,71059.0,72122.0,72505.0,72505.0,72506.0,73412.0,74260.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9462.0,15283.0,19994.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35823.0,37664.0,39556.0,41495.0,42576.0,42629.0,42631.0,44546.0,46977.0,49314.0,51598.0,53128.0,53205.0,53205.0,54586.0,55770.0,56737.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65973.0,68027.0,70051.0,70155.0,70155.0,72487.0,74796.0,77001.0,79154.0,80873.0,80874.0,80886.0,83350.0,85899.0,88366.0,90627.0,93041.0,93041.0,93041.0,95223.0,97281.0,99014.0,100675.0,100675.0,100675.0,100675.0,102273.0,103786.0,105536.0,106724.0,108228.0,108356.0,108356.0,108770.0,110291.0,111680.0,112795.0,113813.0,113813.0,113813.0,114920.0,116281.0,117187.0,118236.0,119144.0,119144.0,119144.0,119934.0,121052.0,122143.0,122990.0,124075.0,124075.0,124075.0,125544.0,126929.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9437.0,14623.0,19088.0,19511.0,19512.0,22975.0,25400.0,27620.0,29695.0,32130.0,32498.0,32498.0,34936.0,37659.0,40521.0,42351.0,43583.0,43607.0,43612.0,45285.0,46971.0,48338.0,50233.0,51559.0,51560.0,51560.0,52626.0,53883.0,55323.0,56819.0,56820.0,56820.0,56820.0,59434.0,61479.0,63253.0,65169.0,66738.0,66744.0,66744.0,68675.0,71258.0,73453.0,75558.0,77359.0,77365.0,77365.0,79406.0,81864.0,84124.0,86319.0,88076.0,88080.0,88080.0,89395.0,91607.0,93826.0,95621.0,96404.0,96404.0,96404.0,97614.0,98917.0
