Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70189.0,240548.0,414571.0,583239.0,611088.0,619722.0,841189.0,1083655.0,1356144.0,1607405.0,1836633.0,1866148.0,1870614.0,2136467.0,2356460.0,2544495.0,2699734.0,2841849.0,2851488.0,2852652.0,2960766.0,3054977.0,3141068.0,3226989.0,3305241.0,3315218.0,3315573.0,3452656.0,3611525.0,3769313.0,3913990.0,4050195.0,4059841.0,4060905.0,4197445.0,4336398.0,4472133.0,4643520.0,4794691.0,4818988.0,4821735.0,4979413.0,5145700.0,5296483.0,5444425.0,5580208.0,5603353.0,5606199.0,5750093.0,5896999.0,6049771.0,6206179.0,6372042.0,6384911.0,6385880.0,6536598.0,6669799.0,6796301.0,6930594.0,6932441.0,6934316.0,6934973.0,7014442.0,7106931.0,7201265.0,7277503.0,7347850.0,7358943.0,7360030.0,7437630.0,7512043.0,7590755.0,7652307.0,7710090.0,7717910.0,7718770.0,7762448.0,7801402.0,7832393.0,7888568.0,7928296.0,7934004.0,7934355.0,7977221.0,8016045.0,8059392.0,8090098.0,8140700.0,8141753.0,8142548.0,8218360.0,8299210.0,8380530.0,8461911.0,8545327.0,8562603.0,8563560.0,8666555.0,8773589.0,8878069.0,8974617.0,9077359.0,9078458.0,9078723.0,9203025.0,9338445.0,9463071.0,9589609.0,9597318.0,9623596.0,9627284.0,9802611.0,9991427.0,10171292.0,10337182.0,10481819.0,10523187.0,10532285.0,10687438.0,10825631.0,10933723.0,10986923.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44338.0,52674.0,55558.0,55768.0,55802.0,55802.0,55802.0,55813.0,55813.0,55813.0,55813.0,55813.0,55813.0,55834.0,55874.0,56047.0,56191.0,56309.0,56313.0,56313.0,56721.0,69135.0,223167.0,388950.0,550490.0,574618.0,581511.0,795475.0,1032934.0,1298382.0,1543955.0,1767004.0,1793147.0,1796981.0,2069371.0,2312846.0,2528814.0,2714859.0,2869564.0,2880547.0,2881723.0,3003637.0,3094164.0,3158927.0,3214116.0,3265185.0,3267932.0,3268354.0,3383795.0,3528352.0,3681477.0,3849891.0,3855066.0,3856411.0,3856872.0,4061559.0,4208049.0,4346291.0,4508921.0,4656877.0,4671698.0,4673053.0,4831671.0,4991524.0,5140988.0,5284912.0,5417509.0,5431843.0,5433596.0,5581997.0,5728793.0,5873610.0,6016772.0,6159847.0,6171710.0,6172397.0,6325197.0,6456673.0,6581564.0,6705533.0,6742265.0,6743465.0,6744124.0,6819453.0,6907393.0,7000348.0,7076422.0,7139761.0,7147883.0,7148326.0,7218190.0,7302708.0,7380489.0,7440418.0,7496056.0,7496459.0,7496628.0,7543267.0,7590466.0,7631365.0,7694390.0,7695738.0,7701975.0,7702561.0,7763333.0,7819728.0,7867773.0,7903746.0,7944216.0,7949958.0,7950924.0,8010215.0,8081116.0,8152145.0,8217923.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6071.0,6089.0,6089.0,7326.0,8483.0,10110.0,11449.0,12805.0,12853.0,12861.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24360.0,25283.0,26012.0,26756.0,26761.0,26761.0,27297.0,27891.0,28422.0,29114.0,29697.0,29712.0,29712.0,30458.0,31321.0,32113.0,32899.0,33452.0,33472.0,33472.0,34046.0,34742.0,35282.0,35851.0,36401.0,36401.0,36401.0,37003.0,37636.0,38178.0,38772.0,38772.0,38836.0,38838.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42575.0,42923.0,43172.0,43506.0,43808.0,43824.0,43824.0,44117.0,44377.0,44708.0,45072.0,45494.0,45595.0,45595.0,46073.0,46545.0,46928.0,47339.0,47659.0,47694.0,47694.0,48124.0,48584.0,49067.0,49437.0,49816.0,49897.0,49899.0,50365.0,50973.0,51636.0,52315.0,52315.0,52733.0,52733.0,54252.0,55779.0,57042.0,58040.0,59244.0,59573.0,59573.0,60794.0,61773.0,62499.0,62920.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27485.0,28011.0,28537.0,28543.0,28543.0,29372.0,30286.0,31111.0,31758.0,32340.0,32344.0,32344.0,32897.0,33588.0,34128.0,34660.0,35199.0,35212.0,35213.0,35843.0,36378.0,36929.0,37539.0,37728.0,37728.0,37728.0,38067.0,38483.0,38881.0,39199.0,39459.0,39471.0,39471.0,39787.0,40179.0,40527.0,40766.0,40959.0,40968.0,40971.0,41360.0,41781.0,42045.0,42426.0,42427.0,42474.0,42474.0,42879.0,43230.0,43679.0,44006.0,44499.0,44551.0,44551.0,45052.0,45546.0,45918.0,46321.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142274.0,148259.0,153451.0,158455.0,158817.0,158861.0,164778.0,170844.0,176467.0,181715.0,186929.0,187314.0,187500.0,193015.0,198103.0,203045.0,207751.0,208044.0,208500.0,208695.0,211844.0,215317.0,219118.0,222179.0,224732.0,225245.0,225389.0,228671.0,231771.0,234839.0,237451.0,239976.0,240960.0,241094.0,242553.0,243545.0,244412.0,245995.0,247110.0,247654.0,247679.0,248633.0,249546.0,250443.0,251151.0,252540.0,252573.0,252609.0,255446.0,258812.0,261998.0,265158.0,268024.0,269255.0,269509.0,273381.0,277249.0,280843.0,284266.0,287947.0,288221.0,288301.0,292916.0,298304.0,303016.0,307542.0,308063.0,309092.0,309296.0,316359.0,324166.0,330010.0,336516.0,342367.0,342616.0,342745.0,349197.0,351629.0,353548.0,356104.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67419.0,72053.0,72206.0,72211.0,75778.0,78315.0,80379.0,82134.0,83722.0,83725.0,83745.0,87321.0,91726.0,96112.0,101115.0,101147.0,101153.0,101159.0,107383.0,112576.0,117295.0,121298.0,127101.0,127307.0,127321.0,132764.0,137882.0,143251.0,148305.0,152781.0,153502.0,153556.0,159660.0,165080.0,170232.0,175283.0,180070.0,180621.0,180783.0,185868.0,189551.0,193638.0,198661.0,200535.0,200694.0,200824.0,204041.0,207585.0,211556.0,214537.0,217091.0,217644.0,217765.0,220569.0,223832.0,226746.0,228916.0,231254.0,231347.0,231456.0,233371.0,235094.0,236445.0,238335.0,238470.0,238764.0,238797.0,240613.0,242277.0,243344.0,244404.0,245814.0,245853.0,245884.0,248069.0,250419.0,252965.0,255351.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14954.0,17974.0,20731.0,23612.0,23728.0,23728.0,26376.0,28449.0,30608.0,32738.0,34797.0,34852.0,34852.0,36844.0,38755.0,40079.0,41216.0,43268.0,43463.0,43463.0,44945.0,46153.0,47166.0,47995.0,49003.0,49069.0,49071.0,50201.0,51221.0,52451.0,54093.0,55430.0,55530.0,55530.0,56797.0,58460.0,59994.0,62143.0,63238.0,63302.0,63302.0,64465.0,65768.0,67197.0,68690.0,70225.0,70329.0,70329.0,71686.0,73065.0,74275.0,75439.0,75525.0,75667.0,75668.0,76638.0,78025.0,78952.0,79888.0,80147.0,80148.0,80148.0,81072.0,81992.0,83000.0,83722.0,84420.0,84451.0,84451.0,85196.0,85951.0,86635.0,87615.0,88024.0,88084.0,88084.0,88693.0,89448.0,90074.0,90500.0,90943.0,90947.0,90947.0,91829.0,92642.0,93780.0,94719.0,95528.0,95609.0,95609.0,96769.0,98064.0,99256.0,100332.0,101431.0,101492.0,101498.0,102746.0,104161.0,105606.0,107129.0,107285.0,108078.0,108078.0,110099.0,112521.0,114577.0,116834.0,118647.0,119061.0,119062.0,121121.0,123029.0,123508.0,123509.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14325.0,17154.0,19900.0,22738.0,22832.0,22832.0,25773.0,28609.0,31297.0,33789.0,35926.0,35971.0,35971.0,38083.0,40186.0,41398.0,42203.0,42967.0,42973.0,42973.0,43855.0,44890.0,45718.0,46593.0,46600.0,46604.0,46605.0,48164.0,49452.0,50684.0,52213.0,53303.0,53356.0,53356.0,54132.0,55865.0,57563.0,59395.0,60309.0,60361.0,60363.0,61011.0,62951.0,64457.0,65177.0,66637.0,66656.0,66659.0,68251.0,69898.0,71218.0,72285.0,72671.0,72671.0,72672.0,73583.0,74683.0,75550.0,75735.0,75949.0,75957.0,75957.0,77124.0,78331.0,79190.0,79705.0,80301.0,80317.0,80320.0,81236.0,82198.0,82960.0,83701.0,83742.0,83895.0,83896.0,84738.0,85546.0,86188.0,86908.0,87413.0,87454.0,87457.0,88201.0,89402.0,89918.0,90642.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9462.0,15285.0,20017.0,20471.0,20471.0,24071.0,26490.0,28721.0,30786.0,33296.0,33773.0,33773.0,35881.0,37737.0,39630.0,41570.0,42652.0,42705.0,42707.0,44623.0,47055.0,49392.0,51678.0,53209.0,53286.0,53286.0,54668.0,55852.0,56821.0,57973.0,59994.0,60293.0,60293.0,62268.0,64218.0,66065.0,68119.0,70146.0,70250.0,70250.0,72585.0,74897.0,77105.0,79257.0,80979.0,80980.0,80992.0,83457.0,86005.0,88479.0,90743.0,93158.0,93158.0,93158.0,95353.0,97411.0,99145.0,100815.0,100815.0,100815.0,100815.0,102429.0,103960.0,105730.0,106936.0,108453.0,108584.0,108584.0,109003.0,110534.0,111930.0,113057.0,114084.0,114084.0,114084.0,115197.0,116571.0,117479.0,118537.0,119451.0,119451.0,119451.0,120244.0,121367.0,122466.0,123321.0,124432.0,124432.0,124432.0,125907.0,127436.0,128753.0,130089.0,131487.0,131676.0,131676.0,133209.0,134979.0,136563.0,137914.0,139550.0,139574.0,139574.0,141317.0,143305.0,145272.0,147091.0,147091.0,147138.0,147138.0,150159.0,153686.0,156859.0,159889.0,162174.0,162176.0,162176.0,165043.0,167902.0,170210.0,171441.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1743.0,2660.0,3657.0,3736.0,3736.0,3736.0,3736.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3744.0,3771.0,3771.0,3771.0,3780.0,4453.0,9456.0,14650.0,19136.0,19559.0,19560.0,23040.0,25474.0,27698.0,29788.0,32231.0,32599.0,32599.0,35068.0,37852.0,40719.0,42553.0,43787.0,43811.0,43816.0,45491.0,47181.0,48550.0,50447.0,51774.0,51775.0,51775.0,52846.0,54107.0,55551.0,57050.0,57051.0,57051.0,57051.0,59702.0,61761.0,63545.0,65467.0,67045.0,67051.0,67051.0,68993.0,71602.0,73808.0,75997.0,77809.0,77815.0,77815.0,79864.0,82335.0,84611.0,86823.0,88589.0,88594.0,88594.0,89924.0,92141.0,94381.0,96188.0,96978.0,96978.0,96978.0,98213.0,99667.0,101412.0,102553.0,103530.0,103594.0,103594.0,104460.0,106110.0,107419.0,108466.0,109176.0,109176.0,109176.0,110332.0,111765.0,112887.0,114115.0,114116.0,114125.0,114125.0,115230.0,116617.0,117712.0,118468.0,119102.0,119106.0,119108.0,120751.0,122354.0,123658.0,124688.0
