Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04
Total,Primera,420.0,5198.0,8341.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0,9057.0,10500.0,10705.0,10705.0,10705.0,10705.0,10705.0,10705.0,10705.0,10706.0,12824.0,13781.0,13804.0,13804.0,24844.0,44199.0,53504.0,56562.0,56974.0,56974.0,56974.0,56991.0,57012.0,57013.0,57013.0,57013.0,57014.0,57014.0,57014.0,70195.0,240558.0,414583.0,583280.0,611129.0,619763.0,841240.0,1083712.0,1356135.0,1607490.0,1836726.0,1866246.0,1870713.0,2136576.0,2356605.0,2544645.0,2699904.0,2842024.0,2851665.0,2852827.0,2960938.0,3055146.0,3141248.0,3227175.0,3305428.0,3315407.0,3315762.0,3452855.0,3611721.0,3769513.0,3914193.0,4050397.0,4060044.0,4061109.0,4197653.0,4336608.0,4472346.0,4643733.0,4794910.0,4819200.0,4821948.0,4979638.0,5145923.0,5296709.0,5444650.0,5580433.0,5603577.0,5606420.0,5750321.0,5897236.0,6050013.0,6206423.0,6372302.0,6385197.0,6386166.0,6536894.0,6670100.0,6796616.0,6930914.0,6932762.0,6934640.0,6935296.0,7014769.0,7107274.0,7201623.0,7277860.0,7348214.0,7359309.0,7360397.0,7438000.0,7512424.0,7591145.0,7652705.0,7710494.0,7718315.0,7719175.0,7762870.0,7801855.0,7832861.0,7889055.0,7928789.0,7934497.0,7934848.0,7977730.0,8016556.0,8059920.0,8090641.0,8141260.0,8142324.0,8143121.0,8218979.0,8299867.0,8381229.0,8462641.0,8546447.0,8563748.0,8564709.0,8667843.0,8775019.0,8879674.0,8976512.0,9079447.0,9080489.0,9080754.0,9205180.0,9340763.0,9465496.0,9592223.0,9599943.0,9626390.0,9630085.0,9805640.0,9994957.0,10175137.0,10341535.0,10486609.0,10528097.0,10537200.0,10692678.0,10831348.0,10939856.0,10995015.0,11037068.0,11051730.0,11053705.0,11107199.0,11166820.0,11242769.0,11338643.0,11418794.0,11441453.0,11442875.0,11547552.0,11632282.0,11737472.0,11808119.0,11869228.0,11885762.0,11887554.0,11894834.0,11994245.0,12069657.0,12117912.0,12155899.0,12166938.0,12167965.0,12169188.0,12208954.0,12256775.0,12343267.0,12408136.0,12423397.0,12425382.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24969.0,44350.0,52690.0,55574.0,55784.0,55817.0,55817.0,55817.0,55828.0,55828.0,55829.0,55829.0,55829.0,55829.0,55851.0,55891.0,56064.0,56208.0,56326.0,56330.0,56330.0,56739.0,69153.0,223206.0,389012.0,550586.0,574718.0,581612.0,795603.0,1033092.0,1298602.0,1544198.0,1767278.0,1793438.0,1797274.0,2069681.0,2313253.0,2529265.0,2715363.0,2870091.0,2881076.0,2882247.0,3004188.0,3094748.0,3159528.0,3214727.0,3265814.0,3268562.0,3268986.0,3384465.0,3529048.0,3682197.0,3850657.0,3855836.0,3857181.0,3857643.0,4062387.0,4208912.0,4347191.0,4509860.0,4657846.0,4672675.0,4674030.0,4832695.0,4992596.0,5142126.0,5286075.0,5418712.0,5433051.0,5434807.0,5583251.0,5730092.0,5874960.0,6018180.0,6161294.0,6173179.0,6173869.0,6326706.0,6458240.0,6583178.0,6707201.0,6743950.0,6745153.0,6745819.0,6821212.0,6909215.0,7002228.0,7078339.0,7141723.0,7149866.0,7150309.0,7220210.0,7304786.0,7382625.0,7442595.0,7498270.0,7498673.0,7498843.0,7545527.0,7592837.0,7633814.0,7696907.0,7698260.0,7704517.0,7705105.0,7765955.0,7822473.0,7870628.0,7906682.0,7947305.0,7953055.0,7954026.0,8013424.0,8084711.0,8156351.0,8224750.0,8292925.0,8305940.0,8307162.0,8406942.0,8510987.0,8611047.0,8704397.0,8798353.0,8807720.0,8808313.0,8920429.0,9041808.0,9158009.0,9266173.0,9308785.0,9328329.0,9330438.0,9341920.0,9538854.0,9695363.0,9829990.0,9947162.0,9977765.0,9980993.0,9983892.0,10151392.0,10276686.0,10353071.0,10413584.0,10431175.0,10433069.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10443.0,33742.0,73343.0,107647.0,117553.0,119343.0,146790.0,166852.0,183533.0,196649.0,200696.0,201088.0,201137.0,205328.0,208996.0,212910.0,215942.0,218288.0,218566.0,218578.0,218679.0,222433.0,234843.0,298365.0,348349.0,358422.0,359676.0,360895.0,392614.0,415349.0,429209.0,440179.0,443539.0,443937.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46555.0,46939.0,47351.0,47671.0,47706.0,47706.0,48136.0,48596.0,49079.0,49450.0,49829.0,49910.0,49912.0,50379.0,50987.0,51650.0,52330.0,52330.0,52750.0,52750.0,54269.0,55797.0,57060.0,58059.0,59267.0,59596.0,59596.0,60830.0,61816.0,62549.0,62984.0,63249.0,63287.0,63321.0,63661.0,64118.0,64657.0,65279.0,65626.0,65678.0,65722.0,65970.0,66152.0,66323.0,66503.0,66637.0,66653.0,66666.0,66666.0,66858.0,67101.0,67371.0,67651.0,67707.0,67720.0,67720.0,67889.0,68053.0,68511.0,68855.0,68914.0,68923.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42434.0,42435.0,42482.0,42482.0,42887.0,43239.0,43688.0,44015.0,44511.0,44563.0,44563.0,45066.0,45560.0,45933.0,46368.0,46661.0,46693.0,46706.0,47121.0,47696.0,48144.0,48544.0,48912.0,48984.0,48994.0,49432.0,49947.0,50544.0,51101.0,51382.0,51592.0,51646.0,51649.0,53480.0,54848.0,56011.0,57022.0,57283.0,57344.0,57345.0,59055.0,60101.0,60724.0,61198.0,61288.0,61318.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4231.0,4508.0,4683.0,4727.0,4733.0,4733.0,4936.0,5121.0,5234.0,5325.0,5373.0,5376.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36324.0,42673.0,43443.0,43448.0,50648.0,56070.0,60866.0,64998.0,69041.0,69198.0,69198.0,73116.0,76684.0,79910.0,82257.0,84803.0,84803.0,84803.0,88978.0,93737.0,98478.0,102844.0,106590.0,106597.0,106597.0,110885.0,116076.0,120696.0,126419.0,131623.0,131742.0,131742.0,136792.0,142278.0,148263.0,153455.0,158459.0,158821.0,158865.0,164782.0,170848.0,176471.0,181719.0,186935.0,187320.0,187506.0,193021.0,198108.0,203051.0,207757.0,208050.0,208506.0,208701.0,211850.0,215323.0,219124.0,222186.0,224739.0,225252.0,225396.0,228679.0,231780.0,234848.0,237460.0,239985.0,240969.0,241103.0,242564.0,243557.0,244424.0,246008.0,247124.0,247668.0,247693.0,248647.0,249560.0,250457.0,251166.0,252556.0,252589.0,252625.0,255462.0,258829.0,262018.0,265179.0,268045.0,269276.0,269530.0,273404.0,277272.0,280868.0,284291.0,287974.0,288248.0,288328.0,292947.0,298337.0,303051.0,307577.0,308098.0,309127.0,309331.0,316398.0,324206.0,330056.0,336566.0,342419.0,342668.0,342797.0,349251.0,351685.0,353606.0,356174.0,359206.0,359743.0,359763.0,362798.0,366223.0,370573.0,374910.0,378459.0,379720.0,379743.0,383597.0,387170.0,391424.0,394494.0,397206.0,397560.0,397611.0,398351.0,402206.0,405954.0,407584.0,408331.0,408450.0,408463.0,408906.0,410323.0,412301.0,415474.0,417943.0,418379.0,418408.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35198.0,41263.0,41825.0,41825.0,49762.0,56569.0,62591.0,67421.0,72056.0,72211.0,72216.0,75783.0,78320.0,80384.0,82140.0,83728.0,83731.0,83751.0,87327.0,91732.0,96118.0,101121.0,101153.0,101159.0,101165.0,107389.0,112583.0,117302.0,121305.0,127108.0,127314.0,127328.0,132771.0,137889.0,143258.0,148312.0,152789.0,153510.0,153565.0,159670.0,165091.0,170243.0,175295.0,180082.0,180633.0,180795.0,185880.0,189563.0,193650.0,198674.0,200548.0,200707.0,200838.0,204055.0,207601.0,211573.0,214555.0,217110.0,217666.0,217787.0,220592.0,223856.0,226770.0,228939.0,231278.0,231371.0,231480.0,233395.0,235120.0,236473.0,238363.0,238498.0,238793.0,238826.0,240642.0,242308.0,243376.0,244438.0,245848.0,245887.0,245918.0,248105.0,250456.0,253004.0,255406.0,257514.0,257870.0,257918.0,261662.0,265324.0,268763.0,272070.0,275416.0,276045.0,276147.0,280436.0,285012.0,289555.0,293641.0,295609.0,296128.0,296278.0,297441.0,305269.0,311900.0,316590.0,320811.0,321568.0,321594.0,322166.0,327064.0,330154.0,332743.0,335421.0,335974.0,335998.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.0,5938.0,7629.0,8422.0,8452.0,8452.0,8947.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9142.0,11691.0,14552.0,15194.0,15198.0,15296.0,17028.0,18019.0,18556.0,19113.0,19153.0,19166.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,2124.0,2812.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2969.0,4411.0,7244.0,9638.0,9942.0,9976.0,12407.0,14959.0,17979.0,20736.0,23619.0,23735.0,23735.0,26384.0,28465.0,30628.0,32759.0,34823.0,34878.0,34878.0,36870.0,38781.0,40105.0,41247.0,43299.0,43495.0,43495.0,44977.0,46185.0,47198.0,48027.0,49032.0,49098.0,49100.0,50230.0,51250.0,52480.0,54122.0,55459.0,55559.0,55559.0,56826.0,58489.0,60023.0,62177.0,63271.0,63335.0,63335.0,64498.0,65800.0,67229.0,68722.0,70258.0,70386.0,70386.0,71743.0,73122.0,74332.0,75496.0,75582.0,75724.0,75725.0,76695.0,78086.0,79013.0,79948.0,80207.0,80208.0,80208.0,81133.0,82053.0,83057.0,83779.0,84477.0,84508.0,84508.0,85253.0,86009.0,86693.0,87674.0,88082.0,88142.0,88142.0,88751.0,89502.0,90128.0,90554.0,90998.0,91003.0,91003.0,91892.0,92705.0,93847.0,94787.0,95632.0,95716.0,95716.0,96911.0,98205.0,99400.0,100631.0,101732.0,101792.0,101798.0,103049.0,104467.0,105912.0,107440.0,107597.0,108392.0,108392.0,110421.0,112852.0,114910.0,117171.0,119113.0,119530.0,119531.0,121604.0,123528.0,124019.0,124026.0,124044.0,124047.0,124047.0,124229.0,125641.0,127348.0,129353.0,131060.0,131629.0,131636.0,133354.0,135039.0,136610.0,137819.0,138923.0,139229.0,139229.0,139306.0,140652.0,142027.0,143523.0,144766.0,145177.0,145177.0,145180.0,145391.0,145632.0,146342.0,146889.0,147061.0,147061.0
