Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24835.0,44186.0,53490.0,56551.0,56963.0,56963.0,56963.0,56980.0,57001.0,57002.0,57002.0,57002.0,57003.0,57003.0,57003.0,70184.0,240596.0,414672.0,583385.0,611233.0,619869.0,841397.0,1083916.0,1356504.0,1607803.0,1837096.0,1866602.0,1871068.0,2136977.0,2357036.0,2545147.0,2700441.0,2842622.0,2852261.0,2853425.0,2961553.0,3055790.0,3141907.0,3227846.0,3305948.0,3315922.0,3316277.0,3453411.0,3612328.0,3770163.0,3914852.0,4051119.0,4060763.0,4061829.0,4198421.0,4337411.0,4473165.0,4644589.0,4795788.0,4820084.0,4822830.0,4980529.0,5146844.0,5297622.0,5445590.0,5581394.0,5604538.0,5607383.0,5751298.0,5898211.0,6051019.0,6207475.0,6373380.0,6386240.0,6387209.0,6537958.0,6671206.0,6797706.0,6932002.0,6933848.0,6935722.0,6936378.0,7015830.0,7108317.0,7202608.0,7278737.0,7348898.0,7359955.0,7361035.0,7438513.0,7512847.0,7591483.0,7652904.0,7710516.0,7718326.0,7719184.0,7762754.0,7801587.0,7832490.0,7888158.0,7927754.0,7933451.0,7933799.0,7976559.0,8015121.0,8058343.0,8088927.0,8139399.0,8140444.0,8141205.0,8216762.0,8296876.0,8374316.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44323.0,52655.0,55536.0,55746.0,55780.0,55780.0,55780.0,55790.0,55790.0,55790.0,55790.0,55790.0,55790.0,55811.0,55851.0,56024.0,56168.0,56286.0,56290.0,56290.0,56697.0,69110.0,223146.0,388954.0,550495.0,574620.0,581513.0,795485.0,1032956.0,1298406.0,1543871.0,1766949.0,1793074.0,1796908.0,2069297.0,2312729.0,2528713.0,2714762.0,2869493.0,2880477.0,2881652.0,3003568.0,3094067.0,3158815.0,3213990.0,3264898.0,3267640.0,3268061.0,3383507.0,3528040.0,3681155.0,3849564.0,3854730.0,3856072.0,3856531.0,4061162.0,4207582.0,4345764.0,4508341.0,4656258.0,4671075.0,4672432.0,4830967.0,4990606.0,5139945.0,5283705.0,5416215.0,5430545.0,5432296.0,5580612.0,5727313.0,5872031.0,6015109.0,6158092.0,6169948.0,6170633.0,6323362.0,6454759.0,6579416.0,6703171.0,6739724.0,6740921.0,6741576.0,6816658.0,6903817.0,6993123.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19484.0,19565.0,19565.0,20358.0,21139.0,21842.0,22523.0,22896.0,22907.0,22907.0,23546.0,24362.0,25285.0,26014.0,26758.0,26763.0,26763.0,27299.0,27893.0,28424.0,29116.0,29699.0,29714.0,29714.0,30460.0,31323.0,32114.0,32901.0,33454.0,33474.0,33474.0,34048.0,34744.0,35284.0,35853.0,36403.0,36403.0,36403.0,37005.0,37638.0,38180.0,38774.0,38774.0,38838.0,38840.0,39254.0,39642.0,40006.0,40313.0,40600.0,40602.0,40602.0,40982.0,41331.0,41682.0,42001.0,42298.0,42301.0,42301.0,42563.0,42911.0,43160.0,43493.0,43795.0,43811.0,43811.0,44103.0,44363.0,44693.0,45056.0,45476.0,45577.0,45577.0,46053.0,46504.0,46854.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22806.0,22806.0,22806.0,23353.0,23943.0,24757.0,25534.0,25540.0,25540.0,25540.0,26293.0,26936.0,27476.0,28002.0,28526.0,28532.0,28532.0,29361.0,30274.0,31099.0,31745.0,32325.0,32329.0,32329.0,32882.0,33572.0,34112.0,34642.0,35181.0,35194.0,35195.0,35825.0,36360.0,36911.0,37521.0,37710.0,37710.0,37710.0,38046.0,38424.0,38785.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43440.0,43445.0,50645.0,56067.0,60864.0,64996.0,69039.0,69194.0,69194.0,73107.0,76675.0,79901.0,82248.0,84794.0,84794.0,84794.0,88968.0,93728.0,98468.0,102833.0,106579.0,106586.0,106586.0,110874.0,116064.0,120684.0,126406.0,131608.0,131728.0,131728.0,136777.0,142259.0,148242.0,153431.0,158431.0,158793.0,158837.0,164752.0,170814.0,176436.0,181683.0,186897.0,187282.0,187468.0,192982.0,198071.0,203009.0,207714.0,208006.0,208462.0,208657.0,211803.0,215276.0,219077.0,222138.0,224688.0,225198.0,225342.0,228619.0,231717.0,234782.0,237389.0,239912.0,240895.0,241029.0,242483.0,243473.0,244340.0,245913.0,247026.0,247569.0,247594.0,248547.0,249457.0,250354.0,251060.0,252448.0,252481.0,252517.0,255353.0,258718.0,261837.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12763.0,15424.0,15493.0,15493.0,19041.0,23370.0,28860.0,35195.0,41260.0,41819.0,41819.0,49755.0,56562.0,62584.0,67414.0,72048.0,72200.0,72205.0,75772.0,78303.0,80366.0,82121.0,83708.0,83711.0,83731.0,87305.0,91710.0,96096.0,101096.0,101128.0,101134.0,101140.0,107364.0,112555.0,117272.0,121275.0,127072.0,127278.0,127292.0,132733.0,137846.0,143212.0,148259.0,152731.0,153452.0,153506.0,159605.0,165018.0,170165.0,175214.0,179996.0,180547.0,180709.0,185793.0,189476.0,193558.0,198578.0,200448.0,200607.0,200737.0,203950.0,207490.0,211387.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26371.0,28444.0,30601.0,32731.0,34790.0,34845.0,34845.0,36837.0,38748.0,40070.0,41207.0,43259.0,43454.0,43454.0,44935.0,46142.0,47155.0,47983.0,48991.0,49057.0,49059.0,50189.0,51208.0,52438.0,54080.0,55416.0,55516.0,55516.0,56783.0,58445.0,59978.0,62126.0,63221.0,63285.0,63285.0,64449.0,65752.0,67181.0,68674.0,70209.0,70306.0,70306.0,71662.0,73040.0,74248.0,75412.0,75498.0,75640.0,75641.0,76612.0,77999.0,78924.0,79858.0,80117.0,80118.0,80118.0,81042.0,81963.0,82971.0,83693.0,84380.0,84411.0,84411.0,85154.0,85907.0,86588.0,87215.0,87620.0,87681.0,87681.0,88287.0,88904.0,89489.0,89889.0,90332.0,90334.0,90334.0,91201.0,92009.0,92935.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17139.0,19882.0,22717.0,22811.0,22811.0,25751.0,28581.0,31263.0,33740.0,35876.0,35921.0,35921.0,38029.0,40130.0,41342.0,42147.0,42910.0,42916.0,42916.0,43798.0,44832.0,45660.0,46535.0,46541.0,46544.0,46545.0,48101.0,49389.0,50620.0,52136.0,53225.0,53277.0,53277.0,54051.0,55775.0,57468.0,59294.0,60208.0,60260.0,60262.0,60910.0,62848.0,64353.0,65072.0,66510.0,66528.0,66531.0,68115.0,69757.0,71062.0,72126.0,72509.0,72509.0,72510.0,73417.0,74486.0,75220.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9462.0,15283.0,19994.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35823.0,37664.0,39556.0,41495.0,42576.0,42629.0,42631.0,44546.0,46977.0,49314.0,51598.0,53128.0,53205.0,53205.0,54586.0,55770.0,56737.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65973.0,68027.0,70051.0,70155.0,70155.0,72487.0,74796.0,77001.0,79154.0,80873.0,80874.0,80886.0,83350.0,85899.0,88366.0,90627.0,93041.0,93041.0,93041.0,95223.0,97281.0,99014.0,100675.0,100675.0,100675.0,100675.0,102273.0,103787.0,105537.0,106726.0,108226.0,108354.0,108354.0,108768.0,110289.0,111678.0,112793.0,113811.0,113811.0,113811.0,114918.0,116279.0,117185.0,118234.0,119142.0,119142.0,119142.0,119932.0,121050.0,122141.0,122988.0,124073.0,124073.0,124073.0,125542.0,127038.0,128209.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9437.0,14623.0,19088.0,19511.0,19512.0,22975.0,25400.0,27620.0,29695.0,32130.0,32498.0,32498.0,34937.0,37661.0,40523.0,42353.0,43585.0,43609.0,43614.0,45287.0,46973.0,48340.0,50235.0,51561.0,51562.0,51562.0,52628.0,53885.0,55325.0,56821.0,56822.0,56822.0,56822.0,59436.0,61482.0,63256.0,65172.0,66741.0,66747.0,66747.0,68678.0,71263.0,73458.0,75563.0,77364.0,77370.0,77370.0,79411.0,81869.0,84129.0,86324.0,88081.0,88085.0,88085.0,89400.0,91612.0,93831.0,95626.0,96409.0,96409.0,96409.0,97619.0,99044.0,100539.0
