Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240552.0,414593.0,583265.0,611117.0,619752.0,841182.0,1083629.0,1356110.0,1607358.0,1836556.0,1866062.0,1870527.0,2136361.0,2356358.0,2544361.0,2699598.0,2841702.0,2851341.0,2852505.0,2960616.0,3054831.0,3140852.0,3226775.0,3304882.0,3314920.0,3315275.0,3452396.0,3611332.0,3769130.0,3913840.0,4050042.0,4059679.0,4060745.0,4197234.0,4336127.0,4471649.0,4642720.0,4793596.0,4817829.0,4820527.0,4978108.0,5144363.0,5295368.0,5443903.0,5583565.0,5606710.0,5609687.0,5755860.0,5905836.0,6059468.0,6216599.0,6382259.0,6395143.0,6396109.0,6547059.0,6680724.0,6807256.0,6940839.0,6942685.0,6944549.0,6945250.0,7023995.0,7111354.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13194.0,24965.0,44328.0,52658.0,55533.0,55741.0,55775.0,55775.0,55775.0,55785.0,55785.0,55785.0,55785.0,55785.0,55785.0,55806.0,55846.0,56019.0,56163.0,56281.0,56285.0,56285.0,56690.0,69095.0,223025.0,388669.0,550078.0,574192.0,581041.0,794798.0,1031971.0,1296716.0,1541713.0,1764458.0,1790572.0,1794399.0,2066543.0,2309673.0,2525368.0,2711137.0,2865772.0,2876783.0,2877957.0,2999772.0,3090079.0,3154590.0,3209580.0,3260306.0,3263041.0,3263460.0,3378777.0,3523124.0,3675742.0,3843288.0,3848432.0,3849765.0,3850239.0,4053068.0,4192320.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29121.0,29703.0,29718.0,29718.0,30467.0,31334.0,32124.0,32912.0,33487.0,33507.0,33507.0,34096.0,34799.0,35343.0,35911.0,36457.0,36457.0,36457.0,37065.0,37701.0,38246.0,38840.0,38840.0,38906.0,38908.0,39323.0,39666.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23354.0,23943.0,24759.0,25533.0,25536.0,25536.0,25536.0,26290.0,26880.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93745.0,98493.0,102860.0,106605.0,106612.0,106612.0,110900.0,116088.0,120707.0,126424.0,131625.0,131743.0,131743.0,136810.0,142310.0,148311.0,153521.0,158789.0,159152.0,159195.0,165190.0,171302.0,176961.0,182230.0,187449.0,187834.0,188019.0,193570.0,198655.0,203598.0,208295.0,208587.0,209041.0,209236.0,212409.0,215789.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12764.0,15424.0,15493.0,15493.0,19041.0,23371.0,28862.0,35194.0,41259.0,41818.0,41818.0,49753.0,56560.0,62583.0,67402.0,72034.0,72186.0,72191.0,75744.0,78271.0,80334.0,82087.0,83672.0,83675.0,83695.0,87268.0,91667.0,96057.0,101043.0,101075.0,101081.0,101087.0,107309.0,112448.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26369.0,28443.0,30602.0,32732.0,34791.0,34846.0,34846.0,36839.0,38750.0,40072.0,41209.0,43259.0,43453.0,43453.0,44936.0,46143.0,47157.0,47985.0,48992.0,49057.0,49059.0,50193.0,51211.0,52434.0,54069.0,55395.0,55491.0,55491.0,56754.0,58415.0,59948.0,62115.0,63213.0,63277.0,63277.0,64453.0,65790.0,67235.0,68733.0,70248.0,70344.0,70344.0,71700.0,73080.0,74290.0,75451.0,75537.0,75679.0,75680.0,76648.0,77596.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11786.0,14296.0,17116.0,19859.0,22694.0,22788.0,22788.0,25706.0,28534.0,31217.0,33693.0,35829.0,35874.0,35874.0,37983.0,40084.0,41296.0,42101.0,42863.0,42869.0,42869.0,43751.0,44786.0,45612.0,46484.0,46490.0,46492.0,46493.0,48051.0,49282.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33267.0,33744.0,33744.0,35825.0,37667.0,39540.0,41479.0,42560.0,42613.0,42615.0,44530.0,46961.0,49299.0,51583.0,53113.0,53190.0,53190.0,54570.0,55756.0,56722.0,57874.0,59892.0,60191.0,60191.0,62163.0,64103.0,65940.0,67990.0,70007.0,70111.0,70111.0,72446.0,74767.0,77001.0,79169.0,80909.0,80910.0,80922.0,83418.0,85993.0,88485.0,90763.0,93188.0,93188.0,93188.0,95372.0,97437.0,99172.0,100824.0,100824.0,100824.0,100824.0,102228.0,103397.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,502.0,1744.0,2655.0,3641.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3725.0,3752.0,3752.0,3752.0,3761.0,4432.0,9420.0,14602.0,19064.0,19486.0,19487.0,22935.0,25342.0,27561.0,29609.0,32040.0,32408.0,32408.0,34834.0,37558.0,40258.0,42084.0,43315.0,43339.0,43344.0,45015.0,46700.0,48068.0,49963.0,51287.0,51288.0,51288.0,52353.0,53612.0,55040.0,56571.0,56572.0,56572.0,56572.0,58949.0,60773.0
