Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44187.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240598.0,414674.0,583388.0,611236.0,619872.0,841398.0,1083919.0,1356507.0,1607805.0,1837098.0,1866604.0,1871070.0,2136977.0,2357036.0,2545147.0,2700441.0,2842621.0,2852260.0,2853424.0,2961552.0,3055789.0,3141906.0,3227846.0,3305948.0,3315922.0,3316277.0,3453406.0,3612326.0,3770161.0,3914848.0,4051115.0,4060759.0,4061825.0,4198419.0,4337409.0,4473163.0,4644587.0,4795788.0,4820084.0,4822830.0,4980531.0,5146832.0,5297623.0,5445593.0,5581400.0,5604544.0,5607389.0,5751306.0,5898223.0,6051032.0,6207495.0,6373399.0,6386261.0,6387230.0,6537981.0,6671235.0,6797747.0,6932053.0,6933899.0,6935773.0,6936429.0,7015898.0,7108419.0,7202740.0,7278952.0,7349226.0,7360285.0,7361367.0,7438860.0,7513200.0,7591837.0,7653270.0,7710895.0,7718706.0,7719564.0,7763150.0,7801988.0,7832897.0,7888798.0,7928413.0,7934111.0,7934459.0,7977240.0,8015962.0,8059200.0,8089827.0,8140307.0,8141353.0,8142118.0,8217830.0,8298563.0,8379665.0,8460442.0,8540787.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44323.0,52655.0,55536.0,55746.0,55780.0,55780.0,55780.0,55790.0,55790.0,55790.0,55790.0,55790.0,55790.0,55811.0,55851.0,56024.0,56168.0,56286.0,56290.0,56290.0,56697.0,69110.0,223151.0,388959.0,550502.0,574627.0,581521.0,795493.0,1032968.0,1298417.0,1543894.0,1766976.0,1793101.0,1796935.0,2069324.0,2312753.0,2528744.0,2714794.0,2869528.0,2880512.0,2881687.0,3003605.0,3094114.0,3158864.0,3214042.0,3264953.0,3267695.0,3268116.0,3383564.0,3528104.0,3681220.0,3849633.0,3854800.0,3856142.0,3856601.0,4061248.0,4207683.0,4345873.0,4508461.0,4656379.0,4671197.0,4672554.0,4831109.0,4990768.0,5140125.0,5283902.0,5416438.0,5430768.0,5432519.0,5580852.0,5727568.0,5872350.0,6015447.0,6158448.0,6170304.0,6170989.0,6323742.0,6455169.0,6579872.0,6703752.0,6740374.0,6741574.0,6742230.0,6817457.0,6905254.0,6997879.0,7073392.0,7134080.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24361.0,25284.0,26013.0,26757.0,26762.0,26762.0,27298.0,27892.0,28423.0,29115.0,29698.0,29713.0,29713.0,30459.0,31322.0,32113.0,32900.0,33453.0,33473.0,33473.0,34047.0,34743.0,35283.0,35852.0,36402.0,36402.0,36402.0,37004.0,37637.0,38179.0,38773.0,38773.0,38837.0,38839.0,39254.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41341.0,41692.0,42012.0,42309.0,42312.0,42312.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44114.0,44374.0,44704.0,45068.0,45489.0,45590.0,45590.0,46067.0,46536.0,46920.0,47325.0,47635.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22806.0,22806.0,22806.0,23353.0,23943.0,24757.0,25534.0,25540.0,25540.0,25540.0,26293.0,26936.0,27476.0,28002.0,28528.0,28534.0,28534.0,29363.0,30276.0,31101.0,31747.0,32328.0,32332.0,32332.0,32885.0,33575.0,34115.0,34645.0,35184.0,35197.0,35198.0,35828.0,36363.0,36914.0,37524.0,37713.0,37713.0,37713.0,38052.0,38466.0,38863.0,39158.0,39418.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43440.0,43445.0,50645.0,56067.0,60864.0,64996.0,69039.0,69194.0,69194.0,73107.0,76675.0,79901.0,82248.0,84794.0,84794.0,84794.0,88968.0,93727.0,98467.0,102832.0,106578.0,106585.0,106585.0,110873.0,116063.0,120683.0,126405.0,131607.0,131727.0,131727.0,136776.0,142258.0,148241.0,153430.0,158430.0,158792.0,158836.0,164752.0,170814.0,176436.0,181683.0,186897.0,187282.0,187468.0,192982.0,198071.0,203009.0,207714.0,208006.0,208462.0,208657.0,211804.0,215277.0,219078.0,222139.0,224690.0,225200.0,225344.0,228621.0,231719.0,234784.0,237391.0,239914.0,240897.0,241031.0,242486.0,243476.0,244343.0,245916.0,247029.0,247572.0,247597.0,248550.0,249460.0,250357.0,251063.0,252451.0,252484.0,252520.0,255356.0,258721.0,261909.0,265068.0,267890.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41820.0,41820.0,49756.0,56563.0,62585.0,67415.0,72049.0,72201.0,72206.0,75773.0,78304.0,80367.0,82122.0,83709.0,83712.0,83732.0,87306.0,91711.0,96096.0,101097.0,101129.0,101135.0,101141.0,107365.0,112556.0,117274.0,121277.0,127074.0,127280.0,127294.0,132735.0,137848.0,143214.0,148261.0,152733.0,153454.0,153508.0,159607.0,165020.0,170167.0,175216.0,179998.0,180549.0,180711.0,185795.0,189477.0,193559.0,198579.0,200450.0,200609.0,200739.0,203952.0,207494.0,211463.0,214461.0,216967.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44934.0,46141.0,47154.0,47982.0,48990.0,49056.0,49058.0,50188.0,51207.0,52437.0,54081.0,55417.0,55517.0,55517.0,56784.0,58446.0,59980.0,62128.0,63223.0,63287.0,63287.0,64451.0,65754.0,67183.0,68676.0,70211.0,70310.0,70310.0,71666.0,73045.0,74253.0,75417.0,75503.0,75645.0,75646.0,76617.0,78005.0,78931.0,79863.0,80122.0,80123.0,80123.0,81047.0,81968.0,82976.0,83699.0,84389.0,84420.0,84420.0,85163.0,85916.0,86597.0,87442.0,87847.0,87908.0,87908.0,88514.0,89268.0,89853.0,90277.0,90720.0,90722.0,90722.0,91589.0,92402.0,93463.0,94373.0,95134.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17139.0,19882.0,22717.0,22811.0,22811.0,25751.0,28581.0,31263.0,33740.0,35876.0,35921.0,35921.0,38029.0,40130.0,41342.0,42147.0,42910.0,42916.0,42916.0,43798.0,44832.0,45660.0,46535.0,46541.0,46544.0,46545.0,48101.0,49389.0,50620.0,52137.0,53226.0,53278.0,53278.0,54052.0,55776.0,57469.0,59295.0,60209.0,60261.0,60263.0,60911.0,62849.0,64354.0,65073.0,66511.0,66529.0,66532.0,68116.0,69758.0,71063.0,72128.0,72511.0,72511.0,72512.0,73419.0,74489.0,75350.0,75532.0,75741.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9462.0,15283.0,19994.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35823.0,37664.0,39556.0,41495.0,42576.0,42629.0,42631.0,44546.0,46977.0,49314.0,51598.0,53128.0,53205.0,53205.0,54585.0,55769.0,56736.0,57887.0,59904.0,60203.0,60203.0,62178.0,64128.0,65973.0,68027.0,70051.0,70155.0,70155.0,72487.0,74796.0,77002.0,79155.0,80874.0,80875.0,80887.0,83351.0,85900.0,88368.0,90629.0,93043.0,93043.0,93043.0,95225.0,97283.0,99016.0,100677.0,100677.0,100677.0,100677.0,102276.0,103790.0,105540.0,106731.0,108232.0,108360.0,108360.0,108774.0,110295.0,111684.0,112799.0,113817.0,113817.0,113817.0,114924.0,116285.0,117191.0,118240.0,119147.0,119147.0,119147.0,119938.0,121056.0,122147.0,122993.0,124078.0,124078.0,124078.0,125547.0,127044.0,128338.0,129654.0,130898.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9438.0,14624.0,19089.0,19512.0,19513.0,22976.0,25401.0,27621.0,29696.0,32131.0,32499.0,32499.0,34938.0,37662.0,40524.0,42354.0,43586.0,43610.0,43615.0,45288.0,46974.0,48341.0,50236.0,51562.0,51563.0,51563.0,52629.0,53886.0,55326.0,56823.0,56824.0,56824.0,56824.0,59438.0,61484.0,63259.0,65175.0,66744.0,66750.0,66750.0,68681.0,71267.0,73463.0,75568.0,77369.0,77375.0,77375.0,79416.0,81874.0,84135.0,86330.0,88087.0,88091.0,88091.0,89406.0,91618.0,93837.0,95632.0,96415.0,96415.0,96415.0,97625.0,99053.0,100704.0,101797.0,102650.0
