Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70188.0,240548.0,414572.0,583242.0,611092.0,619726.0,841194.0,1083656.0,1356170.0,1607431.0,1836662.0,1866178.0,1870644.0,2136497.0,2356497.0,2544533.0,2699776.0,2841890.0,2851529.0,2852693.0,2960807.0,3055019.0,3141111.0,3227036.0,3305291.0,3315270.0,3315625.0,3452708.0,3611577.0,3769373.0,3914049.0,4050252.0,4059898.0,4060962.0,4197504.0,4336457.0,4472192.0,4643579.0,4794750.0,4819046.0,4821793.0,4979474.0,5145762.0,5296547.0,5444492.0,5580277.0,5603422.0,5606268.0,5750161.0,5897066.0,6049836.0,6206244.0,6372111.0,6384982.0,6385951.0,6536669.0,6669872.0,6796375.0,6930669.0,6932516.0,6934391.0,6935048.0,7014514.0,7107003.0,7201341.0,7277575.0,7347924.0,7359016.0,7360103.0,7437706.0,7512122.0,7590837.0,7652391.0,7710178.0,7717998.0,7718858.0,7762536.0,7801495.0,7832489.0,7888675.0,7928404.0,7934113.0,7934464.0,7977339.0,8016166.0,8059521.0,8090234.0,8140840.0,8141895.0,8142691.0,8218510.0,8299372.0,8380703.0,8462099.0,8545624.0,8562910.0,8563867.0,8666913.0,8773948.0,8878431.0,8974994.0,9077740.0,9078839.0,9079104.0,9203407.0,9338876.0,9463504.0,9590057.0,9597766.0,9624068.0,9627756.0,9803119.0,9991992.0,10171879.0,10337942.0,10482634.0,10524084.0,10533183.0,10688436.0,10826858.0,10935212.0,10990223.0,11032146.0,11046774.0,11048743.0,11099661.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44338.0,52674.0,55558.0,55768.0,55802.0,55802.0,55802.0,55813.0,55813.0,55813.0,55813.0,55813.0,55813.0,55834.0,55874.0,56047.0,56191.0,56309.0,56313.0,56313.0,56721.0,69135.0,223170.0,388956.0,550500.0,574628.0,581521.0,795493.0,1032956.0,1298434.0,1544011.0,1767066.0,1793213.0,1797047.0,2069445.0,2312933.0,2528907.0,2714971.0,2869681.0,2880664.0,2881840.0,3003760.0,3094291.0,3159056.0,3214246.0,3265319.0,3268067.0,3268489.0,3383937.0,3528499.0,3681634.0,3850053.0,3855229.0,3856574.0,3857035.0,4061729.0,4208228.0,4346479.0,4509117.0,4657079.0,4671900.0,4673255.0,4831880.0,4991744.0,5141212.0,5285141.0,5417740.0,5432074.0,5433828.0,5582239.0,5729040.0,5873864.0,6017033.0,6160115.0,6171980.0,6172667.0,6325473.0,6456955.0,6581851.0,6705823.0,6742558.0,6743758.0,6744417.0,6819749.0,6907693.0,7000658.0,7076737.0,7140089.0,7148214.0,7148657.0,7218527.0,7303058.0,7380846.0,7440794.0,7496438.0,7496841.0,7497010.0,7543653.0,7590886.0,7631790.0,7694824.0,7696172.0,7702415.0,7703001.0,7763792.0,7820204.0,7868290.0,7904281.0,7944833.0,7950575.0,7951541.0,8010875.0,8081980.0,8153495.0,8221701.0,8289695.0,8302695.0,8303908.0,8399733.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6071.0,6089.0,6089.0,7326.0,8483.0,10110.0,11449.0,12805.0,12853.0,12861.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24360.0,25283.0,26012.0,26756.0,26761.0,26761.0,27297.0,27891.0,28422.0,29114.0,29697.0,29712.0,29712.0,30458.0,31321.0,32113.0,32899.0,33452.0,33472.0,33472.0,34046.0,34742.0,35282.0,35851.0,36401.0,36401.0,36401.0,37003.0,37636.0,38178.0,38772.0,38772.0,38836.0,38838.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42575.0,42923.0,43172.0,43506.0,43808.0,43824.0,43824.0,44117.0,44377.0,44708.0,45073.0,45496.0,45597.0,45597.0,46076.0,46551.0,46935.0,47346.0,47666.0,47701.0,47701.0,48131.0,48591.0,49074.0,49445.0,49824.0,49905.0,49907.0,50374.0,50982.0,51645.0,52324.0,52324.0,52742.0,52742.0,54261.0,55788.0,57051.0,58049.0,59255.0,59584.0,59584.0,60814.0,61796.0,62529.0,62964.0,63228.0,63266.0,63300.0,63633.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27485.0,28011.0,28537.0,28543.0,28543.0,29372.0,30287.0,31112.0,31758.0,32340.0,32344.0,32344.0,32899.0,33590.0,34130.0,34662.0,35201.0,35214.0,35215.0,35845.0,36380.0,36931.0,37541.0,37730.0,37730.0,37730.0,38069.0,38485.0,38883.0,39201.0,39461.0,39473.0,39473.0,39789.0,40181.0,40529.0,40768.0,40961.0,40970.0,40973.0,41362.0,41783.0,42048.0,42429.0,42430.0,42477.0,42477.0,42882.0,43233.0,43682.0,44009.0,44504.0,44556.0,44556.0,45059.0,45553.0,45925.0,46360.0,46653.0,46685.0,46698.0,47104.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186930.0,187315.0,187501.0,193016.0,198104.0,203046.0,207752.0,208045.0,208501.0,208696.0,211845.0,215318.0,219119.0,222180.0,224733.0,225246.0,225390.0,228673.0,231773.0,234841.0,237453.0,239978.0,240962.0,241096.0,242555.0,243547.0,244414.0,245997.0,247112.0,247656.0,247681.0,248635.0,249548.0,250445.0,251154.0,252543.0,252576.0,252612.0,255449.0,258816.0,262003.0,265163.0,268029.0,269260.0,269514.0,273386.0,277254.0,280848.0,284271.0,287952.0,288226.0,288306.0,292921.0,298310.0,303022.0,307548.0,308069.0,309098.0,309302.0,316364.0,324171.0,330015.0,336521.0,342372.0,342621.0,342750.0,349203.0,351635.0,353554.0,356120.0,359150.0,359687.0,359707.0,362695.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67419.0,72053.0,72206.0,72211.0,75778.0,78315.0,80379.0,82135.0,83723.0,83726.0,83746.0,87322.0,91727.0,96113.0,101116.0,101148.0,101154.0,101160.0,107384.0,112577.0,117296.0,121299.0,127102.0,127308.0,127322.0,132765.0,137883.0,143252.0,148306.0,152782.0,153503.0,153557.0,159661.0,165081.0,170233.0,175285.0,180072.0,180623.0,180785.0,185870.0,189553.0,193640.0,198664.0,200538.0,200697.0,200827.0,204044.0,207588.0,211559.0,214540.0,217094.0,217649.0,217770.0,220575.0,223838.0,226752.0,228922.0,231260.0,231353.0,231462.0,233377.0,235100.0,236451.0,238341.0,238476.0,238771.0,238804.0,240620.0,242284.0,243351.0,244411.0,245821.0,245860.0,245891.0,248076.0,250427.0,252975.0,255376.0,257482.0,257839.0,257887.0,261525.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14954.0,17974.0,20731.0,23612.0,23728.0,23728.0,26376.0,28449.0,30608.0,32738.0,34797.0,34852.0,34852.0,36844.0,38755.0,40079.0,41220.0,43273.0,43469.0,43469.0,44951.0,46159.0,47172.0,48001.0,49007.0,49073.0,49075.0,50205.0,51225.0,52455.0,54097.0,55434.0,55534.0,55534.0,56801.0,58464.0,59998.0,62147.0,63242.0,63306.0,63306.0,64469.0,65771.0,67200.0,68693.0,70229.0,70335.0,70335.0,71692.0,73071.0,74281.0,75445.0,75531.0,75673.0,75674.0,76644.0,78031.0,78958.0,79893.0,80152.0,80153.0,80153.0,81078.0,81998.0,83006.0,83728.0,84426.0,84457.0,84457.0,85202.0,85957.0,86641.0,87621.0,88029.0,88089.0,88089.0,88698.0,89453.0,90079.0,90505.0,90948.0,90952.0,90952.0,91835.0,92648.0,93787.0,94726.0,95570.0,95652.0,95652.0,96815.0,98109.0,99302.0,100379.0,101478.0,101539.0,101545.0,102793.0,104208.0,105653.0,107176.0,107332.0,108125.0,108125.0,110146.0,112569.0,114626.0,116883.0,118703.0,119117.0,119118.0,121178.0,123093.0,123583.0,123590.0,123605.0,123606.0,123606.0,123788.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14326.0,17155.0,19901.0,22739.0,22833.0,22833.0,25775.0,28612.0,31301.0,33796.0,35933.0,35978.0,35978.0,38090.0,40194.0,41406.0,42211.0,42976.0,42982.0,42982.0,43864.0,44899.0,45727.0,46602.0,46609.0,46613.0,46614.0,48173.0,49461.0,50693.0,52223.0,53313.0,53366.0,53366.0,54142.0,55875.0,57573.0,59405.0,60318.0,60370.0,60372.0,61020.0,62960.0,64466.0,65186.0,66647.0,66667.0,66670.0,68262.0,69909.0,71229.0,72296.0,72682.0,72682.0,72683.0,73594.0,74694.0,75561.0,75746.0,75961.0,75969.0,75969.0,77136.0,78344.0,79203.0,79718.0,80314.0,80330.0,80333.0,81249.0,82218.0,82980.0,83721.0,83762.0,83915.0,83916.0,84761.0,85571.0,86214.0,86934.0,87493.0,87534.0,87537.0,88281.0,89483.0,90000.0,90758.0,91478.0,91573.0,91576.0,91770.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9463.0,15287.0,20022.0,20477.0,20477.0,24077.0,26496.0,28727.0,30792.0,33303.0,33780.0,33780.0,35888.0,37751.0,39645.0,41587.0,42669.0,42722.0,42724.0,44640.0,47073.0,49411.0,51697.0,53229.0,53306.0,53306.0,54688.0,55872.0,56841.0,57991.0,60012.0,60311.0,60311.0,62286.0,64237.0,66085.0,68139.0,70165.0,70269.0,70269.0,72604.0,74916.0,77124.0,79276.0,80998.0,80999.0,81011.0,83477.0,86025.0,88498.0,90763.0,93180.0,93180.0,93180.0,95375.0,97434.0,99169.0,100839.0,100839.0,100839.0,100839.0,102453.0,103984.0,105755.0,106961.0,108478.0,108609.0,108609.0,109028.0,110560.0,111955.0,113082.0,114109.0,114109.0,114109.0,115222.0,116596.0,117504.0,118566.0,119479.0,119479.0,119479.0,120272.0,121395.0,122495.0,123350.0,124462.0,124462.0,124462.0,125937.0,127466.0,128783.0,130119.0,131523.0,131712.0,131712.0,133247.0,135017.0,136601.0,137952.0,139588.0,139612.0,139612.0,141355.0,143343.0,145310.0,147129.0,147129.0,147200.0,147200.0,150220.0,153747.0,156922.0,160051.0,162336.0,162338.0,162338.0,165205.0,168064.0,170372.0,171677.0,172394.0,172413.0,172413.0,173629.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1743.0,2660.0,3657.0,3736.0,3736.0,3736.0,3736.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3744.0,3771.0,3771.0,3771.0,3780.0,4453.0,9457.0,14653.0,19141.0,19564.0,19565.0,23047.0,25481.0,27706.0,29798.0,32242.0,32610.0,32610.0,35081.0,37874.0,40742.0,42578.0,43813.0,43837.0,43842.0,45520.0,47211.0,48581.0,50478.0,51805.0,51806.0,51806.0,52878.0,54140.0,55584.0,57083.0,57084.0,57084.0,57084.0,59736.0,61799.0,63584.0,65506.0,67084.0,67090.0,67090.0,69033.0,71644.0,73849.0,76038.0,77851.0,77857.0,77857.0,79906.0,82378.0,84655.0,86868.0,88636.0,88641.0,88641.0,89972.0,92190.0,94432.0,96239.0,97029.0,97029.0,97029.0,98265.0,99719.0,101464.0,102607.0,103587.0,103651.0,103651.0,104517.0,106169.0,107480.0,108529.0,109238.0,109238.0,109238.0,110394.0,111828.0,112950.0,114178.0,114179.0,114192.0,114192.0,115297.0,116684.0,117779.0,118538.0,119173.0,119177.0,119179.0,120825.0,122428.0,123735.0,124848.0,125538.0,125552.0,125555.0,127061.0
