Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12823.0,13780.0,13803.0,13803.0,24843.0,44198.0,53503.0,56561.0,56973.0,56973.0,56973.0,56990.0,57011.0,57012.0,57012.0,57012.0,57013.0,57013.0,57013.0,70194.0,240559.0,414584.0,583284.0,611133.0,619767.0,841244.0,1083717.0,1356140.0,1607494.0,1836732.0,1866252.0,1870719.0,2136584.0,2356612.0,2544652.0,2699911.0,2842031.0,2851672.0,2852834.0,2960945.0,3055153.0,3141255.0,3227182.0,3305434.0,3315413.0,3315768.0,3452862.0,3611728.0,3769519.0,3914196.0,4050400.0,4060047.0,4061112.0,4197657.0,4336612.0,4472350.0,4643737.0,4794914.0,4819204.0,4821952.0,4979641.0,5145926.0,5296712.0,5444652.0,5580435.0,5603579.0,5606422.0,5750327.0,5897242.0,6050019.0,6206429.0,6372308.0,6385203.0,6386172.0,6536900.0,6670108.0,6796624.0,6930922.0,6932770.0,6934648.0,6935304.0,7014778.0,7107282.0,7201633.0,7277871.0,7348224.0,7359319.0,7360407.0,7438011.0,7512435.0,7591154.0,7652714.0,7710504.0,7718325.0,7719185.0,7762881.0,7801867.0,7832875.0,7889069.0,7928804.0,7934512.0,7934863.0,7977745.0,8016570.0,8059934.0,8090656.0,8141274.0,8142338.0,8143135.0,8218994.0,8299882.0,8381246.0,8462658.0,8546465.0,8563766.0,8564727.0,8667863.0,8775043.0,8879707.0,8976546.0,9079482.0,9080524.0,9080789.0,9205219.0,9340805.0,9465550.0,9592278.0,9599998.0,9626447.0,9630142.0,9805703.0,9995025.0,10175236.0,10341645.0,10486736.0,10528227.0,10537332.0,10692824.0,10831507.0,10940032.0,10995198.0,11037262.0,11051927.0,11053903.0,11107462.0,11167186.0,11243144.0,11339021.0,11419207.0,11441867.0,11443289.0,11547979.0,11632711.0,11737913.0,11808574.0,11869696.0,11886231.0,11888024.0,11895306.0,11994753.0,12070186.0,12118514.0,12156622.0,12167661.0,12168688.0,12169911.0,12209748.0,12257660.0,12344332.0,12409635.0,12425141.0,12427142.0,12474542.0,12516118.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24969.0,44350.0,52691.0,55575.0,55785.0,55818.0,55818.0,55818.0,55829.0,55829.0,55830.0,55830.0,55830.0,55830.0,55852.0,55892.0,56066.0,56210.0,56328.0,56332.0,56332.0,56741.0,69155.0,223211.0,389019.0,550596.0,574729.0,581623.0,795621.0,1033111.0,1298622.0,1544219.0,1767302.0,1793462.0,1797298.0,2069706.0,2313281.0,2529296.0,2715396.0,2870126.0,2881111.0,2882282.0,3004224.0,3094784.0,3159564.0,3214764.0,3265851.0,3268599.0,3269023.0,3384504.0,3529093.0,3682243.0,3850703.0,3855882.0,3857227.0,3857689.0,4062436.0,4208962.0,4347245.0,4509918.0,4657907.0,4672737.0,4674092.0,4832760.0,4992664.0,5142195.0,5286144.0,5418782.0,5433121.0,5434878.0,5583323.0,5730167.0,5875035.0,6018259.0,6161375.0,6173260.0,6173950.0,6326789.0,6458324.0,6583264.0,6707292.0,6744041.0,6745244.0,6745910.0,6821304.0,6909307.0,7002336.0,7078455.0,7141850.0,7149993.0,7150436.0,7220338.0,7304916.0,7382759.0,7442730.0,7498405.0,7498808.0,7498978.0,7545663.0,7592976.0,7633957.0,7697053.0,7698406.0,7704663.0,7705251.0,7766105.0,7822625.0,7870785.0,7906841.0,7947466.0,7953215.0,7954186.0,8013589.0,8084882.0,8156526.0,8224924.0,8293168.0,8306184.0,8307406.0,8407195.0,8511254.0,8611351.0,8704709.0,8798679.0,8808046.0,8808639.0,8920796.0,9042189.0,9158404.0,9266587.0,9309211.0,9328759.0,9330868.0,9342350.0,9539355.0,9695934.0,9830605.0,9947810.0,9978417.0,9981646.0,9984545.0,10152319.0,10277816.0,10354482.0,10415412.0,10433235.0,10435148.0,10504120.0,10566660.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10445.0,33745.0,73345.0,107649.0,117555.0,119345.0,146794.0,166857.0,183582.0,196698.0,200745.0,201137.0,201186.0,205377.0,209045.0,213000.0,216035.0,218382.0,218660.0,218672.0,218773.0,222528.0,234939.0,298465.0,348463.0,358535.0,359789.0,361008.0,392882.0,415672.0,429554.0,440924.0,444351.0,444751.0,455079.0,462251.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46555.0,46939.0,47351.0,47671.0,47706.0,47706.0,48136.0,48596.0,49079.0,49450.0,49829.0,49910.0,49912.0,50379.0,50987.0,51650.0,52330.0,52330.0,52750.0,52750.0,54269.0,55797.0,57060.0,58059.0,59267.0,59596.0,59596.0,60830.0,61816.0,62549.0,62984.0,63249.0,63287.0,63321.0,63661.0,64121.0,64660.0,65282.0,65629.0,65681.0,65725.0,65973.0,66155.0,66326.0,66506.0,66640.0,66656.0,66669.0,66669.0,66861.0,67104.0,67374.0,67654.0,67710.0,67723.0,67723.0,67892.0,68056.0,68514.0,68858.0,68917.0,68926.0,69101.0,69301.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42434.0,42435.0,42482.0,42482.0,42887.0,43239.0,43688.0,44015.0,44511.0,44563.0,44563.0,45066.0,45560.0,45933.0,46368.0,46661.0,46693.0,46706.0,47121.0,47696.0,48144.0,48544.0,48912.0,48984.0,48994.0,49432.0,49947.0,50544.0,51101.0,51382.0,51592.0,51646.0,51649.0,53480.0,54848.0,56011.0,57022.0,57283.0,57344.0,57345.0,59055.0,60101.0,60723.0,61200.0,61290.0,61320.0,61773.0,62223.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4231.0,4508.0,4683.0,4727.0,4733.0,4733.0,4936.0,5121.0,5234.0,5325.0,5373.0,5376.0,5485.0,5580.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36324.0,42673.0,43443.0,43448.0,50648.0,56070.0,60866.0,64998.0,69041.0,69198.0,69198.0,73116.0,76684.0,79910.0,82257.0,84803.0,84803.0,84803.0,88978.0,93737.0,98478.0,102844.0,106589.0,106596.0,106596.0,110884.0,116075.0,120695.0,126418.0,131622.0,131741.0,131741.0,136791.0,142277.0,148262.0,153454.0,158458.0,158820.0,158864.0,164781.0,170847.0,176470.0,181718.0,186934.0,187319.0,187505.0,193020.0,198108.0,203051.0,207757.0,208050.0,208506.0,208701.0,211850.0,215323.0,219124.0,222186.0,224739.0,225252.0,225396.0,228679.0,231779.0,234847.0,237459.0,239984.0,240968.0,241102.0,242563.0,243556.0,244423.0,246007.0,247123.0,247667.0,247692.0,248646.0,249558.0,250455.0,251164.0,252554.0,252587.0,252623.0,255460.0,258827.0,262016.0,265177.0,268043.0,269274.0,269528.0,273402.0,277270.0,280866.0,284289.0,287972.0,288246.0,288326.0,292946.0,298338.0,303052.0,307578.0,308099.0,309128.0,309332.0,316399.0,324207.0,330057.0,336569.0,342428.0,342677.0,342806.0,349260.0,351694.0,353616.0,356185.0,359218.0,359755.0,359775.0,362812.0,366239.0,370589.0,374926.0,378475.0,379736.0,379759.0,383613.0,387186.0,391440.0,394510.0,397222.0,397576.0,397627.0,398369.0,402224.0,405972.0,407602.0,408349.0,408468.0,408481.0,408924.0,410341.0,412319.0,415492.0,417961.0,418397.0,418431.0,420434.0,422287.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35198.0,41263.0,41825.0,41825.0,49762.0,56569.0,62591.0,67421.0,72056.0,72211.0,72216.0,75783.0,78320.0,80384.0,82140.0,83728.0,83731.0,83751.0,87327.0,91732.0,96118.0,101121.0,101153.0,101159.0,101165.0,107389.0,112583.0,117302.0,121305.0,127108.0,127314.0,127328.0,132771.0,137889.0,143258.0,148312.0,152789.0,153510.0,153565.0,159670.0,165091.0,170243.0,175295.0,180082.0,180633.0,180795.0,185880.0,189564.0,193651.0,198675.0,200549.0,200708.0,200839.0,204056.0,207602.0,211574.0,214556.0,217111.0,217667.0,217788.0,220593.0,223857.0,226771.0,228940.0,231279.0,231372.0,231481.0,233396.0,235121.0,236474.0,238364.0,238499.0,238794.0,238827.0,240643.0,242309.0,243377.0,244439.0,245849.0,245888.0,245919.0,248106.0,250457.0,253005.0,255407.0,257515.0,257871.0,257919.0,261663.0,265325.0,268764.0,272071.0,275417.0,276046.0,276148.0,280437.0,285014.0,289557.0,293643.0,295611.0,296130.0,296280.0,297443.0,305272.0,311904.0,316594.0,320816.0,321573.0,321599.0,322171.0,327070.0,330161.0,332751.0,335430.0,335983.0,336015.0,339276.0,342482.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.0,5938.0,7629.0,8422.0,8452.0,8452.0,8947.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9117.0,9142.0,11691.0,14552.0,15193.0,15197.0,15295.0,17027.0,18018.0,18555.0,19116.0,19156.0,19171.0,19614.0,19951.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,2124.0,2812.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2969.0,4411.0,7244.0,9638.0,9942.0,9976.0,12407.0,14959.0,17979.0,20736.0,23619.0,23735.0,23735.0,26384.0,28465.0,30628.0,32759.0,34823.0,34878.0,34878.0,36870.0,38781.0,40105.0,41247.0,43299.0,43495.0,43495.0,44977.0,46185.0,47198.0,48027.0,49032.0,49098.0,49100.0,50230.0,51250.0,52481.0,54123.0,55460.0,55560.0,55560.0,56827.0,58490.0,60024.0,62178.0,63272.0,63336.0,63336.0,64499.0,65801.0,67230.0,68723.0,70259.0,70387.0,70387.0,71743.0,73122.0,74332.0,75496.0,75582.0,75724.0,75725.0,76695.0,78086.0,79013.0,79948.0,80207.0,80208.0,80208.0,81133.0,82053.0,83057.0,83779.0,84477.0,84508.0,84508.0,85253.0,86009.0,86693.0,87674.0,88082.0,88142.0,88142.0,88751.0,89502.0,90128.0,90554.0,90998.0,91003.0,91003.0,91892.0,92705.0,93847.0,94787.0,95632.0,95716.0,95716.0,96911.0,98205.0,99400.0,100631.0,101732.0,101792.0,101798.0,103049.0,104467.0,105912.0,107440.0,107597.0,108392.0,108392.0,110426.0,112857.0,114915.0,117176.0,119118.0,119535.0,119536.0,121613.0,123537.0,124029.0,124036.0,124054.0,124057.0,124057.0,124240.0,125654.0,127361.0,129366.0,131073.0,131642.0,131649.0,133367.0,135052.0,136623.0,137832.0,138936.0,139242.0,139242.0,139319.0,140666.0,142041.0,143537.0,144780.0,145191.0,145191.0,145194.0,145405.0,145646.0,146356.0,146904.0,147077.0,147077.0,147517.0,148049.0
