Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240552.0,414593.0,583266.0,611118.0,619753.0,841183.0,1083629.0,1356108.0,1607355.0,1836553.0,1866059.0,1870524.0,2136358.0,2356355.0,2544358.0,2699595.0,2841699.0,2851338.0,2852502.0,2960613.0,3054828.0,3140849.0,3226773.0,3304878.0,3314916.0,3315271.0,3452392.0,3611329.0,3769129.0,3913839.0,4050040.0,4059679.0,4060746.0,4197253.0,4336177.0,4471779.0,4642853.0,4793750.0,4817983.0,4820681.0,4978262.0,5144550.0,5295560.0,5444095.0,5583756.0,5606902.0,5609879.0,5756060.0,5906034.0,6059647.0,6216774.0,6382447.0,6395330.0,6396296.0,6547246.0,6680918.0,6807478.0,6941282.0,6943128.0,6944989.0,6945689.0,7024745.0,7116055.0,7144047.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13194.0,24965.0,44328.0,52658.0,55533.0,55741.0,55775.0,55775.0,55775.0,55785.0,55785.0,55785.0,55785.0,55785.0,55785.0,55806.0,55846.0,56019.0,56163.0,56281.0,56285.0,56285.0,56690.0,69095.0,223027.0,388675.0,550093.0,574209.0,581058.0,794850.0,1032026.0,1296767.0,1541780.0,1764589.0,1790703.0,1794530.0,2066678.0,2309880.0,2525581.0,2711402.0,2866033.0,2877043.0,2878217.0,3000035.0,3090344.0,3154864.0,3209889.0,3260617.0,3263350.0,3263769.0,3379088.0,3523450.0,3676175.0,3843826.0,3848970.0,3850303.0,3850775.0,4054167.0,4198957.0,4252025.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29121.0,29703.0,29718.0,29718.0,30467.0,31334.0,32124.0,32912.0,33487.0,33507.0,33507.0,34096.0,34799.0,35343.0,35911.0,36457.0,36457.0,36457.0,37065.0,37701.0,38246.0,38840.0,38840.0,38906.0,38908.0,39323.0,39683.0,39794.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23354.0,23943.0,24759.0,25534.0,25537.0,25537.0,25537.0,26291.0,26897.0,27126.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93745.0,98493.0,102860.0,106605.0,106612.0,106612.0,110900.0,116089.0,120708.0,126425.0,131626.0,131744.0,131744.0,136811.0,142311.0,148312.0,153522.0,158789.0,159152.0,159195.0,165190.0,171306.0,176965.0,182234.0,187460.0,187845.0,188030.0,193580.0,198665.0,203609.0,208306.0,208598.0,209052.0,209247.0,212420.0,215888.0,217091.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12764.0,15424.0,15493.0,15493.0,19041.0,23371.0,28862.0,35194.0,41259.0,41818.0,41818.0,49753.0,56560.0,62583.0,67402.0,72034.0,72186.0,72191.0,75744.0,78275.0,80338.0,82091.0,83678.0,83681.0,83701.0,87274.0,91673.0,96064.0,101051.0,101083.0,101089.0,101095.0,107317.0,112487.0,114316.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26369.0,28443.0,30602.0,32732.0,34791.0,34846.0,34846.0,36839.0,38750.0,40072.0,41209.0,43259.0,43453.0,43453.0,44936.0,46143.0,47157.0,47985.0,48992.0,49057.0,49059.0,50193.0,51211.0,52434.0,54069.0,55395.0,55491.0,55491.0,56756.0,58417.0,59950.0,62117.0,63215.0,63279.0,63279.0,64455.0,65792.0,67237.0,68735.0,70250.0,70346.0,70346.0,71702.0,73087.0,74297.0,75458.0,75544.0,75686.0,75687.0,76655.0,77834.0,78072.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11786.0,14296.0,17116.0,19859.0,22694.0,22788.0,22788.0,25706.0,28534.0,31217.0,33693.0,35829.0,35874.0,35874.0,37983.0,40084.0,41296.0,42101.0,42863.0,42869.0,42869.0,43751.0,44785.0,45611.0,46483.0,46489.0,46491.0,46492.0,48050.0,49315.0,49685.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19996.0,20450.0,20450.0,24048.0,26462.0,28693.0,30758.0,33268.0,33745.0,33745.0,35826.0,37668.0,39541.0,41480.0,42561.0,42614.0,42616.0,44531.0,46962.0,49300.0,51584.0,53114.0,53191.0,53191.0,54571.0,55757.0,56723.0,57875.0,59893.0,60192.0,60192.0,62168.0,64109.0,65946.0,67996.0,70013.0,70117.0,70117.0,72452.0,74773.0,77007.0,79175.0,80915.0,80916.0,80928.0,83424.0,85999.0,88491.0,90769.0,93194.0,93194.0,93194.0,95378.0,97443.0,99178.0,100830.0,100830.0,100830.0,100830.0,102253.0,103602.0,103970.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,502.0,1744.0,2655.0,3641.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3718.0,3725.0,3752.0,3752.0,3752.0,3761.0,4432.0,9420.0,14602.0,19065.0,19487.0,19488.0,22951.0,25358.0,27577.0,29625.0,32056.0,32424.0,32424.0,34850.0,37574.0,40274.0,42100.0,43331.0,43355.0,43360.0,45031.0,46716.0,48084.0,49979.0,51303.0,51304.0,51304.0,52369.0,53628.0,55056.0,56584.0,56585.0,56585.0,56585.0,59038.0,60957.0,61499.0
