Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70188.0,240549.0,414574.0,583250.0,611100.0,619734.0,841203.0,1083665.0,1356181.0,1607442.0,1836676.0,1866192.0,1870658.0,2136516.0,2356524.0,2544561.0,2699813.0,2841927.0,2851566.0,2852730.0,2960844.0,3055054.0,3141148.0,3227072.0,3305327.0,3315306.0,3315661.0,3452746.0,3611616.0,3769407.0,3914082.0,4050287.0,4059933.0,4060997.0,4197538.0,4336492.0,4472227.0,4643612.0,4794782.0,4819078.0,4821825.0,4979510.0,5145798.0,5296582.0,5444517.0,5580302.0,5603447.0,5606293.0,5750186.0,5897092.0,6049866.0,6206274.0,6372140.0,6385013.0,6385982.0,6536698.0,6669901.0,6796405.0,6930698.0,6932546.0,6934421.0,6935078.0,7014544.0,7107034.0,7201373.0,7277609.0,7347959.0,7359052.0,7360139.0,7437742.0,7512156.0,7590873.0,7652426.0,7710213.0,7718033.0,7718893.0,7762572.0,7801533.0,7832527.0,7888716.0,7928447.0,7934156.0,7934507.0,7977383.0,8016210.0,8059565.0,8090278.0,8140885.0,8141940.0,8142736.0,8218557.0,8299423.0,8380756.0,8462148.0,8545691.0,8562982.0,8563940.0,8667005.0,8774100.0,8878587.0,8975154.0,9077966.0,9079004.0,9079269.0,9203576.0,9339047.0,9463687.0,9590265.0,9597974.0,9624365.0,9628053.0,9803419.0,9992292.0,10172179.0,10338245.0,10482967.0,10524421.0,10533521.0,10688795.0,10827266.0,10935694.0,10990735.0,11032664.0,11047318.0,11049291.0,11102474.0,11159149.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44339.0,52675.0,55559.0,55769.0,55803.0,55803.0,55803.0,55814.0,55814.0,55814.0,55814.0,55814.0,55814.0,55836.0,55876.0,56049.0,56193.0,56311.0,56315.0,56315.0,56723.0,69137.0,223182.0,388975.0,550525.0,574653.0,581546.0,795518.0,1032984.0,1298471.0,1544051.0,1767108.0,1793258.0,1797092.0,2069496.0,2312992.0,2528974.0,2715047.0,2869757.0,2880740.0,2881916.0,3003837.0,3094371.0,3159138.0,3214328.0,3265402.0,3268150.0,3268572.0,3384022.0,3528586.0,3681718.0,3850140.0,3855317.0,3856662.0,3857123.0,4061822.0,4208325.0,4346576.0,4509216.0,4657181.0,4672002.0,4673357.0,4831987.0,4991857.0,5141334.0,5285266.0,5417866.0,5432200.0,5433954.0,5582366.0,5729170.0,5873999.0,6017172.0,6160257.0,6172124.0,6172811.0,6325619.0,6457103.0,6582003.0,6705971.0,6742708.0,6743908.0,6744567.0,6819904.0,6907853.0,7000819.0,7076906.0,7140260.0,7148385.0,7148828.0,7218698.0,7303227.0,7381018.0,7440969.0,7496617.0,7497020.0,7497189.0,7543836.0,7591077.0,7631989.0,7695034.0,7696382.0,7702631.0,7703217.0,7764012.0,7820427.0,7868519.0,7904511.0,7945076.0,7950818.0,7951784.0,8011121.0,8082261.0,8153790.0,8222047.0,8290144.0,8303146.0,8304362.0,8403748.0,8504106.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6071.0,6089.0,6089.0,7326.0,8483.0,10110.0,11449.0,12805.0,12853.0,12861.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40989.0,41339.0,41691.0,42011.0,42308.0,42311.0,42311.0,42574.0,42922.0,43171.0,43505.0,43807.0,43823.0,43823.0,44116.0,44376.0,44707.0,45072.0,45495.0,45596.0,45596.0,46075.0,46550.0,46934.0,47346.0,47666.0,47701.0,47701.0,48131.0,48591.0,49074.0,49445.0,49824.0,49905.0,49907.0,50374.0,50982.0,51645.0,52324.0,52324.0,52742.0,52742.0,54261.0,55788.0,57051.0,58049.0,59255.0,59584.0,59584.0,60814.0,61797.0,62530.0,62965.0,63230.0,63268.0,63302.0,63641.0,64081.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27485.0,28011.0,28537.0,28543.0,28543.0,29372.0,30287.0,31112.0,31758.0,32340.0,32344.0,32344.0,32899.0,33590.0,34130.0,34662.0,35201.0,35214.0,35215.0,35845.0,36380.0,36931.0,37541.0,37730.0,37730.0,37730.0,38069.0,38485.0,38883.0,39201.0,39461.0,39473.0,39473.0,39789.0,40181.0,40529.0,40768.0,40961.0,40970.0,40973.0,41362.0,41783.0,42048.0,42429.0,42430.0,42477.0,42477.0,42882.0,43233.0,43682.0,44009.0,44504.0,44556.0,44556.0,45059.0,45553.0,45926.0,46361.0,46654.0,46686.0,46699.0,47113.0,47662.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186930.0,187315.0,187501.0,193016.0,198104.0,203046.0,207752.0,208045.0,208501.0,208696.0,211845.0,215318.0,219119.0,222181.0,224734.0,225247.0,225391.0,228674.0,231774.0,234842.0,237454.0,239979.0,240963.0,241097.0,242556.0,243548.0,244415.0,245998.0,247113.0,247657.0,247682.0,248636.0,249549.0,250446.0,251155.0,252544.0,252577.0,252613.0,255450.0,258817.0,262004.0,265164.0,268030.0,269261.0,269515.0,273388.0,277256.0,280850.0,284273.0,287954.0,288228.0,288308.0,292923.0,298312.0,303024.0,307550.0,308071.0,309100.0,309304.0,316366.0,324173.0,330016.0,336522.0,342373.0,342622.0,342751.0,349204.0,351636.0,353555.0,356121.0,359151.0,359688.0,359708.0,362742.0,366089.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5887.0,5893.0,6006.0,6025.0,6028.0,6029.0,6029.0,6031.0,6552.0,9496.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35197.0,41262.0,41824.0,41824.0,49761.0,56569.0,62591.0,67420.0,72054.0,72207.0,72212.0,75779.0,78316.0,80380.0,82136.0,83724.0,83727.0,83747.0,87323.0,91728.0,96114.0,101117.0,101149.0,101155.0,101161.0,107385.0,112578.0,117297.0,121300.0,127103.0,127309.0,127323.0,132766.0,137884.0,143253.0,148307.0,152783.0,153504.0,153558.0,159662.0,165083.0,170235.0,175287.0,180074.0,180625.0,180787.0,185872.0,189555.0,193642.0,198666.0,200540.0,200699.0,200829.0,204046.0,207590.0,211561.0,214542.0,217096.0,217651.0,217772.0,220577.0,223840.0,226754.0,228924.0,231262.0,231355.0,231464.0,233379.0,235102.0,236453.0,238343.0,238478.0,238773.0,238806.0,240622.0,242286.0,243353.0,244413.0,245823.0,245862.0,245893.0,248078.0,250429.0,252977.0,255379.0,257485.0,257842.0,257890.0,261632.0,265233.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12405.0,14955.0,17975.0,20732.0,23613.0,23729.0,23729.0,26377.0,28450.0,30610.0,32740.0,34799.0,34854.0,34854.0,36846.0,38757.0,40081.0,41222.0,43275.0,43471.0,43471.0,44953.0,46161.0,47174.0,48003.0,49009.0,49075.0,49077.0,50207.0,51227.0,52457.0,54099.0,55436.0,55536.0,55536.0,56803.0,58466.0,60000.0,62149.0,63244.0,63308.0,63308.0,64471.0,65773.0,67202.0,68695.0,70231.0,70338.0,70338.0,71695.0,73074.0,74284.0,75448.0,75534.0,75676.0,75677.0,76647.0,78034.0,78961.0,79896.0,80155.0,80156.0,80156.0,81081.0,82001.0,83009.0,83731.0,84429.0,84460.0,84460.0,85205.0,85960.0,86644.0,87624.0,88032.0,88092.0,88092.0,88701.0,89456.0,90082.0,90508.0,90951.0,90955.0,90955.0,91839.0,92652.0,93791.0,94730.0,95574.0,95656.0,95656.0,96819.0,98113.0,99306.0,100384.0,101483.0,101544.0,101550.0,102798.0,104213.0,105658.0,107181.0,107337.0,108130.0,108130.0,110151.0,112574.0,114631.0,116888.0,118708.0,119122.0,119123.0,121183.0,123098.0,123588.0,123595.0,123614.0,123615.0,123615.0,123797.0,125063.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14327.0,17156.0,19902.0,22740.0,22834.0,22834.0,25776.0,28613.0,31302.0,33797.0,35934.0,35979.0,35979.0,38091.0,40195.0,41407.0,42212.0,42978.0,42984.0,42984.0,43866.0,44901.0,45729.0,46604.0,46611.0,46615.0,46616.0,48175.0,49463.0,50695.0,52225.0,53315.0,53368.0,53368.0,54144.0,55877.0,57575.0,59407.0,60320.0,60372.0,60374.0,61022.0,62962.0,64468.0,65188.0,66649.0,66670.0,66673.0,68265.0,69912.0,71232.0,72299.0,72685.0,72685.0,72686.0,73597.0,74697.0,75565.0,75750.0,75965.0,75973.0,75973.0,77140.0,78348.0,79207.0,79722.0,80318.0,80334.0,80337.0,81253.0,82222.0,82984.0,83725.0,83766.0,83919.0,83920.0,84765.0,85575.0,86218.0,86938.0,87497.0,87538.0,87541.0,88285.0,89487.0,90006.0,90767.0,91488.0,91583.0,91586.0,91780.0,93341.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9463.0,15288.0,20028.0,20483.0,20483.0,24083.0,26502.0,28733.0,30798.0,33310.0,33787.0,33787.0,35900.0,37770.0,39665.0,41607.0,42689.0,42742.0,42744.0,44660.0,47093.0,49433.0,51719.0,53251.0,53328.0,53328.0,54710.0,55894.0,56863.0,58012.0,60034.0,60333.0,60333.0,62308.0,64259.0,66107.0,68161.0,70187.0,70291.0,70291.0,72627.0,74939.0,77147.0,79299.0,81021.0,81022.0,81034.0,83500.0,86049.0,88522.0,90787.0,93204.0,93204.0,93204.0,95399.0,97458.0,99193.0,100863.0,100863.0,100863.0,100863.0,102477.0,104008.0,105779.0,106985.0,108502.0,108633.0,108633.0,109052.0,110584.0,111980.0,113107.0,114134.0,114134.0,114134.0,115247.0,116621.0,117529.0,118590.0,119503.0,119503.0,119503.0,120296.0,121419.0,122519.0,123374.0,124486.0,124486.0,124486.0,125961.0,127489.0,128806.0,130143.0,131560.0,131749.0,131749.0,133278.0,135051.0,136636.0,137987.0,139623.0,139647.0,139647.0,141390.0,143378.0,145350.0,147169.0,147169.0,147329.0,147329.0,150350.0,153877.0,157052.0,160181.0,162466.0,162468.0,162468.0,165335.0,168196.0,170504.0,171809.0,172526.0,172545.0,172545.0,173767.0,175408.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1744.0,2661.0,3658.0,3737.0,3737.0,3737.0,3737.0,3738.0,3738.0,3738.0,3738.0,3738.0,3738.0,3738.0,3738.0,3738.0,3745.0,3772.0,3772.0,3772.0,3781.0,4454.0,9459.0,14657.0,19151.0,19574.0,19575.0,23057.0,25491.0,27716.0,29809.0,32254.0,32622.0,32622.0,35097.0,37897.0,40771.0,42609.0,43844.0,43868.0,43873.0,45552.0,47244.0,48615.0,50512.0,51839.0,51840.0,51840.0,52912.0,54174.0,55618.0,57117.0,57118.0,57118.0,57118.0,59771.0,61834.0,63619.0,65541.0,67119.0,67125.0,67125.0,69068.0,71680.0,73887.0,76076.0,77890.0,77896.0,77896.0,79945.0,82417.0,84695.0,86909.0,88677.0,88682.0,88682.0,90013.0,92231.0,94473.0,96280.0,97070.0,97070.0,97070.0,98306.0,99761.0,101506.0,102649.0,103629.0,103693.0,103693.0,104556.0,106209.0,107521.0,108570.0,109279.0,109279.0,109279.0,110436.0,111871.0,112998.0,114226.0,114227.0,114246.0,114246.0,115351.0,116738.0,117833.0,118592.0,119227.0,119231.0,119233.0,120879.0,122483.0,123790.0,124903.0,125593.0,125607.0,125610.0,127122.0,129107.0
