Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12823.0,13780.0,13803.0,13803.0,24843.0,44198.0,53503.0,56561.0,56973.0,56973.0,56973.0,56990.0,57011.0,57012.0,57012.0,57012.0,57013.0,57013.0,57013.0,70194.0,240559.0,414584.0,583288.0,611137.0,619771.0,841247.0,1083719.0,1356143.0,1607498.0,1836736.0,1866256.0,1870723.0,2136589.0,2356620.0,2544660.0,2699919.0,2842039.0,2851680.0,2852842.0,2960953.0,3055161.0,3141263.0,3227190.0,3305442.0,3315421.0,3315776.0,3452870.0,3611736.0,3769527.0,3914204.0,4050410.0,4060057.0,4061122.0,4197667.0,4336621.0,4472356.0,4643740.0,4794918.0,4819208.0,4821956.0,4979645.0,5145930.0,5296716.0,5444656.0,5580439.0,5603583.0,5606426.0,5750332.0,5897248.0,6050045.0,6206455.0,6372335.0,6385230.0,6386199.0,6536927.0,6670135.0,6796650.0,6930948.0,6932796.0,6934674.0,6935330.0,7014806.0,7107311.0,7201663.0,7277901.0,7348253.0,7359348.0,7360436.0,7438041.0,7512465.0,7591184.0,7652744.0,7710534.0,7718355.0,7719215.0,7762911.0,7801897.0,7832904.0,7889097.0,7928832.0,7934540.0,7934891.0,7977773.0,8016598.0,8059963.0,8090685.0,8141303.0,8142367.0,8143164.0,8219022.0,8299911.0,8381274.0,8462687.0,8546494.0,8563795.0,8564755.0,8667890.0,8775069.0,8879733.0,8976573.0,9079509.0,9080551.0,9080816.0,9205246.0,9340833.0,9465584.0,9592312.0,9600032.0,9626482.0,9630177.0,9805742.0,9995070.0,10175283.0,10341698.0,10486792.0,10528284.0,10537388.0,10692882.0,10831567.0,10940093.0,10995260.0,11037328.0,11051989.0,11053965.0,11107536.0,11167281.0,11243291.0,11339200.0,11419397.0,11442057.0,11443479.0,11548169.0,11632902.0,11738103.0,11808764.0,11869886.0,11886421.0,11888214.0,11895497.0,11994960.0,12070394.0,12118724.0,12156840.0,12167879.0,12168906.0,12170129.0,12209964.0,12257915.0,12344607.0,12409912.0,12425424.0,12427425.0,12474889.0,12518367.0,12588929.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24969.0,44350.0,52691.0,55575.0,55785.0,55818.0,55818.0,55818.0,55829.0,55829.0,55830.0,55830.0,55830.0,55830.0,55852.0,55892.0,56066.0,56210.0,56328.0,56332.0,56332.0,56741.0,69155.0,223211.0,389019.0,550599.0,574732.0,581626.0,795625.0,1033115.0,1298628.0,1544226.0,1767309.0,1793469.0,1797305.0,2069717.0,2313295.0,2529310.0,2715411.0,2870141.0,2881126.0,2882297.0,3004239.0,3094801.0,3159581.0,3214783.0,3265870.0,3268618.0,3269042.0,3384523.0,3529114.0,3682264.0,3850724.0,3855903.0,3857248.0,3857710.0,4062458.0,4208985.0,4347269.0,4509944.0,4657934.0,4672764.0,4674120.0,4832789.0,4992693.0,5142224.0,5286173.0,5418811.0,5433150.0,5434907.0,5583352.0,5730197.0,5875083.0,6018307.0,6161425.0,6173312.0,6174002.0,6326843.0,6458380.0,6583324.0,6707352.0,6744101.0,6745304.0,6745970.0,6821367.0,6909371.0,7002402.0,7078521.0,7141918.0,7150061.0,7150504.0,7220407.0,7304987.0,7382832.0,7442805.0,7498480.0,7498883.0,7499053.0,7545740.0,7593054.0,7634035.0,7697131.0,7698484.0,7704741.0,7705329.0,7766185.0,7822705.0,7870868.0,7906925.0,7947550.0,7953299.0,7954270.0,8013673.0,8084966.0,8156612.0,8225010.0,8293254.0,8306270.0,8307492.0,8407281.0,8511341.0,8611444.0,8704803.0,8798779.0,8808146.0,8808739.0,8920869.0,9042267.0,9158486.0,9266671.0,9309306.0,9328855.0,9330964.0,9342447.0,9539465.0,9696047.0,9830725.0,9947935.0,9978542.0,9981771.0,9984670.0,10152449.0,10278053.0,10354749.0,10415756.0,10433580.0,10435493.0,10504525.0,10569544.0,10639756.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10446.0,33747.0,73346.0,107652.0,117558.0,119348.0,146798.0,166862.0,183586.0,196702.0,200749.0,201141.0,201190.0,205381.0,209049.0,213004.0,216039.0,218386.0,218664.0,218676.0,218777.0,222533.0,234944.0,298471.0,348469.0,358541.0,359795.0,361015.0,392891.0,415696.0,429596.0,441017.0,444444.0,444844.0,455210.0,462765.0,467309.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46555.0,46939.0,47351.0,47671.0,47706.0,47706.0,48136.0,48596.0,49079.0,49450.0,49829.0,49910.0,49912.0,50379.0,50987.0,51650.0,52330.0,52330.0,52750.0,52750.0,54269.0,55797.0,57060.0,58059.0,59267.0,59596.0,59596.0,60830.0,61816.0,62549.0,62984.0,63249.0,63287.0,63321.0,63661.0,64121.0,64661.0,65283.0,65630.0,65682.0,65726.0,65974.0,66156.0,66327.0,66507.0,66641.0,66657.0,66670.0,66670.0,66862.0,67105.0,67375.0,67655.0,67711.0,67724.0,67724.0,67893.0,68057.0,68515.0,68859.0,68918.0,68927.0,69102.0,69341.0,69761.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42434.0,42435.0,42482.0,42482.0,42887.0,43239.0,43688.0,44015.0,44511.0,44563.0,44563.0,45066.0,45560.0,45933.0,46368.0,46661.0,46693.0,46706.0,47121.0,47696.0,48144.0,48544.0,48912.0,48984.0,48994.0,49432.0,49947.0,50544.0,51101.0,51382.0,51592.0,51646.0,51649.0,53480.0,54848.0,56011.0,57022.0,57283.0,57344.0,57345.0,59055.0,60101.0,60723.0,61200.0,61290.0,61320.0,61773.0,62241.0,62748.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4231.0,4508.0,4683.0,4727.0,4733.0,4733.0,4936.0,5121.0,5234.0,5325.0,5373.0,5376.0,5485.0,5584.0,5669.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88979.0,93738.0,98479.0,102845.0,106590.0,106597.0,106597.0,110885.0,116076.0,120696.0,126418.0,131622.0,131741.0,131741.0,136791.0,142277.0,148262.0,153454.0,158458.0,158820.0,158864.0,164781.0,170847.0,176470.0,181718.0,186934.0,187319.0,187505.0,193020.0,198108.0,203051.0,207757.0,208050.0,208506.0,208701.0,211850.0,215323.0,219124.0,222186.0,224739.0,225252.0,225396.0,228679.0,231779.0,234847.0,237459.0,239984.0,240968.0,241102.0,242563.0,243556.0,244423.0,246007.0,247123.0,247667.0,247692.0,248646.0,249558.0,250456.0,251165.0,252555.0,252588.0,252624.0,255461.0,258829.0,262018.0,265179.0,268045.0,269276.0,269530.0,273404.0,277272.0,280868.0,284291.0,287974.0,288248.0,288328.0,292948.0,298340.0,303054.0,307580.0,308101.0,309130.0,309334.0,316401.0,324209.0,330059.0,336571.0,342430.0,342679.0,342808.0,349262.0,351696.0,353618.0,356187.0,359221.0,359758.0,359778.0,362816.0,366243.0,370599.0,374936.0,378485.0,379746.0,379769.0,383623.0,387196.0,391450.0,394520.0,397232.0,397586.0,397637.0,398379.0,402234.0,405982.0,407612.0,408359.0,408478.0,408491.0,408934.0,410351.0,412329.0,415504.0,417973.0,418409.0,418443.0,420446.0,422338.0,425192.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35199.0,41264.0,41826.0,41826.0,49763.0,56570.0,62592.0,67422.0,72057.0,72212.0,72217.0,75784.0,78321.0,80385.0,82141.0,83729.0,83732.0,83752.0,87328.0,91733.0,96119.0,101122.0,101154.0,101160.0,101166.0,107390.0,112584.0,117303.0,121306.0,127109.0,127315.0,127329.0,132772.0,137890.0,143259.0,148313.0,152790.0,153511.0,153566.0,159671.0,165092.0,170244.0,175296.0,180083.0,180634.0,180796.0,185881.0,189565.0,193652.0,198676.0,200550.0,200709.0,200840.0,204057.0,207603.0,211575.0,214557.0,217112.0,217668.0,217789.0,220594.0,223858.0,226772.0,228941.0,231280.0,231373.0,231482.0,233397.0,235122.0,236475.0,238365.0,238500.0,238795.0,238828.0,240644.0,242310.0,243378.0,244440.0,245850.0,245889.0,245920.0,248107.0,250458.0,253006.0,255408.0,257516.0,257872.0,257920.0,261664.0,265326.0,268765.0,272072.0,275418.0,276047.0,276149.0,280438.0,285015.0,289558.0,293644.0,295612.0,296131.0,296281.0,297444.0,305273.0,311906.0,316596.0,320818.0,321575.0,321601.0,322173.0,327072.0,330163.0,332762.0,335441.0,335994.0,336026.0,339287.0,342531.0,346160.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9143.0,11692.0,14553.0,15194.0,15198.0,15296.0,17028.0,18019.0,18556.0,19117.0,19157.0,19172.0,19615.0,19956.0,20158.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,2124.0,2812.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2892.0,2969.0,4411.0,7244.0,9638.0,9942.0,9976.0,12407.0,14959.0,17979.0,20736.0,23619.0,23735.0,23735.0,26384.0,28465.0,30628.0,32759.0,34823.0,34878.0,34878.0,36870.0,38781.0,40105.0,41247.0,43299.0,43495.0,43495.0,44977.0,46185.0,47198.0,48027.0,49032.0,49098.0,49100.0,50230.0,51250.0,52481.0,54123.0,55460.0,55560.0,55560.0,56827.0,58490.0,60024.0,62178.0,63272.0,63336.0,63336.0,64499.0,65801.0,67230.0,68723.0,70259.0,70387.0,70387.0,71743.0,73122.0,74332.0,75496.0,75582.0,75724.0,75725.0,76695.0,78086.0,79013.0,79948.0,80207.0,80208.0,80208.0,81133.0,82053.0,83057.0,83779.0,84477.0,84508.0,84508.0,85253.0,86009.0,86693.0,87673.0,88081.0,88141.0,88141.0,88750.0,89501.0,90127.0,90553.0,90997.0,91002.0,91002.0,91891.0,92704.0,93846.0,94786.0,95631.0,95715.0,95715.0,96910.0,98204.0,99399.0,100630.0,101731.0,101791.0,101797.0,103048.0,104466.0,105911.0,107439.0,107596.0,108391.0,108391.0,110425.0,112856.0,114914.0,117175.0,119118.0,119535.0,119536.0,121613.0,123537.0,124029.0,124036.0,124054.0,124057.0,124057.0,124240.0,125654.0,127361.0,129395.0,131102.0,131671.0,131678.0,133396.0,135081.0,136652.0,137862.0,138966.0,139272.0,139272.0,139349.0,140696.0,142071.0,143567.0,144810.0,145221.0,145221.0,145224.0,145435.0,145676.0,146386.0,146934.0,147106.0,147106.0,147549.0,148113.0,148906.0
