Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240553.0,414594.0,583267.0,611119.0,619754.0,841182.0,1083631.0,1356111.0,1607362.0,1836560.0,1866067.0,1870532.0,2136372.0,2356368.0,2544371.0,2699609.0,2841714.0,2851353.0,2852517.0,2960628.0,3054844.0,3140866.0,3226791.0,3304895.0,3314934.0,3315289.0,3452411.0,3611350.0,3769160.0,3913876.0,4050084.0,4059723.0,4060790.0,4197327.0,4336323.0,4472074.0,4643429.0,4794351.0,4818584.0,4821322.0,4978906.0,5145216.0,5296241.0,5444813.0,5584495.0,5607641.0,5610618.0,5756935.0,5906997.0,6060724.0,6217986.0,6383783.0,6396666.0,6397633.0,6548591.0,6682273.0,6808919.0,6943131.0,6944977.0,6946838.0,6947538.0,7026927.0,7119269.0,7212839.0,7284213.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24967.0,44330.0,52663.0,55541.0,55749.0,55783.0,55783.0,55783.0,55793.0,55793.0,55793.0,55793.0,55793.0,55793.0,55814.0,55854.0,56027.0,56171.0,56289.0,56293.0,56293.0,56698.0,69104.0,223040.0,388701.0,550134.0,574251.0,581099.0,794921.0,1032157.0,1297219.0,1542379.0,1765257.0,1791373.0,1795201.0,2067361.0,2310621.0,2526332.0,2712239.0,2866902.0,2877912.0,2879086.0,3000980.0,3091353.0,3155911.0,3210965.0,3261743.0,3264476.0,3264895.0,3380226.0,3524663.0,3677487.0,3845508.0,3850655.0,3851988.0,3852459.0,4056609.0,4202522.0,4339728.0,4494062.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29122.0,29704.0,29719.0,29719.0,30468.0,31335.0,32125.0,32913.0,33488.0,33508.0,33508.0,34097.0,34800.0,35344.0,35912.0,36458.0,36458.0,36458.0,37066.0,37702.0,38247.0,38841.0,38841.0,38907.0,38909.0,39324.0,39694.0,40037.0,40326.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23354.0,23943.0,24759.0,25534.0,25540.0,25540.0,25540.0,26294.0,26916.0,27439.0,27960.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93745.0,98493.0,102860.0,106605.0,106612.0,106612.0,110900.0,116090.0,120710.0,126428.0,131629.0,131747.0,131747.0,136814.0,142314.0,148315.0,153525.0,158796.0,159159.0,159202.0,165208.0,171324.0,176983.0,182252.0,187478.0,187863.0,188048.0,193598.0,198683.0,203627.0,208329.0,208621.0,209075.0,209270.0,212446.0,215933.0,219750.0,222703.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12764.0,15424.0,15493.0,15493.0,19041.0,23370.0,28860.0,35192.0,41257.0,41816.0,41816.0,49751.0,56558.0,62581.0,67400.0,72033.0,72185.0,72190.0,75759.0,78291.0,80354.0,82107.0,83694.0,83697.0,83717.0,87290.0,91689.0,96080.0,101078.0,101110.0,101116.0,101122.0,107346.0,112524.0,117235.0,121183.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26373.0,28447.0,30606.0,32736.0,34795.0,34850.0,34850.0,36843.0,38754.0,40076.0,41213.0,43263.0,43458.0,43458.0,44941.0,46148.0,47162.0,47990.0,48997.0,49062.0,49064.0,50198.0,51216.0,52444.0,54086.0,55412.0,55508.0,55508.0,56773.0,58434.0,59967.0,62134.0,63232.0,63296.0,63296.0,64472.0,65809.0,67254.0,68752.0,70267.0,70363.0,70363.0,71719.0,73104.0,74314.0,75476.0,75562.0,75704.0,75705.0,76673.0,77949.0,78869.0,79715.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9208.0,9466.0,9492.0,11787.0,14297.0,17117.0,19860.0,22695.0,22789.0,22789.0,25710.0,28539.0,31222.0,33698.0,35834.0,35879.0,35879.0,37988.0,40089.0,41301.0,42106.0,42869.0,42875.0,42875.0,43757.0,44791.0,45617.0,46489.0,46495.0,46497.0,46498.0,48057.0,49331.0,50558.0,51917.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39542.0,41481.0,42562.0,42615.0,42617.0,44532.0,46963.0,49301.0,51585.0,53115.0,53192.0,53192.0,54572.0,55758.0,56724.0,57876.0,59893.0,60192.0,60192.0,62168.0,64109.0,65953.0,68004.0,70021.0,70125.0,70125.0,72460.0,74781.0,77015.0,79183.0,80923.0,80924.0,80936.0,83432.0,86007.0,88500.0,90778.0,93203.0,93203.0,93203.0,95387.0,97452.0,99191.0,100842.0,100842.0,100842.0,100842.0,102325.0,103704.0,104950.0,105906.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2660.0,3649.0,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,3733.0,3760.0,3760.0,3760.0,3769.0,4440.0,9428.0,14610.0,19074.0,19496.0,19497.0,22960.0,25367.0,27587.0,29641.0,32072.0,32440.0,32440.0,34866.0,37590.0,40290.0,42117.0,43348.0,43372.0,43377.0,45048.0,46733.0,48101.0,49996.0,51320.0,51321.0,51321.0,52386.0,53645.0,55085.0,56580.0,56581.0,56581.0,56581.0,59184.0,61130.0,62789.0,64358.0
