Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70188.0,240549.0,414574.0,583251.0,611101.0,619735.0,841204.0,1083666.0,1356182.0,1607443.0,1836676.0,1866192.0,1870658.0,2136517.0,2356525.0,2544563.0,2699814.0,2841927.0,2851566.0,2852730.0,2960844.0,3055053.0,3141148.0,3227072.0,3305327.0,3315306.0,3315661.0,3452746.0,3611615.0,3769406.0,3914081.0,4050287.0,4059933.0,4060997.0,4197540.0,4336496.0,4472231.0,4643615.0,4794786.0,4819081.0,4821828.0,4979511.0,5145800.0,5296583.0,5444517.0,5580302.0,5603447.0,5606293.0,5750187.0,5897093.0,6049867.0,6206272.0,6372139.0,6385012.0,6385981.0,6536697.0,6669900.0,6796406.0,6930697.0,6932545.0,6934420.0,6935077.0,7014543.0,7107034.0,7201373.0,7277609.0,7347959.0,7359052.0,7360139.0,7437743.0,7512158.0,7590875.0,7652432.0,7710220.0,7718040.0,7718900.0,7762579.0,7801539.0,7832534.0,7888725.0,7928457.0,7934166.0,7934517.0,7977391.0,8016219.0,8059574.0,8090287.0,8140896.0,8141959.0,8142755.0,8218578.0,8299446.0,8380779.0,8462177.0,8545897.0,8563189.0,8564147.0,8667223.0,8774341.0,8878869.0,8975442.0,9078257.0,9079294.0,9079559.0,9203868.0,9339342.0,9463983.0,9590587.0,9598296.0,9624710.0,9628398.0,9803763.0,9992755.0,10172645.0,10338732.0,10483460.0,10524914.0,10534014.0,10689290.0,10827761.0,10936189.0,10991243.0,11033176.0,11047833.0,11049803.0,11103210.0,11162571.0,11234379.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44339.0,52674.0,55558.0,55768.0,55802.0,55802.0,55802.0,55813.0,55813.0,55813.0,55813.0,55813.0,55813.0,55835.0,55875.0,56048.0,56192.0,56310.0,56314.0,56314.0,56722.0,69136.0,223181.0,388973.0,550523.0,574651.0,581544.0,795515.0,1032983.0,1298472.0,1544053.0,1767110.0,1793260.0,1797095.0,2069503.0,2313000.0,2528986.0,2715059.0,2869770.0,2880753.0,2881929.0,3003850.0,3094386.0,3159153.0,3214346.0,3265422.0,3268170.0,3268592.0,3384044.0,3528611.0,3681743.0,3850166.0,3855345.0,3856690.0,3857151.0,4061855.0,4208360.0,4346614.0,4509254.0,4657220.0,4672041.0,4673396.0,4832028.0,4991903.0,5141391.0,5285324.0,5417933.0,5432267.0,5434021.0,5582436.0,5729244.0,5874075.0,6017251.0,6160337.0,6172204.0,6172891.0,6325701.0,6457186.0,6582088.0,6706056.0,6742794.0,6743994.0,6744653.0,6819991.0,6907943.0,7000912.0,7076998.0,7140352.0,7148477.0,7148920.0,7218790.0,7303320.0,7381114.0,7441069.0,7496719.0,7497122.0,7497291.0,7543942.0,7591187.0,7632105.0,7695155.0,7696504.0,7702757.0,7703343.0,7764140.0,7820563.0,7868660.0,7904670.0,7945235.0,7950978.0,7951944.0,8011285.0,8082426.0,8153963.0,8222222.0,8290329.0,8303300.0,8304514.0,8404157.0,8507999.0,8603926.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6071.0,6089.0,6089.0,7326.0,8483.0,10110.0,11449.0,12805.0,12853.0,12861.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40989.0,41339.0,41691.0,42011.0,42308.0,42311.0,42311.0,42574.0,42922.0,43171.0,43505.0,43807.0,43823.0,43823.0,44116.0,44376.0,44707.0,45072.0,45495.0,45596.0,45596.0,46075.0,46550.0,46934.0,47346.0,47666.0,47701.0,47701.0,48131.0,48591.0,49074.0,49445.0,49824.0,49905.0,49907.0,50374.0,50982.0,51645.0,52324.0,52324.0,52742.0,52742.0,54261.0,55788.0,57051.0,58049.0,59255.0,59584.0,59584.0,60814.0,61797.0,62530.0,62965.0,63230.0,63268.0,63302.0,63641.0,64096.0,64611.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27485.0,28011.0,28537.0,28543.0,28543.0,29372.0,30287.0,31112.0,31758.0,32340.0,32344.0,32344.0,32899.0,33590.0,34130.0,34662.0,35201.0,35214.0,35215.0,35845.0,36380.0,36931.0,37541.0,37730.0,37730.0,37730.0,38069.0,38485.0,38883.0,39201.0,39461.0,39473.0,39473.0,39789.0,40181.0,40529.0,40768.0,40961.0,40970.0,40973.0,41362.0,41783.0,42048.0,42429.0,42430.0,42477.0,42477.0,42882.0,43233.0,43682.0,44009.0,44504.0,44556.0,44556.0,45059.0,45553.0,45926.0,46361.0,46654.0,46686.0,46699.0,47114.0,47689.0,48120.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186930.0,187315.0,187501.0,193016.0,198104.0,203047.0,207753.0,208046.0,208502.0,208697.0,211846.0,215319.0,219120.0,222182.0,224735.0,225248.0,225392.0,228675.0,231775.0,234843.0,237457.0,239982.0,240966.0,241100.0,242559.0,243551.0,244418.0,246001.0,247117.0,247661.0,247686.0,248640.0,249553.0,250450.0,251159.0,252549.0,252582.0,252618.0,255455.0,258822.0,262009.0,265169.0,268035.0,269266.0,269520.0,273393.0,277261.0,280857.0,284280.0,287961.0,288235.0,288315.0,292930.0,298319.0,303031.0,307557.0,308078.0,309107.0,309311.0,316373.0,324180.0,330023.0,336529.0,342380.0,342629.0,342758.0,349211.0,351643.0,353562.0,356129.0,359159.0,359696.0,359716.0,362750.0,366175.0,370434.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5887.0,5893.0,6006.0,6025.0,6028.0,6029.0,6029.0,6031.0,6552.0,9496.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35197.0,41262.0,41824.0,41824.0,49761.0,56569.0,62591.0,67420.0,72054.0,72207.0,72212.0,75779.0,78316.0,80380.0,82136.0,83724.0,83727.0,83747.0,87323.0,91728.0,96114.0,101117.0,101149.0,101155.0,101161.0,107385.0,112578.0,117297.0,121300.0,127103.0,127309.0,127323.0,132766.0,137884.0,143253.0,148307.0,152783.0,153504.0,153558.0,159662.0,165083.0,170235.0,175287.0,180074.0,180625.0,180787.0,185872.0,189555.0,193642.0,198666.0,200540.0,200699.0,200829.0,204046.0,207590.0,211561.0,214542.0,217096.0,217651.0,217772.0,220577.0,223840.0,226754.0,228924.0,231262.0,231355.0,231464.0,233379.0,235102.0,236453.0,238343.0,238478.0,238773.0,238806.0,240622.0,242286.0,243353.0,244414.0,245824.0,245863.0,245894.0,248079.0,250430.0,252978.0,255380.0,257486.0,257842.0,257890.0,261633.0,265292.0,268631.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12405.0,14955.0,17975.0,20732.0,23613.0,23729.0,23729.0,26377.0,28450.0,30610.0,32740.0,34799.0,34854.0,34854.0,36846.0,38757.0,40081.0,41222.0,43275.0,43471.0,43471.0,44953.0,46161.0,47174.0,48003.0,49009.0,49075.0,49077.0,50207.0,51227.0,52457.0,54099.0,55436.0,55536.0,55536.0,56803.0,58466.0,60000.0,62149.0,63244.0,63308.0,63308.0,64471.0,65773.0,67202.0,68695.0,70231.0,70338.0,70338.0,71695.0,73074.0,74284.0,75448.0,75534.0,75676.0,75677.0,76647.0,78034.0,78961.0,79897.0,80156.0,80157.0,80157.0,81082.0,82002.0,83010.0,83732.0,84430.0,84461.0,84461.0,85206.0,85961.0,86645.0,87626.0,88034.0,88094.0,88094.0,88703.0,89458.0,90084.0,90510.0,90953.0,90957.0,90957.0,91841.0,92654.0,93793.0,94732.0,95576.0,95658.0,95658.0,96822.0,98116.0,99310.0,100389.0,101488.0,101548.0,101554.0,102802.0,104217.0,105662.0,107185.0,107341.0,108134.0,108134.0,110155.0,112578.0,114635.0,116892.0,118712.0,119126.0,119127.0,121187.0,123102.0,123592.0,123599.0,123618.0,123621.0,123621.0,123803.0,125104.0,126641.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,2091.0,2734.0,2802.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2805.0,2806.0,2821.0,2832.0,2844.0,2852.0,2853.0,2853.0,2855.0,2916.0,4169.0,7003.0,9231.0,9490.0,9516.0,11811.0,14327.0,17156.0,19902.0,22740.0,22834.0,22834.0,25776.0,28613.0,31302.0,33797.0,35934.0,35979.0,35979.0,38091.0,40195.0,41407.0,42212.0,42978.0,42984.0,42984.0,43866.0,44901.0,45729.0,46604.0,46611.0,46615.0,46616.0,48175.0,49463.0,50695.0,52225.0,53315.0,53368.0,53368.0,54144.0,55877.0,57575.0,59407.0,60320.0,60372.0,60374.0,61022.0,62962.0,64468.0,65188.0,66649.0,66670.0,66673.0,68265.0,69912.0,71232.0,72299.0,72685.0,72685.0,72686.0,73597.0,74697.0,75565.0,75750.0,75965.0,75973.0,75973.0,77140.0,78348.0,79207.0,79722.0,80318.0,80334.0,80337.0,81253.0,82222.0,82984.0,83725.0,83766.0,83919.0,83920.0,84766.0,85576.0,86219.0,86939.0,87499.0,87540.0,87543.0,88287.0,89489.0,90008.0,90769.0,91490.0,91585.0,91588.0,91783.0,93369.0,94656.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3600.0,3865.0,3865.0,3865.0,3865.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3867.0,3869.0,9463.0,15288.0,20029.0,20484.0,20484.0,24084.0,26503.0,28734.0,30799.0,33312.0,33789.0,33789.0,35903.0,37773.0,39668.0,41610.0,42693.0,42746.0,42748.0,44664.0,47097.0,49438.0,51724.0,53256.0,53333.0,53333.0,54715.0,55899.0,56868.0,58017.0,60040.0,60339.0,60339.0,62315.0,64266.0,66114.0,68168.0,70193.0,70297.0,70297.0,72632.0,74944.0,77152.0,79304.0,81026.0,81027.0,81039.0,83505.0,86054.0,88527.0,90792.0,93209.0,93209.0,93209.0,95405.0,97464.0,99199.0,100867.0,100867.0,100867.0,100867.0,102481.0,104012.0,105784.0,106990.0,108507.0,108638.0,108638.0,109058.0,110590.0,111986.0,113113.0,114140.0,114140.0,114140.0,115253.0,116626.0,117534.0,118595.0,119508.0,119508.0,119508.0,120301.0,121424.0,122523.0,123377.0,124489.0,124489.0,124489.0,125964.0,127492.0,128809.0,130148.0,131738.0,131927.0,131927.0,133457.0,135234.0,136820.0,138172.0,139808.0,139832.0,139832.0,141575.0,143563.0,145535.0,147354.0,147354.0,147537.0,147537.0,150558.0,154085.0,157260.0,160390.0,162675.0,162677.0,162677.0,165544.0,168405.0,170713.0,172018.0,172735.0,172754.0,172754.0,173979.0,175773.0,177518.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,504.0,1744.0,2660.0,3657.0,3736.0,3736.0,3736.0,3736.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3737.0,3744.0,3771.0,3771.0,3771.0,3780.0,4453.0,9458.0,14656.0,19151.0,19574.0,19575.0,23057.0,25491.0,27716.0,29810.0,32256.0,32624.0,32624.0,35101.0,37901.0,40775.0,42613.0,43848.0,43872.0,43877.0,45556.0,47248.0,48620.0,50519.0,51846.0,51847.0,51847.0,52919.0,54181.0,55625.0,57124.0,57125.0,57125.0,57125.0,59781.0,61844.0,63629.0,65551.0,67130.0,67136.0,67136.0,69079.0,71691.0,73898.0,76087.0,77901.0,77907.0,77907.0,79957.0,82430.0,84708.0,86922.0,88690.0,88695.0,88695.0,90028.0,92246.0,94488.0,96294.0,97084.0,97084.0,97084.0,98320.0,99776.0,101522.0,102665.0,103645.0,103709.0,103709.0,104572.0,106225.0,107538.0,108587.0,109296.0,109296.0,109296.0,110453.0,111889.0,113016.0,114244.0,114245.0,114267.0,114267.0,115372.0,116759.0,117857.0,118616.0,119250.0,119254.0,119256.0,120901.0,122505.0,123812.0,124926.0,125624.0,125638.0,125641.0,127158.0,129256.0,130945.0
