Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12823.0,13780.0,13803.0,13803.0,24854.0,44214.0,53522.0,56580.0,56992.0,56992.0,56992.0,57009.0,57030.0,57031.0,57031.0,57031.0,57032.0,57032.0,57032.0,70213.0,240578.0,414603.0,583310.0,611159.0,619793.0,841269.0,1083741.0,1356164.0,1607519.0,1836757.0,1866278.0,1870745.0,2136611.0,2356642.0,2544681.0,2699940.0,2842060.0,2851701.0,2852863.0,2960972.0,3055180.0,3141281.0,3227214.0,3305486.0,3315529.0,3315884.0,3453035.0,3611988.0,3769834.0,3914562.0,4050781.0,4060428.0,4061493.0,4198097.0,4337144.0,4472966.0,4644406.0,4795651.0,4819941.0,4822689.0,4980531.0,5147137.0,5298419.0,5447217.0,5586981.0,5610162.0,5613014.0,5759752.0,5910015.0,6064298.0,6221765.0,6388343.0,6401283.0,6402252.0,6553503.0,6687473.0,6814553.0,6949344.0,6951194.0,6953074.0,6953730.0,7033646.0,7126806.0,7221703.0,7298451.0,7369329.0,7380521.0,7381618.0,7459711.0,7534722.0,7614068.0,7676361.0,7734761.0,7742663.0,7743539.0,7787430.0,7826629.0,7857777.0,7914138.0,7953973.0,7959721.0,7960072.0,8003134.0,8042156.0,8085651.0,8116513.0,8167443.0,8168534.0,8169333.0,8245316.0,8326365.0,8407840.0,8489416.0,8573495.0,8590879.0,8591839.0,8695136.0,8802540.0,8907361.0,9004361.0,9107574.0,9108624.0,9108889.0,9233465.0,9369535.0,9495438.0,9623913.0,9632213.0,9659018.0,9662716.0,9838543.0,10028366.0,10208989.0,10375893.0,10521295.0,10562875.0,10571992.0,10727885.0,10867256.0,10976303.0,11031886.0,11074258.0,11089010.0,11090990.0,11144821.0,11205009.0,11281566.0,11377849.0,11458373.0,11481078.0,11482501.0,11587404.0,11672353.0,11777762.0,11848624.0,11910014.0,11926549.0,11928342.0,11935625.0,12035103.0,12110553.0,12158899.0,12197027.0,12208068.0,12209095.0,12210319.0,12250164.0,12298133.0,12384872.0,12450206.0,12465728.0,12467729.0,12515275.0,12558783.0,12632209.0,12687417.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24978.0,44364.0,52708.0,55594.0,55804.0,55837.0,55837.0,55837.0,55848.0,55848.0,55849.0,55849.0,55849.0,55849.0,55871.0,55911.0,56085.0,56229.0,56347.0,56351.0,56351.0,56760.0,69175.0,223230.0,389038.0,550622.0,574755.0,581649.0,795650.0,1033140.0,1298654.0,1544253.0,1767337.0,1793498.0,1797334.0,2069747.0,2313326.0,2529342.0,2715452.0,2870222.0,2881234.0,2882405.0,3004402.0,3094988.0,3159780.0,3214989.0,3266077.0,3268825.0,3269249.0,3384740.0,3529395.0,3682598.0,3851105.0,3856284.0,3857629.0,3858091.0,4062899.0,4209510.0,4347874.0,4510634.0,4658683.0,4673517.0,4674873.0,4833729.0,4993999.0,5144092.0,5288934.0,5424656.0,5439080.0,5440842.0,5591845.0,5741899.0,5888274.0,6032578.0,6176340.0,6188269.0,6188959.0,6342550.0,6474997.0,6600610.0,6725112.0,6762022.0,6763228.0,6763894.0,6839692.0,6928269.0,7021832.0,7098448.0,7162291.0,7170496.0,7170939.0,7241295.0,7326592.0,7405076.0,7465722.0,7521933.0,7522340.0,7522510.0,7569531.0,7617149.0,7658359.0,7721660.0,7723020.0,7729296.0,7729884.0,7790952.0,7847799.0,7896120.0,7932360.0,7973212.0,7978987.0,7979960.0,8039562.0,8111078.0,8182840.0,8251379.0,8319798.0,8332848.0,8334075.0,8434088.0,8538467.0,8638731.0,8732281.0,8826522.0,8835913.0,8836507.0,8948837.0,9070702.0,9187934.0,9297685.0,9340976.0,9360771.0,9362887.0,9374440.0,9572123.0,9729179.0,9864390.0,9981990.0,10012690.0,10015926.0,10018830.0,10187431.0,10313666.0,10390927.0,10452315.0,10470233.0,10472154.0,10541585.0,10607139.0,10680254.0,10762684.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10448.0,33750.0,73350.0,107664.0,117570.0,119360.0,146811.0,166875.0,183599.0,196738.0,200785.0,201177.0,201226.0,205395.0,209063.0,213018.0,216053.0,218417.0,218695.0,218707.0,218785.0,222542.0,234953.0,298484.0,348485.0,358556.0,359810.0,361030.0,392906.0,415727.0,429653.0,441087.0,444514.0,444914.0,455283.0,462851.0,467626.0,471156.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45611.0,45724.0,45724.0,46203.0,46679.0,47063.0,47475.0,47797.0,47832.0,47832.0,48264.0,48726.0,49209.0,49580.0,49959.0,50040.0,50042.0,50512.0,51122.0,51786.0,52467.0,52467.0,52887.0,52887.0,54408.0,55940.0,57214.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64340.0,65040.0,65746.0,66101.0,66154.0,66198.0,66454.0,66639.0,66814.0,66998.0,67132.0,67148.0,67161.0,67161.0,67353.0,67596.0,67866.0,68146.0,68202.0,68215.0,68215.0,68384.0,68548.0,69006.0,69350.0,69409.0,69418.0,69593.0,69832.0,70299.0,70689.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23368.0,23959.0,24775.0,25552.0,25558.0,25558.0,25558.0,26312.0,26955.0,27496.0,28023.0,28549.0,28555.0,28555.0,29386.0,30302.0,31131.0,31779.0,32377.0,32381.0,32381.0,32950.0,33649.0,34195.0,34727.0,35266.0,35279.0,35280.0,35917.0,36455.0,37010.0,37621.0,37811.0,37811.0,37811.0,38154.0,38573.0,38971.0,39289.0,39550.0,39562.0,39562.0,39882.0,40275.0,40626.0,40865.0,41058.0,41067.0,41070.0,41461.0,41884.0,42149.0,42533.0,42534.0,42581.0,42581.0,42987.0,43341.0,43793.0,44122.0,44629.0,44682.0,44682.0,45187.0,45682.0,46055.0,46491.0,46784.0,46816.0,46829.0,47245.0,47825.0,48273.0,48673.0,49041.0,49113.0,49123.0,49565.0,50081.0,50679.0,51238.0,51519.0,51729.0,51783.0,51786.0,53623.0,55000.0,56166.0,57180.0,57442.0,57503.0,57504.0,59220.0,60275.0,60903.0,61381.0,61472.0,61503.0,61969.0,62465.0,63111.0,63737.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4231.0,4508.0,4683.0,4727.0,4733.0,4733.0,4936.0,5121.0,5234.0,5325.0,5373.0,5376.0,5485.0,5584.0,5675.0,5759.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88981.0,93742.0,98488.0,102856.0,106601.0,106608.0,106608.0,110896.0,116087.0,120707.0,126429.0,131633.0,131752.0,131752.0,136819.0,142326.0,148331.0,153547.0,158815.0,159177.0,159221.0,165231.0,171354.0,177012.0,182283.0,187513.0,187898.0,188084.0,193637.0,198735.0,203693.0,208405.0,208698.0,209154.0,209349.0,212530.0,216024.0,219854.0,222947.0,225532.0,226051.0,226195.0,229505.0,232638.0,235733.0,238362.0,240909.0,241896.0,242030.0,243492.0,244506.0,245376.0,246961.0,248078.0,248644.0,248669.0,249624.0,250537.0,251435.0,252144.0,253536.0,253569.0,253605.0,256442.0,259810.0,263000.0,266162.0,269037.0,270276.0,270531.0,274421.0,278301.0,281901.0,285326.0,289010.0,289285.0,289365.0,293986.0,299379.0,304096.0,308623.0,309144.0,310173.0,310377.0,317447.0,325256.0,331116.0,337631.0,343492.0,343741.0,343870.0,350327.0,352769.0,354701.0,357275.0,360320.0,360857.0,360877.0,363928.0,367373.0,371747.0,376096.0,379659.0,380922.0,380945.0,384809.0,388388.0,392644.0,395715.0,398432.0,398786.0,398837.0,399579.0,403435.0,407185.0,408815.0,409562.0,409681.0,409694.0,410137.0,411555.0,413533.0,416710.0,419179.0,419615.0,419649.0,421652.0,423544.0,426424.0,428921.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23375.0,28865.0,35200.0,41265.0,41827.0,41827.0,49764.0,56571.0,62593.0,67423.0,72058.0,72213.0,72218.0,75787.0,78324.0,80388.0,82144.0,83732.0,83735.0,83755.0,87332.0,91738.0,96129.0,101133.0,101165.0,101171.0,101177.0,107403.0,112598.0,117317.0,121321.0,127127.0,127334.0,127348.0,132810.0,137951.0,143343.0,148424.0,153097.0,153832.0,153887.0,160094.0,165582.0,170767.0,175841.0,180646.0,181199.0,181361.0,186483.0,190178.0,194278.0,199310.0,201188.0,201347.0,201478.0,204719.0,208289.0,212288.0,215288.0,217880.0,218442.0,218563.0,221394.0,224693.0,227628.0,229812.0,232169.0,232262.0,232371.0,234294.0,236036.0,237393.0,239285.0,239421.0,239723.0,239756.0,241583.0,243267.0,244339.0,245402.0,246815.0,246854.0,246885.0,249073.0,251428.0,253979.0,256382.0,258495.0,258852.0,258900.0,262665.0,266339.0,269784.0,273093.0,276444.0,277073.0,277175.0,281466.0,286044.0,290590.0,294677.0,296645.0,297164.0,297314.0,298478.0,306309.0,312950.0,317645.0,321871.0,322628.0,322654.0,323227.0,328136.0,331233.0,333840.0,336528.0,337082.0,337115.0,340384.0,343643.0,347322.0,351127.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9143.0,11693.0,14554.0,15195.0,15199.0,15297.0,17029.0,18020.0,18557.0,19118.0,19158.0,19173.0,19616.0,19957.0,20163.0,20291.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4420.0,7253.0,9647.0,9951.0,9985.0,12416.0,14968.0,17988.0,20745.0,23628.0,23745.0,23745.0,26394.0,28475.0,30637.0,32768.0,34832.0,34887.0,34887.0,36879.0,38790.0,40114.0,41256.0,43308.0,43504.0,43504.0,44988.0,46197.0,47211.0,48040.0,49045.0,49111.0,49113.0,50249.0,51269.0,52500.0,54142.0,55479.0,55578.0,55578.0,56852.0,58520.0,60061.0,62239.0,63336.0,63400.0,63400.0,64579.0,65922.0,67373.0,68876.0,70413.0,70541.0,70541.0,71903.0,73294.0,74509.0,75673.0,75759.0,75901.0,75902.0,76873.0,78272.0,79207.0,80150.0,80409.0,80410.0,80410.0,81335.0,82264.0,83275.0,83997.0,84696.0,84727.0,84727.0,85472.0,86230.0,86918.0,87898.0,88306.0,88370.0,88370.0,88982.0,89736.0,90367.0,90794.0,91239.0,91244.0,91244.0,92134.0,92952.0,94095.0,95035.0,95880.0,95964.0,95964.0,97159.0,98458.0,99658.0,100891.0,101992.0,102052.0,102058.0,103318.0,104746.0,106210.0,107747.0,107904.0,108709.0,108709.0,110750.0,113190.0,115252.0,117522.0,119471.0,119888.0,119889.0,121975.0,123901.0,124397.0,124404.0,124422.0,124425.0,124425.0,124608.0,126027.0,127735.0,129773.0,131483.0,132052.0,132059.0,133777.0,135463.0,137034.0,138244.0,139350.0,139656.0,139656.0,139733.0,141080.0,142455.0,143951.0,145194.0,145605.0,145605.0,145608.0,145819.0,146060.0,146771.0,147319.0,147491.0,147491.0,147934.0,148494.0,149297.0,150370.0
