Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240553.0,414595.0,583271.0,611122.0,619757.0,841185.0,1083641.0,1356121.0,1607372.0,1836570.0,1866077.0,1870542.0,2136382.0,2356380.0,2544383.0,2699622.0,2841727.0,2851366.0,2852530.0,2960641.0,3054856.0,3140879.0,3226803.0,3304911.0,3314950.0,3315305.0,3452430.0,3611372.0,3769183.0,3913899.0,4050109.0,4059747.0,4060814.0,4197358.0,4336367.0,4472131.0,4643537.0,4794653.0,4818902.0,4821640.0,4979232.0,5145560.0,5296590.0,5445168.0,5584849.0,5608012.0,5610989.0,5757310.0,5907379.0,6061133.0,6218394.0,6384194.0,6397077.0,6398044.0,6549014.0,6682708.0,6809365.0,6943593.0,6945439.0,6947301.0,6948001.0,7027508.0,7120207.0,7214101.0,7289557.0,7354826.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24967.0,44331.0,52665.0,55548.0,55756.0,55790.0,55790.0,55790.0,55800.0,55800.0,55800.0,55800.0,55800.0,55800.0,55821.0,55861.0,56034.0,56178.0,56296.0,56300.0,56300.0,56705.0,69111.0,223052.0,388719.0,550166.0,574284.0,581132.0,794960.0,1032211.0,1297424.0,1542619.0,1765500.0,1791618.0,1795446.0,2067619.0,2310880.0,2526594.0,2712507.0,2867172.0,2878182.0,2879356.0,3001250.0,3091630.0,3156194.0,3211232.0,3262039.0,3264772.0,3265191.0,3380533.0,3524980.0,3677812.0,3845844.0,3850991.0,3852324.0,3852795.0,4057070.0,4203148.0,4340688.0,4501546.0,4643082.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29123.0,29707.0,29722.0,29722.0,30471.0,31338.0,32128.0,32916.0,33491.0,33511.0,33511.0,34100.0,34803.0,35347.0,35915.0,36461.0,36461.0,36461.0,37069.0,37705.0,38250.0,38844.0,38844.0,38910.0,38912.0,39327.0,39697.0,40046.0,40345.0,40617.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23354.0,23943.0,24759.0,25534.0,25540.0,25540.0,25540.0,26294.0,26917.0,27443.0,27968.0,28468.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93746.0,98494.0,102861.0,106606.0,106613.0,106613.0,110902.0,116092.0,120712.0,126431.0,131632.0,131750.0,131750.0,136817.0,142317.0,148318.0,153528.0,158799.0,159162.0,159205.0,165211.0,171327.0,176986.0,182255.0,187481.0,187866.0,188051.0,193601.0,198686.0,203630.0,208332.0,208624.0,209078.0,209273.0,212449.0,215936.0,219753.0,222843.0,225275.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12765.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35193.0,41259.0,41818.0,41818.0,49753.0,56560.0,62583.0,67402.0,72034.0,72186.0,72191.0,75760.0,78292.0,80355.0,82109.0,83696.0,83699.0,83719.0,87292.0,91691.0,96082.0,101080.0,101112.0,101118.0,101124.0,107348.0,112527.0,117238.0,121235.0,126984.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26373.0,28447.0,30606.0,32736.0,34795.0,34850.0,34850.0,36843.0,38754.0,40076.0,41213.0,43263.0,43458.0,43458.0,44941.0,46148.0,47162.0,47990.0,48997.0,49062.0,49064.0,50198.0,51216.0,52444.0,54083.0,55415.0,55511.0,55511.0,56776.0,58437.0,59970.0,62137.0,63235.0,63299.0,63299.0,64476.0,65813.0,67258.0,68756.0,70271.0,70367.0,70367.0,71723.0,73110.0,74320.0,75482.0,75568.0,75710.0,75711.0,76680.0,78012.0,78939.0,79866.0,80115.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2095.0,2739.0,2807.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2811.0,2826.0,2837.0,2849.0,2857.0,2858.0,2858.0,2860.0,2921.0,4174.0,6984.0,9209.0,9467.0,9493.0,11788.0,14298.0,17118.0,19861.0,22696.0,22790.0,22790.0,25711.0,28540.0,31223.0,33699.0,35835.0,35880.0,35880.0,37989.0,40090.0,41302.0,42107.0,42870.0,42876.0,42876.0,43758.0,44792.0,45618.0,46490.0,46496.0,46498.0,46499.0,48059.0,49338.0,50567.0,52033.0,53076.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39542.0,41481.0,42562.0,42615.0,42617.0,44532.0,46963.0,49301.0,51585.0,53115.0,53192.0,53192.0,54572.0,55758.0,56724.0,57876.0,59893.0,60192.0,60192.0,62168.0,64109.0,65953.0,68004.0,70024.0,70128.0,70128.0,72463.0,74784.0,77018.0,79186.0,80926.0,80927.0,80939.0,83435.0,86010.0,88503.0,90781.0,93206.0,93206.0,93206.0,95390.0,97455.0,99194.0,100845.0,100845.0,100845.0,100845.0,102328.0,103707.0,105019.0,106081.0,107418.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2661.0,3655.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3739.0,3766.0,3766.0,3766.0,3775.0,4446.0,9434.0,14616.0,19080.0,19503.0,19504.0,22967.0,25374.0,27594.0,29648.0,32082.0,32450.0,32450.0,34876.0,37600.0,40300.0,42127.0,43360.0,43384.0,43389.0,45060.0,46745.0,48113.0,50008.0,51332.0,51333.0,51333.0,52398.0,53657.0,55097.0,56592.0,56593.0,56593.0,56593.0,59198.0,61144.0,62831.0,64554.0,65874.0
