Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44187.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240598.0,414674.0,583388.0,611236.0,619872.0,841398.0,1083919.0,1356507.0,1607805.0,1837098.0,1866604.0,1871070.0,2136977.0,2357036.0,2545147.0,2700441.0,2842621.0,2852260.0,2853424.0,2961552.0,3055789.0,3141905.0,3227845.0,3305947.0,3315921.0,3316276.0,3453405.0,3612325.0,3770160.0,3914847.0,4051114.0,4060758.0,4061824.0,4198418.0,4337408.0,4473160.0,4644584.0,4795785.0,4820081.0,4822827.0,4980528.0,5146829.0,5297621.0,5445591.0,5581398.0,5604542.0,5607387.0,5751304.0,5898221.0,6051030.0,6207493.0,6373398.0,6386260.0,6387229.0,6537980.0,6671234.0,6797749.0,6932056.0,6933902.0,6935776.0,6936432.0,7015902.0,7108425.0,7202748.0,7278961.0,7349243.0,7360311.0,7361394.0,7438887.0,7513228.0,7591862.0,7653296.0,7710921.0,7718732.0,7719590.0,7763178.0,7802016.0,7832925.0,7888827.0,7928442.0,7934140.0,7934488.0,7977268.0,8015990.0,8059228.0,8089869.0,8140356.0,8141402.0,8142167.0,8217879.0,8298654.0,8379767.0,8460634.0,8543240.0,8560258.0,8561191.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24963.0,44323.0,52655.0,55536.0,55746.0,55780.0,55780.0,55780.0,55790.0,55790.0,55790.0,55790.0,55790.0,55790.0,55811.0,55851.0,56024.0,56168.0,56286.0,56290.0,56290.0,56697.0,69110.0,223151.0,388959.0,550502.0,574627.0,581521.0,795493.0,1032969.0,1298418.0,1543895.0,1766977.0,1793102.0,1796936.0,2069325.0,2312754.0,2528745.0,2714795.0,2869529.0,2880513.0,2881688.0,3003607.0,3094116.0,3158866.0,3214045.0,3264955.0,3267697.0,3268118.0,3383566.0,3528106.0,3681222.0,3849635.0,3854802.0,3856144.0,3856603.0,4061250.0,4207685.0,4345878.0,4508466.0,4656384.0,4671202.0,4672559.0,4831115.0,4990775.0,5140131.0,5283908.0,5416446.0,5430776.0,5432527.0,5580861.0,5727578.0,5872360.0,6015458.0,6158459.0,6170315.0,6171000.0,6323755.0,6455183.0,6579886.0,6703806.0,6740432.0,6741632.0,6742288.0,6817527.0,6905355.0,6997983.0,7073625.0,7136125.0,7144167.0,7144584.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22522.0,22895.0,22906.0,22906.0,23545.0,24361.0,25284.0,26013.0,26757.0,26762.0,26762.0,27298.0,27892.0,28423.0,29115.0,29698.0,29713.0,29713.0,30459.0,31322.0,32113.0,32900.0,33453.0,33473.0,33473.0,34047.0,34743.0,35283.0,35852.0,36402.0,36402.0,36402.0,37004.0,37637.0,38179.0,38773.0,38773.0,38837.0,38839.0,39254.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41341.0,41692.0,42012.0,42309.0,42312.0,42312.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44114.0,44374.0,44704.0,45068.0,45489.0,45590.0,45590.0,46067.0,46536.0,46920.0,47325.0,47644.0,47679.0,47679.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3390.0,4757.0,5827.0,5847.0,5847.0,7045.0,8202.0,9763.0,11075.0,12331.0,12364.0,12371.0,13950.0,15417.0,16840.0,18434.0,19738.0,19807.0,19807.0,20705.0,21611.0,22076.0,22491.0,22806.0,22806.0,22806.0,23353.0,23943.0,24757.0,25534.0,25540.0,25540.0,25540.0,26293.0,26936.0,27476.0,28002.0,28528.0,28534.0,28534.0,29363.0,30276.0,31101.0,31747.0,32328.0,32332.0,32332.0,32885.0,33575.0,34115.0,34645.0,35184.0,35197.0,35198.0,35828.0,36363.0,36914.0,37524.0,37713.0,37713.0,37713.0,38052.0,38466.0,38863.0,39158.0,39418.0,39429.0,39429.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43440.0,43445.0,50645.0,56067.0,60864.0,64996.0,69039.0,69194.0,69194.0,73107.0,76675.0,79901.0,82248.0,84794.0,84794.0,84794.0,88968.0,93727.0,98467.0,102832.0,106578.0,106585.0,106585.0,110873.0,116063.0,120683.0,126405.0,131607.0,131727.0,131727.0,136776.0,142258.0,148241.0,153430.0,158430.0,158792.0,158836.0,164752.0,170814.0,176436.0,181683.0,186897.0,187282.0,187468.0,192982.0,198071.0,203010.0,207715.0,208007.0,208463.0,208658.0,211805.0,215278.0,219079.0,222141.0,224693.0,225204.0,225348.0,228625.0,231723.0,234788.0,237396.0,239919.0,240902.0,241036.0,242491.0,243481.0,244348.0,245921.0,247034.0,247577.0,247602.0,248555.0,249465.0,250362.0,251068.0,252456.0,252489.0,252525.0,255361.0,258726.0,261914.0,265073.0,267938.0,269166.0,269405.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41820.0,41820.0,49756.0,56563.0,62585.0,67415.0,72049.0,72201.0,72206.0,75773.0,78304.0,80367.0,82122.0,83709.0,83712.0,83732.0,87306.0,91711.0,96096.0,101097.0,101129.0,101135.0,101141.0,107365.0,112556.0,117275.0,121278.0,127075.0,127281.0,127295.0,132736.0,137849.0,143215.0,148262.0,152734.0,153455.0,153509.0,159609.0,165022.0,170169.0,175218.0,180000.0,180551.0,180713.0,185797.0,189479.0,193561.0,198581.0,200452.0,200611.0,200741.0,203954.0,207496.0,211462.0,214438.0,216990.0,217541.0,217641.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44934.0,46141.0,47154.0,47982.0,48990.0,49056.0,49058.0,50188.0,51207.0,52437.0,54081.0,55417.0,55517.0,55517.0,56784.0,58446.0,59980.0,62128.0,63223.0,63287.0,63287.0,64451.0,65754.0,67183.0,68676.0,70211.0,70310.0,70310.0,71666.0,73045.0,74253.0,75417.0,75503.0,75645.0,75646.0,76617.0,78005.0,78932.0,79864.0,80123.0,80124.0,80124.0,81048.0,81969.0,82977.0,83700.0,84390.0,84421.0,84421.0,85164.0,85917.0,86598.0,87443.0,87848.0,87909.0,87909.0,88515.0,89269.0,89854.0,90278.0,90721.0,90723.0,90723.0,91590.0,92403.0,93467.0,94380.0,95179.0,95235.0,95235.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17139.0,19882.0,22717.0,22811.0,22811.0,25751.0,28581.0,31263.0,33740.0,35876.0,35921.0,35921.0,38029.0,40130.0,41342.0,42147.0,42910.0,42916.0,42916.0,43798.0,44832.0,45660.0,46535.0,46541.0,46544.0,46545.0,48101.0,49389.0,50620.0,52137.0,53226.0,53278.0,53278.0,54052.0,55776.0,57469.0,59295.0,60209.0,60261.0,60263.0,60911.0,62849.0,64354.0,65073.0,66511.0,66529.0,66532.0,68116.0,69758.0,71063.0,72128.0,72511.0,72511.0,72512.0,73419.0,74489.0,75353.0,75535.0,75747.0,75754.0,75754.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9462.0,15283.0,19994.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35823.0,37664.0,39556.0,41495.0,42576.0,42629.0,42631.0,44546.0,46977.0,49314.0,51598.0,53128.0,53205.0,53205.0,54585.0,55769.0,56736.0,57887.0,59904.0,60203.0,60203.0,62178.0,64128.0,65973.0,68027.0,70051.0,70155.0,70155.0,72487.0,74796.0,77002.0,79155.0,80874.0,80875.0,80887.0,83351.0,85900.0,88368.0,90629.0,93043.0,93043.0,93043.0,95225.0,97283.0,99016.0,100677.0,100677.0,100677.0,100677.0,102276.0,103791.0,105541.0,106732.0,108233.0,108362.0,108362.0,108776.0,110297.0,111686.0,112801.0,113819.0,113819.0,113819.0,114926.0,116287.0,117193.0,118242.0,119149.0,119149.0,119149.0,119940.0,121058.0,122149.0,122995.0,124080.0,124080.0,124080.0,125549.0,127069.0,128363.0,129679.0,131025.0,131171.0,131171.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9438.0,14624.0,19089.0,19512.0,19513.0,22976.0,25401.0,27621.0,29696.0,32131.0,32499.0,32499.0,34938.0,37662.0,40524.0,42354.0,43586.0,43610.0,43615.0,45288.0,46974.0,48341.0,50236.0,51562.0,51563.0,51563.0,52629.0,53886.0,55326.0,56823.0,56824.0,56824.0,56824.0,59438.0,61484.0,63259.0,65175.0,66744.0,66750.0,66750.0,68681.0,71267.0,73463.0,75568.0,77369.0,77375.0,77375.0,79416.0,81874.0,84135.0,86330.0,88087.0,88091.0,88091.0,89406.0,91618.0,93837.0,95632.0,96415.0,96415.0,96415.0,97625.0,99063.0,100714.0,101807.0,102664.0,102689.0,102689.0
