Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44220.0,53529.0,56586.0,56998.0,56998.0,56998.0,57015.0,57036.0,57037.0,57037.0,57037.0,57038.0,57038.0,57038.0,70221.0,240589.0,414613.0,583363.0,611213.0,619849.0,841333.0,1083804.0,1356229.0,1607592.0,1836843.0,1866366.0,1870833.0,2136702.0,2356739.0,2544780.0,2700043.0,2842168.0,2851810.0,2852972.0,2961077.0,3055276.0,3141377.0,3227311.0,3305586.0,3315629.0,3315984.0,3453137.0,3612098.0,3769947.0,3914685.0,4050904.0,4060549.0,4061614.0,4198225.0,4337269.0,4473092.0,4644535.0,4795774.0,4820063.0,4822811.0,4980666.0,5147290.0,5298581.0,5447389.0,5587158.0,5610338.0,5613190.0,5759931.0,5910204.0,6064494.0,6221960.0,6388544.0,6401488.0,6402457.0,6553709.0,6687686.0,6814774.0,6949570.0,6951426.0,6953307.0,6953965.0,7033896.0,7127050.0,7221949.0,7298697.0,7369583.0,7380775.0,7381872.0,7459975.0,7534988.0,7614339.0,7676635.0,7735035.0,7742936.0,7743812.0,7787709.0,7826921.0,7858066.0,7914431.0,7954271.0,7960020.0,7960371.0,8003436.0,8042460.0,8085956.0,8116823.0,8167759.0,8168851.0,8169650.0,8245646.0,8326705.0,8408195.0,8489782.0,8573864.0,8591249.0,8592209.0,8695508.0,8802919.0,8907757.0,9004765.0,9107992.0,9109042.0,9109307.0,9233892.0,9369985.0,9495748.0,9624232.0,9632534.0,9659356.0,9663055.0,9838905.0,10028762.0,10209416.0,10376344.0,10521784.0,10563379.0,10572498.0,10728440.0,10867849.0,10976935.0,11032524.0,11074905.0,11089656.0,11091635.0,11145509.0,11205726.0,11282324.0,11378656.0,11459264.0,11481983.0,11483406.0,11588453.0,11673520.0,11779099.0,11850043.0,11911517.0,11928085.0,11929880.0,11937200.0,12036807.0,12112330.0,12160784.0,12198967.0,12210047.0,12211078.0,12212323.0,12252235.0,12300326.0,12387206.0,12452638.0,12468174.0,12470179.0,12517899.0,12561565.0,12635329.0,12693343.0,12743898.0,12763887.0,12766283.0,12815443.0,12895588.0,12950247.0,13021607.0,13023721.0,13033662.0,13034590.0,13082179.0,13122362.0,13155664.0,13191481.0,13249585.0,13272590.0,13274619.0,13290069.0,13299341.0,13306381.0,13315009.0,13323359.0,13324418.0,13324447.0,13423860.0,13536579.0,13541336.0,13544581.0,13547532.0,13547770.0,13547825.0,13622074.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24982.0,44369.0,52713.0,55601.0,55811.0,55844.0,55844.0,55844.0,55855.0,55855.0,55856.0,55856.0,55856.0,55856.0,55878.0,55918.0,56092.0,56237.0,56355.0,56359.0,56359.0,56768.0,69184.0,223255.0,389089.0,550727.0,574863.0,581761.0,795788.0,1033298.0,1298849.0,1544471.0,1767591.0,1793757.0,1797593.0,2070051.0,2313686.0,2529742.0,2715883.0,2870669.0,2881685.0,2882856.0,3004877.0,3095481.0,3160291.0,3215521.0,3266631.0,3269379.0,3269802.0,3385315.0,3530018.0,3683261.0,3851806.0,3856986.0,3858331.0,3858794.0,4063678.0,4210341.0,4348758.0,4511568.0,4659648.0,4674486.0,4675842.0,4834747.0,4995073.0,5145239.0,5290129.0,5425937.0,5440323.0,5442085.0,5593139.0,5743251.0,5889694.0,6034043.0,6177828.0,6189762.0,6190452.0,6344081.0,6476590.0,6602227.0,6726766.0,6763698.0,6764906.0,6765573.0,6841418.0,6930048.0,7023683.0,7100338.0,7164220.0,7172428.0,7172873.0,7243272.0,7328623.0,7407138.0,7467810.0,7524058.0,7524465.0,7524636.0,7571697.0,7619390.0,7660629.0,7723972.0,7725335.0,7731618.0,7732207.0,7793324.0,7850228.0,7898588.0,7934868.0,7975758.0,7981536.0,7982511.0,8042149.0,8113709.0,8185504.0,8254073.0,8322522.0,8335586.0,8336815.0,8436889.0,8541341.0,8641677.0,8735289.0,8829610.0,8839008.0,8839603.0,8952056.0,9074062.0,9191446.0,9301455.0,9344868.0,9364739.0,9366886.0,9379213.0,9584654.0,9748326.0,9889487.0,10012394.0,10044123.0,10047501.0,10050635.0,10228093.0,10361984.0,10443813.0,10508638.0,10527632.0,10529734.0,10626340.0,10705194.0,10788671.0,10883351.0,10968283.0,10990102.0,10992639.0,11119011.0,11219857.0,11325224.0,11415709.0,11418308.0,11431755.0,11432956.0,11505981.0,11598419.0,11668476.0,11709413.0,11766083.0,11776228.0,11777067.0,11817402.0,11858388.0,11885954.0,11967108.0,12035195.0,12045324.0,12045763.0,12069407.0,12094766.0,12154410.0,12197228.0,12228688.0,12229588.0,12229609.0,12249949.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10454.0,33766.0,73378.0,107734.0,117643.0,119433.0,146897.0,166973.0,183697.0,196852.0,200900.0,201293.0,201342.0,205514.0,209186.0,213140.0,216182.0,218558.0,218836.0,218848.0,218926.0,222688.0,235104.0,298657.0,348738.0,358811.0,360066.0,361292.0,393187.0,416086.0,430092.0,441564.0,444995.0,445396.0,455801.0,463388.0,468185.0,472048.0,475964.0,477537.0,477708.0,481794.0,484627.0,487343.0,492649.0,492746.0,493215.0,493317.0,495948.0,497683.0,499083.0,500674.0,501903.0,503329.0,503371.0,504314.0,505091.0,505623.0,506099.0,506374.0,506386.0,506387.0,507385.0,508238.0,508458.0,508639.0,508818.0,508833.0,508833.0,509037.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73574.0,73804.0,74238.0,74549.0,74642.0,74642.0,74768.0,74871.0,74945.0,75045.0,75094.0,75116.0,75116.0,75277.0,75441.0,75552.0,75653.0,75769.0,75774.0,75774.0,75884.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60287.0,60918.0,61396.0,61487.0,61518.0,61984.0,62479.0,63126.0,63777.0,64236.0,64318.0,64318.0,64698.0,64968.0,65261.0,65521.0,65521.0,65565.0,65598.0,65747.0,65978.0,66221.0,66503.0,66765.0,66831.0,66832.0,66944.0,67129.0,67330.0,67740.0,68027.0,68092.0,68092.0,68313.0,68583.0,69005.0,69451.0,69790.0,69837.0,69837.0,70116.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7671.0,7751.0,7839.0,7852.0,7852.0,7904.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12793.0,15852.0,16036.0,16036.0,19620.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50648.0,56070.0,60866.0,64998.0,69041.0,69198.0,69198.0,73116.0,76684.0,79910.0,82257.0,84803.0,84803.0,84803.0,88980.0,93741.0,98489.0,102859.0,106604.0,106611.0,106611.0,110899.0,116090.0,120712.0,126434.0,131638.0,131757.0,131757.0,136825.0,142332.0,148336.0,153552.0,158820.0,159182.0,159226.0,165237.0,171361.0,177021.0,182292.0,187523.0,187908.0,188094.0,193647.0,198745.0,203704.0,208417.0,208710.0,209166.0,209361.0,212542.0,216036.0,219866.0,222960.0,225545.0,226064.0,226208.0,229519.0,232652.0,235747.0,238376.0,240923.0,241909.0,242043.0,243506.0,244520.0,245390.0,246975.0,248092.0,248658.0,248683.0,249638.0,250551.0,251449.0,252158.0,253551.0,253584.0,253620.0,256459.0,259828.0,263019.0,266183.0,269058.0,270297.0,270552.0,274442.0,278322.0,281922.0,285349.0,289033.0,289308.0,289388.0,294009.0,299401.0,304118.0,308645.0,309166.0,310195.0,310399.0,317470.0,325279.0,331140.0,337655.0,343519.0,343768.0,343897.0,350356.0,352799.0,354730.0,357304.0,360350.0,360887.0,360907.0,363959.0,367405.0,371782.0,376132.0,379700.0,380963.0,380986.0,384853.0,388433.0,392693.0,395766.0,398485.0,398839.0,398890.0,399634.0,403495.0,407245.0,408880.0,409628.0,409747.0,409760.0,410204.0,411626.0,413604.0,416782.0,419255.0,419691.0,419725.0,421728.0,423620.0,426500.0,429047.0,431330.0,432013.0,432050.0,434579.0,438194.0,441186.0,444058.0,444839.0,445727.0,445763.0,448684.0,451673.0,454469.0,458322.0,461653.0,462256.0,462276.0,462486.0,462632.0,463195.0,463645.0,463783.0,463787.0,463787.0,467542.0,472410.0,472421.0,472436.0,472443.0,472443.0,472443.0,475624.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19047.0,23375.0,28865.0,35200.0,41266.0,41828.0,41828.0,49766.0,56574.0,62597.0,67427.0,72062.0,72217.0,72222.0,75791.0,78329.0,80393.0,82149.0,83738.0,83741.0,83761.0,87338.0,91745.0,96138.0,101144.0,101176.0,101182.0,101188.0,107416.0,112611.0,117333.0,121339.0,127145.0,127352.0,127366.0,132829.0,137971.0,143364.0,148445.0,153119.0,153854.0,153909.0,160119.0,165608.0,170794.0,175871.0,180676.0,181229.0,181391.0,186515.0,190211.0,194313.0,199347.0,201227.0,201386.0,201517.0,204758.0,208328.0,212328.0,215330.0,217922.0,218484.0,218606.0,221441.0,224739.0,227676.0,229859.0,232217.0,232310.0,232419.0,234344.0,236088.0,237447.0,239340.0,239477.0,239780.0,239814.0,241642.0,243327.0,244401.0,245466.0,246880.0,246919.0,246950.0,249138.0,251494.0,254047.0,256451.0,258567.0,258926.0,258974.0,262744.0,266427.0,269876.0,273185.0,276539.0,277168.0,277270.0,281565.0,286147.0,290699.0,294790.0,296762.0,297281.0,297431.0,298730.0,307016.0,314044.0,318981.0,323599.0,324442.0,324469.0,325081.0,330534.0,333933.0,336692.0,339507.0,340076.0,340110.0,344354.0,348010.0,352038.0,356246.0,359623.0,360676.0,360709.0,365922.0,370085.0,374115.0,378127.0,378985.0,379860.0,379925.0,383096.0,387277.0,390906.0,393271.0,395055.0,395316.0,395328.0,397083.0,398398.0,400021.0,402723.0,404839.0,405187.0,405194.0,405882.0,406552.0,407894.0,408526.0,408990.0,408997.0,408997.0,409382.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2778.0,5942.0,7633.0,8426.0,8457.0,8457.0,8953.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9123.0,9148.0,11698.0,14559.0,15200.0,15204.0,15302.0,17034.0,18026.0,18564.0,19125.0,19165.0,19180.0,19623.0,19964.0,20170.0,20302.0,20384.0,20546.0,20553.0,20770.0,20899.0,20957.0,20978.0,20981.0,20985.0,20985.0,21009.0,21022.0,21038.0,21061.0,21069.0,21070.0,21071.0,21071.0,21071.0,21083.0,21083.0,21090.0,21090.0,21090.0,21090.0,21090.0,21090.0,21090.0,21090.0,21090.0,21090.0,21090.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4421.0,7254.0,9648.0,9953.0,9987.0,12419.0,14972.0,17992.0,20749.0,23635.0,23753.0,23753.0,26404.0,28484.0,30645.0,32776.0,34840.0,34895.0,34895.0,36886.0,38797.0,40121.0,41263.0,43316.0,43512.0,43512.0,44996.0,46205.0,47219.0,48048.0,49053.0,49117.0,49119.0,50255.0,51275.0,52507.0,54150.0,55486.0,55584.0,55584.0,56858.0,58527.0,60069.0,62249.0,63345.0,63409.0,63409.0,64587.0,65930.0,67381.0,68881.0,70419.0,70551.0,70551.0,71913.0,73304.0,74520.0,75684.0,75770.0,75912.0,75913.0,76884.0,78282.0,79217.0,80159.0,80418.0,80419.0,80419.0,81344.0,82273.0,83283.0,84005.0,84704.0,84735.0,84735.0,85481.0,86239.0,86926.0,87907.0,88315.0,88379.0,88379.0,88991.0,89747.0,90378.0,90805.0,91250.0,91255.0,91255.0,92147.0,92964.0,94110.0,95050.0,95895.0,95980.0,95980.0,97176.0,98475.0,99675.0,100908.0,102010.0,102070.0,102076.0,103336.0,104764.0,106227.0,107764.0,107922.0,108727.0,108727.0,110772.0,113211.0,115273.0,117543.0,119492.0,119912.0,119913.0,121999.0,123924.0,124420.0,124427.0,124445.0,124448.0,124448.0,124631.0,126054.0,127766.0,129804.0,131517.0,132087.0,132094.0,133818.0,135510.0,137147.0,138361.0,139467.0,139773.0,139773.0,139850.0,141203.0,142579.0,144081.0,145332.0,145744.0,145744.0,145747.0,145961.0,146203.0,146917.0,147467.0,147639.0,147639.0,148084.0,148644.0,149449.0,150580.0,151658.0,152080.0,152080.0,153199.0,154607.0,155767.0,156796.0,156796.0,157299.0,157299.0,158494.0,159556.0,160550.0,161737.0,163050.0,163824.0,163824.0,164168.0,164619.0,165235.0,165697.0,166165.0,166195.0,166195.0,167742.0,169398.0,169407.0,169420.0,169428.0,169428.0,169428.0,170448.0
