Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70188.0,240549.0,414574.0,583250.0,611100.0,619734.0,841203.0,1083664.0,1356179.0,1607440.0,1836674.0,1866190.0,1870656.0,2136515.0,2356524.0,2544562.0,2699813.0,2841925.0,2851564.0,2852728.0,2960842.0,3055052.0,3141151.0,3227077.0,3305332.0,3315311.0,3315666.0,3452752.0,3611621.0,3769412.0,3914088.0,4050295.0,4059941.0,4061005.0,4197546.0,4336501.0,4472237.0,4643621.0,4794792.0,4819088.0,4821835.0,4979517.0,5145806.0,5296591.0,5444525.0,5580311.0,5603456.0,5606302.0,5750196.0,5897101.0,6049871.0,6206276.0,6372143.0,6385016.0,6385985.0,6536702.0,6669903.0,6796410.0,6930701.0,6932549.0,6934424.0,6935081.0,7014547.0,7107038.0,7201379.0,7277615.0,7347966.0,7359059.0,7360146.0,7437752.0,7512169.0,7590881.0,7652437.0,7710224.0,7718044.0,7718904.0,7762582.0,7801543.0,7832540.0,7888738.0,7928470.0,7934179.0,7934530.0,7977407.0,8016235.0,8059590.0,8090304.0,8140915.0,8141978.0,8142775.0,8218599.0,8299467.0,8380802.0,8462205.0,8545989.0,8563281.0,8564240.0,8667349.0,8774482.0,8879028.0,8975675.0,9078481.0,9079519.0,9079784.0,9204095.0,9339564.0,9464203.0,9590806.0,9598515.0,9624929.0,9628617.0,9803985.0,9992982.0,10172883.0,10339012.0,10483739.0,10525193.0,10534293.0,10689570.0,10828044.0,10936472.0,10991530.0,11033498.0,11048155.0,11050125.0,11103575.0,11163083.0,11238521.0,11330830.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44339.0,52676.0,55560.0,55770.0,55804.0,55804.0,55804.0,55815.0,55815.0,55815.0,55815.0,55815.0,55815.0,55837.0,55877.0,56050.0,56194.0,56312.0,56316.0,56316.0,56724.0,69138.0,223183.0,388977.0,550527.0,574655.0,581549.0,795520.0,1032989.0,1298478.0,1544059.0,1767117.0,1793267.0,1797102.0,2069512.0,2313012.0,2529000.0,2715076.0,2869787.0,2880770.0,2881946.0,3003870.0,3094407.0,3159174.0,3214369.0,3265447.0,3268195.0,3268617.0,3384071.0,3528638.0,3681772.0,3850196.0,3855375.0,3856720.0,3857181.0,4061889.0,4208398.0,4346653.0,4509295.0,4657261.0,4672083.0,4673438.0,4832071.0,4991949.0,5141440.0,5285375.0,5417986.0,5432320.0,5434074.0,5582495.0,5729305.0,5874138.0,6017313.0,6160399.0,6172266.0,6172953.0,6325766.0,6457251.0,6582155.0,6706126.0,6742864.0,6744064.0,6744723.0,6820064.0,6908017.0,7000988.0,7077074.0,7140433.0,7148559.0,7149002.0,7218876.0,7303412.0,7381205.0,7441159.0,7496809.0,7497212.0,7497381.0,7544031.0,7591284.0,7632204.0,7695258.0,7696607.0,7702860.0,7703446.0,7764253.0,7820681.0,7868786.0,7904798.0,7945369.0,7951112.0,7952078.0,8011421.0,8082599.0,8154137.0,8222427.0,8290586.0,8303557.0,8304772.0,8404478.0,8508307.0,8607453.0,8697030.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10435.0,33698.0,73230.0,107506.0,117407.0,119197.0,146630.0,166675.0,183252.0,195613.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22520.0,22893.0,22904.0,22904.0,23543.0,24358.0,25281.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40991.0,41341.0,41693.0,42013.0,42310.0,42313.0,42313.0,42576.0,42924.0,43173.0,43507.0,43809.0,43825.0,43825.0,44118.0,44378.0,44709.0,45074.0,45497.0,45598.0,45598.0,46077.0,46552.0,46936.0,47348.0,47668.0,47703.0,47703.0,48133.0,48593.0,49076.0,49447.0,49826.0,49907.0,49909.0,50376.0,50984.0,51647.0,52326.0,52326.0,52744.0,52744.0,54263.0,55789.0,57052.0,58050.0,59256.0,59585.0,59585.0,60815.0,61798.0,62531.0,62966.0,63231.0,63269.0,63303.0,63642.0,64097.0,64636.0,65251.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27485.0,28011.0,28537.0,28543.0,28543.0,29372.0,30287.0,31112.0,31758.0,32340.0,32344.0,32344.0,32899.0,33590.0,34130.0,34662.0,35201.0,35214.0,35215.0,35845.0,36380.0,36931.0,37541.0,37730.0,37730.0,37730.0,38069.0,38485.0,38883.0,39201.0,39461.0,39473.0,39473.0,39789.0,40181.0,40529.0,40768.0,40961.0,40970.0,40973.0,41362.0,41783.0,42048.0,42429.0,42430.0,42477.0,42477.0,42882.0,43234.0,43683.0,44010.0,44505.0,44557.0,44557.0,45060.0,45554.0,45927.0,46362.0,46655.0,46687.0,46700.0,47115.0,47690.0,48138.0,48510.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1017.0,1106.0,1154.0,1395.0,1641.0,1949.0,2191.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186931.0,187316.0,187502.0,193017.0,198105.0,203048.0,207754.0,208047.0,208503.0,208698.0,211847.0,215320.0,219121.0,222183.0,224736.0,225249.0,225393.0,228676.0,231776.0,234844.0,237457.0,239982.0,240966.0,241100.0,242559.0,243551.0,244418.0,246002.0,247118.0,247662.0,247687.0,248641.0,249554.0,250451.0,251160.0,252550.0,252583.0,252619.0,255456.0,258823.0,262010.0,265170.0,268036.0,269267.0,269521.0,273394.0,277262.0,280858.0,284281.0,287962.0,288236.0,288316.0,292931.0,298320.0,303032.0,307558.0,308079.0,309108.0,309312.0,316374.0,324181.0,330024.0,336531.0,342382.0,342631.0,342760.0,349214.0,351646.0,353565.0,356132.0,359162.0,359699.0,359719.0,362753.0,366178.0,370527.0,374791.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5887.0,5893.0,6006.0,6025.0,6028.0,6029.0,6029.0,6031.0,6552.0,9496.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35197.0,41262.0,41824.0,41824.0,49761.0,56569.0,62591.0,67420.0,72055.0,72208.0,72213.0,75780.0,78317.0,80381.0,82137.0,83725.0,83728.0,83748.0,87324.0,91729.0,96115.0,101118.0,101150.0,101156.0,101162.0,107386.0,112579.0,117298.0,121301.0,127104.0,127310.0,127324.0,132767.0,137885.0,143254.0,148309.0,152785.0,153506.0,153560.0,159664.0,165085.0,170237.0,175289.0,180076.0,180627.0,180789.0,185874.0,189557.0,193644.0,198668.0,200542.0,200701.0,200831.0,204048.0,207592.0,211563.0,214544.0,217099.0,217654.0,217775.0,220580.0,223843.0,226757.0,228926.0,231264.0,231357.0,231466.0,233381.0,235104.0,236455.0,238345.0,238480.0,238775.0,238808.0,240624.0,242288.0,243355.0,244416.0,245826.0,245865.0,245896.0,248081.0,250432.0,252980.0,255382.0,257488.0,257844.0,257892.0,261635.0,265295.0,268732.0,271974.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12405.0,14955.0,17975.0,20732.0,23613.0,23729.0,23729.0,26377.0,28450.0,30610.0,32740.0,34799.0,34854.0,34854.0,36846.0,38757.0,40081.0,41223.0,43276.0,43472.0,43472.0,44954.0,46162.0,47175.0,48004.0,49009.0,49075.0,49077.0,50207.0,51227.0,52457.0,54099.0,55436.0,55536.0,55536.0,56803.0,58466.0,60000.0,62149.0,63244.0,63308.0,63308.0,64471.0,65773.0,67202.0,68695.0,70231.0,70338.0,70338.0,71695.0,73074.0,74284.0,75448.0,75534.0,75676.0,75677.0,76647.0,78034.0,78961.0,79897.0,80156.0,80157.0,80157.0,81082.0,82002.0,83008.0,83730.0,84428.0,84459.0,84459.0,85204.0,85959.0,86643.0,87624.0,88032.0,88092.0,88092.0,88701.0,89456.0,90082.0,90508.0,90951.0,90955.0,90955.0,91839.0,92652.0,93792.0,94731.0,95575.0,95657.0,95657.0,96852.0,98146.0,99340.0,100422.0,101521.0,101581.0,101587.0,102835.0,104250.0,105695.0,107218.0,107374.0,108167.0,108167.0,110188.0,112611.0,114668.0,116925.0,118744.0,119158.0,119159.0,121219.0,123138.0,123628.0,123635.0,123654.0,123657.0,123657.0,123839.0,125246.0,126948.0,128853.0
