Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12823.0,13780.0,13803.0,13803.0,24854.0,44214.0,53522.0,56580.0,56992.0,56992.0,56992.0,57009.0,57030.0,57031.0,57031.0,57031.0,57032.0,57032.0,57032.0,70213.0,240579.0,414604.0,583312.0,611161.0,619795.0,841272.0,1083745.0,1356168.0,1607523.0,1836761.0,1866282.0,1870749.0,2136616.0,2356648.0,2544688.0,2699947.0,2842067.0,2851708.0,2852870.0,2960977.0,3055185.0,3141286.0,3227219.0,3305492.0,3315535.0,3315890.0,3453041.0,3611994.0,3769839.0,3914567.0,4050786.0,4060433.0,4061498.0,4198102.0,4337149.0,4472970.0,4644413.0,4795659.0,4819949.0,4822697.0,4980540.0,5147146.0,5298429.0,5447227.0,5586990.0,5610171.0,5613023.0,5759761.0,5910025.0,6064312.0,6221780.0,6388358.0,6401298.0,6402267.0,6553518.0,6687488.0,6814571.0,6949362.0,6951212.0,6953092.0,6953748.0,7033666.0,7126825.0,7221722.0,7298470.0,7369348.0,7380540.0,7381637.0,7459730.0,7534742.0,7614087.0,7676380.0,7734781.0,7742683.0,7743559.0,7787449.0,7826648.0,7857796.0,7914157.0,7953992.0,7959740.0,7960091.0,8003155.0,8042177.0,8085672.0,8116534.0,8167465.0,8168556.0,8169355.0,8245338.0,8326387.0,8407863.0,8489440.0,8573519.0,8590903.0,8591863.0,8695159.0,8802564.0,8907387.0,9004387.0,9107602.0,9108652.0,9108917.0,9233495.0,9369566.0,9495469.0,9623943.0,9632245.0,9659051.0,9662749.0,9838577.0,10028405.0,10209029.0,10375937.0,10521345.0,10562927.0,10572044.0,10727940.0,10867314.0,10976366.0,11031957.0,11074316.0,11089067.0,11091047.0,11144890.0,11205083.0,11281651.0,11377948.0,11458511.0,11481223.0,11482646.0,11587550.0,11672501.0,11777912.0,11848776.0,11910166.0,11926702.0,11928495.0,11935778.0,12035273.0,12110730.0,12159079.0,12197201.0,12208259.0,12209286.0,12210510.0,12250355.0,12298325.0,12385068.0,12450409.0,12465931.0,12467932.0,12515552.0,12559122.0,12632703.0,12690360.0,12740450.0,12760186.0,12762575.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24978.0,44364.0,52708.0,55594.0,55804.0,55837.0,55837.0,55837.0,55848.0,55848.0,55849.0,55849.0,55849.0,55849.0,55871.0,55911.0,56085.0,56229.0,56347.0,56351.0,56351.0,56760.0,69175.0,223231.0,389039.0,550625.0,574758.0,581652.0,795656.0,1033147.0,1298663.0,1544263.0,1767347.0,1793508.0,1797344.0,2069757.0,2313338.0,2529355.0,2715466.0,2870239.0,2881251.0,2882422.0,3004419.0,3095005.0,3159799.0,3215009.0,3266098.0,3268846.0,3269270.0,3384761.0,3529417.0,3682622.0,3851129.0,3856308.0,3857653.0,3858115.0,4062925.0,4209537.0,4347903.0,4510665.0,4658716.0,4673550.0,4674906.0,4833764.0,4994036.0,5144135.0,5288979.0,5424702.0,5439126.0,5440888.0,5591893.0,5741950.0,5888328.0,6032634.0,6176396.0,6188326.0,6189016.0,6342607.0,6475057.0,6600672.0,6725176.0,6762087.0,6763293.0,6763959.0,6839760.0,6928338.0,7021906.0,7098522.0,7162369.0,7170574.0,7171017.0,7241375.0,7326673.0,7405158.0,7465803.0,7522014.0,7522421.0,7522591.0,7569613.0,7617230.0,7658441.0,7721744.0,7723104.0,7729382.0,7729970.0,7791041.0,7847890.0,7896214.0,7932454.0,7973307.0,7979082.0,7980055.0,8039657.0,8111175.0,8182938.0,8251482.0,8319901.0,8332951.0,8334179.0,8434196.0,8538576.0,8638845.0,8732397.0,8826644.0,8836036.0,8836630.0,8948967.0,9070835.0,9188072.0,9297825.0,9341122.0,9360919.0,9363036.0,9374589.0,9572360.0,9729432.0,9864685.0,9982280.0,10012982.0,10016219.0,10019125.0,10187743.0,10313982.0,10391266.0,10452657.0,10470577.0,10472498.0,10541964.0,10607545.0,10680954.0,10766397.0,10841526.0,10860181.0,10862336.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10448.0,33750.0,73350.0,107681.0,117587.0,119377.0,146829.0,166894.0,183618.0,196757.0,200804.0,201196.0,201245.0,205414.0,209082.0,213038.0,216073.0,218444.0,218722.0,218734.0,218812.0,222569.0,234980.0,298513.0,348525.0,358596.0,359850.0,361071.0,392947.0,415769.0,429719.0,441157.0,444584.0,444984.0,455368.0,462943.0,467719.0,471537.0,475400.0,476964.0,477132.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64340.0,65040.0,65746.0,66101.0,66154.0,66198.0,66454.0,66639.0,66814.0,66998.0,67132.0,67148.0,67161.0,67161.0,67353.0,67596.0,67866.0,68146.0,68202.0,68215.0,68215.0,68384.0,68548.0,69006.0,69350.0,69409.0,69418.0,69593.0,69832.0,70299.0,70756.0,71086.0,71168.0,71168.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23368.0,23959.0,24775.0,25552.0,25558.0,25558.0,25558.0,26312.0,26955.0,27496.0,28023.0,28549.0,28555.0,28555.0,29386.0,30302.0,31131.0,31779.0,32377.0,32381.0,32381.0,32950.0,33649.0,34195.0,34727.0,35266.0,35279.0,35280.0,35917.0,36455.0,37010.0,37621.0,37811.0,37811.0,37811.0,38154.0,38573.0,38971.0,39289.0,39550.0,39562.0,39562.0,39882.0,40275.0,40626.0,40865.0,41058.0,41067.0,41070.0,41461.0,41884.0,42149.0,42533.0,42534.0,42581.0,42581.0,42987.0,43341.0,43793.0,44122.0,44629.0,44682.0,44682.0,45187.0,45682.0,46055.0,46491.0,46784.0,46816.0,46829.0,47245.0,47825.0,48273.0,48673.0,49041.0,49113.0,49123.0,49565.0,50081.0,50679.0,51238.0,51519.0,51729.0,51783.0,51786.0,53623.0,55000.0,56166.0,57180.0,57442.0,57503.0,57504.0,59220.0,60275.0,60903.0,61381.0,61472.0,61503.0,61969.0,62464.0,63110.0,63761.0,64220.0,64302.0,64302.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4231.0,4508.0,4683.0,4727.0,4733.0,4733.0,4936.0,5121.0,5234.0,5325.0,5373.0,5376.0,5485.0,5584.0,5675.0,5768.0,5865.0,5889.0,5889.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88981.0,93742.0,98488.0,102856.0,106601.0,106608.0,106608.0,110896.0,116087.0,120707.0,126429.0,131633.0,131752.0,131752.0,136819.0,142326.0,148331.0,153547.0,158815.0,159177.0,159221.0,165231.0,171354.0,177012.0,182283.0,187513.0,187898.0,188084.0,193637.0,198735.0,203693.0,208405.0,208698.0,209154.0,209349.0,212530.0,216024.0,219854.0,222948.0,225533.0,226052.0,226196.0,229506.0,232639.0,235734.0,238363.0,240910.0,241897.0,242031.0,243493.0,244507.0,245377.0,246962.0,248079.0,248645.0,248670.0,249625.0,250538.0,251436.0,252145.0,253537.0,253570.0,253606.0,256443.0,259811.0,263001.0,266163.0,269038.0,270277.0,270532.0,274422.0,278302.0,281902.0,285327.0,289011.0,289286.0,289366.0,293987.0,299380.0,304097.0,308624.0,309145.0,310174.0,310378.0,317448.0,325257.0,331117.0,337632.0,343493.0,343742.0,343871.0,350328.0,352770.0,354702.0,357276.0,360321.0,360858.0,360878.0,363929.0,367374.0,371749.0,376098.0,379664.0,380927.0,380950.0,384814.0,388393.0,392649.0,395720.0,398437.0,398791.0,398842.0,399584.0,403440.0,407190.0,408820.0,409567.0,409686.0,409699.0,410142.0,411560.0,413538.0,416715.0,419184.0,419620.0,419654.0,421657.0,423549.0,426429.0,428973.0,431252.0,431935.0,431971.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23375.0,28865.0,35200.0,41265.0,41827.0,41827.0,49764.0,56571.0,62593.0,67423.0,72058.0,72213.0,72218.0,75787.0,78324.0,80388.0,82144.0,83732.0,83735.0,83755.0,87332.0,91738.0,96129.0,101133.0,101165.0,101171.0,101177.0,107403.0,112598.0,117317.0,121321.0,127127.0,127334.0,127348.0,132810.0,137951.0,143343.0,148424.0,153097.0,153832.0,153887.0,160094.0,165582.0,170767.0,175841.0,180646.0,181199.0,181361.0,186483.0,190178.0,194278.0,199310.0,201188.0,201347.0,201478.0,204719.0,208289.0,212288.0,215288.0,217880.0,218442.0,218563.0,221394.0,224693.0,227629.0,229812.0,232169.0,232262.0,232371.0,234294.0,236036.0,237393.0,239285.0,239421.0,239723.0,239756.0,241583.0,243267.0,244339.0,245402.0,246815.0,246854.0,246885.0,249073.0,251428.0,253979.0,256382.0,258495.0,258852.0,258900.0,262665.0,266339.0,269784.0,273093.0,276444.0,277073.0,277175.0,281466.0,286044.0,290590.0,294677.0,296646.0,297165.0,297315.0,298479.0,306310.0,312951.0,317646.0,321872.0,322629.0,322655.0,323228.0,328137.0,331234.0,333841.0,336529.0,337083.0,337116.0,340386.0,343645.0,347326.0,351191.0,354186.0,355131.0,355160.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9143.0,11693.0,14554.0,15195.0,15199.0,15297.0,17029.0,18020.0,18557.0,19118.0,19158.0,19173.0,19616.0,19957.0,20163.0,20295.0,20377.0,20539.0,20546.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4421.0,7254.0,9648.0,9952.0,9986.0,12417.0,14969.0,17989.0,20746.0,23629.0,23746.0,23746.0,26395.0,28476.0,30638.0,32769.0,34833.0,34888.0,34888.0,36880.0,38791.0,40115.0,41257.0,43310.0,43506.0,43506.0,44990.0,46199.0,47213.0,48042.0,49047.0,49113.0,49115.0,50251.0,51271.0,52502.0,54144.0,55481.0,55580.0,55580.0,56854.0,58522.0,60063.0,62242.0,63338.0,63402.0,63402.0,64581.0,65924.0,67375.0,68878.0,70415.0,70543.0,70543.0,71905.0,73296.0,74512.0,75676.0,75762.0,75904.0,75905.0,76876.0,78275.0,79210.0,80153.0,80412.0,80413.0,80413.0,81338.0,82267.0,83277.0,83999.0,84698.0,84729.0,84729.0,85474.0,86232.0,86920.0,87900.0,88308.0,88372.0,88372.0,88984.0,89738.0,90369.0,90796.0,91241.0,91246.0,91246.0,92136.0,92954.0,94097.0,95037.0,95882.0,95966.0,95966.0,97161.0,98460.0,99660.0,100893.0,101994.0,102054.0,102060.0,103320.0,104748.0,106212.0,107749.0,107907.0,108712.0,108712.0,110753.0,113193.0,115255.0,117525.0,119474.0,119893.0,119894.0,121980.0,123905.0,124401.0,124408.0,124426.0,124429.0,124429.0,124612.0,126032.0,127742.0,129780.0,131490.0,132059.0,132066.0,133784.0,135471.0,137043.0,138253.0,139359.0,139665.0,139665.0,139742.0,141089.0,142464.0,143960.0,145203.0,145614.0,145614.0,145617.0,145828.0,146069.0,146782.0,147330.0,147502.0,147502.0,147946.0,148506.0,149310.0,150441.0,151514.0,151935.0,151935.0
