Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70212.0,240556.0,414599.0,583275.0,611126.0,619761.0,841189.0,1083646.0,1356126.0,1607347.0,1836573.0,1866080.0,1870545.0,2136386.0,2356384.0,2544390.0,2699629.0,2841736.0,2851375.0,2852539.0,2960652.0,3054867.0,3140890.0,3226814.0,3304922.0,3314961.0,3315316.0,3452443.0,3611384.0,3769195.0,3913911.0,4050120.0,4059758.0,4060825.0,4197371.0,4336381.0,4472159.0,4643566.0,4794715.0,4818972.0,4821710.0,4979302.0,5145630.0,5296660.0,5445240.0,5584922.0,5608086.0,5611063.0,5757385.0,5907454.0,6061214.0,6218475.0,6384278.0,6397161.0,6398128.0,6549121.0,6682828.0,6809489.0,6943722.0,6945569.0,6947431.0,6948131.0,7027644.0,7120464.0,7214552.0,7290343.0,7359383.0,7369927.0,7370951.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24967.0,44331.0,52665.0,55548.0,55756.0,55790.0,55790.0,55790.0,55800.0,55800.0,55800.0,55800.0,55800.0,55800.0,55821.0,55861.0,56034.0,56178.0,56296.0,56300.0,56300.0,56705.0,69111.0,223056.0,388723.0,550174.0,574292.0,581140.0,794968.0,1032221.0,1297443.0,1542661.0,1765556.0,1791673.0,1795501.0,2067677.0,2310940.0,2526654.0,2712567.0,2867238.0,2878248.0,2879422.0,3001317.0,3091699.0,3156273.0,3211314.0,3262122.0,3264855.0,3265274.0,3380622.0,3525075.0,3677909.0,3845947.0,3851094.0,3852427.0,3852898.0,4057230.0,4203554.0,4341299.0,4502705.0,4648686.0,4663289.0,4664573.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21849.0,22529.0,22902.0,22913.0,22913.0,23553.0,24367.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27899.0,28430.0,29123.0,29707.0,29722.0,29722.0,30471.0,31338.0,32128.0,32916.0,33491.0,33511.0,33511.0,34100.0,34803.0,35347.0,35915.0,36461.0,36461.0,36461.0,37069.0,37705.0,38250.0,38844.0,38844.0,38910.0,38912.0,39327.0,39715.0,40072.0,40371.0,40651.0,40651.0,40651.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23354.0,23943.0,24759.0,25534.0,25540.0,25540.0,25540.0,26294.0,26937.0,27473.0,27998.0,28509.0,28509.0,28509.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93746.0,98494.0,102861.0,106606.0,106613.0,106613.0,110902.0,116092.0,120712.0,126431.0,131632.0,131750.0,131750.0,136817.0,142317.0,148318.0,153528.0,158799.0,159162.0,159205.0,165211.0,171328.0,176987.0,182256.0,187482.0,187867.0,188052.0,193602.0,198696.0,203642.0,208344.0,208636.0,209090.0,209285.0,212461.0,215948.0,219765.0,222855.0,225432.0,225945.0,226063.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12765.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35193.0,41259.0,41818.0,41818.0,49753.0,56560.0,62583.0,67402.0,72035.0,72187.0,72192.0,75761.0,78293.0,80356.0,82110.0,83697.0,83700.0,83720.0,87293.0,91698.0,96089.0,101087.0,101119.0,101125.0,101131.0,107355.0,112536.0,117247.0,121245.0,127037.0,127244.0,127254.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26373.0,28447.0,30606.0,32736.0,34795.0,34850.0,34850.0,36843.0,38754.0,40076.0,41213.0,43263.0,43458.0,43458.0,44941.0,46148.0,47162.0,47990.0,48997.0,49062.0,49064.0,50198.0,51216.0,52445.0,54084.0,55416.0,55512.0,55512.0,56777.0,58438.0,59971.0,62138.0,63236.0,63300.0,63300.0,64477.0,65814.0,67259.0,68757.0,70272.0,70368.0,70368.0,71724.0,73111.0,74321.0,75483.0,75569.0,75711.0,75712.0,76681.0,78076.0,79003.0,79933.0,80190.0,80191.0,80191.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2095.0,2739.0,2807.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2811.0,2826.0,2837.0,2849.0,2857.0,2858.0,2858.0,2860.0,2921.0,4174.0,6984.0,9209.0,9467.0,9493.0,11788.0,14298.0,17118.0,19861.0,22696.0,22790.0,22790.0,25711.0,28540.0,31223.0,33699.0,35835.0,35880.0,35880.0,37989.0,40090.0,41302.0,42107.0,42870.0,42876.0,42876.0,43758.0,44792.0,45618.0,46490.0,46496.0,46498.0,46499.0,48059.0,49343.0,50572.0,52038.0,53125.0,53177.0,53177.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39542.0,41481.0,42562.0,42615.0,42617.0,44532.0,46963.0,49301.0,51585.0,53115.0,53192.0,53192.0,54572.0,55758.0,56724.0,57876.0,59893.0,60192.0,60192.0,62168.0,64109.0,65953.0,68005.0,70026.0,70130.0,70130.0,72465.0,74786.0,77020.0,79188.0,80928.0,80929.0,80941.0,83437.0,86012.0,88505.0,90783.0,93208.0,93208.0,93208.0,95392.0,97457.0,99196.0,100847.0,100848.0,100848.0,100848.0,102331.0,103719.0,105054.0,106116.0,107526.0,107627.0,107627.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2661.0,3655.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3739.0,3766.0,3766.0,3766.0,3775.0,4446.0,9434.0,14616.0,19080.0,19503.0,19504.0,22967.0,25374.0,27594.0,29669.0,32103.0,32471.0,32471.0,34897.0,37621.0,40321.0,42148.0,43381.0,43405.0,43410.0,45081.0,46766.0,48134.0,50029.0,51353.0,51354.0,51354.0,52419.0,53678.0,55118.0,56613.0,56614.0,56614.0,56614.0,59219.0,61255.0,62943.0,64666.0,66094.0,66100.0,66100.0
