Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70188.0,240550.0,414575.0,583253.0,611103.0,619737.0,841206.0,1083668.0,1356092.0,1607442.0,1836677.0,1866193.0,1870659.0,2136519.0,2356529.0,2544568.0,2699823.0,2841941.0,2851580.0,2852744.0,2960858.0,3055068.0,3141168.0,3227094.0,3305346.0,3315325.0,3315680.0,3452767.0,3611636.0,3769427.0,3914102.0,4050309.0,4059955.0,4061019.0,4197561.0,4336518.0,4472253.0,4643636.0,4794807.0,4819103.0,4821850.0,4979532.0,5145823.0,5296607.0,5444551.0,5580340.0,5603485.0,5606331.0,5750225.0,5897129.0,6049900.0,6206304.0,6372171.0,6385044.0,6386013.0,6536730.0,6669932.0,6796439.0,6930729.0,6932577.0,6934453.0,6935110.0,7014577.0,7107068.0,7201408.0,7277644.0,7347997.0,7359091.0,7360178.0,7437784.0,7512200.0,7590912.0,7652468.0,7710255.0,7718075.0,7718935.0,7762616.0,7801591.0,7832588.0,7888786.0,7928516.0,7934225.0,7934576.0,7977454.0,8016281.0,8059637.0,8090351.0,8140961.0,8142024.0,8142822.0,8218645.0,8299513.0,8380849.0,8462257.0,8546045.0,8563340.0,8564300.0,8667414.0,8774562.0,8879123.0,8975929.0,9078799.0,9079837.0,9080102.0,9204412.0,9339880.0,9464521.0,9591138.0,9598847.0,9625262.0,9628950.0,9804315.0,9993316.0,10173261.0,10339397.0,10484155.0,10525609.0,10534709.0,10689998.0,10828473.0,10936901.0,10991959.0,11033933.0,11048590.0,11050560.0,11104017.0,11163595.0,11239328.0,11334718.0,11412131.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44339.0,52677.0,55561.0,55771.0,55804.0,55804.0,55804.0,55815.0,55815.0,55815.0,55815.0,55815.0,55815.0,55837.0,55877.0,56050.0,56194.0,56312.0,56316.0,56316.0,56724.0,69138.0,223185.0,388981.0,550531.0,574659.0,581553.0,795525.0,1032996.0,1298491.0,1544071.0,1767129.0,1793280.0,1797115.0,2069526.0,2313028.0,2529017.0,2715098.0,2869815.0,2880798.0,2881974.0,3003899.0,3094436.0,3159204.0,3214400.0,3265480.0,3268228.0,3268650.0,3384106.0,3528674.0,3681810.0,3850238.0,3855417.0,3856762.0,3857223.0,4061935.0,4208446.0,4346704.0,4509347.0,4657314.0,4672136.0,4673491.0,4832126.0,4992005.0,5141507.0,5285444.0,5418060.0,5432394.0,5434148.0,5582574.0,5729383.0,5874217.0,6017390.0,6160478.0,6172345.0,6173033.0,6325845.0,6457333.0,6582238.0,6706209.0,6742947.0,6744147.0,6744806.0,6820149.0,6908102.0,7001074.0,7077168.0,7140529.0,7148655.0,7149098.0,7218977.0,7303513.0,7381311.0,7441269.0,7496921.0,7497324.0,7497493.0,7544146.0,7591416.0,7632336.0,7695404.0,7696753.0,7703006.0,7703592.0,7764403.0,7820835.0,7868943.0,7904963.0,7945537.0,7951280.0,7952246.0,8011594.0,8082772.0,8154310.0,8222626.0,8290785.0,8303756.0,8304971.0,8404691.0,8508629.0,8608224.0,8700955.0,8791515.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10435.0,33698.0,73229.0,107508.0,117409.0,119199.0,146637.0,166694.0,183348.0,196413.0,200189.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22520.0,22893.0,22904.0,22904.0,23543.0,24358.0,25281.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40991.0,41341.0,41693.0,42013.0,42310.0,42313.0,42313.0,42576.0,42924.0,43173.0,43507.0,43809.0,43825.0,43825.0,44118.0,44378.0,44709.0,45074.0,45497.0,45598.0,45598.0,46077.0,46552.0,46936.0,47348.0,47668.0,47703.0,47703.0,48133.0,48593.0,49076.0,49447.0,49826.0,49907.0,49909.0,50376.0,50984.0,51647.0,52326.0,52326.0,52744.0,52744.0,54263.0,55789.0,57052.0,58050.0,59256.0,59585.0,59585.0,60815.0,61798.0,62531.0,62966.0,63231.0,63269.0,63303.0,63642.0,64097.0,64636.0,65258.0,65595.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27485.0,28011.0,28537.0,28543.0,28543.0,29372.0,30287.0,31112.0,31758.0,32340.0,32344.0,32344.0,32899.0,33590.0,34130.0,34662.0,35201.0,35214.0,35215.0,35845.0,36380.0,36931.0,37541.0,37730.0,37730.0,37730.0,38069.0,38485.0,38883.0,39201.0,39461.0,39473.0,39473.0,39789.0,40181.0,40529.0,40768.0,40961.0,40970.0,40973.0,41362.0,41783.0,42048.0,42429.0,42430.0,42477.0,42477.0,42882.0,43234.0,43683.0,44010.0,44505.0,44557.0,44557.0,45060.0,45554.0,45927.0,46362.0,46655.0,46687.0,46700.0,47115.0,47690.0,48138.0,48538.0,48893.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2224.0,2463.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186931.0,187316.0,187502.0,193017.0,198105.0,203048.0,207754.0,208047.0,208503.0,208698.0,211847.0,215320.0,219121.0,222183.0,224736.0,225249.0,225393.0,228676.0,231776.0,234844.0,237457.0,239982.0,240966.0,241100.0,242560.0,243552.0,244419.0,246003.0,247119.0,247663.0,247688.0,248642.0,249555.0,250452.0,251161.0,252551.0,252584.0,252620.0,255457.0,258824.0,262011.0,265171.0,268037.0,269268.0,269522.0,273395.0,277263.0,280859.0,284282.0,287964.0,288238.0,288318.0,292933.0,298322.0,303034.0,307560.0,308081.0,309110.0,309314.0,316376.0,324183.0,330026.0,336533.0,342384.0,342633.0,342762.0,349216.0,351648.0,353567.0,356134.0,359164.0,359701.0,359721.0,362755.0,366180.0,370529.0,374864.0,378356.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5887.0,5893.0,6006.0,6025.0,6028.0,6029.0,6029.0,6031.0,6552.0,9496.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35197.0,41262.0,41824.0,41824.0,49761.0,56569.0,62591.0,67420.0,72055.0,72208.0,72213.0,75780.0,78317.0,80381.0,82137.0,83725.0,83728.0,83748.0,87324.0,91729.0,96115.0,101118.0,101150.0,101156.0,101162.0,107386.0,112579.0,117298.0,121301.0,127104.0,127310.0,127324.0,132767.0,137885.0,143254.0,148309.0,152785.0,153506.0,153560.0,159664.0,165085.0,170237.0,175289.0,180076.0,180627.0,180789.0,185874.0,189557.0,193644.0,198668.0,200542.0,200701.0,200831.0,204048.0,207592.0,211563.0,214544.0,217099.0,217654.0,217775.0,220580.0,223843.0,226757.0,228926.0,231264.0,231357.0,231466.0,233381.0,235104.0,236455.0,238345.0,238480.0,238775.0,238808.0,240624.0,242288.0,243355.0,244416.0,245826.0,245865.0,245896.0,248081.0,250432.0,252980.0,255382.0,257488.0,257844.0,257892.0,261635.0,265296.0,268734.0,272039.0,275322.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12405.0,14956.0,17976.0,20733.0,23614.0,23730.0,23730.0,26379.0,28452.0,30613.0,32743.0,34807.0,34862.0,34862.0,36854.0,38765.0,40089.0,41231.0,43283.0,43479.0,43479.0,44961.0,46169.0,47182.0,48011.0,49016.0,49082.0,49084.0,50214.0,51234.0,52464.0,54106.0,55443.0,55543.0,55543.0,56810.0,58473.0,60007.0,62161.0,63256.0,63320.0,63320.0,64483.0,65785.0,67214.0,68707.0,70243.0,70350.0,70350.0,71707.0,73086.0,74296.0,75460.0,75546.0,75688.0,75689.0,76659.0,78046.0,78973.0,79909.0,80168.0,80169.0,80169.0,81094.0,82014.0,83017.0,83739.0,84437.0,84468.0,84468.0,85213.0,85968.0,86652.0,87633.0,88041.0,88101.0,88101.0,88710.0,89465.0,90091.0,90517.0,90960.0,90964.0,90964.0,91848.0,92661.0,93801.0,94741.0,95585.0,95667.0,95667.0,96862.0,98156.0,99350.0,100579.0,101678.0,101738.0,101744.0,102992.0,104407.0,105852.0,107375.0,107531.0,108324.0,108324.0,110345.0,112768.0,114825.0,117082.0,118901.0,119315.0,119316.0,121376.0,123296.0,123786.0,123793.0,123812.0,123815.0,123815.0,123997.0,125405.0,127111.0,129106.0,130788.0
