Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44220.0,53529.0,56586.0,56998.0,56998.0,56998.0,57015.0,57036.0,57037.0,57037.0,57037.0,57038.0,57038.0,57038.0,70221.0,240591.0,414616.0,583368.0,611218.0,619855.0,841342.0,1083814.0,1356239.0,1607601.0,1836853.0,1866376.0,1870843.0,2136713.0,2356752.0,2544793.0,2700056.0,2842181.0,2851823.0,2852985.0,2961089.0,3055288.0,3141389.0,3227323.0,3305598.0,3315641.0,3315996.0,3453149.0,3612110.0,3769958.0,3914697.0,4050915.0,4060560.0,4061625.0,4198234.0,4337277.0,4473101.0,4644543.0,4795779.0,4820068.0,4822816.0,4980673.0,5147305.0,5298589.0,5447403.0,5587167.0,5610347.0,5613199.0,5759942.0,5910218.0,6064505.0,6221970.0,6388553.0,6401497.0,6402466.0,6553718.0,6687697.0,6814784.0,6949579.0,6951436.0,6953317.0,6953975.0,7033906.0,7127060.0,7221959.0,7298709.0,7369593.0,7380785.0,7381882.0,7459985.0,7534998.0,7614348.0,7676644.0,7735043.0,7742944.0,7743820.0,7787717.0,7826928.0,7858075.0,7914440.0,7954280.0,7960029.0,7960380.0,8003445.0,8042469.0,8085965.0,8116832.0,8167768.0,8168860.0,8169659.0,8245661.0,8326719.0,8408210.0,8489797.0,8573879.0,8591263.0,8592223.0,8695524.0,8802933.0,8907772.0,9004780.0,9108010.0,9109060.0,9109325.0,9233909.0,9370003.0,9495765.0,9624248.0,9632550.0,9659372.0,9663071.0,9838923.0,10028777.0,10209433.0,10376361.0,10521803.0,10563398.0,10572517.0,10728460.0,10867871.0,10976957.0,11032556.0,11074937.0,11089689.0,11091668.0,11145541.0,11205760.0,11282358.0,11378693.0,11459302.0,11482021.0,11483444.0,11588493.0,11673562.0,11779141.0,11850086.0,11911559.0,11928128.0,11929923.0,11937243.0,12036856.0,12112381.0,12160835.0,12199026.0,12210105.0,12211136.0,12212381.0,12252296.0,12300394.0,12387280.0,12452716.0,12468254.0,12470259.0,12517981.0,12561654.0,12635434.0,12693459.0,12744024.0,12764015.0,12766412.0,12815570.0,12895726.0,12950390.0,13021753.0,13023867.0,13033809.0,13034737.0,13082327.0,13122510.0,13155814.0,13191632.0,13249736.0,13272742.0,13274789.0,13290240.0,13299513.0,13306558.0,13315187.0,13323540.0,13324599.0,13324628.0,13424055.0,13536777.0,13541535.0,13544780.0,13547757.0,13547995.0,13548050.0,13624814.0,13692455.0,13694778.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24982.0,44369.0,52713.0,55601.0,55811.0,55844.0,55844.0,55844.0,55855.0,55855.0,55856.0,55856.0,55856.0,55856.0,55878.0,55918.0,56092.0,56237.0,56355.0,56359.0,56359.0,56768.0,69184.0,223262.0,389102.0,550747.0,574883.0,581782.0,795816.0,1033327.0,1298878.0,1544504.0,1767630.0,1793797.0,1797633.0,2070089.0,2313741.0,2529783.0,2715945.0,2870711.0,2881727.0,2882898.0,3004920.0,3095531.0,3160335.0,3215568.0,3266679.0,3269427.0,3269850.0,3385365.0,3530072.0,3683320.0,3851869.0,3857049.0,3858394.0,3858857.0,4063744.0,4210413.0,4348832.0,4511646.0,4659726.0,4674564.0,4675920.0,4834835.0,4995164.0,5145336.0,5290231.0,5426042.0,5440428.0,5442190.0,5593249.0,5743373.0,5889822.0,6034174.0,6177961.0,6189895.0,6190585.0,6344218.0,6476734.0,6602372.0,6726912.0,6763846.0,6765054.0,6765721.0,6841569.0,6930199.0,7023834.0,7100491.0,7164373.0,7172581.0,7173026.0,7243430.0,7328783.0,7407300.0,7467975.0,7524226.0,7524633.0,7524804.0,7571866.0,7619562.0,7660808.0,7724156.0,7725519.0,7731802.0,7732391.0,7793517.0,7850425.0,7898792.0,7935077.0,7975978.0,7981758.0,7982733.0,8042380.0,8113947.0,8185743.0,8254320.0,8322772.0,8335836.0,8337065.0,8437143.0,8541598.0,8641936.0,8735553.0,8829877.0,8839275.0,8839870.0,8952326.0,9074332.0,9191718.0,9301732.0,9345146.0,9365018.0,9367165.0,9379493.0,9584941.0,9748621.0,9889785.0,10012692.0,10044421.0,10047799.0,10050933.0,10228400.0,10362303.0,10444139.0,10508967.0,10527961.0,10530063.0,10626678.0,10705536.0,10789022.0,10883712.0,10968649.0,10990470.0,10993007.0,11119402.0,11220259.0,11325639.0,11416129.0,11418728.0,11432176.0,11433377.0,11506405.0,11598851.0,11668915.0,11709852.0,11766523.0,11776669.0,11777518.0,11817857.0,11858846.0,11886414.0,11967566.0,12035659.0,12045790.0,12046229.0,12069875.0,12095235.0,12154885.0,12197708.0,12229189.0,12230100.0,12230121.0,12251261.0,12270593.0,12383482.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10454.0,33766.0,73380.0,107736.0,117644.0,119434.0,146898.0,166974.0,183698.0,196854.0,200902.0,201295.0,201344.0,205516.0,209189.0,213143.0,216185.0,218561.0,218839.0,218851.0,218929.0,222691.0,235107.0,298660.0,348741.0,358814.0,360069.0,361295.0,393190.0,416089.0,430096.0,441568.0,444998.0,445399.0,455804.0,463394.0,468191.0,472055.0,475971.0,477544.0,477715.0,481802.0,484635.0,487351.0,492657.0,492754.0,493223.0,493325.0,495956.0,497691.0,499091.0,500683.0,501912.0,503338.0,503380.0,504323.0,505100.0,505632.0,506108.0,506383.0,506395.0,506396.0,507394.0,508247.0,508468.0,508650.0,508829.0,508844.0,508844.0,509063.0,509313.0,509400.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,65881.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73574.0,73804.0,74238.0,74549.0,74642.0,74642.0,74768.0,74871.0,74945.0,75045.0,75094.0,75116.0,75116.0,75277.0,75441.0,75552.0,75653.0,75769.0,75774.0,75774.0,75896.0,76004.0,76079.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60287.0,60918.0,61396.0,61487.0,61518.0,61984.0,62479.0,63126.0,63777.0,64236.0,64318.0,64318.0,64698.0,64968.0,65261.0,65521.0,65521.0,65565.0,65598.0,65747.0,65978.0,66221.0,66503.0,66765.0,66832.0,66833.0,66945.0,67130.0,67331.0,67741.0,68028.0,68093.0,68093.0,68314.0,68584.0,69006.0,69452.0,69791.0,69838.0,69838.0,70161.0,70563.0,70979.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7671.0,7751.0,7839.0,7852.0,7852.0,7914.0,7991.0,8040.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,234.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24050.0,29757.0,36326.0,42675.0,43445.0,43450.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88981.0,93742.0,98489.0,102859.0,106604.0,106611.0,106611.0,110899.0,116090.0,120712.0,126434.0,131638.0,131757.0,131757.0,136825.0,142332.0,148336.0,153552.0,158820.0,159182.0,159226.0,165237.0,171361.0,177021.0,182292.0,187523.0,187908.0,188094.0,193647.0,198746.0,203705.0,208418.0,208711.0,209167.0,209362.0,212543.0,216037.0,219867.0,222961.0,225546.0,226065.0,226209.0,229520.0,232653.0,235748.0,238377.0,240924.0,241910.0,242044.0,243507.0,244521.0,245391.0,246976.0,248093.0,248659.0,248684.0,249639.0,250552.0,251450.0,252159.0,253552.0,253585.0,253621.0,256460.0,259829.0,263020.0,266184.0,269059.0,270298.0,270553.0,274443.0,278323.0,281923.0,285350.0,289034.0,289309.0,289389.0,294010.0,299402.0,304119.0,308646.0,309167.0,310196.0,310400.0,317471.0,325279.0,331140.0,337655.0,343519.0,343768.0,343897.0,350356.0,352799.0,354730.0,357304.0,360350.0,360887.0,360907.0,363958.0,367405.0,371782.0,376131.0,379699.0,380962.0,380985.0,384852.0,388432.0,392692.0,395765.0,398484.0,398838.0,398889.0,399633.0,403494.0,407244.0,408879.0,409627.0,409745.0,409758.0,410202.0,411624.0,413602.0,416781.0,419254.0,419690.0,419724.0,421727.0,423620.0,426500.0,429047.0,431330.0,432012.0,432049.0,434578.0,438193.0,441185.0,444057.0,444838.0,445726.0,445762.0,448683.0,451672.0,454468.0,458321.0,461652.0,462255.0,462275.0,462485.0,462631.0,463194.0,463644.0,463782.0,463786.0,463786.0,467541.0,472409.0,472420.0,472435.0,472442.0,472442.0,472442.0,475673.0,478730.0,478746.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19047.0,23375.0,28865.0,35201.0,41268.0,41830.0,41830.0,49768.0,56576.0,62599.0,67429.0,72064.0,72219.0,72224.0,75793.0,78331.0,80395.0,82151.0,83740.0,83743.0,83763.0,87340.0,91747.0,96140.0,101146.0,101178.0,101184.0,101190.0,107418.0,112613.0,117335.0,121342.0,127148.0,127355.0,127369.0,132832.0,137974.0,143367.0,148448.0,153122.0,153857.0,153912.0,160122.0,165611.0,170797.0,175874.0,180679.0,181232.0,181394.0,186518.0,190214.0,194316.0,199350.0,201230.0,201389.0,201520.0,204761.0,208331.0,212331.0,215333.0,217926.0,218488.0,218610.0,221445.0,224743.0,227680.0,229863.0,232221.0,232314.0,232423.0,234348.0,236092.0,237451.0,239344.0,239481.0,239784.0,239818.0,241646.0,243332.0,244407.0,245472.0,246886.0,246925.0,246956.0,249144.0,251500.0,254053.0,256457.0,258573.0,258932.0,258980.0,262750.0,266433.0,269882.0,273191.0,276545.0,277174.0,277276.0,281571.0,286153.0,290705.0,294796.0,296768.0,297287.0,297437.0,298736.0,307021.0,314050.0,318987.0,323605.0,324448.0,324475.0,325087.0,330540.0,333939.0,336701.0,339516.0,340085.0,340119.0,344364.0,348021.0,352050.0,356258.0,359635.0,360687.0,360720.0,365933.0,370096.0,374126.0,378138.0,378996.0,379871.0,379936.0,383107.0,387288.0,390917.0,393282.0,395066.0,395327.0,395339.0,397094.0,398409.0,400032.0,402733.0,404849.0,405197.0,405204.0,405892.0,406562.0,407905.0,408537.0,409001.0,409008.0,409008.0,409394.0,409727.0,414569.0
