Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70213.0,240572.0,414599.0,583275.0,611126.0,619761.0,841187.0,1083652.0,1356132.0,1607355.0,1836578.0,1866083.0,1870548.0,2136387.0,2356382.0,2544388.0,2699627.0,2841736.0,2851375.0,2852539.0,2960650.0,3054865.0,3140888.0,3226813.0,3304922.0,3314961.0,3315316.0,3452445.0,3611389.0,3769200.0,3913915.0,4050123.0,4059763.0,4060830.0,4197385.0,4336412.0,4472202.0,4643634.0,4794800.0,4819076.0,4821818.0,4979541.0,5145996.0,5297033.0,5445624.0,5585300.0,5608464.0,5611441.0,5757764.0,5907836.0,6061642.0,6218941.0,6384749.0,6397640.0,6398607.0,6549645.0,6683353.0,6810044.0,6944293.0,6946139.0,6948007.0,6948707.0,7028250.0,7121178.0,7215732.0,7291762.0,7361935.0,7372979.0,7374069.0,7451507.0,7521754.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24967.0,44331.0,52665.0,55548.0,55756.0,55790.0,55790.0,55790.0,55800.0,55800.0,55800.0,55800.0,55800.0,55800.0,55821.0,55861.0,56034.0,56178.0,56296.0,56300.0,56300.0,56706.0,69114.0,223066.0,388743.0,550204.0,574322.0,581171.0,795017.0,1032309.0,1297632.0,1542869.0,1765775.0,1791889.0,1795718.0,2067905.0,2311170.0,2526898.0,2712819.0,2867492.0,2878502.0,2879676.0,3001571.0,3091957.0,3156569.0,3211608.0,3262419.0,3265159.0,3265579.0,3380934.0,3525391.0,3678235.0,3846298.0,3851445.0,3852783.0,3853254.0,4057649.0,4204014.0,4341959.0,4503884.0,4650885.0,4665692.0,4667048.0,4824294.0,4975239.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19493.0,19574.0,19574.0,20367.0,21148.0,21851.0,22531.0,22904.0,22915.0,22915.0,23555.0,24371.0,25295.0,26024.0,26768.0,26773.0,26773.0,27310.0,27903.0,28434.0,29127.0,29711.0,29726.0,29726.0,30475.0,31342.0,32133.0,32921.0,33496.0,33516.0,33516.0,34105.0,34808.0,35352.0,35920.0,36467.0,36467.0,36467.0,37075.0,37711.0,38256.0,38850.0,38850.0,38916.0,38918.0,39333.0,39721.0,40078.0,40377.0,40663.0,40665.0,40665.0,41010.0,41349.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20708.0,21614.0,22079.0,22494.0,22807.0,22807.0,22807.0,23354.0,23943.0,24759.0,25534.0,25540.0,25540.0,25540.0,26294.0,26937.0,27473.0,27998.0,28516.0,28522.0,28522.0,29316.0,30175.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93746.0,98494.0,102861.0,106606.0,106613.0,106613.0,110902.0,116092.0,120712.0,126432.0,131633.0,131753.0,131753.0,136820.0,142323.0,148324.0,153534.0,158804.0,159167.0,159210.0,165216.0,171333.0,176992.0,182261.0,187487.0,187872.0,188057.0,193607.0,198701.0,203647.0,208349.0,208641.0,209096.0,209291.0,212467.0,215956.0,219773.0,222863.0,225440.0,225954.0,226098.0,229406.0,232460.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12765.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35194.0,41260.0,41819.0,41819.0,49755.0,56562.0,62585.0,67404.0,72037.0,72189.0,72194.0,75763.0,78295.0,80358.0,82112.0,83699.0,83702.0,83722.0,87295.0,91700.0,96091.0,101089.0,101121.0,101127.0,101133.0,107357.0,112547.0,117258.0,121256.0,127049.0,127256.0,127270.0,132729.0,137824.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26374.0,28447.0,30606.0,32736.0,34795.0,34850.0,34850.0,36842.0,38753.0,40075.0,41212.0,43262.0,43457.0,43457.0,44940.0,46147.0,47161.0,47989.0,48996.0,49061.0,49063.0,50198.0,51216.0,52445.0,54083.0,55415.0,55512.0,55512.0,56778.0,58440.0,59973.0,62140.0,63238.0,63302.0,63302.0,64479.0,65816.0,67261.0,68759.0,70274.0,70370.0,70370.0,71726.0,73113.0,74323.0,75485.0,75571.0,75713.0,75714.0,76683.0,78079.0,79006.0,79948.0,80205.0,80206.0,80206.0,81123.0,81912.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2095.0,2739.0,2807.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2811.0,2826.0,2837.0,2849.0,2857.0,2858.0,2858.0,2860.0,2921.0,4174.0,6984.0,9209.0,9467.0,9493.0,11788.0,14298.0,17118.0,19861.0,22696.0,22790.0,22790.0,25711.0,28540.0,31223.0,33699.0,35835.0,35880.0,35880.0,37989.0,40090.0,41302.0,42107.0,42870.0,42876.0,42876.0,43758.0,44792.0,45618.0,46490.0,46496.0,46498.0,46499.0,48059.0,49343.0,50572.0,52038.0,53125.0,53177.0,53177.0,53946.0,55500.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39542.0,41481.0,42562.0,42615.0,42617.0,44532.0,46963.0,49301.0,51585.0,53115.0,53192.0,53192.0,54572.0,55758.0,56724.0,57876.0,59894.0,60193.0,60193.0,62169.0,64120.0,65964.0,68017.0,70040.0,70144.0,70144.0,72483.0,74806.0,77040.0,79209.0,80949.0,80950.0,80962.0,83458.0,86033.0,88526.0,90804.0,93229.0,93229.0,93229.0,95413.0,97478.0,99217.0,100868.0,100868.0,100868.0,100868.0,102351.0,103817.0,105572.0,106755.0,108279.0,108406.0,108406.0,108717.0,109765.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2661.0,3655.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3739.0,3766.0,3766.0,3766.0,3775.0,4446.0,9435.0,14617.0,19081.0,19504.0,19505.0,22968.0,25393.0,27613.0,29688.0,32122.0,32490.0,32490.0,34925.0,37649.0,40349.0,42176.0,43409.0,43433.0,43438.0,45109.0,46794.0,48162.0,50057.0,51381.0,51382.0,51382.0,52447.0,53706.0,55146.0,56641.0,56642.0,56642.0,56642.0,59250.0,61290.0,63060.0,64877.0,66309.0,66315.0,66315.0,68062.0,69894.0
