Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44187.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240599.0,414675.0,583376.0,611224.0,619860.0,841389.0,1083909.0,1356498.0,1607799.0,1837094.0,1866601.0,1871067.0,2136974.0,2357033.0,2545142.0,2700435.0,2842614.0,2852253.0,2853417.0,2961545.0,3055782.0,3141901.0,3227842.0,3305946.0,3315919.0,3316274.0,3453401.0,3612320.0,3770156.0,3914846.0,4051128.0,4060772.0,4061837.0,4198431.0,4337423.0,4473176.0,4644599.0,4795800.0,4820096.0,4822842.0,4980542.0,5146849.0,5297642.0,5445612.0,5581425.0,5604569.0,5607414.0,5751330.0,5898250.0,6051059.0,6207531.0,6373438.0,6386301.0,6387270.0,6538023.0,6671275.0,6797793.0,6932103.0,6933950.0,6935825.0,6936481.0,7015965.0,7108493.0,7202822.0,7279044.0,7349374.0,7360463.0,7361550.0,7439157.0,7513560.0,7592274.0,7653781.0,7711506.0,7719319.0,7720177.0,7763774.0,7802628.0,7833550.0,7889595.0,7929227.0,7934926.0,7935274.0,7978068.0,8016800.0,8060051.0,8090698.0,8141217.0,8142265.0,8143030.0,8218768.0,8299577.0,8380840.0,8462075.0,8545439.0,8562711.0,8563668.0,8666580.0,8773287.0,8876843.0,8969101.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44327.0,52659.0,55540.0,55750.0,55784.0,55784.0,55784.0,55794.0,55794.0,55794.0,55794.0,55794.0,55794.0,55815.0,55855.0,56028.0,56172.0,56290.0,56294.0,56294.0,56701.0,69113.0,223162.0,388971.0,550515.0,574640.0,581534.0,795512.0,1032989.0,1298440.0,1543926.0,1767016.0,1793144.0,1796978.0,2069370.0,2312804.0,2528799.0,2714855.0,2869594.0,2880577.0,2881752.0,3003671.0,3094185.0,3158941.0,3214128.0,3265043.0,3267786.0,3268207.0,3383662.0,3528209.0,3681334.0,3849754.0,3854922.0,3856264.0,3856723.0,4061384.0,4207824.0,4346031.0,4508634.0,4656562.0,4671380.0,4672737.0,4831315.0,4991011.0,5140384.0,5284257.0,5416813.0,5431143.0,5432894.0,5581238.0,5727966.0,5872759.0,6015867.0,6158890.0,6170748.0,6171433.0,6324197.0,6455636.0,6580359.0,6704295.0,6740952.0,6742152.0,6742808.0,6818075.0,6905969.0,6998865.0,7074875.0,7138111.0,7146223.0,7146664.0,7216423.0,7300566.0,7377726.0,7435094.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40989.0,41339.0,41691.0,42011.0,42308.0,42311.0,42311.0,42573.0,42921.0,43170.0,43503.0,43805.0,43821.0,43821.0,44113.0,44373.0,44703.0,45067.0,45488.0,45589.0,45589.0,46066.0,46535.0,46919.0,47329.0,47648.0,47683.0,47683.0,48111.0,48560.0,49040.0,49359.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16842.0,18436.0,19740.0,19809.0,19809.0,20707.0,21613.0,22078.0,22493.0,22808.0,22808.0,22808.0,23355.0,23945.0,24759.0,25536.0,25542.0,25542.0,25542.0,26295.0,26938.0,27478.0,28004.0,28530.0,28536.0,28536.0,29365.0,30278.0,31103.0,31749.0,32330.0,32334.0,32334.0,32887.0,33577.0,34117.0,34647.0,35186.0,35199.0,35200.0,35830.0,36365.0,36916.0,37526.0,37715.0,37715.0,37715.0,38054.0,38468.0,38865.0,39183.0,39443.0,39454.0,39454.0,39771.0,40142.0,40481.0,40668.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60866.0,64998.0,69041.0,69196.0,69196.0,73109.0,76677.0,79903.0,82250.0,84796.0,84796.0,84796.0,88970.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116066.0,120686.0,126408.0,131610.0,131730.0,131730.0,136779.0,142262.0,148246.0,153435.0,158437.0,158799.0,158843.0,164759.0,170825.0,176447.0,181696.0,186910.0,187295.0,187481.0,192996.0,198085.0,203025.0,207730.0,208023.0,208479.0,208674.0,211823.0,215296.0,219097.0,222159.0,224712.0,225225.0,225369.0,228650.0,231749.0,234815.0,237424.0,239947.0,240930.0,241064.0,242520.0,243510.0,244377.0,245950.0,247063.0,247607.0,247632.0,248587.0,249497.0,250394.0,251100.0,252488.0,252521.0,252557.0,255393.0,258758.0,261943.0,265102.0,267967.0,269195.0,269449.0,273320.0,277188.0,280781.0,284095.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41822.0,41822.0,49759.0,56567.0,62589.0,67419.0,72053.0,72205.0,72210.0,75777.0,78309.0,80373.0,82128.0,83715.0,83718.0,83738.0,87312.0,91717.0,96102.0,101103.0,101135.0,101141.0,101147.0,107371.0,112563.0,117282.0,121285.0,127082.0,127288.0,127302.0,132744.0,137859.0,143227.0,148274.0,152748.0,153469.0,153523.0,159623.0,165042.0,170192.0,175243.0,180026.0,180577.0,180739.0,185823.0,189505.0,193589.0,198609.0,200481.0,200640.0,200770.0,203985.0,207527.0,211496.0,214473.0,217026.0,217578.0,217699.0,220502.0,223762.0,226674.0,228807.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44934.0,46141.0,47154.0,47982.0,48990.0,49056.0,49058.0,50188.0,51208.0,52438.0,54082.0,55419.0,55519.0,55519.0,56786.0,58448.0,59982.0,62130.0,63226.0,63290.0,63290.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74256.0,75420.0,75506.0,75648.0,75649.0,76620.0,78008.0,78935.0,79870.0,80129.0,80130.0,80130.0,81054.0,81974.0,82986.0,83709.0,84399.0,84430.0,84430.0,85174.0,85927.0,86608.0,87586.0,87991.0,88052.0,88052.0,88658.0,89412.0,89997.0,90421.0,90864.0,90868.0,90868.0,91735.0,92548.0,93679.0,94615.0,95413.0,95494.0,95494.0,96653.0,97947.0,99102.0,100119.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2089.0,2732.0,2800.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2803.0,2804.0,2819.0,2830.0,2842.0,2850.0,2851.0,2851.0,2853.0,2914.0,4167.0,7001.0,9229.0,9487.0,9513.0,11808.0,14318.0,17139.0,19882.0,22718.0,22812.0,22812.0,25752.0,28582.0,31264.0,33741.0,35877.0,35922.0,35922.0,38030.0,40131.0,41343.0,42148.0,42911.0,42917.0,42917.0,43799.0,44834.0,45662.0,46537.0,46543.0,46546.0,46547.0,48103.0,49391.0,50623.0,52151.0,53241.0,53293.0,53293.0,54068.0,55796.0,57490.0,59316.0,60230.0,60282.0,60284.0,60932.0,62871.0,64377.0,65096.0,66534.0,66552.0,66555.0,68144.0,69787.0,71092.0,72158.0,72541.0,72541.0,72542.0,73449.0,74549.0,75416.0,75599.0,75812.0,75820.0,75820.0,76980.0,78174.0,79021.0,79519.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37665.0,39557.0,41496.0,42577.0,42630.0,42632.0,44547.0,46978.0,49315.0,51599.0,53129.0,53206.0,53206.0,54586.0,55770.0,56737.0,57889.0,59906.0,60205.0,60205.0,62180.0,64130.0,65975.0,68029.0,70053.0,70157.0,70157.0,72488.0,74797.0,77004.0,79157.0,80876.0,80877.0,80889.0,83353.0,85902.0,88370.0,90631.0,93045.0,93045.0,93045.0,95227.0,97285.0,99018.0,100679.0,100679.0,100679.0,100679.0,102278.0,103793.0,105543.0,106733.0,108239.0,108370.0,108370.0,108786.0,110309.0,111701.0,112817.0,113835.0,113835.0,113835.0,114942.0,116303.0,117209.0,118258.0,119166.0,119166.0,119166.0,119957.0,121075.0,122166.0,123012.0,124097.0,124097.0,124097.0,125566.0,127092.0,128401.0,129720.0,131113.0,131302.0,131302.0,132813.0,134469.0,135963.0,137215.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9439.0,14625.0,19090.0,19513.0,19514.0,22978.0,25404.0,27624.0,29699.0,32135.0,32503.0,32503.0,34942.0,37666.0,40528.0,42359.0,43591.0,43615.0,43620.0,45293.0,46979.0,48347.0,50242.0,51568.0,51569.0,51569.0,52635.0,53893.0,55333.0,56830.0,56831.0,56831.0,56831.0,59449.0,61495.0,63270.0,65186.0,66755.0,66761.0,66761.0,68692.0,71278.0,73474.0,75656.0,77457.0,77463.0,77463.0,79504.0,81963.0,84224.0,86419.0,88176.0,88180.0,88180.0,89495.0,91707.0,93925.0,95721.0,96504.0,96504.0,96504.0,97714.0,99154.0,100882.0,102015.0,102985.0,103049.0,103049.0,103899.0,105390.0,106543.0,107510.0
