Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24837.0,44192.0,53495.0,56555.0,56967.0,56967.0,56967.0,56984.0,57005.0,57006.0,57006.0,57006.0,57007.0,57007.0,57007.0,70188.0,240550.0,414575.0,583257.0,611107.0,619741.0,841210.0,1083674.0,1356097.0,1607447.0,1836684.0,1866200.0,1870666.0,2136527.0,2356538.0,2544578.0,2699833.0,2841952.0,2851591.0,2852755.0,2960869.0,3055079.0,3141179.0,3227107.0,3305360.0,3315338.0,3315693.0,3452780.0,3611650.0,3769441.0,3914116.0,4050323.0,4059969.0,4061033.0,4197574.0,4336528.0,4472264.0,4643649.0,4794820.0,4819115.0,4821863.0,4979568.0,5145860.0,5296645.0,5444587.0,5580374.0,5603518.0,5606361.0,5750259.0,5897164.0,6049937.0,6206340.0,6372207.0,6385081.0,6386050.0,6536768.0,6669971.0,6796478.0,6930768.0,6932616.0,6934492.0,6935149.0,7014616.0,7107108.0,7201449.0,7277686.0,7348040.0,7359134.0,7360221.0,7437827.0,7512244.0,7590956.0,7652515.0,7710303.0,7718123.0,7718983.0,7762664.0,7801638.0,7832634.0,7888830.0,7928561.0,7934270.0,7934621.0,7977500.0,8016327.0,8059685.0,8090399.0,8141012.0,8142075.0,8142873.0,8218695.0,8299563.0,8380901.0,8462312.0,8546103.0,8563400.0,8564360.0,8667477.0,8774634.0,8879200.0,8976026.0,9078910.0,9079950.0,9080215.0,9204577.0,9340046.0,9464692.0,9591311.0,9599024.0,9625439.0,9629127.0,9804495.0,9993498.0,10173527.0,10339681.0,10484475.0,10525929.0,10535029.0,10690333.0,10828854.0,10937289.0,10992368.0,11034342.0,11048999.0,11050969.0,11104429.0,11164016.0,11239812.0,11335578.0,11415414.0,11438035.0,11439450.0,11539773.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44339.0,52677.0,55561.0,55771.0,55804.0,55804.0,55804.0,55815.0,55815.0,55815.0,55815.0,55815.0,55815.0,55837.0,55877.0,56050.0,56194.0,56312.0,56316.0,56316.0,56724.0,69138.0,223185.0,388981.0,550536.0,574664.0,581558.0,795532.0,1033008.0,1298504.0,1544087.0,1767146.0,1793297.0,1797132.0,2069546.0,2313056.0,2529046.0,2715128.0,2869847.0,2880830.0,2882006.0,3003931.0,3094469.0,3159240.0,3214437.0,3265518.0,3268266.0,3268689.0,3384148.0,3528716.0,3681854.0,3850283.0,3855462.0,3856807.0,3857268.0,4061984.0,4208495.0,4346754.0,4509398.0,4657365.0,4672194.0,4673549.0,4832190.0,4992070.0,5141579.0,5285520.0,5418138.0,5432475.0,5434229.0,5582656.0,5729469.0,5874305.0,6017480.0,6160569.0,6172441.0,6173129.0,6325944.0,6457434.0,6582340.0,6706312.0,6743053.0,6744253.0,6744912.0,6820259.0,6908217.0,7001192.0,7077285.0,7140647.0,7148773.0,7149216.0,7219100.0,7303641.0,7381445.0,7441404.0,7497063.0,7497466.0,7497636.0,7544294.0,7591569.0,7632489.0,7695558.0,7696907.0,7703160.0,7703746.0,7764562.0,7820997.0,7869107.0,7905139.0,7945715.0,7951459.0,7952425.0,8011776.0,8082974.0,8154542.0,8222863.0,8291026.0,8303997.0,8305212.0,8404948.0,8508884.0,8608616.0,8701781.0,8795354.0,8804688.0,8805274.0,8912964.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10437.0,33732.0,73264.0,107543.0,117444.0,119234.0,146672.0,166729.0,183394.0,196477.0,200518.0,200909.0,200958.0,204695.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22520.0,22893.0,22904.0,22904.0,23543.0,24358.0,25281.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39650.0,40014.0,40321.0,40608.0,40610.0,40610.0,40991.0,41341.0,41693.0,42013.0,42310.0,42313.0,42313.0,42576.0,42924.0,43173.0,43507.0,43809.0,43825.0,43825.0,44118.0,44378.0,44709.0,45074.0,45497.0,45598.0,45598.0,46077.0,46552.0,46936.0,47348.0,47668.0,47703.0,47703.0,48133.0,48593.0,49076.0,49447.0,49826.0,49907.0,49909.0,50376.0,50984.0,51647.0,52326.0,52326.0,52744.0,52744.0,54263.0,55789.0,57052.0,58050.0,59256.0,59585.0,59585.0,60815.0,61798.0,62531.0,62966.0,63231.0,63269.0,63303.0,63643.0,64098.0,64637.0,65259.0,65606.0,65658.0,65702.0,65945.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15422.0,16846.0,18440.0,19744.0,19813.0,19813.0,20711.0,21618.0,22083.0,22498.0,22813.0,22813.0,22813.0,23360.0,23951.0,24765.0,25542.0,25548.0,25548.0,25548.0,26301.0,26944.0,27485.0,28011.0,28537.0,28543.0,28543.0,29372.0,30287.0,31112.0,31758.0,32340.0,32344.0,32344.0,32899.0,33590.0,34130.0,34662.0,35201.0,35214.0,35215.0,35845.0,36380.0,36931.0,37541.0,37730.0,37730.0,37730.0,38069.0,38485.0,38883.0,39201.0,39461.0,39473.0,39473.0,39789.0,40181.0,40529.0,40768.0,40961.0,40970.0,40973.0,41362.0,41783.0,42048.0,42429.0,42430.0,42477.0,42477.0,42882.0,43234.0,43683.0,44010.0,44505.0,44557.0,44557.0,45060.0,45554.0,45927.0,46362.0,46655.0,46687.0,46700.0,47115.0,47690.0,48138.0,48538.0,48909.0,48981.0,48991.0,49414.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,401.0,755.0,1019.0,1108.0,1156.0,1397.0,1643.0,1951.0,2226.0,2488.0,2536.0,2553.0,2828.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186931.0,187316.0,187502.0,193017.0,198105.0,203048.0,207754.0,208047.0,208503.0,208698.0,211847.0,215320.0,219121.0,222183.0,224736.0,225249.0,225393.0,228676.0,231777.0,234845.0,237458.0,239983.0,240967.0,241101.0,242561.0,243553.0,244420.0,246004.0,247120.0,247664.0,247689.0,248643.0,249556.0,250453.0,251162.0,252552.0,252585.0,252621.0,255458.0,258825.0,262012.0,265172.0,268038.0,269269.0,269523.0,273397.0,277265.0,280861.0,284284.0,287966.0,288240.0,288320.0,292937.0,298326.0,303038.0,307564.0,308085.0,309114.0,309318.0,316380.0,324187.0,330030.0,336537.0,342388.0,342637.0,342766.0,349220.0,351652.0,353571.0,356138.0,359168.0,359705.0,359725.0,362759.0,366184.0,370533.0,374868.0,378418.0,379678.0,379701.0,383528.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5887.0,5893.0,6006.0,6025.0,6028.0,6029.0,6029.0,6031.0,6552.0,9496.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35197.0,41262.0,41824.0,41824.0,49761.0,56569.0,62591.0,67421.0,72056.0,72209.0,72214.0,75781.0,78318.0,80382.0,82138.0,83726.0,83729.0,83749.0,87325.0,91730.0,96116.0,101119.0,101151.0,101157.0,101163.0,107387.0,112580.0,117299.0,121302.0,127105.0,127311.0,127325.0,132768.0,137886.0,143255.0,148310.0,152786.0,153507.0,153561.0,159665.0,165086.0,170238.0,175290.0,180077.0,180628.0,180790.0,185875.0,189558.0,193645.0,198669.0,200543.0,200702.0,200832.0,204049.0,207594.0,211566.0,214547.0,217102.0,217657.0,217778.0,220583.0,223847.0,226761.0,228930.0,231269.0,231362.0,231471.0,233386.0,235109.0,236460.0,238350.0,238485.0,238780.0,238813.0,240629.0,242293.0,243360.0,244421.0,245831.0,245870.0,245901.0,248086.0,250437.0,252985.0,255387.0,257494.0,257850.0,257898.0,261643.0,265303.0,268740.0,272045.0,275389.0,276018.0,276120.0,280282.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12405.0,14956.0,17976.0,20733.0,23614.0,23730.0,23730.0,26379.0,28452.0,30613.0,32743.0,34807.0,34862.0,34862.0,36854.0,38765.0,40089.0,41231.0,43283.0,43479.0,43479.0,44961.0,46169.0,47182.0,48011.0,49016.0,49082.0,49084.0,50214.0,51234.0,52464.0,54106.0,55443.0,55543.0,55543.0,56810.0,58473.0,60007.0,62161.0,63256.0,63320.0,63320.0,64483.0,65785.0,67214.0,68707.0,70243.0,70352.0,70352.0,71709.0,73088.0,74298.0,75462.0,75548.0,75690.0,75691.0,76661.0,78048.0,78975.0,79911.0,80170.0,80171.0,80171.0,81096.0,82016.0,83019.0,83741.0,84439.0,84470.0,84470.0,85215.0,85971.0,86655.0,87636.0,88044.0,88104.0,88104.0,88713.0,89468.0,90094.0,90520.0,90964.0,90968.0,90968.0,91852.0,92665.0,93806.0,94746.0,95590.0,95672.0,95672.0,96867.0,98161.0,99355.0,100586.0,101685.0,101745.0,101751.0,102999.0,104414.0,105859.0,107382.0,107538.0,108331.0,108331.0,110351.0,112774.0,114831.0,117088.0,118907.0,119321.0,119322.0,121382.0,123302.0,123792.0,123799.0,123818.0,123821.0,123821.0,124003.0,125411.0,127117.0,129118.0,130824.0,131393.0,131393.0,133043.0
