Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56571.0,56983.0,56983.0,56983.0,57000.0,57021.0,57022.0,57022.0,57022.0,57023.0,57023.0,57023.0,70214.0,240572.0,414599.0,583279.0,611130.0,619767.0,841193.0,1083658.0,1356139.0,1607361.0,1836585.0,1866090.0,1870555.0,2136392.0,2356371.0,2544394.0,2699637.0,2841747.0,2851386.0,2852550.0,2960659.0,3054873.0,3140896.0,3226822.0,3304929.0,3314968.0,3315323.0,3452452.0,3611397.0,3769209.0,3913925.0,4050137.0,4059777.0,4060842.0,4197398.0,4336425.0,4472213.0,4643614.0,4794826.0,4819113.0,4821860.0,4979630.0,5146161.0,5297370.0,5446103.0,5585736.0,5608900.0,5611877.0,5758201.0,5908276.0,6062123.0,6219426.0,6385236.0,6398127.0,6399094.0,6550140.0,6683884.0,6810591.0,6944876.0,6946722.0,6948590.0,6949244.0,7028798.0,7121786.0,7216363.0,7292459.0,7362797.0,7373845.0,7374935.0,7452712.0,7527175.0,7605790.0,7664226.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24967.0,44331.0,52666.0,55549.0,55758.0,55792.0,55792.0,55792.0,55802.0,55802.0,55802.0,55802.0,55802.0,55802.0,55823.0,55863.0,56036.0,56180.0,56298.0,56302.0,56302.0,56708.0,69117.0,223076.0,388765.0,550232.0,574351.0,581242.0,795097.0,1032403.0,1297742.0,1543045.0,1765964.0,1792080.0,1795909.0,2068125.0,2311421.0,2527141.0,2713100.0,2867754.0,2878765.0,2879939.0,3001841.0,3092238.0,3156863.0,3211922.0,3262743.0,3265483.0,3265904.0,3381275.0,3525773.0,3678649.0,3846788.0,3851943.0,3853281.0,3853738.0,4058166.0,4204575.0,4342554.0,4504793.0,4652220.0,4667031.0,4668387.0,4826620.0,4985560.0,5133548.0,5270056.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19493.0,19574.0,19574.0,20367.0,21148.0,21851.0,22532.0,22905.0,22916.0,22916.0,23556.0,24372.0,25296.0,26025.0,26769.0,26774.0,26774.0,27311.0,27904.0,28435.0,29128.0,29712.0,29727.0,29727.0,30476.0,31343.0,32135.0,32923.0,33498.0,33518.0,33518.0,34107.0,34810.0,35354.0,35922.0,36469.0,36469.0,36469.0,37077.0,37713.0,38258.0,38852.0,38852.0,38918.0,38920.0,39334.0,39722.0,40086.0,40393.0,40680.0,40682.0,40682.0,41065.0,41416.0,41769.0,42056.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3395.0,4760.0,5830.0,5850.0,5850.0,7048.0,8205.0,9766.0,11078.0,12334.0,12367.0,12374.0,13953.0,15420.0,16843.0,18437.0,19741.0,19810.0,19810.0,20709.0,21615.0,22080.0,22495.0,22808.0,22808.0,22808.0,23355.0,23944.0,24760.0,25535.0,25541.0,25541.0,25541.0,26295.0,26938.0,27478.0,28005.0,28527.0,28533.0,28533.0,29364.0,30278.0,31106.0,31702.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93746.0,98494.0,102861.0,106607.0,106614.0,106614.0,110903.0,116093.0,120713.0,126436.0,131638.0,131758.0,131758.0,136825.0,142329.0,148337.0,153549.0,158820.0,159183.0,159226.0,165232.0,171349.0,177008.0,182277.0,187503.0,187888.0,188073.0,193623.0,198717.0,203663.0,208366.0,208658.0,209113.0,209308.0,212484.0,215974.0,219801.0,222891.0,225469.0,225985.0,226129.0,229433.0,232560.0,235652.0,238185.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12765.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35195.0,41261.0,41820.0,41820.0,49756.0,56563.0,62584.0,67403.0,72036.0,72188.0,72193.0,75762.0,78294.0,80357.0,82111.0,83698.0,83701.0,83721.0,87294.0,91699.0,96090.0,101089.0,101121.0,101127.0,101133.0,107357.0,112550.0,117267.0,121269.0,127064.0,127271.0,127285.0,132745.0,137878.0,143263.0,148236.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26374.0,28447.0,30606.0,32736.0,34795.0,34850.0,34850.0,36842.0,38753.0,40075.0,41212.0,43262.0,43457.0,43457.0,44940.0,46147.0,47161.0,47989.0,48998.0,49063.0,49065.0,50200.0,51218.0,52447.0,54087.0,55421.0,55518.0,55518.0,56786.0,58448.0,59985.0,62153.0,63251.0,63315.0,63315.0,64492.0,65829.0,67274.0,68772.0,70286.0,70382.0,70382.0,71738.0,73125.0,74335.0,75497.0,75583.0,75725.0,75726.0,76695.0,78091.0,79021.0,79963.0,80220.0,80221.0,80221.0,81143.0,82003.0,82940.0,83606.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2095.0,2739.0,2807.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2811.0,2826.0,2837.0,2849.0,2857.0,2858.0,2858.0,2860.0,2921.0,4174.0,6984.0,9209.0,9467.0,9493.0,11788.0,14298.0,17118.0,19861.0,22696.0,22790.0,22790.0,25713.0,28542.0,31225.0,33701.0,35837.0,35882.0,35882.0,37991.0,40092.0,41304.0,42109.0,42872.0,42878.0,42878.0,43760.0,44794.0,45620.0,46493.0,46499.0,46501.0,46502.0,48062.0,49347.0,50576.0,52042.0,53129.0,53181.0,53181.0,53954.0,55559.0,56937.0,58291.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3605.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9465.0,15286.0,19996.0,20450.0,20450.0,24048.0,26462.0,28693.0,30758.0,33268.0,33745.0,33745.0,35826.0,37668.0,39541.0,41480.0,42561.0,42614.0,42616.0,44531.0,46962.0,49300.0,51584.0,53114.0,53191.0,53191.0,54571.0,55757.0,56723.0,57875.0,59893.0,60192.0,60192.0,62168.0,64120.0,65964.0,68018.0,70041.0,70145.0,70145.0,72486.0,74817.0,77051.0,79221.0,80961.0,80962.0,80974.0,83470.0,86045.0,88538.0,90816.0,93241.0,93241.0,93241.0,95425.0,97490.0,99231.0,100895.0,100895.0,100895.0,100895.0,102382.0,103899.0,105654.0,106838.0,108365.0,108492.0,108492.0,108907.0,110426.0,111791.0,112810.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2662.0,3656.0,3734.0,3734.0,3734.0,3734.0,3734.0,3734.0,3734.0,3734.0,3734.0,3734.0,3734.0,3734.0,3734.0,3741.0,3768.0,3768.0,3768.0,3777.0,4448.0,9438.0,14621.0,19085.0,19508.0,19509.0,22972.0,25397.0,27617.0,29692.0,32126.0,32494.0,32494.0,34929.0,37653.0,40353.0,42182.0,43415.0,43439.0,43444.0,45115.0,46800.0,48168.0,50063.0,51387.0,51388.0,51388.0,52453.0,53712.0,55152.0,56651.0,56652.0,56652.0,56652.0,59262.0,61304.0,63075.0,64967.0,66530.0,66536.0,66536.0,68396.0,70875.0,73018.0,74623.0
