Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24838.0,44193.0,53496.0,56556.0,56968.0,56968.0,56968.0,56985.0,57006.0,57007.0,57007.0,57007.0,57008.0,57008.0,57008.0,70189.0,240552.0,414577.0,583261.0,611109.0,619743.0,841212.0,1083677.0,1356100.0,1607450.0,1836691.0,1866209.0,1870675.0,2136538.0,2356559.0,2544601.0,2699859.0,2841978.0,2851617.0,2852781.0,2960895.0,3055105.0,3141205.0,3227133.0,3305386.0,3315364.0,3315719.0,3452806.0,3611676.0,3769467.0,3914142.0,4050348.0,4059994.0,4061058.0,4197600.0,4336553.0,4472289.0,4643674.0,4794845.0,4819138.0,4821886.0,4979573.0,5145865.0,5296650.0,5444591.0,5580379.0,5603524.0,5606367.0,5750265.0,5897170.0,6049943.0,6206346.0,6372213.0,6385088.0,6386057.0,6536777.0,6669981.0,6796490.0,6930780.0,6932628.0,6934504.0,6935161.0,7014629.0,7107122.0,7201464.0,7277700.0,7348054.0,7359148.0,7360235.0,7437839.0,7512256.0,7590969.0,7652528.0,7710316.0,7718136.0,7718996.0,7762677.0,7801652.0,7832649.0,7888845.0,7928577.0,7934286.0,7934637.0,7977517.0,8016344.0,8059701.0,8090416.0,8141028.0,8142091.0,8142889.0,8218712.0,8299579.0,8380931.0,8462330.0,8546121.0,8563418.0,8564378.0,8667496.0,8774653.0,8879223.0,8976055.0,9078951.0,9079992.0,9080257.0,9204638.0,9340168.0,9464816.0,9591436.0,9599148.0,9625563.0,9629251.0,9804619.0,9993622.0,10173652.0,10339806.0,10484600.0,10526054.0,10535154.0,10690457.0,10828979.0,10937412.0,10992501.0,11034476.0,11049133.0,11051103.0,11104563.0,11164150.0,11239966.0,11335741.0,11415690.0,11438346.0,11439766.0,11543930.0,11624347.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44339.0,52677.0,55561.0,55771.0,55804.0,55804.0,55804.0,55815.0,55815.0,55816.0,55816.0,55816.0,55816.0,55838.0,55878.0,56051.0,56195.0,56313.0,56317.0,56317.0,56725.0,69139.0,223188.0,388984.0,550541.0,574669.0,581563.0,795540.0,1033018.0,1298515.0,1544097.0,1767162.0,1793317.0,1797152.0,2069538.0,2313091.0,2529084.0,2715171.0,2869890.0,2880873.0,2882049.0,3003975.0,3094513.0,3159284.0,3214481.0,3265562.0,3268310.0,3268733.0,3384193.0,3528762.0,3681900.0,3850332.0,3855511.0,3856856.0,3857317.0,4062035.0,4208548.0,4346807.0,4509452.0,4657421.0,4672250.0,4673605.0,4832247.0,4992131.0,5141644.0,5285587.0,5418206.0,5432543.0,5434297.0,5582724.0,5729537.0,5874373.0,6017550.0,6160641.0,6172513.0,6173201.0,6326018.0,6457508.0,6582415.0,6706387.0,6743128.0,6744328.0,6744987.0,6820335.0,6908297.0,7001276.0,7077372.0,7140734.0,7148860.0,7149303.0,7219187.0,7303728.0,7381533.0,7441492.0,7497151.0,7497554.0,7497724.0,7544381.0,7591656.0,7632579.0,7695648.0,7696997.0,7703251.0,7703837.0,7764653.0,7821089.0,7869202.0,7905235.0,7945812.0,7951557.0,7952523.0,8011875.0,8083075.0,8154646.0,8222976.0,8291148.0,8304119.0,8305334.0,8405070.0,8509005.0,8608864.0,8702060.0,8795718.0,8805071.0,8805660.0,8916872.0,9033264.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10436.0,33731.0,73274.0,107563.0,117464.0,119254.0,146697.0,166754.0,183421.0,196520.0,200567.0,200959.0,201008.0,204967.0,208320.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26012.0,26756.0,26761.0,26761.0,27297.0,27891.0,28422.0,29114.0,29697.0,29712.0,29712.0,30458.0,31321.0,32113.0,32899.0,33452.0,33472.0,33472.0,34046.0,34742.0,35282.0,35851.0,36401.0,36401.0,36401.0,37003.0,37636.0,38178.0,38772.0,38772.0,38836.0,38838.0,39254.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41694.0,42014.0,42311.0,42314.0,42314.0,42577.0,42925.0,43174.0,43508.0,43810.0,43826.0,43826.0,44119.0,44379.0,44710.0,45075.0,45498.0,45599.0,45599.0,46078.0,46553.0,46937.0,47349.0,47669.0,47704.0,47704.0,48134.0,48594.0,49077.0,49448.0,49827.0,49908.0,49910.0,50377.0,50985.0,51648.0,52327.0,52327.0,52745.0,52745.0,54264.0,55790.0,57053.0,58051.0,59257.0,59586.0,59586.0,60816.0,61799.0,62532.0,62967.0,63232.0,63270.0,63304.0,63644.0,64099.0,64638.0,65260.0,65607.0,65659.0,65703.0,65951.0,66118.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38487.0,38885.0,39203.0,39463.0,39475.0,39475.0,39791.0,40183.0,40531.0,40770.0,40963.0,40972.0,40975.0,41364.0,41785.0,42050.0,42431.0,42432.0,42479.0,42479.0,42884.0,43236.0,43685.0,44012.0,44507.0,44559.0,44559.0,45062.0,45556.0,45929.0,46364.0,46657.0,46689.0,46702.0,47117.0,47692.0,48140.0,48540.0,48908.0,48980.0,48990.0,49429.0,49931.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3115.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186931.0,187316.0,187502.0,193017.0,198105.0,203048.0,207754.0,208047.0,208503.0,208698.0,211847.0,215320.0,219121.0,222183.0,224736.0,225249.0,225393.0,228676.0,231777.0,234845.0,237458.0,239983.0,240967.0,241101.0,242561.0,243553.0,244420.0,246004.0,247120.0,247664.0,247689.0,248643.0,249556.0,250453.0,251162.0,252552.0,252585.0,252621.0,255458.0,258825.0,262012.0,265172.0,268038.0,269269.0,269523.0,273397.0,277265.0,280861.0,284284.0,287966.0,288240.0,288320.0,292938.0,298329.0,303042.0,307568.0,308089.0,309118.0,309322.0,316384.0,324191.0,330034.0,336541.0,342392.0,342641.0,342770.0,349223.0,351656.0,353575.0,356142.0,359172.0,359709.0,359729.0,362763.0,366188.0,370537.0,374873.0,378423.0,379683.0,379706.0,383560.0,387076.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5887.0,5893.0,6006.0,6025.0,6028.0,6029.0,6029.0,6031.0,6552.0,9496.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35197.0,41262.0,41824.0,41824.0,49761.0,56569.0,62591.0,67421.0,72056.0,72209.0,72214.0,75781.0,78318.0,80382.0,82138.0,83726.0,83729.0,83749.0,87325.0,91730.0,96116.0,101119.0,101151.0,101157.0,101163.0,107387.0,112580.0,117299.0,121302.0,127105.0,127311.0,127325.0,132768.0,137886.0,143255.0,148310.0,152786.0,153507.0,153561.0,159665.0,165086.0,170238.0,175290.0,180077.0,180628.0,180790.0,185875.0,189558.0,193645.0,198669.0,200543.0,200702.0,200832.0,204049.0,207594.0,211566.0,214547.0,217102.0,217657.0,217778.0,220583.0,223847.0,226761.0,228930.0,231269.0,231362.0,231471.0,233386.0,235109.0,236460.0,238350.0,238485.0,238780.0,238813.0,240629.0,242293.0,243360.0,244421.0,245831.0,245870.0,245901.0,248086.0,250437.0,252985.0,255387.0,257494.0,257850.0,257898.0,261643.0,265302.0,268740.0,272046.0,275390.0,276019.0,276121.0,280408.0,284895.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12405.0,14956.0,17976.0,20733.0,23616.0,23732.0,23732.0,26382.0,28463.0,30626.0,32757.0,34821.0,34876.0,34876.0,36868.0,38779.0,40103.0,41245.0,43297.0,43493.0,43493.0,44975.0,46183.0,47196.0,48025.0,49030.0,49096.0,49098.0,50228.0,51248.0,52478.0,54120.0,55457.0,55557.0,55557.0,56824.0,58487.0,60021.0,62175.0,63270.0,63334.0,63334.0,64497.0,65799.0,67228.0,68721.0,70257.0,70366.0,70366.0,71723.0,73102.0,74312.0,75476.0,75562.0,75704.0,75705.0,76675.0,78062.0,78989.0,79925.0,80184.0,80185.0,80185.0,81110.0,82030.0,83033.0,83755.0,84453.0,84484.0,84484.0,85229.0,85985.0,86669.0,87650.0,88058.0,88118.0,88118.0,88727.0,89482.0,90108.0,90534.0,90978.0,90982.0,90982.0,91866.0,92679.0,93820.0,94760.0,95604.0,95686.0,95686.0,96881.0,98175.0,99369.0,100600.0,101700.0,101760.0,101766.0,103014.0,104430.0,105875.0,107398.0,107554.0,108347.0,108347.0,110367.0,112790.0,114847.0,117104.0,118923.0,119337.0,119338.0,121398.0,123318.0,123808.0,123815.0,123834.0,123837.0,123837.0,124019.0,125427.0,127133.0,129134.0,130841.0,131410.0,131415.0,133132.0,134690.0
