Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44220.0,53529.0,56586.0,56998.0,56998.0,56998.0,57015.0,57036.0,57037.0,57037.0,57037.0,57038.0,57038.0,57038.0,70221.0,240592.0,414621.0,583374.0,611224.0,619861.0,841358.0,1083834.0,1356261.0,1607628.0,1836881.0,1866404.0,1870872.0,2136739.0,2356778.0,2544819.0,2700082.0,2842207.0,2851849.0,2853011.0,2961115.0,3055314.0,3141415.0,3227349.0,3305623.0,3315666.0,3316021.0,3453174.0,3612135.0,3769983.0,3914721.0,4050938.0,4060583.0,4061648.0,4198249.0,4337293.0,4473116.0,4644558.0,4795793.0,4820082.0,4822830.0,4980693.0,5147326.0,5298610.0,5447424.0,5587187.0,5610367.0,5613219.0,5759966.0,5910245.0,6064530.0,6221995.0,6388578.0,6401522.0,6402491.0,6553743.0,6687721.0,6814807.0,6949601.0,6951458.0,6953339.0,6953997.0,7033929.0,7127084.0,7221982.0,7298733.0,7369617.0,7380809.0,7381906.0,7460010.0,7535024.0,7614374.0,7676670.0,7735069.0,7742970.0,7743846.0,7787743.0,7826953.0,7858100.0,7914465.0,7954305.0,7960054.0,7960405.0,8003470.0,8042494.0,8085990.0,8116857.0,8167793.0,8168885.0,8169684.0,8245689.0,8326747.0,8408238.0,8489825.0,8573907.0,8591291.0,8592251.0,8695553.0,8802962.0,8907802.0,9004811.0,9108044.0,9109094.0,9109359.0,9233943.0,9370037.0,9495799.0,9624283.0,9632585.0,9659407.0,9663105.0,9838957.0,10028811.0,10209467.0,10376396.0,10521841.0,10563435.0,10572554.0,10728498.0,10867909.0,10976995.0,11032594.0,11074976.0,11089727.0,11091706.0,11145580.0,11205800.0,11282399.0,11378733.0,11459345.0,11482064.0,11483487.0,11588538.0,11673606.0,11779187.0,11850133.0,11911606.0,11928175.0,11929970.0,11937289.0,12036906.0,12112431.0,12160886.0,12199075.0,12210154.0,12211185.0,12212430.0,12252355.0,12300455.0,12387344.0,12452784.0,12468328.0,12470333.0,12518071.0,12561757.0,12635546.0,12693593.0,12744166.0,12764162.0,12766559.0,12815715.0,12895877.0,12950550.0,13021927.0,13024041.0,13033988.0,13034917.0,13082510.0,13122691.0,13156005.0,13191824.0,13249928.0,13272935.0,13274982.0,13290433.0,13299706.0,13306749.0,13315378.0,13323731.0,13324790.0,13324819.0,13424249.0,13536976.0,13541734.0,13544979.0,13547956.0,13548194.0,13548249.0,13625049.0,13692966.0,13695662.0,13697916.0,13699952.0,13700223.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24982.0,44369.0,52713.0,55601.0,55811.0,55844.0,55844.0,55844.0,55855.0,55855.0,55856.0,55856.0,55856.0,55856.0,55878.0,55918.0,56092.0,56237.0,56355.0,56359.0,56359.0,56768.0,69184.0,223266.0,389108.0,550761.0,574898.0,581797.0,795855.0,1033385.0,1298938.0,1544574.0,1767712.0,1793880.0,1797717.0,2070164.0,2313816.0,2529862.0,2716024.0,2870789.0,2881805.0,2882976.0,3004999.0,3095612.0,3160418.0,3215651.0,3266762.0,3269510.0,3269933.0,3385450.0,3530160.0,3683408.0,3851959.0,3857139.0,3858484.0,3858947.0,4063838.0,4210508.0,4348930.0,4511744.0,4659824.0,4674662.0,4676018.0,4834943.0,4995272.0,5145444.0,5290340.0,5426152.0,5440538.0,5442300.0,5593363.0,5743490.0,5889942.0,6034297.0,6178085.0,6190020.0,6190710.0,6344346.0,6476864.0,6602506.0,6727048.0,6763982.0,6765190.0,6765857.0,6841705.0,6930335.0,7023973.0,7100631.0,7164515.0,7172723.0,7173168.0,7243577.0,7328932.0,7407451.0,7468129.0,7524380.0,7524787.0,7524958.0,7572025.0,7619722.0,7660970.0,7724319.0,7725682.0,7731965.0,7732554.0,7793683.0,7850598.0,7898967.0,7935253.0,7976156.0,7981936.0,7982911.0,8042563.0,8114136.0,8185934.0,8254514.0,8322966.0,8336030.0,8337259.0,8437338.0,8541794.0,8642136.0,8735754.0,8830079.0,8839477.0,8840072.0,8952532.0,9074538.0,9191926.0,9301945.0,9345362.0,9365234.0,9367381.0,9379712.0,9585168.0,9748854.0,9890022.0,10012933.0,10044662.0,10048040.0,10051175.0,10228648.0,10362557.0,10444396.0,10509228.0,10528224.0,10530326.0,10626948.0,10705811.0,10789300.0,10883999.0,10968941.0,10990764.0,10993301.0,11119702.0,11220565.0,11325954.0,11416446.0,11419045.0,11432494.0,11433695.0,11506731.0,11599177.0,11669247.0,11710185.0,11766874.0,11777020.0,11777869.0,11818208.0,11859202.0,11886767.0,11967922.0,12036015.0,12046146.0,12046585.0,12070233.0,12095594.0,12155250.0,12198079.0,12229578.0,12230490.0,12230511.0,12251664.0,12271070.0,12388657.0,12467503.0,12516257.0,12517232.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10454.0,33768.0,73384.0,107740.0,117648.0,119438.0,146903.0,166980.0,183706.0,196862.0,200910.0,201303.0,201352.0,205524.0,209197.0,213151.0,216193.0,218569.0,218847.0,218859.0,218937.0,222699.0,235115.0,298673.0,348755.0,358828.0,360083.0,361309.0,393205.0,416104.0,430111.0,441583.0,445013.0,445414.0,455820.0,463410.0,468207.0,472072.0,475989.0,477563.0,477734.0,481821.0,484654.0,487370.0,492677.0,492774.0,493243.0,493345.0,495979.0,497714.0,499114.0,500707.0,501936.0,503362.0,503404.0,504347.0,505124.0,505656.0,506132.0,506407.0,506419.0,506420.0,507418.0,508271.0,508492.0,508674.0,508853.0,508868.0,508868.0,509087.0,509339.0,509443.0,509551.0,509639.0,509651.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,69810.0,159570.0,255259.0,258309.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73574.0,73804.0,74238.0,74549.0,74642.0,74642.0,74768.0,74871.0,74945.0,75045.0,75094.0,75116.0,75116.0,75277.0,75441.0,75552.0,75653.0,75769.0,75774.0,75774.0,75896.0,76004.0,76083.0,76170.0,76222.0,76225.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60287.0,60918.0,61396.0,61487.0,61518.0,61984.0,62479.0,63126.0,63777.0,64236.0,64318.0,64318.0,64698.0,64968.0,65261.0,65521.0,65521.0,65565.0,65598.0,65747.0,65978.0,66221.0,66503.0,66765.0,66832.0,66833.0,66945.0,67130.0,67331.0,67741.0,68028.0,68093.0,68093.0,68314.0,68584.0,69006.0,69452.0,69791.0,69838.0,69838.0,70162.0,70563.0,70982.0,71290.0,71490.0,71592.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7671.0,7751.0,7839.0,7852.0,7852.0,7914.0,7991.0,8045.0,8089.0,8150.0,8160.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,528.0,980.0,1010.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24050.0,29757.0,36326.0,42675.0,43445.0,43450.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88981.0,93742.0,98489.0,102859.0,106604.0,106611.0,106611.0,110899.0,116090.0,120712.0,126434.0,131638.0,131757.0,131757.0,136825.0,142332.0,148336.0,153552.0,158820.0,159182.0,159226.0,165237.0,171361.0,177021.0,182292.0,187523.0,187908.0,188094.0,193647.0,198746.0,203705.0,208418.0,208711.0,209167.0,209362.0,212543.0,216037.0,219867.0,222961.0,225546.0,226065.0,226209.0,229520.0,232653.0,235748.0,238377.0,240924.0,241910.0,242044.0,243507.0,244521.0,245391.0,246976.0,248093.0,248659.0,248684.0,249639.0,250552.0,251450.0,252159.0,253552.0,253585.0,253621.0,256461.0,259830.0,263021.0,266185.0,269060.0,270299.0,270554.0,274444.0,278324.0,281924.0,285351.0,289035.0,289310.0,289390.0,294011.0,299403.0,304120.0,308647.0,309168.0,310197.0,310401.0,317472.0,325280.0,331141.0,337656.0,343520.0,343769.0,343898.0,350357.0,352800.0,354731.0,357305.0,360352.0,360889.0,360909.0,363960.0,367407.0,371784.0,376133.0,379701.0,380964.0,380987.0,384854.0,388434.0,392695.0,395768.0,398487.0,398841.0,398892.0,399636.0,403497.0,407247.0,408882.0,409630.0,409748.0,409761.0,410205.0,411627.0,413605.0,416784.0,419257.0,419693.0,419727.0,421730.0,423624.0,426504.0,429052.0,431336.0,432018.0,432055.0,434584.0,438199.0,441191.0,444063.0,444844.0,445732.0,445768.0,448689.0,451678.0,454474.0,458327.0,461658.0,462261.0,462281.0,462491.0,462637.0,463200.0,463650.0,463788.0,463792.0,463792.0,467547.0,472415.0,472426.0,472441.0,472448.0,472448.0,472448.0,475679.0,478736.0,478752.0,478775.0,478792.0,478793.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23375.0,28865.0,35201.0,41269.0,41831.0,41831.0,49769.0,56577.0,62600.0,67430.0,72065.0,72220.0,72225.0,75794.0,78332.0,80397.0,82153.0,83743.0,83746.0,83766.0,87343.0,91751.0,96144.0,101151.0,101183.0,101189.0,101195.0,107423.0,112618.0,117341.0,121348.0,127154.0,127361.0,127375.0,132841.0,137983.0,143376.0,148458.0,153133.0,153868.0,153923.0,160133.0,165622.0,170808.0,175886.0,180691.0,181244.0,181406.0,186530.0,190226.0,194328.0,199362.0,201242.0,201401.0,201532.0,204773.0,208343.0,212343.0,215345.0,217938.0,218500.0,218622.0,221457.0,224755.0,227692.0,229875.0,232233.0,232326.0,232435.0,234360.0,236104.0,237463.0,239356.0,239493.0,239796.0,239830.0,241658.0,243344.0,244419.0,245484.0,246899.0,246938.0,246969.0,249158.0,251515.0,254068.0,256473.0,258590.0,258949.0,258997.0,262767.0,266451.0,269901.0,273210.0,276565.0,277194.0,277296.0,281591.0,286173.0,290725.0,294816.0,296788.0,297307.0,297457.0,298756.0,307043.0,314073.0,319010.0,323628.0,324471.0,324498.0,325110.0,330563.0,333962.0,336724.0,339540.0,340109.0,340143.0,344388.0,348045.0,352074.0,356282.0,359659.0,360711.0,360744.0,365957.0,370120.0,374150.0,378162.0,379020.0,379895.0,379960.0,383132.0,387313.0,390942.0,393307.0,395091.0,395352.0,395364.0,397119.0,398434.0,400057.0,402758.0,404874.0,405222.0,405229.0,405917.0,406587.0,407929.0,408561.0,409025.0,409032.0,409032.0,409418.0,409752.0,414655.0,417492.0,419296.0,419321.0
