Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24838.0,44193.0,53496.0,56556.0,56968.0,56968.0,56968.0,56985.0,57006.0,57007.0,57007.0,57007.0,57008.0,57008.0,57008.0,70189.0,240551.0,414576.0,583259.0,611107.0,619741.0,841210.0,1083676.0,1356099.0,1607449.0,1836691.0,1866209.0,1870675.0,2136538.0,2356560.0,2544602.0,2699860.0,2841979.0,2851618.0,2852782.0,2960896.0,3055106.0,3141206.0,3227134.0,3305387.0,3315365.0,3315720.0,3452807.0,3611677.0,3769469.0,3914145.0,4050351.0,4059998.0,4061062.0,4197606.0,4336558.0,4472294.0,4643680.0,4794850.0,4819143.0,4821891.0,4979579.0,5145871.0,5296657.0,5444598.0,5580386.0,5603531.0,5606374.0,5750273.0,5897179.0,6049953.0,6206356.0,6372226.0,6385102.0,6386071.0,6536794.0,6670000.0,6796511.0,6930806.0,6932654.0,6934530.0,6935187.0,7014655.0,7107150.0,7201491.0,7277726.0,7348080.0,7359174.0,7360261.0,7437865.0,7512282.0,7590995.0,7652555.0,7710345.0,7718165.0,7719025.0,7762707.0,7801687.0,7832686.0,7888884.0,7928618.0,7934327.0,7934678.0,7977558.0,8016385.0,8059743.0,8090458.0,8141070.0,8142134.0,8142932.0,8218762.0,8299637.0,8380989.0,8462389.0,8546185.0,8563484.0,8564444.0,8667565.0,8774730.0,8879302.0,8976135.0,9079040.0,9080081.0,9080346.0,9204734.0,9340281.0,9464971.0,9591593.0,9599305.0,9625720.0,9629408.0,9804777.0,9993792.0,10173841.0,10340008.0,10484809.0,10526263.0,10535363.0,10690670.0,10829192.0,10937628.0,10992720.0,11034697.0,11049354.0,11051324.0,11104788.0,11164377.0,11240205.0,11336022.0,11415991.0,11438647.0,11440067.0,11544408.0,11628444.0,11729210.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24963.0,44339.0,52677.0,55561.0,55771.0,55804.0,55804.0,55804.0,55815.0,55815.0,55816.0,55816.0,55816.0,55816.0,55838.0,55878.0,56051.0,56195.0,56313.0,56317.0,56317.0,56725.0,69139.0,223187.0,388984.0,550542.0,574670.0,581564.0,795541.0,1033021.0,1298519.0,1544101.0,1767168.0,1793323.0,1797158.0,2069545.0,2313100.0,2529093.0,2715181.0,2869900.0,2880883.0,2882059.0,3003986.0,3094524.0,3159295.0,3214492.0,3265574.0,3268322.0,3268745.0,3384207.0,3528777.0,3681915.0,3850349.0,3855528.0,3856873.0,3857334.0,4062056.0,4208574.0,4346838.0,4509487.0,4657456.0,4672285.0,4673640.0,4832285.0,4992170.0,5141686.0,5285630.0,5418250.0,5432587.0,5434341.0,5582769.0,5729582.0,5874420.0,6017597.0,6160695.0,6172567.0,6173255.0,6326074.0,6457569.0,6582481.0,6706472.0,6743213.0,6744413.0,6745072.0,6820425.0,6908388.0,7001367.0,7077463.0,7140829.0,7148955.0,7149398.0,7219285.0,7303829.0,7381634.0,7441595.0,7497256.0,7497659.0,7497829.0,7544492.0,7591776.0,7632704.0,7695775.0,7697124.0,7703378.0,7703964.0,7764787.0,7821225.0,7869344.0,7905377.0,7945956.0,7951701.0,7952667.0,8012025.0,8083232.0,8154803.0,8223137.0,8291315.0,8304286.0,8305501.0,8405242.0,8509181.0,8609071.0,8702294.0,8795994.0,8805349.0,8805938.0,8917478.0,9037716.0,9148673.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10437.0,33733.0,73275.0,107563.0,117464.0,119254.0,146697.0,166755.0,183422.0,196524.0,200571.0,200963.0,201012.0,205004.0,208607.0,212212.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26012.0,26756.0,26761.0,26761.0,27297.0,27891.0,28422.0,29114.0,29697.0,29712.0,29712.0,30458.0,31321.0,32113.0,32899.0,33452.0,33472.0,33472.0,34046.0,34742.0,35282.0,35851.0,36401.0,36401.0,36401.0,37003.0,37636.0,38178.0,38772.0,38772.0,38836.0,38838.0,39254.0,39652.0,40016.0,40323.0,40610.0,40612.0,40612.0,40993.0,41343.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46554.0,46938.0,47350.0,47670.0,47705.0,47705.0,48135.0,48595.0,49078.0,49449.0,49828.0,49909.0,49911.0,50378.0,50986.0,51649.0,52328.0,52328.0,52746.0,52746.0,54265.0,55791.0,57054.0,58053.0,59259.0,59588.0,59588.0,60818.0,61801.0,62534.0,62969.0,63234.0,63272.0,63306.0,63646.0,64103.0,64642.0,65264.0,65611.0,65663.0,65707.0,65955.0,66137.0,66302.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38487.0,38885.0,39203.0,39463.0,39475.0,39475.0,39791.0,40183.0,40531.0,40770.0,40963.0,40972.0,40975.0,41364.0,41785.0,42050.0,42431.0,42432.0,42479.0,42479.0,42884.0,43236.0,43685.0,44012.0,44507.0,44559.0,44559.0,45062.0,45556.0,45929.0,46364.0,46657.0,46689.0,46702.0,47117.0,47692.0,48140.0,48540.0,48908.0,48980.0,48990.0,49428.0,49943.0,50507.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3414.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73113.0,76681.0,79907.0,82254.0,84800.0,84800.0,84800.0,88975.0,93734.0,98475.0,102841.0,106587.0,106594.0,106594.0,110882.0,116073.0,120693.0,126416.0,131620.0,131739.0,131739.0,136789.0,142275.0,148260.0,153452.0,158456.0,158818.0,158862.0,164779.0,170845.0,176468.0,181716.0,186931.0,187316.0,187502.0,193017.0,198105.0,203048.0,207754.0,208047.0,208503.0,208698.0,211847.0,215320.0,219121.0,222183.0,224736.0,225249.0,225393.0,228676.0,231777.0,234845.0,237458.0,239983.0,240967.0,241101.0,242561.0,243553.0,244420.0,246004.0,247120.0,247664.0,247689.0,248643.0,249556.0,250453.0,251162.0,252552.0,252585.0,252621.0,255458.0,258825.0,262012.0,265172.0,268038.0,269269.0,269523.0,273397.0,277265.0,280861.0,284284.0,287967.0,288241.0,288321.0,292939.0,298329.0,303043.0,307569.0,308090.0,309119.0,309323.0,316385.0,324192.0,330035.0,336542.0,342393.0,342642.0,342771.0,349224.0,351657.0,353576.0,356144.0,359174.0,359711.0,359731.0,362766.0,366191.0,370540.0,374876.0,378426.0,379686.0,379709.0,383563.0,387136.0,391315.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5887.0,5893.0,6006.0,6025.0,6028.0,6029.0,6029.0,6031.0,6552.0,9496.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35197.0,41262.0,41824.0,41824.0,49761.0,56569.0,62591.0,67421.0,72056.0,72209.0,72214.0,75781.0,78318.0,80382.0,82138.0,83726.0,83729.0,83749.0,87325.0,91730.0,96116.0,101119.0,101151.0,101157.0,101163.0,107387.0,112580.0,117299.0,121302.0,127105.0,127311.0,127325.0,132768.0,137886.0,143255.0,148310.0,152786.0,153507.0,153561.0,159665.0,165086.0,170238.0,175290.0,180077.0,180628.0,180790.0,185875.0,189558.0,193645.0,198669.0,200543.0,200702.0,200832.0,204049.0,207594.0,211566.0,214548.0,217103.0,217658.0,217779.0,220584.0,223848.0,226762.0,228931.0,231270.0,231363.0,231472.0,233387.0,235110.0,236462.0,238352.0,238487.0,238782.0,238815.0,240631.0,242295.0,243363.0,244424.0,245834.0,245873.0,245904.0,248089.0,250440.0,252988.0,255390.0,257497.0,257853.0,257901.0,261646.0,265305.0,268743.0,272049.0,275394.0,276023.0,276125.0,280412.0,284987.0,289429.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12405.0,14956.0,17976.0,20733.0,23616.0,23732.0,23732.0,26382.0,28463.0,30626.0,32757.0,34821.0,34876.0,34876.0,36868.0,38779.0,40103.0,41245.0,43297.0,43493.0,43493.0,44975.0,46183.0,47196.0,48025.0,49030.0,49096.0,49098.0,50228.0,51248.0,52478.0,54120.0,55457.0,55557.0,55557.0,56824.0,58487.0,60021.0,62175.0,63270.0,63334.0,63334.0,64497.0,65799.0,67228.0,68721.0,70257.0,70367.0,70367.0,71724.0,73103.0,74313.0,75477.0,75563.0,75705.0,75706.0,76676.0,78063.0,78990.0,79926.0,80185.0,80186.0,80186.0,81111.0,82031.0,83034.0,83756.0,84454.0,84485.0,84485.0,85230.0,85986.0,86670.0,87651.0,88059.0,88119.0,88119.0,88728.0,89482.0,90108.0,90534.0,90978.0,90983.0,90983.0,91867.0,92680.0,93821.0,94761.0,95605.0,95688.0,95688.0,96883.0,98177.0,99371.0,100602.0,101702.0,101762.0,101768.0,103016.0,104432.0,105877.0,107400.0,107556.0,108349.0,108349.0,110369.0,112794.0,114852.0,117109.0,118928.0,119342.0,119343.0,121403.0,123323.0,123813.0,123820.0,123839.0,123842.0,123842.0,124024.0,125432.0,127138.0,129139.0,130846.0,131415.0,131420.0,133137.0,134726.0,136280.0
