Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12823.0,13780.0,13803.0,13803.0,24854.0,44214.0,53522.0,56579.0,56991.0,56991.0,56991.0,57008.0,57029.0,57030.0,57030.0,57030.0,57031.0,57031.0,57031.0,70212.0,240576.0,414601.0,583313.0,611163.0,619797.0,841275.0,1083749.0,1356174.0,1607530.0,1836770.0,1866291.0,1870758.0,2136628.0,2356662.0,2544702.0,2699961.0,2842082.0,2851723.0,2852885.0,2960993.0,3055202.0,3141304.0,3227238.0,3305511.0,3315554.0,3315909.0,3453060.0,3612015.0,3769861.0,3914592.0,4050813.0,4060459.0,4061524.0,4198129.0,4337176.0,4472996.0,4644440.0,4795686.0,4819976.0,4822724.0,4980563.0,5147169.0,5298454.0,5447253.0,5587019.0,5610200.0,5613053.0,5759794.0,5910057.0,6064344.0,6221814.0,6388392.0,6401332.0,6402301.0,6553553.0,6687523.0,6814607.0,6949399.0,6951249.0,6953129.0,6953785.0,7033703.0,7126859.0,7221754.0,7298501.0,7369380.0,7380571.0,7381668.0,7459761.0,7534774.0,7614119.0,7676413.0,7734815.0,7742717.0,7743593.0,7787481.0,7826679.0,7857827.0,7914189.0,7954024.0,7959772.0,7960123.0,8003187.0,8042208.0,8085702.0,8116566.0,8167496.0,8168587.0,8169386.0,8245369.0,8326419.0,8407898.0,8489476.0,8573557.0,8590941.0,8591901.0,8695197.0,8802605.0,8907430.0,9004433.0,9107651.0,9108701.0,9108966.0,9233542.0,9369613.0,9495521.0,9623997.0,9632299.0,9659108.0,9662806.0,9838636.0,10028469.0,10209100.0,10376011.0,10521424.0,10563010.0,10572129.0,10728041.0,10867426.0,10976481.0,11032076.0,11074440.0,11089190.0,11091170.0,11145020.0,11205220.0,11281801.0,11378110.0,11458688.0,11481403.0,11482826.0,11587821.0,11672827.0,11778244.0,11849113.0,11910505.0,11927042.0,11928835.0,11936118.0,12035614.0,12111073.0,12159437.0,12197552.0,12208610.0,12209637.0,12210877.0,12250721.0,12298692.0,12385465.0,12450814.0,12466336.0,12468337.0,12516000.0,12559612.0,12633262.0,12691199.0,12741600.0,12761416.0,12763812.0,12812690.0,12889304.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24978.0,44364.0,52708.0,55594.0,55804.0,55837.0,55837.0,55837.0,55848.0,55848.0,55849.0,55849.0,55849.0,55849.0,55871.0,55911.0,56085.0,56229.0,56347.0,56351.0,56351.0,56760.0,69175.0,223231.0,389043.0,550634.0,574768.0,581662.0,795668.0,1033159.0,1298680.0,1544284.0,1767372.0,1793533.0,1797369.0,2069790.0,2313376.0,2529394.0,2715510.0,2870282.0,2881294.0,2882465.0,3004465.0,3095052.0,3159850.0,3215063.0,3266157.0,3268905.0,3269329.0,3384822.0,3529483.0,3682690.0,3851205.0,3856384.0,3857729.0,3858191.0,4063011.0,4209638.0,4348011.0,4510779.0,4658834.0,4673668.0,4675024.0,4833890.0,4994163.0,5144267.0,5289118.0,5424844.0,5439268.0,5441030.0,5592052.0,5742119.0,5888511.0,6032828.0,6176596.0,6188527.0,6189217.0,6342810.0,6475262.0,6600887.0,6725391.0,6762304.0,6763510.0,6764176.0,6839979.0,6928559.0,7022131.0,7098748.0,7162599.0,7170804.0,7171248.0,7241609.0,7326909.0,7405396.0,7466041.0,7522254.0,7522661.0,7522831.0,7569856.0,7617474.0,7658685.0,7721996.0,7723356.0,7729635.0,7730223.0,7791296.0,7848148.0,7896474.0,7932716.0,7973572.0,7979347.0,7980320.0,8039924.0,8111440.0,8183205.0,8251751.0,8320172.0,8333223.0,8334451.0,8434468.0,8538856.0,8639133.0,8732691.0,8826947.0,8836339.0,8836934.0,8949304.0,9071177.0,9188426.0,9298208.0,9341509.0,9361308.0,9363426.0,9374979.0,9572788.0,9729868.0,9865144.0,9982744.0,10013450.0,10016687.0,10019598.0,10188224.0,10314468.0,10391817.0,10453214.0,10471134.0,10473055.0,10542541.0,10608134.0,10681615.0,10767242.0,10842728.0,10861578.0,10863745.0,10960847.0,11042366.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10449.0,33751.0,73352.0,107691.0,117597.0,119387.0,146842.0,166909.0,183633.0,196773.0,200820.0,201212.0,201261.0,205431.0,209100.0,213056.0,216098.0,218470.0,218748.0,218760.0,218838.0,222596.0,235007.0,298541.0,348556.0,358628.0,359882.0,361103.0,392977.0,415803.0,429769.0,441212.0,444639.0,445039.0,455423.0,463002.0,467786.0,471645.0,475553.0,477126.0,477298.0,481324.0,483957.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64340.0,65040.0,65746.0,66101.0,66154.0,66198.0,66454.0,66639.0,66814.0,66998.0,67132.0,67148.0,67161.0,67161.0,67353.0,67596.0,67866.0,68146.0,68202.0,68215.0,68215.0,68384.0,68548.0,69006.0,69350.0,69409.0,69418.0,69593.0,69832.0,70299.0,70756.0,71086.0,71168.0,71168.0,71454.0,72022.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23368.0,23959.0,24775.0,25552.0,25558.0,25558.0,25558.0,26312.0,26955.0,27496.0,28023.0,28549.0,28555.0,28555.0,29386.0,30302.0,31131.0,31779.0,32377.0,32381.0,32381.0,32950.0,33649.0,34195.0,34727.0,35266.0,35279.0,35280.0,35917.0,36455.0,37010.0,37621.0,37811.0,37811.0,37811.0,38154.0,38573.0,38971.0,39289.0,39550.0,39562.0,39562.0,39882.0,40275.0,40626.0,40865.0,41058.0,41067.0,41070.0,41461.0,41884.0,42149.0,42533.0,42534.0,42581.0,42581.0,42987.0,43341.0,43793.0,44122.0,44629.0,44682.0,44682.0,45187.0,45682.0,46055.0,46491.0,46784.0,46816.0,46829.0,47245.0,47825.0,48273.0,48673.0,49041.0,49113.0,49123.0,49565.0,50081.0,50679.0,51238.0,51519.0,51729.0,51783.0,51786.0,53623.0,55000.0,56166.0,57180.0,57442.0,57503.0,57504.0,59220.0,60275.0,60904.0,61382.0,61473.0,61504.0,61970.0,62465.0,63111.0,63762.0,64221.0,64303.0,64303.0,64682.0,64942.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1951.0,2226.0,2489.0,2537.0,2554.0,2847.0,3137.0,3433.0,3588.0,3744.0,3771.0,3781.0,3781.0,4001.0,4233.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6010.0,6081.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88981.0,93742.0,98488.0,102857.0,106602.0,106609.0,106609.0,110897.0,116088.0,120708.0,126430.0,131634.0,131753.0,131753.0,136820.0,142327.0,148332.0,153548.0,158816.0,159178.0,159222.0,165233.0,171356.0,177014.0,182285.0,187515.0,187900.0,188086.0,193639.0,198737.0,203695.0,208407.0,208700.0,209156.0,209351.0,212532.0,216026.0,219856.0,222950.0,225535.0,226054.0,226198.0,229508.0,232641.0,235736.0,238365.0,240912.0,241899.0,242033.0,243495.0,244509.0,245379.0,246964.0,248081.0,248647.0,248672.0,249627.0,250540.0,251438.0,252147.0,253539.0,253572.0,253608.0,256446.0,259814.0,263005.0,266168.0,269043.0,270282.0,270537.0,274427.0,278307.0,281907.0,285332.0,289016.0,289291.0,289371.0,293992.0,299385.0,304102.0,308629.0,309150.0,310179.0,310383.0,317453.0,325262.0,331122.0,337637.0,343498.0,343747.0,343876.0,350333.0,352775.0,354707.0,357281.0,360326.0,360863.0,360883.0,363935.0,367382.0,371757.0,376107.0,379674.0,380937.0,380960.0,384826.0,388406.0,392663.0,395734.0,398451.0,398805.0,398856.0,399598.0,403454.0,407204.0,408834.0,409581.0,409700.0,409713.0,410156.0,411574.0,413552.0,416729.0,419198.0,419634.0,419668.0,421671.0,423563.0,426443.0,428988.0,431271.0,431954.0,431991.0,434518.0,438106.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23375.0,28865.0,35200.0,41265.0,41827.0,41827.0,49764.0,56571.0,62593.0,67423.0,72058.0,72213.0,72218.0,75787.0,78324.0,80388.0,82144.0,83732.0,83735.0,83755.0,87332.0,91738.0,96129.0,101134.0,101166.0,101172.0,101178.0,107404.0,112599.0,117318.0,121322.0,127128.0,127335.0,127349.0,132811.0,137952.0,143344.0,148425.0,153098.0,153833.0,153888.0,160097.0,165585.0,170770.0,175844.0,180649.0,181202.0,181364.0,186486.0,190181.0,194281.0,199313.0,201191.0,201350.0,201481.0,204722.0,208292.0,212291.0,215291.0,217883.0,218445.0,218567.0,221398.0,224696.0,227632.0,229815.0,232172.0,232265.0,232374.0,234297.0,236039.0,237396.0,239288.0,239424.0,239727.0,239760.0,241587.0,243271.0,244343.0,245406.0,246820.0,246859.0,246890.0,249078.0,251433.0,253984.0,256387.0,258500.0,258857.0,258905.0,262670.0,266346.0,269791.0,273100.0,276451.0,277080.0,277182.0,281472.0,286050.0,290597.0,294684.0,296653.0,297172.0,297322.0,298486.0,306317.0,312958.0,317653.0,321879.0,322637.0,322663.0,323237.0,328146.0,331243.0,333850.0,336538.0,337092.0,337125.0,340397.0,343656.0,347336.0,351202.0,354198.0,355143.0,355175.0,359161.0,362747.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9143.0,11693.0,14554.0,15195.0,15199.0,15297.0,17029.0,18020.0,18557.0,19118.0,19158.0,19173.0,19616.0,19957.0,20163.0,20295.0,20377.0,20539.0,20546.0,20763.0,20892.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4421.0,7254.0,9648.0,9953.0,9987.0,12418.0,14971.0,17991.0,20748.0,23633.0,23750.0,23750.0,26401.0,28482.0,30644.0,32775.0,34839.0,34894.0,34894.0,36886.0,38797.0,40121.0,41263.0,43316.0,43512.0,43512.0,44996.0,46205.0,47219.0,48048.0,49053.0,49118.0,49120.0,50256.0,51276.0,52507.0,54149.0,55486.0,55585.0,55585.0,56858.0,58526.0,60067.0,62246.0,63342.0,63406.0,63406.0,64585.0,65928.0,67379.0,68882.0,70419.0,70547.0,70547.0,71909.0,73300.0,74516.0,75680.0,75766.0,75908.0,75909.0,76880.0,78279.0,79214.0,80157.0,80416.0,80417.0,80417.0,81342.0,82271.0,83281.0,84003.0,84702.0,84733.0,84733.0,85478.0,86236.0,86924.0,87904.0,88312.0,88376.0,88376.0,88988.0,89742.0,90373.0,90800.0,91245.0,91250.0,91250.0,92139.0,92957.0,94100.0,95040.0,95885.0,95969.0,95969.0,97164.0,98463.0,99663.0,100896.0,101997.0,102057.0,102063.0,103323.0,104751.0,106215.0,107752.0,107910.0,108715.0,108715.0,110756.0,113196.0,115258.0,117528.0,119477.0,119896.0,119897.0,121983.0,123909.0,124405.0,124412.0,124430.0,124433.0,124433.0,124616.0,126036.0,127748.0,129787.0,131497.0,132067.0,132074.0,133793.0,135482.0,137054.0,138264.0,139370.0,139676.0,139676.0,139753.0,141100.0,142475.0,143971.0,145214.0,145625.0,145625.0,145628.0,145839.0,146080.0,146793.0,147341.0,147513.0,147513.0,147957.0,148517.0,149321.0,150452.0,151530.0,151951.0,151951.0,153067.0,154466.0
