Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44187.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240596.0,414673.0,583373.0,611221.0,619857.0,841386.0,1083906.0,1356495.0,1607797.0,1837091.0,1866598.0,1871064.0,2136971.0,2357030.0,2545139.0,2700430.0,2842609.0,2852248.0,2853412.0,2961541.0,3055778.0,3141896.0,3227837.0,3305942.0,3315915.0,3316270.0,3453396.0,3612314.0,3770150.0,3914840.0,4051124.0,4060768.0,4061833.0,4198427.0,4337418.0,4473171.0,4644598.0,4795801.0,4820097.0,4822843.0,4980544.0,5146856.0,5297654.0,5445624.0,5581436.0,5604580.0,5607425.0,5751339.0,5898259.0,6051068.0,6207539.0,6373447.0,6386310.0,6387279.0,6538035.0,6671286.0,6797806.0,6932116.0,6933963.0,6935838.0,6936494.0,7015977.0,7108503.0,7202836.0,7279073.0,7349411.0,7360501.0,7361588.0,7439203.0,7513612.0,7592339.0,7653879.0,7711649.0,7719467.0,7720325.0,7763969.0,7802825.0,7833749.0,7889809.0,7929444.0,7935143.0,7935491.0,7978285.0,8017016.0,8060269.0,8090917.0,8141436.0,8142484.0,8143270.0,8219012.0,8299820.0,8381086.0,8462388.0,8545786.0,8563060.0,8564017.0,8667007.0,8774035.0,8878319.0,8974441.0,9076847.0,9077924.0,9078189.0,9196388.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44330.0,52665.0,55546.0,55756.0,55790.0,55790.0,55790.0,55800.0,55800.0,55800.0,55800.0,55800.0,55800.0,55821.0,55861.0,56034.0,56178.0,56296.0,56300.0,56300.0,56707.0,69119.0,223168.0,388978.0,550526.0,574651.0,581545.0,795525.0,1033005.0,1298456.0,1543946.0,1767036.0,1793165.0,1796999.0,2069397.0,2312833.0,2528833.0,2714890.0,2869631.0,2880614.0,2881789.0,3003710.0,3094225.0,3158982.0,3214169.0,3265086.0,3267829.0,3268250.0,3383710.0,3528259.0,3681386.0,3849811.0,3854980.0,3856322.0,3856781.0,4061448.0,4207891.0,4346100.0,4508712.0,4656643.0,4671461.0,4672818.0,4831398.0,4991110.0,5140491.0,5284376.0,5416956.0,5431286.0,5433037.0,5581385.0,5728116.0,5872911.0,6016022.0,6159053.0,6170911.0,6171596.0,6324373.0,6455821.0,6580550.0,6704496.0,6741161.0,6742361.0,6743019.0,6818292.0,6906189.0,6999088.0,7075143.0,7138418.0,7146533.0,7146974.0,7216777.0,7301204.0,7378873.0,7438620.0,7493961.0,7494364.0,7494529.0,7539009.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44114.0,44374.0,44705.0,45069.0,45490.0,45591.0,45591.0,46068.0,46537.0,46921.0,47331.0,47650.0,47685.0,47685.0,48113.0,48573.0,49056.0,49412.0,49791.0,49870.0,49872.0,50297.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16843.0,18437.0,19741.0,19810.0,19810.0,20708.0,21614.0,22079.0,22494.0,22809.0,22809.0,22809.0,23356.0,23947.0,24761.0,25538.0,25544.0,25544.0,25544.0,26297.0,26940.0,27480.0,28006.0,28532.0,28538.0,28538.0,29367.0,30281.0,31106.0,31752.0,32333.0,32337.0,32337.0,32890.0,33580.0,34120.0,34650.0,35189.0,35202.0,35203.0,35833.0,36368.0,36919.0,37529.0,37718.0,37718.0,37718.0,38057.0,38471.0,38869.0,39187.0,39447.0,39458.0,39458.0,39775.0,40167.0,40514.0,40731.0,40924.0,40933.0,40933.0,41304.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60866.0,64998.0,69041.0,69196.0,69196.0,73109.0,76677.0,79903.0,82250.0,84796.0,84796.0,84796.0,88970.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116066.0,120686.0,126409.0,131611.0,131731.0,131731.0,136780.0,142263.0,148247.0,153436.0,158438.0,158800.0,158844.0,164760.0,170826.0,176448.0,181697.0,186911.0,187296.0,187482.0,192996.0,198084.0,203024.0,207729.0,208022.0,208478.0,208673.0,211822.0,215295.0,219096.0,222158.0,224711.0,225224.0,225368.0,228649.0,231748.0,234815.0,237426.0,239951.0,240934.0,241068.0,242526.0,243516.0,244383.0,245957.0,247070.0,247614.0,247639.0,248594.0,249503.0,250400.0,251106.0,252494.0,252527.0,252563.0,255399.0,258764.0,261949.0,265108.0,267973.0,269202.0,269456.0,273327.0,277195.0,280788.0,284211.0,287892.0,288166.0,288246.0,292601.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78310.0,80374.0,82129.0,83716.0,83719.0,83739.0,87313.0,91718.0,96103.0,101104.0,101136.0,101142.0,101148.0,107372.0,112564.0,117283.0,121286.0,127084.0,127290.0,127304.0,132746.0,137861.0,143229.0,148276.0,152750.0,153471.0,153525.0,159625.0,165044.0,170194.0,175245.0,180028.0,180579.0,180741.0,185825.0,189507.0,193591.0,198611.0,200483.0,200642.0,200772.0,203987.0,207529.0,211498.0,214475.0,217028.0,217581.0,217702.0,220505.0,223766.0,226678.0,228845.0,231177.0,231270.0,231379.0,233243.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44934.0,46141.0,47154.0,47982.0,48990.0,49056.0,49058.0,50188.0,51208.0,52438.0,54082.0,55419.0,55519.0,55519.0,56786.0,58448.0,59982.0,62130.0,63226.0,63290.0,63290.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74257.0,75421.0,75507.0,75649.0,75650.0,76621.0,78009.0,78936.0,79871.0,80130.0,80131.0,80131.0,81055.0,81976.0,82987.0,83710.0,84406.0,84437.0,84437.0,85182.0,85935.0,86616.0,87594.0,87999.0,88060.0,88060.0,88666.0,89420.0,90005.0,90429.0,90872.0,90876.0,90876.0,91743.0,92556.0,93687.0,94623.0,95421.0,95502.0,95502.0,96661.0,97955.0,99111.0,100147.0,101246.0,101301.0,101307.0,102481.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2090.0,2733.0,2801.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2805.0,2820.0,2831.0,2843.0,2851.0,2852.0,2852.0,2854.0,2915.0,4168.0,7002.0,9230.0,9488.0,9514.0,11809.0,14319.0,17140.0,19883.0,22719.0,22813.0,22813.0,25753.0,28583.0,31266.0,33743.0,35879.0,35924.0,35924.0,38032.0,40133.0,41345.0,42150.0,42913.0,42919.0,42919.0,43801.0,44836.0,45664.0,46539.0,46545.0,46548.0,46549.0,48105.0,49393.0,50625.0,52153.0,53243.0,53295.0,53295.0,54070.0,55798.0,57492.0,59320.0,60234.0,60286.0,60288.0,60936.0,62875.0,64381.0,65100.0,66538.0,66556.0,66559.0,68148.0,69792.0,71097.0,72163.0,72548.0,72548.0,72549.0,73456.0,74556.0,75423.0,75606.0,75819.0,75827.0,75827.0,76987.0,78186.0,79033.0,79538.0,80133.0,80149.0,80152.0,81039.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37665.0,39557.0,41496.0,42577.0,42630.0,42632.0,44547.0,46978.0,49314.0,51598.0,53128.0,53205.0,53205.0,54585.0,55769.0,56736.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65974.0,68028.0,70052.0,70156.0,70156.0,72487.0,74796.0,77003.0,79156.0,80875.0,80876.0,80888.0,83352.0,85901.0,88369.0,90630.0,93044.0,93044.0,93044.0,95226.0,97284.0,99017.0,100678.0,100678.0,100678.0,100678.0,102277.0,103792.0,105543.0,106733.0,108240.0,108371.0,108371.0,108787.0,110310.0,111702.0,112819.0,113838.0,113838.0,113838.0,114946.0,116307.0,117213.0,118263.0,119174.0,119174.0,119174.0,119965.0,121083.0,122174.0,123020.0,124105.0,124105.0,124105.0,125574.0,127100.0,128409.0,129730.0,131123.0,131312.0,131312.0,132838.0,134607.0,136107.0,137422.0,138973.0,138982.0,138982.0,140551.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9439.0,14626.0,19091.0,19514.0,19515.0,22979.0,25405.0,27625.0,29701.0,32137.0,32505.0,32505.0,34944.0,37668.0,40530.0,42361.0,43593.0,43617.0,43622.0,45295.0,46981.0,48349.0,50244.0,51570.0,51571.0,51571.0,52637.0,53895.0,55335.0,56832.0,56833.0,56833.0,56833.0,59451.0,61497.0,63272.0,65188.0,66757.0,66763.0,66763.0,68694.0,71280.0,73476.0,75658.0,77460.0,77466.0,77466.0,79508.0,81967.0,84228.0,86423.0,88185.0,88189.0,88189.0,89504.0,91716.0,93934.0,95730.0,96513.0,96513.0,96513.0,97723.0,99163.0,100891.0,102024.0,102995.0,103059.0,103059.0,103911.0,105553.0,106843.0,107849.0,108528.0,108528.0,108528.0,109561.0
