Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44220.0,53529.0,56586.0,56998.0,56998.0,56998.0,57015.0,57036.0,57037.0,57037.0,57037.0,57038.0,57038.0,57038.0,70221.0,240594.0,414623.0,583378.0,611228.0,619865.0,841366.0,1083847.0,1356278.0,1607656.0,1836911.0,1866434.0,1870901.0,2136767.0,2356807.0,2544848.0,2700111.0,2842237.0,2851879.0,2853041.0,2961145.0,3055345.0,3141446.0,3227381.0,3305655.0,3315698.0,3316053.0,3453206.0,3612166.0,3770012.0,3914749.0,4050966.0,4060611.0,4061676.0,4198277.0,4337318.0,4473135.0,4644576.0,4795812.0,4820101.0,4822849.0,4980710.0,5147345.0,5298626.0,5447441.0,5587205.0,5610385.0,5613237.0,5759983.0,5910261.0,6064545.0,6222010.0,6388593.0,6401537.0,6402506.0,6553756.0,6687734.0,6814820.0,6949614.0,6951471.0,6953352.0,6954010.0,7033942.0,7127098.0,7221996.0,7298747.0,7369631.0,7380823.0,7381920.0,7460025.0,7535038.0,7614388.0,7676684.0,7735083.0,7742984.0,7743860.0,7787757.0,7826967.0,7858115.0,7914479.0,7954319.0,7960068.0,7960419.0,8003484.0,8042507.0,8086003.0,8116870.0,8167806.0,8168898.0,8169697.0,8245701.0,8326759.0,8408251.0,8489839.0,8573921.0,8591304.0,8592264.0,8695567.0,8802976.0,8907816.0,9004826.0,9108062.0,9109112.0,9109377.0,9233961.0,9370055.0,9495818.0,9624305.0,9632607.0,9659429.0,9663127.0,9838978.0,10028834.0,10209490.0,10376421.0,10521866.0,10563460.0,10572579.0,10728527.0,10867942.0,10977030.0,11032629.0,11075010.0,11089761.0,11091740.0,11145614.0,11205834.0,11282436.0,11378772.0,11459381.0,11482100.0,11483523.0,11588574.0,11673643.0,11779225.0,11850171.0,11911644.0,11928214.0,11930009.0,11937329.0,12036950.0,12112476.0,12160933.0,12199122.0,12210201.0,12211232.0,12212477.0,12252403.0,12300502.0,12387389.0,12452829.0,12468374.0,12470379.0,12518118.0,12561806.0,12635594.0,12693642.0,12744216.0,12764212.0,12766609.0,12815765.0,12895930.0,12950605.0,13022005.0,13024120.0,13034070.0,13034999.0,13082622.0,13122804.0,13156120.0,13191939.0,13250044.0,13273053.0,13275100.0,13290556.0,13299829.0,13306883.0,13315512.0,13323865.0,13324925.0,13324955.0,13424396.0,13537124.0,13541895.0,13545146.0,13548126.0,13548364.0,13548419.0,13625231.0,13693184.0,13695892.0,13698183.0,13700261.0,13700542.0,13700765.0,13738622.0,13770384.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24982.0,44369.0,52714.0,55602.0,55812.0,55845.0,55845.0,55845.0,55856.0,55856.0,55857.0,55857.0,55857.0,55857.0,55879.0,55919.0,56093.0,56238.0,56356.0,56360.0,56360.0,56769.0,69185.0,223271.0,389117.0,550781.0,574918.0,581817.0,795888.0,1033429.0,1298998.0,1544658.0,1767810.0,1793979.0,1797816.0,2070262.0,2313916.0,2529955.0,2716119.0,2870884.0,2881900.0,2883071.0,3005095.0,3095710.0,3160521.0,3215756.0,3266867.0,3269615.0,3270038.0,3385560.0,3530270.0,3683519.0,3852070.0,3857250.0,3858595.0,3859058.0,4063953.0,4210628.0,4349054.0,4511870.0,4659965.0,4674804.0,4676160.0,4835086.0,4995416.0,5145592.0,5290489.0,5426305.0,5440691.0,5442453.0,5593518.0,5743649.0,5890103.0,6034461.0,6178249.0,6190184.0,6190876.0,6344514.0,6477032.0,6602676.0,6727222.0,6764156.0,6765364.0,6766031.0,6841900.0,6930539.0,7024189.0,7100857.0,7164749.0,7172957.0,7173402.0,7243820.0,7329186.0,7407711.0,7468390.0,7524641.0,7525048.0,7525219.0,7572301.0,7619999.0,7661261.0,7724619.0,7725982.0,7732266.0,7732855.0,7793986.0,7850906.0,7899283.0,7935568.0,7976471.0,7982251.0,7983226.0,8042877.0,8114454.0,8186252.0,8254833.0,8323288.0,8336352.0,8337581.0,8437661.0,8542121.0,8642464.0,8736082.0,8830410.0,8839808.0,8840403.0,8952866.0,9074874.0,9192264.0,9302287.0,9345712.0,9365584.0,9367731.0,9380062.0,9585522.0,9749213.0,9890385.0,10013297.0,10045027.0,10048405.0,10051540.0,10229019.0,10362932.0,10444774.0,10509609.0,10528605.0,10530707.0,10627333.0,10706205.0,10789697.0,10884400.0,10969354.0,10991177.0,10993714.0,11120120.0,11220995.0,11326388.0,11416881.0,11419481.0,11432930.0,11434131.0,11507170.0,11599620.0,11669695.0,11710635.0,11767331.0,11777479.0,11778328.0,11818668.0,11859668.0,11887239.0,11968399.0,12036498.0,12046631.0,12047070.0,12070724.0,12096086.0,12155743.0,12198573.0,12230076.0,12230988.0,12231009.0,12252170.0,12271609.0,12389237.0,12468340.0,12517355.0,12518361.0,12518560.0,12540005.0,12561546.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10455.0,33769.0,73387.0,107746.0,117653.0,119443.0,146910.0,166987.0,183714.0,196869.0,200917.0,201310.0,201359.0,205531.0,209206.0,213160.0,216202.0,218578.0,218856.0,218868.0,218946.0,222708.0,235124.0,298685.0,348770.0,358843.0,360098.0,361324.0,393222.0,416121.0,430128.0,441600.0,445030.0,445431.0,455837.0,463427.0,468224.0,472090.0,476007.0,477581.0,477752.0,481839.0,484672.0,487390.0,492697.0,492794.0,493263.0,493365.0,495999.0,497734.0,499134.0,500727.0,501956.0,503382.0,503424.0,504368.0,505145.0,505677.0,506153.0,506428.0,506440.0,506441.0,507439.0,508292.0,508514.0,508696.0,508875.0,508890.0,508890.0,509110.0,509362.0,509466.0,509574.0,509665.0,509678.0,509678.0,510077.0,512498.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,69874.0,159801.0,256645.0,260109.0,260187.0,417562.0,589400.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73574.0,73804.0,74238.0,74549.0,74642.0,74642.0,74768.0,74871.0,74945.0,75045.0,75094.0,75116.0,75116.0,75277.0,75441.0,75552.0,75653.0,75769.0,75774.0,75774.0,75896.0,76004.0,76083.0,76170.0,76222.0,76225.0,76225.0,76300.0,76358.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60288.0,60919.0,61397.0,61488.0,61519.0,61985.0,62480.0,63127.0,63778.0,64237.0,64319.0,64319.0,64699.0,64969.0,65262.0,65522.0,65522.0,65566.0,65599.0,65748.0,65979.0,66222.0,66504.0,66766.0,66833.0,66834.0,66946.0,67131.0,67332.0,67742.0,68030.0,68095.0,68095.0,68316.0,68586.0,69008.0,69454.0,69793.0,69840.0,69840.0,70164.0,70565.0,70984.0,71292.0,71492.0,71594.0,71594.0,71835.0,72070.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7671.0,7751.0,7839.0,7852.0,7852.0,7914.0,7991.0,8045.0,8089.0,8150.0,8160.0,8160.0,8225.0,8274.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2233.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24050.0,29757.0,36326.0,42675.0,43445.0,43450.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88981.0,93742.0,98489.0,102859.0,106604.0,106611.0,106611.0,110899.0,116090.0,120712.0,126434.0,131638.0,131757.0,131757.0,136825.0,142332.0,148336.0,153552.0,158820.0,159182.0,159226.0,165237.0,171361.0,177021.0,182292.0,187523.0,187908.0,188094.0,193647.0,198746.0,203705.0,208418.0,208711.0,209167.0,209362.0,212543.0,216037.0,219867.0,222961.0,225546.0,226065.0,226209.0,229520.0,232653.0,235748.0,238377.0,240924.0,241910.0,242044.0,243507.0,244521.0,245391.0,246976.0,248093.0,248659.0,248684.0,249639.0,250552.0,251450.0,252159.0,253552.0,253585.0,253621.0,256460.0,259829.0,263020.0,266184.0,269059.0,270298.0,270553.0,274443.0,278323.0,281923.0,285350.0,289034.0,289309.0,289389.0,294010.0,299402.0,304119.0,308646.0,309167.0,310196.0,310400.0,317471.0,325280.0,331139.0,337654.0,343518.0,343767.0,343896.0,350355.0,352798.0,354729.0,357303.0,360350.0,360887.0,360907.0,363958.0,367405.0,371783.0,376132.0,379700.0,380963.0,380986.0,384853.0,388433.0,392694.0,395767.0,398486.0,398840.0,398891.0,399635.0,403496.0,407246.0,408881.0,409629.0,409747.0,409760.0,410204.0,411626.0,413604.0,416783.0,419256.0,419692.0,419726.0,421729.0,423623.0,426503.0,429051.0,431335.0,432017.0,432054.0,434583.0,438198.0,441190.0,444062.0,444844.0,445732.0,445768.0,448690.0,451679.0,454475.0,458328.0,461659.0,462262.0,462282.0,462492.0,462638.0,463201.0,463651.0,463789.0,463793.0,463793.0,467548.0,472416.0,472427.0,472442.0,472449.0,472449.0,472449.0,475680.0,478737.0,478753.0,478776.0,478793.0,478794.0,478795.0,480579.0,482334.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23375.0,28865.0,35201.0,41269.0,41831.0,41831.0,49769.0,56577.0,62600.0,67430.0,72065.0,72220.0,72225.0,75794.0,78335.0,80406.0,82163.0,83753.0,83756.0,83776.0,87356.0,91764.0,96158.0,101166.0,101198.0,101204.0,101210.0,107440.0,112640.0,117366.0,121374.0,127182.0,127389.0,127403.0,132870.0,138012.0,143405.0,148487.0,153164.0,153899.0,153954.0,160168.0,165657.0,170843.0,175921.0,180726.0,181279.0,181441.0,186566.0,190262.0,194364.0,199399.0,201279.0,201438.0,201569.0,204828.0,208404.0,212413.0,215424.0,218023.0,218585.0,218707.0,221552.0,224859.0,227800.0,229983.0,232341.0,232434.0,232543.0,234482.0,236226.0,237594.0,239495.0,239632.0,239935.0,239969.0,241798.0,243486.0,244561.0,245626.0,247041.0,247080.0,247111.0,249300.0,251657.0,254210.0,256615.0,258732.0,259091.0,259139.0,262909.0,266593.0,270043.0,273352.0,276707.0,277336.0,277438.0,281733.0,286315.0,290867.0,294958.0,296930.0,297449.0,297599.0,298898.0,307186.0,314216.0,319153.0,323771.0,324614.0,324641.0,325253.0,330706.0,334105.0,336867.0,339683.0,340252.0,340286.0,344531.0,348188.0,352217.0,356425.0,359803.0,360856.0,360889.0,366102.0,370265.0,374295.0,378307.0,379165.0,380040.0,380105.0,383277.0,387458.0,391087.0,393452.0,395236.0,395497.0,395509.0,397264.0,398579.0,400202.0,402903.0,405019.0,405367.0,405374.0,406062.0,406732.0,408074.0,408706.0,409170.0,409177.0,409177.0,409563.0,409897.0,414800.0,417638.0,419444.0,419469.0,419473.0,420334.0,421578.0
