Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44202.0,53511.0,56573.0,56985.0,56985.0,56985.0,57002.0,57023.0,57024.0,57024.0,57024.0,57024.0,57024.0,57024.0,70211.0,240556.0,414601.0,583224.0,611095.0,619729.0,841156.0,1083603.0,1356067.0,1607288.0,1836501.0,1865957.0,1870422.0,2136247.0,2356209.0,2544184.0,2699315.0,2841309.0,2850927.0,2852091.0,2960138.0,3054252.0,3140255.0,3225962.0,3303965.0,3313964.0,3314316.0,3451181.0,3609950.0,3767452.0,3911837.0,4047752.0,4057478.0,4058543.0,4194731.0,4333422.0,4468734.0,4639312.0,4789733.0,4813928.0,4816596.0,4973521.0,5138496.0,5287778.0,5424393.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9766.0,10361.0,10395.0,10395.0,10400.0,10400.0,10400.0,10400.0,10406.0,10406.0,12514.0,13184.0,13189.0,13189.0,24956.0,44315.0,52643.0,55516.0,55723.0,55757.0,55757.0,55757.0,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,55788.0,55828.0,56000.0,56144.0,56261.0,56265.0,56265.0,56665.0,69062.0,222843.0,388304.0,549449.0,573607.0,580455.0,794000.0,1030867.0,1294700.0,1539065.0,1761107.0,1787084.0,1790880.0,2062111.0,2304262.0,2517951.0,2692923.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19490.0,19571.0,19571.0,20362.0,21143.0,21845.0,22524.0,22897.0,22908.0,22908.0,23547.0,24361.0,25285.0,26013.0,26757.0,26762.0,26762.0,27299.0,27892.0,28423.0,29114.0,29696.0,29706.0,29706.0,30455.0,31322.0,32111.0,32842.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4758.0,5828.0,5848.0,5848.0,7046.0,8202.0,9762.0,11074.0,12329.0,12360.0,12367.0,13946.0,15412.0,16832.0,18322.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19619.0,24048.0,29755.0,36325.0,42676.0,43445.0,43450.0,50653.0,56075.0,60872.0,65004.0,69047.0,69202.0,69202.0,73117.0,76683.0,79910.0,82256.0,84802.0,84802.0,84802.0,88976.0,93735.0,98478.0,102844.0,106589.0,106595.0,106595.0,110879.0,116056.0,120674.0,126390.0,131591.0,131709.0,131709.0,136758.0,142240.0,148214.0,153330.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15420.0,15489.0,15489.0,19037.0,23367.0,28854.0,35184.0,41250.0,41809.0,41809.0,49683.0,56443.0,62414.0,67163.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12409.0,14958.0,17973.0,20729.0,23609.0,23725.0,23725.0,26371.0,28442.0,30598.0,32723.0,34781.0,34836.0,34836.0,36828.0,38738.0,40041.0,41161.0,43168.0,43360.0,43360.0,44837.0,46042.0,47052.0,47880.0,48886.0,48950.0,48952.0,50085.0,51102.0,52324.0,53927.0,55253.0,55349.0,55349.0,56593.0,58120.0,59665.0,61260.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9206.0,9463.0,9489.0,11780.0,14237.0,17024.0,19738.0,22573.0,22667.0,22667.0,25534.0,28318.0,30940.0,33144.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1644.0,2516.0,3607.0,3872.0,3872.0,3872.0,3872.0,3874.0,3874.0,3874.0,3874.0,3874.0,3874.0,3874.0,3876.0,9465.0,15284.0,19968.0,20443.0,20443.0,24041.0,26455.0,28686.0,30751.0,33259.0,33736.0,33736.0,35815.0,37649.0,39522.0,41455.0,42534.0,42587.0,42589.0,44502.0,46931.0,49266.0,51376.0,52905.0,52982.0,52982.0,54362.0,55548.0,56505.0,57654.0,59666.0,59965.0,59965.0,61924.0,63861.0,65698.0,67748.0,69761.0,69865.0,69865.0,72165.0,74355.0,76202.0,77810.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1740.0,2650.0,3635.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3719.0,3745.0,3745.0,3745.0,3754.0,4424.0,9409.0,14590.0,19029.0,19452.0,19453.0,22882.0,25287.0,27504.0,29552.0,31972.0,32340.0,32340.0,34723.0,37350.0,39837.0,41463.0
