Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56571.0,56983.0,56983.0,56983.0,57000.0,57021.0,57022.0,57022.0,57022.0,57023.0,57023.0,57023.0,70214.0,240573.0,414600.0,583280.0,611131.0,619768.0,841202.0,1083667.0,1356146.0,1607375.0,1836598.0,1866103.0,1870568.0,2136409.0,2356387.0,2544410.0,2699652.0,2841762.0,2851401.0,2852565.0,2960673.0,3054887.0,3140980.0,3226906.0,3305013.0,3315052.0,3315407.0,3452537.0,3611482.0,3769294.0,3914012.0,4050226.0,4059868.0,4060933.0,4197493.0,4336527.0,4472310.0,4643709.0,4794921.0,4819217.0,4821964.0,4979753.0,5146294.0,5297514.0,5446293.0,5586105.0,5609283.0,5612260.0,5758594.0,5908675.0,6062521.0,6219825.0,6385645.0,6398537.0,6399504.0,6550554.0,6684311.0,6811040.0,6945440.0,6947287.0,6949155.0,6949809.0,7029418.0,7122408.0,7217015.0,7293203.0,7363659.0,7374708.0,7375798.0,7453633.0,7528183.0,7607088.0,7668886.0,7726565.0,7734350.0,7735162.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24967.0,44331.0,52666.0,55549.0,55759.0,55793.0,55793.0,55793.0,55803.0,55803.0,55803.0,55803.0,55803.0,55803.0,55824.0,55864.0,56037.0,56181.0,56299.0,56303.0,56303.0,56709.0,69118.0,223082.0,388778.0,550250.0,574372.0,581263.0,795124.0,1032453.0,1297783.0,1543122.0,1766053.0,1792167.0,1795998.0,2068226.0,2311526.0,2527250.0,2713212.0,2867893.0,2878905.0,2880080.0,3001984.0,3092408.0,3157104.0,3212164.0,3262990.0,3265731.0,3266152.0,3381524.0,3526034.0,3678933.0,3847207.0,3852362.0,3853700.0,3854157.0,4058620.0,4205038.0,4343054.0,4505336.0,4652959.0,4667772.0,4669128.0,4827559.0,4986817.0,5135590.0,5279003.0,5412994.0,5427276.0,5428829.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19493.0,19574.0,19574.0,20367.0,21148.0,21851.0,22532.0,22905.0,22916.0,22916.0,23556.0,24372.0,25296.0,26025.0,26769.0,26774.0,26774.0,27311.0,27904.0,28435.0,29128.0,29712.0,29727.0,29727.0,30476.0,31343.0,32135.0,32923.0,33498.0,33518.0,33518.0,34107.0,34810.0,35354.0,35922.0,36469.0,36469.0,36469.0,37077.0,37713.0,38258.0,38852.0,38852.0,38918.0,38920.0,39334.0,39722.0,40086.0,40393.0,40680.0,40682.0,40682.0,41065.0,41416.0,41769.0,42088.0,42383.0,42386.0,42386.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3395.0,4760.0,5830.0,5850.0,5850.0,7048.0,8205.0,9766.0,11078.0,12334.0,12367.0,12374.0,13953.0,15420.0,16843.0,18437.0,19741.0,19810.0,19810.0,20709.0,21615.0,22080.0,22495.0,22808.0,22808.0,22808.0,23355.0,23944.0,24760.0,25535.0,25541.0,25541.0,25541.0,26295.0,26938.0,27478.0,28005.0,28528.0,28534.0,28534.0,29365.0,30279.0,31108.0,31756.0,32351.0,32355.0,32355.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93746.0,98494.0,102861.0,106607.0,106614.0,106614.0,110903.0,116093.0,120713.0,126436.0,131638.0,131758.0,131758.0,136825.0,142329.0,148336.0,153548.0,158822.0,159185.0,159228.0,165234.0,171351.0,177010.0,182279.0,187505.0,187890.0,188075.0,193625.0,198719.0,203665.0,208368.0,208660.0,209115.0,209310.0,212486.0,215976.0,219803.0,222894.0,225476.0,225992.0,226136.0,229440.0,232569.0,235661.0,238285.0,240829.0,241815.0,241916.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9493.0,12765.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35195.0,41261.0,41820.0,41820.0,49757.0,56564.0,62585.0,67404.0,72038.0,72190.0,72195.0,75764.0,78296.0,80359.0,82113.0,83700.0,83703.0,83723.0,87296.0,91701.0,96092.0,101091.0,101123.0,101129.0,101135.0,107359.0,112552.0,117269.0,121272.0,127071.0,127278.0,127292.0,132753.0,137889.0,143275.0,148347.0,153017.0,153753.0,153791.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20731.0,23612.0,23728.0,23728.0,26376.0,28449.0,30608.0,32738.0,34797.0,34852.0,34852.0,36844.0,38755.0,40077.0,41214.0,43264.0,43459.0,43459.0,44942.0,46149.0,47163.0,47991.0,49000.0,49065.0,49067.0,50202.0,51220.0,52450.0,54090.0,55424.0,55523.0,55523.0,56791.0,58454.0,59991.0,62159.0,63259.0,63323.0,63323.0,64500.0,65837.0,67282.0,68780.0,70294.0,70390.0,70390.0,71746.0,73133.0,74343.0,75505.0,75591.0,75733.0,75734.0,76703.0,78099.0,79029.0,79971.0,80228.0,80229.0,80229.0,81152.0,82014.0,83014.0,83688.0,84369.0,84400.0,84400.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2095.0,2739.0,2807.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2811.0,2826.0,2837.0,2849.0,2857.0,2858.0,2858.0,2860.0,2921.0,4174.0,6984.0,9209.0,9467.0,9493.0,11788.0,14298.0,17118.0,19861.0,22696.0,22790.0,22790.0,25714.0,28543.0,31226.0,33702.0,35838.0,35883.0,35883.0,37992.0,40093.0,41305.0,42110.0,42873.0,42879.0,42879.0,43761.0,44795.0,45621.0,46495.0,46501.0,46503.0,46504.0,48064.0,49349.0,50578.0,52044.0,53131.0,53183.0,53183.0,53956.0,55564.0,57156.0,58738.0,59641.0,59693.0,59695.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3605.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9465.0,15286.0,19996.0,20450.0,20450.0,24048.0,26462.0,28693.0,30758.0,33268.0,33745.0,33745.0,35826.0,37668.0,39541.0,41480.0,42561.0,42614.0,42616.0,44531.0,46962.0,49300.0,51584.0,53114.0,53191.0,53191.0,54571.0,55757.0,56723.0,57875.0,59893.0,60192.0,60192.0,62168.0,64120.0,65964.0,68018.0,70042.0,70146.0,70146.0,72487.0,74818.0,77052.0,79224.0,80965.0,80966.0,80978.0,83474.0,86049.0,88542.0,90820.0,93245.0,93245.0,93245.0,95430.0,97495.0,99236.0,100900.0,100900.0,100900.0,100900.0,102430.0,103947.0,105703.0,106887.0,108414.0,108541.0,108541.0,108957.0,110479.0,111847.0,112970.0,113929.0,113929.0,113929.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2662.0,3656.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3742.0,3769.0,3769.0,3769.0,3778.0,4449.0,9439.0,14622.0,19086.0,19509.0,19510.0,22973.0,25398.0,27618.0,29693.0,32127.0,32495.0,32495.0,34930.0,37653.0,40353.0,42182.0,43415.0,43439.0,43444.0,45115.0,46800.0,48168.0,50063.0,51387.0,51388.0,51388.0,52453.0,53712.0,55152.0,56651.0,56652.0,56652.0,56652.0,59264.0,61306.0,63078.0,64970.0,66533.0,66539.0,66539.0,68471.0,71057.0,73272.0,75204.0,76831.0,76837.0,76837.0
