Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44188.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240595.0,414672.0,583372.0,611220.0,619856.0,841384.0,1083906.0,1356495.0,1607797.0,1837091.0,1866598.0,1871064.0,2136972.0,2357031.0,2545140.0,2700431.0,2842610.0,2852249.0,2853413.0,2961542.0,3055779.0,3141897.0,3227839.0,3305936.0,3315910.0,3316265.0,3453389.0,3612307.0,3770143.0,3914832.0,4051116.0,4060760.0,4061825.0,4198423.0,4337414.0,4473167.0,4644595.0,4795798.0,4820094.0,4822840.0,4980542.0,5146855.0,5297653.0,5445624.0,5581436.0,5604580.0,5607426.0,5751339.0,5898259.0,6051070.0,6207540.0,6373449.0,6386312.0,6387281.0,6538033.0,6671286.0,6797812.0,6932122.0,6933969.0,6935844.0,6936500.0,7015981.0,7108509.0,7202843.0,7279084.0,7349423.0,7360514.0,7361601.0,7439221.0,7513631.0,7592360.0,7653905.0,7711681.0,7719499.0,7720358.0,7764012.0,7802906.0,7833830.0,7889891.0,7929526.0,7935225.0,7935573.0,7978370.0,8017101.0,8060355.0,8091007.0,8141527.0,8142575.0,8143361.0,8219107.0,8299922.0,8381195.0,8462497.0,8545905.0,8563179.0,8564136.0,8667144.0,8774178.0,8878504.0,8974957.0,9077560.0,9078644.0,9078909.0,9202580.0,9331722.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44330.0,52665.0,55546.0,55756.0,55790.0,55790.0,55790.0,55800.0,55800.0,55800.0,55800.0,55800.0,55800.0,55821.0,55861.0,56034.0,56178.0,56296.0,56300.0,56300.0,56707.0,69119.0,223167.0,388977.0,550525.0,574650.0,581544.0,795524.0,1033004.0,1298459.0,1543949.0,1767039.0,1793168.0,1797002.0,2069401.0,2312838.0,2528839.0,2714896.0,2869637.0,2880620.0,2881795.0,3003717.0,3094232.0,3158990.0,3214181.0,3265087.0,3267830.0,3268251.0,3383710.0,3528263.0,3681390.0,3849816.0,3854985.0,3856327.0,3856786.0,4061461.0,4207904.0,4346115.0,4508728.0,4656661.0,4671479.0,4672836.0,4831418.0,4991132.0,5140513.0,5284401.0,5416983.0,5431313.0,5433065.0,5581414.0,5728146.0,5872942.0,6016054.0,6159089.0,6170947.0,6171632.0,6324410.0,6455863.0,6580596.0,6704543.0,6741208.0,6742408.0,6743066.0,6818342.0,6906237.0,6999148.0,7075203.0,7138501.0,7146618.0,7147059.0,7216877.0,7301308.0,7378997.0,7438815.0,7494350.0,7494752.0,7494917.0,7541366.0,7586547.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44114.0,44374.0,44705.0,45069.0,45490.0,45591.0,45591.0,46068.0,46537.0,46921.0,47331.0,47650.0,47685.0,47685.0,48113.0,48573.0,49056.0,49426.0,49805.0,49886.0,49888.0,50354.0,50932.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16843.0,18437.0,19741.0,19810.0,19810.0,20708.0,21614.0,22079.0,22494.0,22809.0,22809.0,22809.0,23356.0,23947.0,24761.0,25538.0,25544.0,25544.0,25544.0,26297.0,26940.0,27480.0,28006.0,28532.0,28538.0,28538.0,29367.0,30281.0,31106.0,31752.0,32333.0,32337.0,32337.0,32890.0,33580.0,34120.0,34650.0,35189.0,35202.0,35203.0,35833.0,36368.0,36919.0,37529.0,37718.0,37718.0,37718.0,38057.0,38471.0,38869.0,39187.0,39447.0,39459.0,39459.0,39775.0,40167.0,40514.0,40752.0,40945.0,40954.0,40954.0,41343.0,41750.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60866.0,64998.0,69041.0,69196.0,69196.0,73109.0,76677.0,79903.0,82250.0,84796.0,84796.0,84796.0,88970.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116066.0,120686.0,126409.0,131611.0,131731.0,131731.0,136780.0,142263.0,148247.0,153436.0,158438.0,158800.0,158844.0,164760.0,170826.0,176448.0,181697.0,186911.0,187296.0,187482.0,192996.0,198084.0,203024.0,207729.0,208022.0,208478.0,208673.0,211822.0,215295.0,219096.0,222158.0,224711.0,225224.0,225368.0,228649.0,231748.0,234815.0,237426.0,239951.0,240934.0,241068.0,242526.0,243517.0,244384.0,245958.0,247071.0,247615.0,247640.0,248595.0,249504.0,250401.0,251107.0,252495.0,252528.0,252564.0,255400.0,258769.0,261954.0,265113.0,267978.0,269207.0,269461.0,273332.0,277200.0,280793.0,284216.0,287897.0,288171.0,288251.0,292864.0,298133.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78310.0,80374.0,82129.0,83716.0,83719.0,83739.0,87313.0,91718.0,96103.0,101104.0,101136.0,101142.0,101148.0,107372.0,112564.0,117283.0,121286.0,127084.0,127290.0,127304.0,132746.0,137861.0,143229.0,148276.0,152750.0,153471.0,153525.0,159625.0,165044.0,170194.0,175245.0,180028.0,180579.0,180741.0,185825.0,189507.0,193591.0,198611.0,200483.0,200642.0,200772.0,203987.0,207529.0,211498.0,214475.0,217029.0,217582.0,217703.0,220506.0,223767.0,226680.0,228848.0,231183.0,231276.0,231385.0,233299.0,234995.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44935.0,46142.0,47155.0,47983.0,48991.0,49057.0,49059.0,50189.0,51209.0,52439.0,54083.0,55420.0,55520.0,55520.0,56787.0,58449.0,59983.0,62131.0,63227.0,63291.0,63291.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74258.0,75422.0,75508.0,75650.0,75651.0,76622.0,78010.0,78937.0,79873.0,80132.0,80133.0,80133.0,81057.0,81978.0,82989.0,83712.0,84408.0,84439.0,84439.0,85184.0,85938.0,86619.0,87597.0,88002.0,88063.0,88063.0,88669.0,89423.0,90008.0,90432.0,90875.0,90879.0,90879.0,91746.0,92559.0,93690.0,94626.0,95424.0,95505.0,95505.0,96664.0,97958.0,99114.0,100150.0,101249.0,101304.0,101310.0,102552.0,103808.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2090.0,2733.0,2801.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2805.0,2820.0,2831.0,2843.0,2851.0,2852.0,2852.0,2854.0,2915.0,4168.0,7002.0,9230.0,9488.0,9514.0,11809.0,14319.0,17140.0,19883.0,22719.0,22813.0,22813.0,25753.0,28583.0,31266.0,33743.0,35879.0,35924.0,35924.0,38033.0,40134.0,41346.0,42151.0,42914.0,42920.0,42920.0,43802.0,44837.0,45665.0,46540.0,46546.0,46549.0,46550.0,48107.0,49395.0,50627.0,52155.0,53245.0,53297.0,53297.0,54072.0,55800.0,57494.0,59322.0,60236.0,60288.0,60290.0,60938.0,62877.0,64383.0,65102.0,66540.0,66558.0,66561.0,68150.0,69794.0,71099.0,72165.0,72550.0,72550.0,72551.0,73458.0,74558.0,75425.0,75608.0,75821.0,75829.0,75829.0,76989.0,78188.0,79035.0,79540.0,80135.0,80151.0,80154.0,81064.0,81981.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37665.0,39557.0,41496.0,42577.0,42630.0,42632.0,44547.0,46978.0,49314.0,51598.0,53128.0,53205.0,53205.0,54585.0,55769.0,56736.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65974.0,68028.0,70052.0,70156.0,70156.0,72487.0,74796.0,77003.0,79156.0,80875.0,80876.0,80888.0,83352.0,85901.0,88369.0,90630.0,93045.0,93045.0,93045.0,95227.0,97285.0,99018.0,100679.0,100679.0,100679.0,100679.0,102278.0,103793.0,105544.0,106734.0,108241.0,108372.0,108372.0,108788.0,110312.0,111705.0,112823.0,113843.0,113843.0,113843.0,114951.0,116315.0,117221.0,118271.0,119182.0,119182.0,119182.0,119973.0,121091.0,122182.0,123028.0,124113.0,124113.0,124113.0,125582.0,127107.0,128416.0,129737.0,131130.0,131319.0,131319.0,132845.0,134614.0,136114.0,137429.0,138980.0,138994.0,138994.0,140629.0,142374.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9439.0,14626.0,19091.0,19514.0,19515.0,22979.0,25405.0,27625.0,29701.0,32137.0,32505.0,32505.0,34944.0,37668.0,40530.0,42361.0,43594.0,43618.0,43623.0,45296.0,46982.0,48350.0,50245.0,51571.0,51572.0,51572.0,52638.0,53896.0,55336.0,56833.0,56834.0,56834.0,56834.0,59452.0,61498.0,63274.0,65190.0,66759.0,66765.0,66765.0,68696.0,71282.0,73478.0,75660.0,77462.0,77468.0,77468.0,79510.0,81969.0,84230.0,86425.0,88187.0,88191.0,88191.0,89506.0,91718.0,93936.0,95732.0,96515.0,96515.0,96515.0,97725.0,99164.0,100892.0,102025.0,102996.0,103060.0,103060.0,103912.0,105554.0,106844.0,107850.0,108530.0,108530.0,108530.0,109608.0,110884.0
