Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44220.0,53529.0,56586.0,56998.0,56998.0,56998.0,57015.0,57036.0,57037.0,57037.0,57037.0,57038.0,57038.0,57038.0,70221.0,240595.0,414625.0,583382.0,611232.0,619869.0,841371.0,1083853.0,1356285.0,1607670.0,1836925.0,1866447.0,1870914.0,2136782.0,2356822.0,2544863.0,2700126.0,2842252.0,2851894.0,2853056.0,2961160.0,3055360.0,3141461.0,3227397.0,3305674.0,3315717.0,3316072.0,3453225.0,3612185.0,3770031.0,3914768.0,4050985.0,4060630.0,4061695.0,4198294.0,4337334.0,4473150.0,4644590.0,4795827.0,4820116.0,4822864.0,4980725.0,5147359.0,5298641.0,5447456.0,5587221.0,5610401.0,5613253.0,5760000.0,5910278.0,6064563.0,6222028.0,6388613.0,6401557.0,6402526.0,6553777.0,6687755.0,6814840.0,6949635.0,6951492.0,6953373.0,6954031.0,7033964.0,7127120.0,7222018.0,7298770.0,7369654.0,7380846.0,7381943.0,7460048.0,7535061.0,7614411.0,7676708.0,7735108.0,7743009.0,7743885.0,7787783.0,7826993.0,7858142.0,7914505.0,7954345.0,7960094.0,7960445.0,8003510.0,8042533.0,8086029.0,8116896.0,8167832.0,8168924.0,8169723.0,8245727.0,8326782.0,8408274.0,8489862.0,8573945.0,8591329.0,8592289.0,8695593.0,8803001.0,8907842.0,9004852.0,9108089.0,9109139.0,9109404.0,9233988.0,9370082.0,9495845.0,9624332.0,9632634.0,9659457.0,9663155.0,9839006.0,10028862.0,10209521.0,10376451.0,10521896.0,10563490.0,10572609.0,10728557.0,10867977.0,10977066.0,11032665.0,11075047.0,11089798.0,11091777.0,11145651.0,11205872.0,11282474.0,11378812.0,11459422.0,11482141.0,11483564.0,11588615.0,11673684.0,11779264.0,11850210.0,11911683.0,11928253.0,11930048.0,11937367.0,12036988.0,12112514.0,12160971.0,12199160.0,12210240.0,12211271.0,12212516.0,12252442.0,12300542.0,12387429.0,12452869.0,12468415.0,12470420.0,12518160.0,12561851.0,12635643.0,12693691.0,12744270.0,12764269.0,12766666.0,12815835.0,12896011.0,12950697.0,13022113.0,13024228.0,13034183.0,13035112.0,13082723.0,13122907.0,13156226.0,13192047.0,13250164.0,13273174.0,13275221.0,13290677.0,13299950.0,13307004.0,13315633.0,13323986.0,13325046.0,13325076.0,13424517.0,13537245.0,13542016.0,13545268.0,13548248.0,13548487.0,13548542.0,13625355.0,13693315.0,13696023.0,13698314.0,13700393.0,13700674.0,13700897.0,13739000.0,13772424.0,13774154.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24982.0,44369.0,52714.0,55602.0,55812.0,55845.0,55845.0,55845.0,55856.0,55856.0,55857.0,55857.0,55857.0,55857.0,55879.0,55919.0,56093.0,56238.0,56356.0,56360.0,56360.0,56769.0,69185.0,223275.0,389121.0,550790.0,574926.0,581825.0,795899.0,1033442.0,1299014.0,1544686.0,1767849.0,1794018.0,1797857.0,2070306.0,2313961.0,2529998.0,2716163.0,2870931.0,2881947.0,2883118.0,3005142.0,3095757.0,3160569.0,3215804.0,3266920.0,3269668.0,3270091.0,3385614.0,3530326.0,3683575.0,3852125.0,3857305.0,3858650.0,3859113.0,4064010.0,4210688.0,4349114.0,4511930.0,4660025.0,4674864.0,4676220.0,4835146.0,4995478.0,5145655.0,5290554.0,5426370.0,5440757.0,5442519.0,5593585.0,5743727.0,5890185.0,6034552.0,6178343.0,6190278.0,6190970.0,6344610.0,6477129.0,6602772.0,6727319.0,6764253.0,6765461.0,6766128.0,6842004.0,6930644.0,7024295.0,7100970.0,7164863.0,7173071.0,7173516.0,7243935.0,7329301.0,7407827.0,7468506.0,7524758.0,7525165.0,7525336.0,7572420.0,7620120.0,7661384.0,7724742.0,7726105.0,7732389.0,7732978.0,7794111.0,7851032.0,7899411.0,7935696.0,7976599.0,7982379.0,7983354.0,8043005.0,8114583.0,8186381.0,8254963.0,8323418.0,8336482.0,8337711.0,8437794.0,8542255.0,8642599.0,8736217.0,8830548.0,8839946.0,8840541.0,8953007.0,9075017.0,9192407.0,9302431.0,9345859.0,9365731.0,9367878.0,9380210.0,9585671.0,9749364.0,9890539.0,10013451.0,10045182.0,10048560.0,10051695.0,10229180.0,10363095.0,10444939.0,10509773.0,10528769.0,10530871.0,10627498.0,10706363.0,10789857.0,10884561.0,10969516.0,10991341.0,10993878.0,11120283.0,11221162.0,11326556.0,11417055.0,11419655.0,11433105.0,11434306.0,11507345.0,11599797.0,11669873.0,11710815.0,11767514.0,11777661.0,11778510.0,11818855.0,11859856.0,11887428.0,11968589.0,12036691.0,12046824.0,12047263.0,12070916.0,12096279.0,12155952.0,12198800.0,12230301.0,12231213.0,12231234.0,12252396.0,12271838.0,12389503.0,12468608.0,12517624.0,12518630.0,12518829.0,12540458.0,12563551.0,12637408.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10455.0,33769.0,73386.0,107745.0,117652.0,119442.0,146908.0,166985.0,183712.0,196867.0,200915.0,201308.0,201357.0,205529.0,209205.0,213159.0,216201.0,218577.0,218855.0,218867.0,218945.0,222707.0,235124.0,298685.0,348770.0,358843.0,360098.0,361324.0,393223.0,416123.0,430130.0,441602.0,445032.0,445433.0,455839.0,463429.0,468226.0,472092.0,476010.0,477584.0,477755.0,481842.0,484675.0,487393.0,492700.0,492797.0,493266.0,493368.0,496002.0,497737.0,499137.0,500730.0,501959.0,503385.0,503427.0,504371.0,505148.0,505680.0,506156.0,506431.0,506443.0,506444.0,507442.0,508295.0,508517.0,508699.0,508878.0,508893.0,508893.0,509113.0,509365.0,509469.0,509577.0,509668.0,509681.0,509681.0,510084.0,513127.0,514295.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,69919.0,159848.0,256736.0,260200.0,260278.0,418115.0,595280.0,700858.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73574.0,73804.0,74238.0,74549.0,74642.0,74642.0,74768.0,74871.0,74945.0,75045.0,75094.0,75116.0,75116.0,75277.0,75441.0,75552.0,75653.0,75769.0,75774.0,75774.0,75896.0,76004.0,76083.0,76170.0,76222.0,76225.0,76225.0,76300.0,76360.0,76411.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60288.0,60919.0,61397.0,61488.0,61519.0,61985.0,62480.0,63127.0,63778.0,64237.0,64319.0,64319.0,64699.0,64969.0,65262.0,65522.0,65522.0,65566.0,65599.0,65748.0,65979.0,66222.0,66504.0,66766.0,66833.0,66834.0,66946.0,67131.0,67332.0,67742.0,68030.0,68095.0,68095.0,68316.0,68586.0,69008.0,69454.0,69793.0,69840.0,69840.0,70164.0,70565.0,70984.0,71292.0,71492.0,71594.0,71594.0,71835.0,72071.0,72357.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7671.0,7751.0,7839.0,7852.0,7852.0,7914.0,7991.0,8045.0,8089.0,8150.0,8160.0,8160.0,8225.0,8281.0,8320.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2875.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76686.0,79912.0,82259.0,84805.0,84805.0,84805.0,88982.0,93743.0,98490.0,102860.0,106605.0,106612.0,106612.0,110900.0,116091.0,120713.0,126435.0,131639.0,131758.0,131758.0,136826.0,142333.0,148337.0,153553.0,158821.0,159183.0,159227.0,165238.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193650.0,198749.0,203708.0,208421.0,208714.0,209170.0,209365.0,212546.0,216040.0,219870.0,222964.0,225549.0,226068.0,226212.0,229523.0,232656.0,235751.0,238380.0,240927.0,241913.0,242047.0,243510.0,244524.0,245394.0,246979.0,248096.0,248662.0,248687.0,249642.0,250555.0,251453.0,252162.0,253555.0,253588.0,253624.0,256463.0,259832.0,263023.0,266187.0,269062.0,270301.0,270556.0,274446.0,278326.0,281926.0,285353.0,289037.0,289312.0,289392.0,294013.0,299405.0,304122.0,308649.0,309170.0,310199.0,310403.0,317474.0,325283.0,331142.0,337657.0,343521.0,343770.0,343899.0,350358.0,352801.0,354732.0,357306.0,360353.0,360890.0,360910.0,363961.0,367408.0,371786.0,376135.0,379703.0,380966.0,380989.0,384856.0,388436.0,392697.0,395770.0,398489.0,398843.0,398894.0,399638.0,403499.0,407249.0,408884.0,409632.0,409750.0,409763.0,410207.0,411629.0,413607.0,416786.0,419259.0,419695.0,419729.0,421732.0,423626.0,426506.0,429054.0,431338.0,432020.0,432057.0,434588.0,438203.0,441195.0,444067.0,444849.0,445738.0,445774.0,448696.0,451685.0,454481.0,458334.0,461665.0,462268.0,462288.0,462498.0,462644.0,463207.0,463657.0,463795.0,463799.0,463799.0,467554.0,472422.0,472433.0,472448.0,472455.0,472455.0,472455.0,475686.0,478743.0,478759.0,478782.0,478799.0,478800.0,478801.0,480585.0,482367.0,482397.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41270.0,41832.0,41832.0,49770.0,56578.0,62601.0,67431.0,72066.0,72221.0,72226.0,75795.0,78336.0,80407.0,82164.0,83754.0,83757.0,83777.0,87357.0,91765.0,96159.0,101167.0,101199.0,101205.0,101211.0,107441.0,112642.0,117368.0,121376.0,127184.0,127391.0,127405.0,132872.0,138014.0,143407.0,148489.0,153166.0,153901.0,153956.0,160170.0,165669.0,170859.0,175942.0,180748.0,181301.0,181463.0,186588.0,190284.0,194386.0,199421.0,201301.0,201460.0,201591.0,204851.0,208427.0,212436.0,215452.0,218051.0,218613.0,218735.0,221581.0,224888.0,227829.0,230012.0,232370.0,232463.0,232572.0,234511.0,236255.0,237623.0,239524.0,239661.0,239964.0,239998.0,241827.0,243515.0,244591.0,245656.0,247071.0,247110.0,247141.0,249330.0,251687.0,254240.0,256646.0,258763.0,259122.0,259170.0,262940.0,266624.0,270074.0,273383.0,276738.0,277367.0,277469.0,281764.0,286346.0,290898.0,294989.0,296961.0,297480.0,297630.0,298929.0,307217.0,314247.0,319184.0,323802.0,324645.0,324672.0,325284.0,330737.0,334136.0,336898.0,339714.0,340283.0,340317.0,344562.0,348219.0,352248.0,356456.0,359834.0,360887.0,360920.0,366134.0,370300.0,374330.0,378342.0,379200.0,380075.0,380140.0,383312.0,387493.0,391123.0,393488.0,395272.0,395533.0,395545.0,397300.0,398615.0,400238.0,402939.0,405055.0,405403.0,405410.0,406098.0,406768.0,408110.0,408742.0,409206.0,409213.0,409213.0,409599.0,409933.0,414836.0,417674.0,419480.0,419505.0,419509.0,420370.0,421625.0,426979.0
