Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56571.0,56983.0,56983.0,56983.0,57000.0,57021.0,57022.0,57022.0,57022.0,57023.0,57023.0,57023.0,70215.0,240573.0,414600.0,583277.0,611128.0,619765.0,841203.0,1083669.0,1356150.0,1607379.0,1836604.0,1866109.0,1870575.0,2136414.0,2356390.0,2544416.0,2699659.0,2841770.0,2851409.0,2852573.0,2960679.0,3054892.0,3140984.0,3226910.0,3305018.0,3315057.0,3315412.0,3452542.0,3611487.0,3769299.0,3914018.0,4050231.0,4059873.0,4060938.0,4197501.0,4336549.0,4472351.0,4643739.0,4794953.0,4819250.0,4821996.0,4979794.0,5146362.0,5297581.0,5446375.0,5586220.0,5609403.0,5612382.0,5758804.0,5908899.0,6062747.0,6220057.0,6385876.0,6398769.0,6399736.0,6550791.0,6684587.0,6811323.0,6945769.0,6947616.0,6949484.0,6950138.0,7029754.0,7122756.0,7217395.0,7293589.0,7364056.0,7375106.0,7376196.0,7454033.0,7528661.0,7607647.0,7669552.0,7727634.0,7735492.0,7736370.0,7777919.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24967.0,44331.0,52666.0,55549.0,55759.0,55793.0,55793.0,55793.0,55803.0,55803.0,55803.0,55803.0,55803.0,55803.0,55824.0,55864.0,56037.0,56181.0,56299.0,56303.0,56303.0,56709.0,69119.0,223087.0,388787.0,550264.0,574386.0,581277.0,795143.0,1032479.0,1297815.0,1543159.0,1766107.0,1792221.0,1796054.0,2068291.0,2311594.0,2527321.0,2713284.0,2867969.0,2878980.0,2880155.0,3002070.0,3092506.0,3157207.0,3212272.0,3263106.0,3265847.0,3266268.0,3381646.0,3526174.0,3679080.0,3847367.0,3852527.0,3853865.0,3854322.0,4058800.0,4205227.0,4343335.0,4505672.0,4653308.0,4668121.0,4669478.0,4827948.0,4987313.0,5136438.0,5280242.0,5415190.0,5429586.0,5431346.0,5574683.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19493.0,19574.0,19574.0,20367.0,21148.0,21851.0,22532.0,22905.0,22916.0,22916.0,23556.0,24372.0,25296.0,26025.0,26769.0,26774.0,26774.0,27311.0,27905.0,28436.0,29129.0,29713.0,29728.0,29728.0,30477.0,31344.0,32136.0,32924.0,33499.0,33519.0,33519.0,34109.0,34812.0,35356.0,35924.0,36471.0,36471.0,36471.0,37079.0,37715.0,38260.0,38854.0,38854.0,38920.0,38922.0,39336.0,39724.0,40088.0,40395.0,40682.0,40684.0,40684.0,41067.0,41418.0,41771.0,42090.0,42388.0,42391.0,42391.0,42635.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3395.0,4760.0,5830.0,5850.0,5850.0,7048.0,8205.0,9766.0,11078.0,12334.0,12367.0,12374.0,13953.0,15420.0,16843.0,18437.0,19741.0,19810.0,19810.0,20709.0,21615.0,22080.0,22495.0,22809.0,22809.0,22809.0,23356.0,23945.0,24761.0,25536.0,25542.0,25542.0,25542.0,26296.0,26939.0,27479.0,28006.0,28529.0,28535.0,28535.0,29366.0,30280.0,31109.0,31757.0,32352.0,32356.0,32356.0,32903.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12793.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36329.0,42680.0,43449.0,43454.0,50657.0,56079.0,60876.0,65008.0,69051.0,69206.0,69206.0,73120.0,76689.0,79916.0,82263.0,84809.0,84809.0,84809.0,88985.0,93747.0,98494.0,102861.0,106607.0,106614.0,106614.0,110903.0,116093.0,120713.0,126436.0,131638.0,131758.0,131758.0,136825.0,142329.0,148336.0,153548.0,158822.0,159185.0,159229.0,165237.0,171354.0,177013.0,182282.0,187508.0,187893.0,188078.0,193628.0,198722.0,203668.0,208371.0,208663.0,209118.0,209313.0,212489.0,215979.0,219806.0,222897.0,225479.0,225995.0,226139.0,229443.0,232572.0,235664.0,238288.0,240832.0,241818.0,241952.0,243359.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12766.0,15426.0,15495.0,15495.0,19043.0,23372.0,28862.0,35196.0,41262.0,41821.0,41821.0,49758.0,56565.0,62586.0,67405.0,72039.0,72191.0,72196.0,75765.0,78297.0,80360.0,82115.0,83702.0,83705.0,83725.0,87298.0,91703.0,96094.0,101093.0,101125.0,101131.0,101137.0,107361.0,112554.0,117271.0,121274.0,127073.0,127280.0,127294.0,132755.0,137892.0,143279.0,148352.0,153027.0,153763.0,153817.0,159937.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20731.0,23612.0,23728.0,23728.0,26376.0,28449.0,30608.0,32738.0,34797.0,34852.0,34852.0,36844.0,38755.0,40077.0,41214.0,43264.0,43459.0,43459.0,44942.0,46149.0,47163.0,47991.0,49000.0,49065.0,49067.0,50202.0,51220.0,52450.0,54090.0,55424.0,55524.0,55524.0,56792.0,58456.0,59993.0,62162.0,63263.0,63327.0,63327.0,64506.0,65843.0,67288.0,68786.0,70300.0,70396.0,70396.0,71752.0,73139.0,74349.0,75511.0,75597.0,75739.0,75740.0,76709.0,78105.0,79035.0,79979.0,80236.0,80237.0,80237.0,81160.0,82022.0,83037.0,83737.0,84419.0,84450.0,84450.0,85169.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2095.0,2739.0,2807.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2811.0,2826.0,2837.0,2849.0,2857.0,2858.0,2858.0,2860.0,2921.0,4174.0,6985.0,9210.0,9468.0,9494.0,11789.0,14299.0,17119.0,19862.0,22697.0,22791.0,22791.0,25715.0,28544.0,31227.0,33703.0,35839.0,35884.0,35884.0,37994.0,40095.0,41307.0,42112.0,42875.0,42881.0,42881.0,43763.0,44797.0,45623.0,46497.0,46503.0,46505.0,46506.0,48066.0,49351.0,50580.0,52089.0,53176.0,53228.0,53228.0,54001.0,55610.0,57310.0,58948.0,59854.0,59906.0,59908.0,60519.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3605.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9465.0,15286.0,19996.0,20450.0,20450.0,24048.0,26462.0,28693.0,30758.0,33268.0,33745.0,33745.0,35826.0,37668.0,39541.0,41480.0,42561.0,42614.0,42616.0,44531.0,46962.0,49300.0,51584.0,53114.0,53191.0,53191.0,54571.0,55757.0,56723.0,57875.0,59893.0,60192.0,60192.0,62168.0,64120.0,65964.0,68018.0,70042.0,70146.0,70146.0,72487.0,74819.0,77053.0,79225.0,80967.0,80968.0,80980.0,83477.0,86052.0,88545.0,90826.0,93250.0,93250.0,93250.0,95435.0,97500.0,99241.0,100905.0,100905.0,100905.0,100905.0,102435.0,103952.0,105708.0,106892.0,108420.0,108547.0,108547.0,108963.0,110485.0,111853.0,112978.0,114003.0,114003.0,114003.0,115065.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2662.0,3656.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3742.0,3769.0,3769.0,3769.0,3778.0,4449.0,9439.0,14622.0,19087.0,19510.0,19511.0,22974.0,25399.0,27619.0,29694.0,32128.0,32496.0,32496.0,34931.0,37655.0,40355.0,42184.0,43417.0,43441.0,43446.0,45118.0,46803.0,48171.0,50066.0,51390.0,51391.0,51391.0,52456.0,53715.0,55155.0,56654.0,56655.0,56655.0,56655.0,59267.0,61308.0,63080.0,64972.0,66541.0,66547.0,66547.0,68479.0,71065.0,73280.0,75344.0,77156.0,77162.0,77162.0,79105.0
