Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44188.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240595.0,414672.0,583372.0,611220.0,619856.0,841386.0,1083908.0,1356497.0,1607800.0,1837094.0,1866601.0,1871067.0,2136976.0,2357038.0,2545147.0,2700438.0,2842617.0,2852256.0,2853420.0,2961549.0,3055786.0,3141904.0,3227846.0,3305965.0,3315939.0,3316294.0,3453418.0,3612336.0,3770172.0,3914861.0,4051146.0,4060790.0,4061855.0,4198452.0,4337440.0,4473192.0,4644621.0,4795825.0,4820121.0,4822867.0,4980568.0,5146881.0,5297679.0,5445646.0,5581458.0,5604602.0,5607448.0,5751361.0,5898282.0,6051093.0,6207563.0,6373469.0,6386332.0,6387301.0,6538054.0,6671307.0,6797834.0,6932145.0,6933992.0,6935867.0,6936523.0,7016019.0,7108534.0,7202870.0,7279112.0,7349450.0,7360542.0,7361629.0,7439250.0,7513663.0,7592391.0,7653945.0,7711724.0,7719542.0,7720401.0,7764067.0,7802981.0,7833946.0,7890011.0,7929651.0,7935350.0,7935698.0,7978496.0,8017229.0,8060487.0,8091141.0,8141664.0,8142712.0,8143498.0,8219244.0,8300055.0,8381328.0,8462636.0,8546046.0,8563320.0,8564277.0,8667290.0,8774331.0,8878751.0,8975221.0,9077846.0,9078940.0,9079205.0,9203392.0,9337934.0,9456260.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44330.0,52665.0,55546.0,55756.0,55790.0,55790.0,55790.0,55800.0,55800.0,55800.0,55800.0,55800.0,55800.0,55821.0,55861.0,56034.0,56178.0,56296.0,56300.0,56300.0,56707.0,69119.0,223167.0,388977.0,550525.0,574651.0,581545.0,795526.0,1033007.0,1298467.0,1543959.0,1767050.0,1793179.0,1797013.0,2069413.0,2312853.0,2528855.0,2714914.0,2869656.0,2880639.0,2881814.0,3003738.0,3094255.0,3159013.0,3214205.0,3265121.0,3267864.0,3268285.0,3383743.0,3528298.0,3681433.0,3849861.0,3855030.0,3856372.0,3856831.0,4061508.0,4207953.0,4346164.0,4508777.0,4656711.0,4671529.0,4672886.0,4831468.0,4991221.0,5140602.0,5284494.0,5417076.0,5431406.0,5433158.0,5581507.0,5728239.0,5873037.0,6016150.0,6159184.0,6171043.0,6171728.0,6324508.0,6455963.0,6580697.0,6704645.0,6741310.0,6742510.0,6743168.0,6818444.0,6906340.0,6999251.0,7075313.0,7138615.0,7146732.0,7147174.0,7216998.0,7301446.0,7379167.0,7439033.0,7494587.0,7494989.0,7495157.0,7541673.0,7588506.0,7627705.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42574.0,42922.0,43171.0,43504.0,43806.0,43822.0,43822.0,44114.0,44374.0,44705.0,45069.0,45490.0,45591.0,45591.0,46068.0,46537.0,46921.0,47331.0,47650.0,47685.0,47685.0,48113.0,48573.0,49056.0,49426.0,49805.0,49886.0,49888.0,50354.0,50962.0,51565.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15419.0,16843.0,18437.0,19741.0,19810.0,19810.0,20708.0,21615.0,22080.0,22495.0,22810.0,22810.0,22810.0,23357.0,23948.0,24762.0,25539.0,25545.0,25545.0,25545.0,26298.0,26941.0,27481.0,28007.0,28533.0,28539.0,28539.0,29368.0,30282.0,31107.0,31754.0,32335.0,32339.0,32339.0,32892.0,33582.0,34122.0,34652.0,35191.0,35204.0,35205.0,35835.0,36370.0,36921.0,37531.0,37720.0,37720.0,37720.0,38059.0,38473.0,38871.0,39189.0,39449.0,39461.0,39461.0,39777.0,40169.0,40516.0,40754.0,40947.0,40956.0,40959.0,41348.0,41763.0,42005.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60866.0,64998.0,69041.0,69196.0,69196.0,73109.0,76677.0,79903.0,82250.0,84796.0,84796.0,84796.0,88970.0,93729.0,98469.0,102834.0,106580.0,106587.0,106587.0,110875.0,116066.0,120686.0,126409.0,131611.0,131731.0,131731.0,136780.0,142263.0,148247.0,153436.0,158438.0,158800.0,158844.0,164760.0,170826.0,176448.0,181697.0,186911.0,187296.0,187482.0,192996.0,198084.0,203024.0,207729.0,208022.0,208478.0,208673.0,211822.0,215295.0,219096.0,222158.0,224711.0,225224.0,225368.0,228649.0,231748.0,234815.0,237427.0,239952.0,240935.0,241069.0,242528.0,243519.0,244386.0,245960.0,247073.0,247617.0,247642.0,248597.0,249506.0,250403.0,251109.0,252497.0,252530.0,252566.0,255402.0,258767.0,261952.0,265111.0,267976.0,269205.0,269459.0,273330.0,277198.0,280791.0,284214.0,287895.0,288169.0,288249.0,292862.0,298248.0,302795.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78310.0,80374.0,82129.0,83716.0,83719.0,83739.0,87313.0,91718.0,96103.0,101104.0,101136.0,101142.0,101148.0,107372.0,112564.0,117283.0,121286.0,127084.0,127290.0,127304.0,132746.0,137861.0,143229.0,148276.0,152750.0,153471.0,153525.0,159625.0,165044.0,170194.0,175245.0,180028.0,180579.0,180741.0,185825.0,189507.0,193591.0,198611.0,200483.0,200642.0,200772.0,203987.0,207529.0,211498.0,214475.0,217029.0,217582.0,217703.0,220506.0,223767.0,226680.0,228848.0,231183.0,231276.0,231385.0,233299.0,235021.0,236346.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40069.0,41206.0,43258.0,43453.0,43453.0,44935.0,46142.0,47155.0,47983.0,48991.0,49057.0,49059.0,50189.0,51209.0,52439.0,54083.0,55420.0,55520.0,55520.0,56787.0,58449.0,59983.0,62131.0,63227.0,63291.0,63291.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74258.0,75422.0,75508.0,75650.0,75651.0,76622.0,78010.0,78937.0,79873.0,80132.0,80133.0,80133.0,81057.0,81978.0,82989.0,83712.0,84410.0,84441.0,84441.0,85186.0,85940.0,86621.0,87599.0,88004.0,88065.0,88065.0,88671.0,89425.0,90010.0,90434.0,90877.0,90881.0,90881.0,91748.0,92561.0,93692.0,94630.0,95428.0,95509.0,95509.0,96668.0,97962.0,99118.0,100156.0,101255.0,101310.0,101316.0,102558.0,103967.0,105331.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2090.0,2733.0,2801.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2805.0,2820.0,2831.0,2843.0,2851.0,2852.0,2852.0,2854.0,2915.0,4168.0,7002.0,9230.0,9488.0,9514.0,11809.0,14319.0,17140.0,19883.0,22719.0,22813.0,22813.0,25753.0,28583.0,31266.0,33743.0,35879.0,35924.0,35924.0,38033.0,40134.0,41346.0,42151.0,42914.0,42920.0,42920.0,43802.0,44837.0,45665.0,46540.0,46546.0,46549.0,46550.0,48107.0,49395.0,50627.0,52155.0,53245.0,53297.0,53297.0,54072.0,55800.0,57494.0,59322.0,60236.0,60288.0,60290.0,60938.0,62877.0,64383.0,65102.0,66540.0,66558.0,66561.0,68150.0,69794.0,71099.0,72165.0,72550.0,72550.0,72551.0,73458.0,74558.0,75425.0,75609.0,75822.0,75830.0,75830.0,76990.0,78189.0,79036.0,79541.0,80136.0,80152.0,80155.0,81066.0,82026.0,82753.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19995.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33266.0,33743.0,33743.0,35824.0,37665.0,39557.0,41496.0,42577.0,42630.0,42632.0,44547.0,46978.0,49314.0,51598.0,53128.0,53205.0,53205.0,54585.0,55769.0,56736.0,57888.0,59905.0,60204.0,60204.0,62179.0,64129.0,65974.0,68028.0,70052.0,70156.0,70156.0,72487.0,74796.0,77003.0,79154.0,80873.0,80874.0,80886.0,83350.0,85899.0,88367.0,90628.0,93043.0,93043.0,93043.0,95225.0,97283.0,99016.0,100677.0,100677.0,100677.0,100677.0,102276.0,103791.0,105542.0,106732.0,108239.0,108370.0,108370.0,108786.0,110310.0,111703.0,112824.0,113844.0,113844.0,113844.0,114952.0,116318.0,117224.0,118274.0,119186.0,119186.0,119186.0,119977.0,121095.0,122186.0,123032.0,124117.0,124117.0,124117.0,125586.0,127111.0,128420.0,129745.0,131138.0,131327.0,131327.0,132858.0,134627.0,136210.0,137540.0,139091.0,139115.0,139115.0,140750.0,142646.0,144415.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3652.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3731.0,3738.0,3765.0,3765.0,3765.0,3774.0,4446.0,9439.0,14626.0,19091.0,19514.0,19515.0,22979.0,25405.0,27625.0,29701.0,32137.0,32505.0,32505.0,34944.0,37668.0,40530.0,42361.0,43594.0,43618.0,43623.0,45296.0,46982.0,48350.0,50245.0,51571.0,51572.0,51572.0,52638.0,53896.0,55336.0,56833.0,56834.0,56834.0,56834.0,59452.0,61498.0,63274.0,65190.0,66759.0,66765.0,66765.0,68696.0,71282.0,73478.0,75659.0,77461.0,77467.0,77467.0,79509.0,81968.0,84229.0,86424.0,88186.0,88190.0,88190.0,89505.0,91717.0,93935.0,95731.0,96514.0,96514.0,96514.0,97724.0,99163.0,100890.0,102023.0,102995.0,103059.0,103059.0,103916.0,105558.0,106863.0,107901.0,108581.0,108581.0,108581.0,109663.0,111012.0,112027.0
