Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44220.0,53529.0,56586.0,56998.0,56998.0,56998.0,57015.0,57036.0,57037.0,57037.0,57037.0,57038.0,57038.0,57038.0,70221.0,240595.0,414625.0,583381.0,611231.0,619867.0,841369.0,1083851.0,1356284.0,1607669.0,1836928.0,1866450.0,1870917.0,2136785.0,2356824.0,2544865.0,2700128.0,2842254.0,2851896.0,2853058.0,2961163.0,3055363.0,3141464.0,3227400.0,3305678.0,3315721.0,3316076.0,3453229.0,3612189.0,3770036.0,3914773.0,4050990.0,4060634.0,4061699.0,4198297.0,4337337.0,4473153.0,4644592.0,4795830.0,4820119.0,4822867.0,4980728.0,5147362.0,5298644.0,5447460.0,5587225.0,5610405.0,5613257.0,5760004.0,5910282.0,6064567.0,6222033.0,6388618.0,6401562.0,6402531.0,6553783.0,6687761.0,6814846.0,6949641.0,6951498.0,6953379.0,6954037.0,7033969.0,7127125.0,7222023.0,7298775.0,7369658.0,7380849.0,7381946.0,7460051.0,7535064.0,7614413.0,7676710.0,7735109.0,7743010.0,7743886.0,7787784.0,7826993.0,7858142.0,7914505.0,7954345.0,7960094.0,7960445.0,8003510.0,8042533.0,8086029.0,8116897.0,8167833.0,8168925.0,8169724.0,8245728.0,8326784.0,8408277.0,8489864.0,8573947.0,8591331.0,8592291.0,8695595.0,8803003.0,8907844.0,9004854.0,9108092.0,9109142.0,9109407.0,9233991.0,9370085.0,9495848.0,9624335.0,9632637.0,9659460.0,9663158.0,9839009.0,10028865.0,10209525.0,10376454.0,10521899.0,10563495.0,10572614.0,10728562.0,10867985.0,10977077.0,11032676.0,11075058.0,11089809.0,11091788.0,11145662.0,11205884.0,11282487.0,11378825.0,11459435.0,11482154.0,11483577.0,11588628.0,11673698.0,11779278.0,11850225.0,11911698.0,11928268.0,11930063.0,11937382.0,12037003.0,12112529.0,12160986.0,12199176.0,12210256.0,12211287.0,12212532.0,12252458.0,12300560.0,12387446.0,12452884.0,12468431.0,12470436.0,12518181.0,12561873.0,12635668.0,12693717.0,12744297.0,12764297.0,12766694.0,12815868.0,12896054.0,12950745.0,13022172.0,13024289.0,13034245.0,13035175.0,13082803.0,13122985.0,13156308.0,13192134.0,13250262.0,13273273.0,13275320.0,13290776.0,13300050.0,13307104.0,13315734.0,13324087.0,13325147.0,13325177.0,13424618.0,13537347.0,13542118.0,13545370.0,13548350.0,13548589.0,13548644.0,13625457.0,13693418.0,13696127.0,13698429.0,13700508.0,13700789.0,13701012.0,13739343.0,13773088.0,13774971.0,13776307.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24982.0,44369.0,52714.0,55602.0,55812.0,55845.0,55845.0,55845.0,55856.0,55856.0,55857.0,55857.0,55857.0,55857.0,55879.0,55919.0,56093.0,56238.0,56356.0,56360.0,56360.0,56769.0,69185.0,223277.0,389129.0,550800.0,574936.0,581834.0,795915.0,1033457.0,1299036.0,1544715.0,1767892.0,1794061.0,1797900.0,2070352.0,2314007.0,2530044.0,2716210.0,2870978.0,2881994.0,2883165.0,3005190.0,3095810.0,3160624.0,3215862.0,3266982.0,3269730.0,3270153.0,3385680.0,3530391.0,3683642.0,3852192.0,3857372.0,3858717.0,3859180.0,4064077.0,4210755.0,4349180.0,4511996.0,4660093.0,4674932.0,4676288.0,4835221.0,4995555.0,5145733.0,5290635.0,5426453.0,5440840.0,5442602.0,5593671.0,5743818.0,5890281.0,6034652.0,6178449.0,6190384.0,6191076.0,6344718.0,6477240.0,6602885.0,6727434.0,6764368.0,6765576.0,6766243.0,6842119.0,6930761.0,7024412.0,7101087.0,7164980.0,7173190.0,7173635.0,7244055.0,7329421.0,7407949.0,7468630.0,7524883.0,7525290.0,7525461.0,7572547.0,7620252.0,7661521.0,7724879.0,7726242.0,7732526.0,7733115.0,7794254.0,7851187.0,7899569.0,7935861.0,7976765.0,7982546.0,7983521.0,8043180.0,8114757.0,8186556.0,8255138.0,8323594.0,8336658.0,8337887.0,8437970.0,8542431.0,8642775.0,8736394.0,8830727.0,8840125.0,8840720.0,8953186.0,9075196.0,9192587.0,9302611.0,9346039.0,9365912.0,9368059.0,9380391.0,9585855.0,9749551.0,9890732.0,10013644.0,10045375.0,10048753.0,10051888.0,10229376.0,10363299.0,10445145.0,10509979.0,10528977.0,10531079.0,10627709.0,10706574.0,10790068.0,10884774.0,10969731.0,10991556.0,10994094.0,11120499.0,11221379.0,11326775.0,11417280.0,11419880.0,11433330.0,11434531.0,11507574.0,11600026.0,11670102.0,11711045.0,11767749.0,11777897.0,11778746.0,11819092.0,11860093.0,11887665.0,11968827.0,12036931.0,12047064.0,12047503.0,12071156.0,12096520.0,12156193.0,12199041.0,12230544.0,12231456.0,12231477.0,12252639.0,12272087.0,12389750.0,12468902.0,12517917.0,12518923.0,12519122.0,12540964.0,12564363.0,12640506.0,12697432.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10458.0,33773.0,73390.0,107749.0,117656.0,119446.0,146912.0,166989.0,183716.0,196871.0,200919.0,201312.0,201361.0,205533.0,209209.0,213163.0,216205.0,218581.0,218859.0,218871.0,218949.0,222711.0,235127.0,298689.0,348774.0,358847.0,360102.0,361328.0,393227.0,416128.0,430135.0,441607.0,445037.0,445438.0,455844.0,463434.0,468231.0,472097.0,476015.0,477589.0,477760.0,481847.0,484680.0,487398.0,492704.0,492801.0,493270.0,493372.0,496007.0,497742.0,499142.0,500735.0,501964.0,503390.0,503432.0,504376.0,505153.0,505685.0,506161.0,506436.0,506448.0,506449.0,507447.0,508300.0,508522.0,508704.0,508883.0,508898.0,508898.0,509118.0,509370.0,509474.0,509584.0,509675.0,509688.0,509688.0,510109.0,513182.0,514477.0,515836.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,69934.0,159894.0,256797.0,260261.0,260349.0,418446.0,596036.0,705380.0,807178.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73574.0,73804.0,74238.0,74549.0,74642.0,74642.0,74768.0,74871.0,74945.0,75045.0,75094.0,75116.0,75116.0,75277.0,75441.0,75552.0,75653.0,75769.0,75774.0,75774.0,75896.0,76004.0,76083.0,76170.0,76222.0,76225.0,76225.0,76300.0,76360.0,76411.0,76441.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60288.0,60919.0,61397.0,61488.0,61519.0,61985.0,62480.0,63127.0,63778.0,64237.0,64319.0,64319.0,64699.0,64969.0,65262.0,65522.0,65522.0,65566.0,65599.0,65748.0,65979.0,66222.0,66504.0,66766.0,66833.0,66834.0,66946.0,67131.0,67332.0,67742.0,68030.0,68095.0,68095.0,68316.0,68587.0,69009.0,69455.0,69794.0,69841.0,69841.0,70165.0,70566.0,70985.0,71293.0,71493.0,71595.0,71595.0,71836.0,72072.0,72360.0,72716.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7671.0,7751.0,7839.0,7852.0,7852.0,7914.0,7991.0,8045.0,8089.0,8150.0,8160.0,8160.0,8225.0,8281.0,8323.0,8369.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2880.0,3847.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76686.0,79912.0,82259.0,84805.0,84805.0,84805.0,88982.0,93743.0,98490.0,102860.0,106605.0,106612.0,106612.0,110900.0,116091.0,120713.0,126435.0,131639.0,131758.0,131758.0,136826.0,142333.0,148337.0,153553.0,158821.0,159183.0,159227.0,165238.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193651.0,198750.0,203709.0,208422.0,208715.0,209171.0,209366.0,212547.0,216041.0,219871.0,222965.0,225550.0,226069.0,226213.0,229524.0,232657.0,235752.0,238381.0,240928.0,241914.0,242048.0,243511.0,244525.0,245395.0,246980.0,248097.0,248663.0,248688.0,249643.0,250556.0,251454.0,252163.0,253556.0,253589.0,253625.0,256464.0,259833.0,263024.0,266188.0,269063.0,270302.0,270557.0,274447.0,278327.0,281927.0,285354.0,289038.0,289313.0,289393.0,294014.0,299406.0,304123.0,308650.0,309171.0,310200.0,310404.0,317475.0,325284.0,331143.0,337658.0,343522.0,343771.0,343900.0,350359.0,352803.0,354734.0,357308.0,360355.0,360892.0,360912.0,363963.0,367410.0,371788.0,376137.0,379705.0,380968.0,380991.0,384858.0,388438.0,392699.0,395772.0,398491.0,398845.0,398896.0,399640.0,403501.0,407251.0,408886.0,409634.0,409752.0,409765.0,410209.0,411631.0,413609.0,416788.0,419261.0,419697.0,419731.0,421734.0,423628.0,426509.0,429057.0,431341.0,432023.0,432060.0,434591.0,438206.0,441198.0,444070.0,444853.0,445743.0,445779.0,448701.0,451690.0,454486.0,458339.0,461670.0,462273.0,462293.0,462503.0,462649.0,463212.0,463662.0,463800.0,463804.0,463804.0,467559.0,472427.0,472438.0,472453.0,472460.0,472460.0,472460.0,475691.0,478748.0,478764.0,478787.0,478804.0,478805.0,478806.0,480590.0,482372.0,482402.0,482410.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19047.0,23377.0,28867.0,35203.0,41272.0,41834.0,41834.0,49772.0,56580.0,62603.0,67433.0,72068.0,72223.0,72228.0,75797.0,78343.0,80416.0,82176.0,83768.0,83771.0,83791.0,87374.0,91782.0,96176.0,101184.0,101216.0,101222.0,101228.0,107458.0,112659.0,117385.0,121393.0,127202.0,127409.0,127423.0,132896.0,138039.0,143432.0,148516.0,153193.0,153928.0,153983.0,160200.0,165703.0,170898.0,175986.0,180798.0,181351.0,181513.0,186640.0,190337.0,194439.0,199475.0,201355.0,201514.0,201645.0,204905.0,208481.0,212490.0,215506.0,218105.0,218669.0,218791.0,221637.0,224944.0,227887.0,230072.0,232431.0,232524.0,232633.0,234573.0,236321.0,237694.0,239595.0,239732.0,240035.0,240069.0,241904.0,243604.0,244682.0,245752.0,247167.0,247206.0,247237.0,249432.0,251789.0,254342.0,256748.0,258865.0,259224.0,259272.0,263042.0,266726.0,270176.0,273485.0,276840.0,277469.0,277571.0,281866.0,286448.0,291000.0,295091.0,297063.0,297582.0,297732.0,299031.0,307319.0,314349.0,319286.0,323904.0,324747.0,324774.0,325386.0,330840.0,334239.0,337001.0,339817.0,340386.0,340420.0,344665.0,348322.0,352351.0,356559.0,359937.0,360990.0,361023.0,366237.0,370403.0,374433.0,378446.0,379304.0,380179.0,380244.0,383416.0,387597.0,391227.0,393592.0,395376.0,395637.0,395649.0,397404.0,398719.0,400342.0,403043.0,405159.0,405507.0,405514.0,406202.0,406872.0,408214.0,408846.0,409310.0,409317.0,409317.0,409703.0,410038.0,414941.0,417778.0,419584.0,419609.0,419613.0,420474.0,421729.0,427113.0,430641.0
