Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56571.0,56983.0,56983.0,56983.0,57000.0,57021.0,57022.0,57022.0,57022.0,57023.0,57023.0,57023.0,70215.0,240574.0,414599.0,583278.0,611129.0,619766.0,841225.0,1083682.0,1356186.0,1607413.0,1836639.0,1866144.0,1870610.0,2136443.0,2356419.0,2544464.0,2699709.0,2841817.0,2851456.0,2852620.0,2960725.0,3054938.0,3141029.0,3226956.0,3305065.0,3315104.0,3315459.0,3452587.0,3611531.0,3769346.0,3914059.0,4050273.0,4059916.0,4060981.0,4197551.0,4336518.0,4472327.0,4643769.0,4794986.0,4819284.0,4822030.0,4979839.0,5146421.0,5297648.0,5446453.0,5586318.0,5609502.0,5612357.0,5758981.0,5909190.0,6063404.0,6220717.0,6386571.0,6399464.0,6400431.0,6551492.0,6685310.0,6812050.0,6946512.0,6948359.0,6950228.0,6950882.0,7030602.0,7123586.0,7218249.0,7294576.0,7365106.0,7376161.0,7377252.0,7455130.0,7529870.0,7608963.0,7670910.0,7729051.0,7736912.0,7737789.0,7781451.0,7820103.0,7849346.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24968.0,44333.0,52669.0,55552.0,55762.0,55796.0,55796.0,55796.0,55806.0,55806.0,55806.0,55806.0,55806.0,55806.0,55827.0,55867.0,56040.0,56184.0,56302.0,56306.0,56306.0,56712.0,69122.0,223106.0,388807.0,550290.0,574412.0,581303.0,795203.0,1032557.0,1297905.0,1543262.0,1766215.0,1792328.0,1796161.0,2068414.0,2311747.0,2527644.0,2713625.0,2868318.0,2879329.0,2880504.0,3002450.0,3092891.0,3157618.0,3212714.0,3263589.0,3266330.0,3266751.0,3382138.0,3526673.0,3679611.0,3847919.0,3853080.0,3854418.0,3854875.0,4059399.0,4205758.0,4343884.0,4506438.0,4654171.0,4668984.0,4670343.0,4828880.0,4988484.0,5137841.0,5282102.0,5417379.0,5431773.0,5433531.0,5584081.0,5733069.0,5873211.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14384.0,15643.0,16891.0,18240.0,19490.0,19571.0,19571.0,20364.0,21145.0,21848.0,22529.0,22902.0,22913.0,22913.0,23553.0,24369.0,25294.0,26023.0,26767.0,26772.0,26772.0,27309.0,27903.0,28434.0,29127.0,29711.0,29726.0,29726.0,30475.0,31342.0,32134.0,32922.0,33497.0,33517.0,33517.0,34107.0,34810.0,35354.0,35922.0,36469.0,36469.0,36469.0,37077.0,37714.0,38259.0,38853.0,38853.0,38919.0,38921.0,39335.0,39723.0,40087.0,40394.0,40681.0,40683.0,40683.0,41066.0,41417.0,41770.0,42090.0,42388.0,42391.0,42391.0,42654.0,42998.0,43240.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3395.0,4760.0,5830.0,5850.0,5850.0,7048.0,8205.0,9766.0,11078.0,12334.0,12367.0,12374.0,13953.0,15420.0,16843.0,18437.0,19741.0,19810.0,19810.0,20709.0,21615.0,22080.0,22495.0,22809.0,22809.0,22809.0,23356.0,23945.0,24761.0,25536.0,25542.0,25542.0,25542.0,26296.0,26939.0,27479.0,28006.0,28530.0,28536.0,28536.0,29367.0,30281.0,31110.0,31758.0,32354.0,32358.0,32358.0,32923.0,33621.0,34154.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12793.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36329.0,42680.0,43449.0,43454.0,50656.0,56078.0,60875.0,65007.0,69050.0,69205.0,69205.0,73119.0,76688.0,79915.0,82262.0,84808.0,84808.0,84808.0,88984.0,93746.0,98493.0,102860.0,106606.0,106613.0,106613.0,110902.0,116092.0,120712.0,126435.0,131637.0,131757.0,131757.0,136824.0,142328.0,148335.0,153548.0,158823.0,159186.0,159230.0,165238.0,171357.0,177016.0,182285.0,187513.0,187898.0,188083.0,193633.0,198727.0,203673.0,208377.0,208669.0,209124.0,209319.0,212496.0,215986.0,219813.0,222904.0,225484.0,226000.0,226144.0,229448.0,232579.0,235671.0,238295.0,240840.0,241826.0,241960.0,243415.0,244426.0,245284.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12766.0,15427.0,15496.0,15496.0,19044.0,23373.0,28864.0,35198.0,41264.0,41823.0,41823.0,49760.0,56568.0,62589.0,67417.0,72051.0,72203.0,72208.0,75777.0,78309.0,80372.0,82127.0,83714.0,83717.0,83737.0,87311.0,91717.0,96108.0,101108.0,101140.0,101146.0,101152.0,107376.0,112569.0,117285.0,121289.0,127090.0,127297.0,127311.0,132772.0,137909.0,143299.0,148373.0,153049.0,153785.0,153839.0,160039.0,165515.0,170655.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9645.0,9949.0,9983.0,12411.0,14960.0,17975.0,20732.0,23613.0,23729.0,23729.0,26377.0,28450.0,30609.0,32739.0,34798.0,34853.0,34853.0,36845.0,38756.0,40078.0,41215.0,43265.0,43460.0,43460.0,44943.0,46150.0,47164.0,47992.0,49001.0,49066.0,49068.0,50203.0,51221.0,52451.0,54093.0,55429.0,55529.0,55529.0,56801.0,58467.0,60004.0,62174.0,63276.0,63340.0,63340.0,64520.0,65862.0,67312.0,68811.0,70325.0,70421.0,70421.0,71778.0,73165.0,74377.0,75539.0,75625.0,75767.0,75768.0,76737.0,78132.0,79063.0,80006.0,80263.0,80264.0,80264.0,81187.0,82116.0,83132.0,83854.0,84536.0,84567.0,84567.0,85307.0,86058.0,86606.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2095.0,2739.0,2807.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2810.0,2811.0,2826.0,2837.0,2849.0,2857.0,2858.0,2858.0,2860.0,2921.0,4174.0,6985.0,9211.0,9469.0,9495.0,11790.0,14300.0,17120.0,19863.0,22698.0,22792.0,22792.0,25716.0,28546.0,31230.0,33707.0,35843.0,35888.0,35888.0,37998.0,40099.0,41311.0,42117.0,42880.0,42886.0,42886.0,43769.0,44803.0,45631.0,46505.0,46511.0,46513.0,46514.0,48075.0,49358.0,50589.0,52104.0,53191.0,53243.0,53243.0,54016.0,55746.0,57448.0,59277.0,60185.0,60237.0,60239.0,60886.0,62870.0,64353.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3605.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9465.0,15286.0,19996.0,20450.0,20450.0,24048.0,26462.0,28693.0,30758.0,33268.0,33745.0,33745.0,35826.0,37668.0,39560.0,41499.0,42580.0,42633.0,42635.0,44550.0,46981.0,49319.0,51603.0,53133.0,53210.0,53210.0,54590.0,55776.0,56743.0,57895.0,59913.0,60212.0,60212.0,62188.0,64140.0,65984.0,68038.0,70062.0,70166.0,70166.0,72510.0,74842.0,77077.0,79249.0,80993.0,80994.0,81006.0,83507.0,86086.0,88579.0,90860.0,93284.0,93284.0,93284.0,95469.0,97534.0,99275.0,100939.0,100939.0,100939.0,100939.0,102543.0,104062.0,105819.0,107005.0,108537.0,108665.0,108665.0,109084.0,110614.0,112008.0,113133.0,114162.0,114162.0,114162.0,115279.0,116649.0,117460.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2662.0,3656.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3742.0,3769.0,3769.0,3769.0,3778.0,4449.0,9439.0,14623.0,19088.0,19511.0,19512.0,22975.0,25400.0,27620.0,29695.0,32129.0,32497.0,32497.0,34935.0,37659.0,40521.0,42351.0,43584.0,43608.0,43613.0,45285.0,46970.0,48338.0,50233.0,51559.0,51560.0,51560.0,52626.0,53885.0,55325.0,56824.0,56825.0,56825.0,56825.0,59439.0,61484.0,63258.0,65154.0,66724.0,66730.0,66730.0,68663.0,71267.0,73487.0,75576.0,77392.0,77398.0,77398.0,79468.0,81959.0,84039.0
