Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12823.0,13780.0,13803.0,13803.0,24854.0,44214.0,53522.0,56579.0,56991.0,56991.0,56991.0,57008.0,57029.0,57030.0,57030.0,57030.0,57031.0,57031.0,57031.0,70213.0,240577.0,414603.0,583323.0,611173.0,619808.0,841286.0,1083760.0,1356186.0,1607542.0,1836783.0,1866304.0,1870771.0,2136641.0,2356676.0,2544717.0,2699976.0,2842099.0,2851741.0,2852903.0,2961011.0,3055219.0,3141322.0,3227257.0,3305530.0,3315573.0,3315928.0,3453081.0,3612036.0,3769883.0,3914615.0,4050837.0,4060483.0,4061548.0,4198154.0,4337201.0,4473023.0,4644467.0,4795711.0,4820001.0,4822749.0,4980591.0,5147199.0,5298487.0,5447287.0,5587053.0,5610232.0,5613085.0,5759824.0,5910089.0,6064376.0,6221846.0,6388425.0,6401366.0,6402335.0,6553588.0,6687561.0,6814645.0,6949437.0,6951287.0,6953167.0,6953823.0,7033741.0,7126897.0,7221792.0,7298538.0,7369421.0,7380612.0,7381709.0,7459804.0,7534816.0,7614161.0,7676456.0,7734856.0,7742758.0,7743634.0,7787524.0,7826728.0,7857877.0,7914240.0,7954076.0,7959824.0,7960175.0,8003238.0,8042261.0,8085756.0,8116620.0,8167551.0,8168642.0,8169441.0,8245425.0,8326475.0,8407955.0,8489534.0,8573616.0,8591001.0,8591961.0,8695260.0,8802667.0,8907495.0,9004499.0,9107720.0,9108770.0,9109035.0,9233613.0,9369687.0,9495494.0,9623975.0,9632276.0,9659089.0,9662788.0,9838622.0,10028461.0,10209095.0,10376009.0,10521428.0,10563017.0,10572136.0,10728055.0,10867448.0,10976514.0,11032110.0,11074478.0,11089228.0,11091207.0,11145061.0,11205264.0,11281850.0,11378165.0,11458758.0,11481475.0,11482898.0,11587916.0,11672956.0,11778495.0,11849403.0,11910822.0,11927380.0,11929174.0,11936489.0,12035991.0,12111451.0,12159828.0,12197945.0,12209004.0,12210031.0,12211271.0,12251114.0,12299108.0,12385884.0,12451238.0,12466765.0,12468768.0,12516455.0,12560073.0,12633776.0,12691762.0,12742293.0,12762280.0,12764675.0,12813825.0,12893864.0,12948167.0,13018863.0,13020970.0,13030886.0,13031814.0,13077134.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24978.0,44364.0,52708.0,55594.0,55804.0,55837.0,55837.0,55837.0,55848.0,55848.0,55849.0,55849.0,55849.0,55849.0,55871.0,55911.0,56085.0,56229.0,56347.0,56351.0,56351.0,56760.0,69176.0,223234.0,389054.0,550655.0,574789.0,581684.0,795692.0,1033186.0,1298713.0,1544319.0,1767421.0,1793582.0,1797418.0,2069846.0,2313438.0,2529460.0,2715581.0,2870357.0,2881370.0,2882541.0,3004544.0,3095132.0,3159932.0,3215147.0,3266242.0,3268990.0,3269414.0,3384913.0,3529576.0,3682786.0,3851306.0,3856486.0,3857831.0,3858293.0,4063120.0,4209757.0,4348135.0,4510907.0,4658964.0,4673800.0,4675156.0,4834026.0,4994306.0,5144424.0,5289286.0,5425019.0,5439443.0,5441205.0,5592234.0,5742314.0,5888711.0,6033035.0,6176808.0,6188739.0,6189429.0,6343024.0,6475479.0,6601111.0,6725617.0,6762531.0,6763738.0,6764404.0,6840210.0,6928794.0,7022371.0,7098991.0,7162845.0,7171050.0,7171494.0,7241860.0,7327163.0,7405650.0,7466299.0,7522517.0,7522924.0,7523095.0,7570123.0,7617749.0,7658966.0,7722282.0,7723642.0,7729921.0,7730509.0,7791585.0,7848442.0,7896769.0,7933012.0,7973869.0,7979644.0,7980617.0,8040222.0,8111742.0,8183509.0,8252057.0,8320484.0,8333536.0,8334764.0,8434794.0,8539188.0,8639470.0,8733033.0,8827307.0,8836700.0,8837295.0,8949672.0,9071559.0,9188824.0,9298621.0,9341932.0,9361736.0,9363854.0,9375408.0,9573246.0,9730341.0,9865672.0,9983284.0,10013996.0,10017233.0,10020150.0,10188822.0,10315085.0,10392451.0,10453853.0,10471781.0,10473702.0,10543218.0,10608825.0,10682325.0,10767965.0,10843548.0,10862427.0,10864594.0,10962023.0,11047032.0,11141924.0,11225052.0,11227281.0,11239490.0,11240557.0,11303924.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10450.0,33753.0,73357.0,107699.0,117606.0,119396.0,146853.0,166921.0,183645.0,196786.0,200833.0,201225.0,201274.0,205446.0,209115.0,213069.0,216112.0,218488.0,218766.0,218778.0,218856.0,222615.0,235027.0,298565.0,348610.0,358682.0,359937.0,361159.0,393045.0,415875.0,429869.0,441313.0,444740.0,445140.0,455537.0,463116.0,467905.0,471765.0,475681.0,477254.0,477425.0,481493.0,484318.0,487031.0,492308.0,492405.0,492873.0,492975.0,495427.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64340.0,65040.0,65746.0,66101.0,66154.0,66198.0,66454.0,66639.0,66814.0,66998.0,67132.0,67148.0,67161.0,67161.0,67353.0,67596.0,67866.0,68146.0,68202.0,68215.0,68215.0,68384.0,68548.0,69006.0,69350.0,69409.0,69418.0,69593.0,69832.0,70299.0,70756.0,71086.0,71168.0,71168.0,71454.0,72036.0,72470.0,72888.0,72888.0,73003.0,73034.0,73267.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23368.0,23959.0,24775.0,25552.0,25558.0,25558.0,25558.0,26312.0,26955.0,27496.0,28023.0,28549.0,28555.0,28555.0,29386.0,30302.0,31131.0,31779.0,32377.0,32381.0,32381.0,32950.0,33649.0,34195.0,34727.0,35266.0,35279.0,35280.0,35917.0,36455.0,37010.0,37621.0,37811.0,37811.0,37811.0,38154.0,38573.0,38971.0,39289.0,39550.0,39562.0,39562.0,39882.0,40275.0,40626.0,40865.0,41058.0,41067.0,41070.0,41461.0,41884.0,42149.0,42533.0,42534.0,42581.0,42581.0,42987.0,43341.0,43793.0,44122.0,44629.0,44682.0,44682.0,45187.0,45682.0,46055.0,46491.0,46784.0,46816.0,46829.0,47245.0,47825.0,48273.0,48673.0,49041.0,49113.0,49123.0,49565.0,50081.0,50679.0,51238.0,51519.0,51729.0,51783.0,51786.0,53623.0,55000.0,56166.0,57180.0,57442.0,57503.0,57504.0,59220.0,60276.0,60906.0,61384.0,61475.0,61506.0,61972.0,62467.0,63113.0,63764.0,64223.0,64305.0,64305.0,64684.0,64952.0,65245.0,65505.0,65505.0,65549.0,65582.0,65724.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1951.0,2226.0,2489.0,2537.0,2554.0,2847.0,3137.0,3433.0,3588.0,3744.0,3771.0,3781.0,3781.0,4001.0,4233.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6010.0,6081.0,6153.0,6244.0,6244.0,6279.0,6286.0,6432.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24048.0,29755.0,36324.0,42673.0,43443.0,43448.0,50648.0,56070.0,60866.0,64998.0,69041.0,69198.0,69198.0,73115.0,76683.0,79909.0,82256.0,84802.0,84802.0,84802.0,88979.0,93740.0,98486.0,102855.0,106600.0,106607.0,106607.0,110895.0,116086.0,120706.0,126428.0,131632.0,131751.0,131751.0,136818.0,142325.0,148330.0,153546.0,158814.0,159176.0,159220.0,165231.0,171354.0,177012.0,182283.0,187513.0,187898.0,188084.0,193637.0,198735.0,203693.0,208405.0,208698.0,209154.0,209349.0,212530.0,216024.0,219854.0,222948.0,225533.0,226052.0,226196.0,229507.0,232640.0,235735.0,238364.0,240911.0,241898.0,242032.0,243494.0,244508.0,245378.0,246963.0,248080.0,248646.0,248671.0,249626.0,250539.0,251437.0,252146.0,253539.0,253572.0,253608.0,256446.0,259814.0,263005.0,266168.0,269043.0,270282.0,270537.0,274427.0,278307.0,281907.0,285333.0,289017.0,289292.0,289372.0,293993.0,299386.0,304103.0,308630.0,309151.0,310180.0,310384.0,317454.0,325263.0,331123.0,337638.0,343500.0,343749.0,343878.0,350335.0,352778.0,354710.0,357284.0,360330.0,360867.0,360887.0,363939.0,367385.0,371760.0,376110.0,379678.0,380941.0,380964.0,384831.0,388411.0,392671.0,395744.0,398462.0,398816.0,398867.0,399611.0,403469.0,407219.0,408849.0,409596.0,409715.0,409728.0,410171.0,411589.0,413567.0,416744.0,419213.0,419649.0,419683.0,421686.0,423578.0,426458.0,429003.0,431286.0,431969.0,432006.0,434533.0,438146.0,441138.0,444010.0,444790.0,445678.0,445714.0,448615.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23374.0,28864.0,35199.0,41264.0,41826.0,41826.0,49763.0,56570.0,62592.0,67422.0,72057.0,72212.0,72217.0,75786.0,78323.0,80387.0,82143.0,83732.0,83735.0,83755.0,87332.0,91738.0,96129.0,101134.0,101166.0,101172.0,101178.0,107404.0,112599.0,117318.0,121322.0,127128.0,127335.0,127349.0,132811.0,137952.0,143344.0,148425.0,153098.0,153833.0,153888.0,160097.0,165585.0,170770.0,175844.0,180649.0,181202.0,181364.0,186487.0,190182.0,194282.0,199314.0,201192.0,201351.0,201482.0,204723.0,208293.0,212292.0,215292.0,217884.0,218446.0,218568.0,221400.0,224698.0,227634.0,229817.0,232174.0,232267.0,232376.0,234299.0,236041.0,237398.0,239290.0,239426.0,239729.0,239762.0,241589.0,243273.0,244345.0,245408.0,246822.0,246861.0,246892.0,249080.0,251435.0,253986.0,256389.0,258502.0,258859.0,258907.0,262673.0,266349.0,269794.0,273103.0,276454.0,277083.0,277185.0,281475.0,286054.0,290601.0,294688.0,296657.0,297176.0,297326.0,298490.0,306321.0,312962.0,317657.0,321883.0,322642.0,322668.0,323243.0,328153.0,331251.0,333858.0,336546.0,337100.0,337133.0,340406.0,343665.0,347344.0,351210.0,354206.0,355151.0,355183.0,359168.0,362776.0,366507.0,370183.0,370986.0,371788.0,371850.0,374745.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5940.0,7631.0,8424.0,8455.0,8455.0,8950.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9120.0,9145.0,11695.0,14556.0,15197.0,15201.0,15299.0,17031.0,18022.0,18560.0,19121.0,19161.0,19176.0,19619.0,19960.0,20166.0,20298.0,20380.0,20542.0,20549.0,20766.0,20895.0,20953.0,20974.0,20977.0,20981.0,20981.0,20998.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4421.0,7254.0,9648.0,9953.0,9987.0,12418.0,14971.0,17991.0,20748.0,23633.0,23750.0,23750.0,26401.0,28481.0,30643.0,32774.0,34838.0,34893.0,34893.0,36885.0,38796.0,40120.0,41262.0,43315.0,43511.0,43511.0,44996.0,46205.0,47219.0,48048.0,49053.0,49118.0,49120.0,50256.0,51276.0,52508.0,54150.0,55486.0,55585.0,55585.0,56858.0,58527.0,60068.0,62247.0,63343.0,63407.0,63407.0,64586.0,65929.0,67380.0,68883.0,70421.0,70550.0,70550.0,71912.0,73303.0,74519.0,75683.0,75769.0,75911.0,75912.0,76883.0,78281.0,79216.0,80159.0,80418.0,80419.0,80419.0,81344.0,82273.0,83283.0,84005.0,84704.0,84735.0,84735.0,85480.0,86238.0,86926.0,87906.0,88314.0,88378.0,88378.0,88990.0,89744.0,90375.0,90802.0,91247.0,91252.0,91252.0,92142.0,92960.0,94103.0,95043.0,95888.0,95973.0,95973.0,97169.0,98468.0,99668.0,100901.0,102002.0,102062.0,102068.0,103328.0,104756.0,106220.0,107757.0,107915.0,108720.0,108720.0,110761.0,113201.0,115263.0,117533.0,119482.0,119902.0,119903.0,121989.0,123914.0,124410.0,124417.0,124435.0,124438.0,124438.0,124621.0,126042.0,127754.0,129793.0,131505.0,132075.0,132082.0,133804.0,135495.0,137132.0,138342.0,139448.0,139754.0,139754.0,139831.0,141179.0,142554.0,144050.0,145293.0,145704.0,145704.0,145707.0,145920.0,146161.0,146874.0,147422.0,147594.0,147594.0,148038.0,148598.0,149402.0,150533.0,151611.0,152032.0,152032.0,153151.0,154562.0,155722.0,156751.0,156751.0,157234.0,157234.0,158397.0
