Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44221.0,53530.0,56587.0,56999.0,56999.0,56999.0,57016.0,57037.0,57038.0,57038.0,57038.0,57039.0,57039.0,57039.0,70224.0,240595.0,414625.0,583388.0,611239.0,619875.0,841380.0,1083866.0,1356299.0,1607684.0,1836946.0,1866468.0,1870935.0,2136803.0,2356842.0,2544883.0,2700146.0,2842272.0,2851914.0,2853076.0,2961181.0,3055382.0,3141483.0,3227419.0,3305697.0,3315740.0,3316095.0,3453248.0,3612208.0,3770054.0,3914791.0,4051008.0,4060652.0,4061717.0,4198314.0,4337353.0,4473169.0,4644607.0,4795844.0,4820132.0,4822880.0,4980741.0,5147376.0,5298658.0,5447475.0,5587240.0,5610420.0,5613272.0,5760019.0,5910297.0,6064582.0,6222048.0,6388633.0,6401577.0,6402546.0,6553799.0,6687777.0,6814862.0,6949657.0,6951514.0,6953395.0,6954053.0,7033985.0,7127141.0,7222039.0,7298791.0,7369674.0,7380865.0,7381962.0,7460067.0,7535080.0,7614429.0,7676726.0,7735125.0,7743026.0,7743902.0,7787800.0,7827008.0,7858157.0,7914520.0,7954361.0,7960110.0,7960461.0,8003526.0,8042549.0,8086046.0,8116914.0,8167851.0,8168943.0,8169742.0,8245747.0,8326803.0,8408297.0,8489884.0,8573967.0,8591351.0,8592311.0,8695614.0,8803022.0,8907863.0,9004873.0,9108111.0,9109161.0,9109426.0,9234010.0,9370105.0,9495868.0,9624355.0,9632657.0,9659482.0,9663180.0,9839031.0,10028889.0,10209549.0,10376479.0,10521923.0,10563519.0,10572638.0,10728587.0,10868010.0,10977103.0,11032702.0,11075085.0,11089835.0,11091814.0,11145689.0,11205913.0,11282516.0,11378854.0,11459465.0,11482184.0,11483607.0,11588656.0,11673726.0,11779307.0,11850254.0,11911727.0,11928298.0,11930093.0,11937413.0,12037037.0,12112563.0,12161020.0,12199209.0,12210290.0,12211321.0,12212566.0,12252494.0,12300596.0,12387479.0,12452916.0,12468464.0,12470469.0,12518217.0,12561910.0,12635709.0,12693763.0,12744348.0,12764349.0,12766746.0,12815926.0,12896127.0,12950821.0,13022265.0,13024383.0,13034339.0,13035269.0,13082898.0,13123077.0,13156402.0,13192231.0,13250364.0,13273375.0,13275422.0,13290878.0,13300152.0,13307206.0,13315836.0,13324189.0,13325249.0,13325279.0,13424720.0,13537449.0,13542220.0,13545472.0,13548452.0,13548691.0,13548746.0,13625559.0,13693521.0,13696230.0,13698532.0,13700613.0,13700894.0,13701117.0,13739527.0,13773622.0,13775509.0,13777013.0,13778250.0,13778391.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24983.0,44370.0,52715.0,55603.0,55813.0,55846.0,55846.0,55846.0,55857.0,55857.0,55858.0,55858.0,55858.0,55858.0,55880.0,55920.0,56094.0,56239.0,56357.0,56361.0,56361.0,56770.0,69188.0,223279.0,389132.0,550806.0,574943.0,581841.0,795930.0,1033485.0,1299066.0,1544746.0,1767932.0,1794098.0,1797937.0,2070391.0,2314046.0,2530083.0,2716252.0,2871020.0,2882036.0,2883207.0,3005232.0,3095854.0,3160668.0,3215906.0,3267027.0,3269775.0,3270198.0,3385726.0,3530437.0,3683691.0,3852243.0,3857423.0,3858768.0,3859231.0,4064128.0,4210808.0,4349234.0,4512049.0,4660146.0,4674985.0,4676341.0,4835272.0,4995606.0,5145786.0,5290690.0,5426508.0,5440895.0,5442657.0,5593727.0,5743874.0,5890338.0,6034709.0,6178508.0,6190443.0,6191135.0,6344779.0,6477298.0,6602944.0,6727493.0,6764427.0,6765635.0,6766302.0,6842178.0,6930819.0,7024472.0,7101168.0,7165061.0,7173271.0,7173716.0,7244138.0,7329503.0,7408031.0,7468712.0,7524965.0,7525372.0,7525543.0,7572629.0,7620334.0,7661604.0,7724962.0,7726325.0,7732609.0,7733198.0,7794337.0,7851270.0,7899652.0,7935946.0,7976851.0,7982632.0,7983607.0,8043268.0,8114855.0,8186660.0,8255244.0,8323709.0,8336773.0,8338003.0,8438086.0,8542553.0,8642902.0,8736523.0,8830862.0,8840261.0,8840856.0,8953323.0,9075335.0,9192731.0,9302755.0,9346184.0,9366057.0,9368204.0,9380536.0,9586008.0,9749702.0,9890885.0,10013798.0,10045529.0,10048907.0,10052042.0,10229535.0,10363459.0,10445306.0,10510141.0,10529136.0,10531238.0,10627873.0,10706739.0,10790235.0,10884942.0,10969899.0,10991725.0,10994263.0,11120672.0,11221554.0,11326951.0,11417458.0,11420058.0,11433508.0,11434709.0,11507753.0,11600207.0,11670283.0,11711228.0,11767926.0,11778075.0,11778924.0,11819270.0,11860272.0,11887844.0,11969010.0,12037114.0,12047247.0,12047686.0,12071341.0,12096705.0,12156381.0,12199231.0,12230734.0,12231646.0,12231667.0,12252830.0,12272278.0,12389941.0,12469125.0,12518148.0,12519154.0,12519353.0,12541240.0,12564872.0,12641486.0,12700148.0,12754237.0,12755829.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10458.0,33774.0,73391.0,107753.0,117661.0,119451.0,146917.0,166994.0,183722.0,196877.0,200925.0,201318.0,201367.0,205539.0,209215.0,213169.0,216211.0,218587.0,218865.0,218877.0,218955.0,222717.0,235134.0,298700.0,348787.0,358860.0,360115.0,361341.0,393240.0,416142.0,430149.0,441621.0,445051.0,445452.0,455858.0,463448.0,468245.0,472111.0,476029.0,477603.0,477774.0,481861.0,484694.0,487413.0,492719.0,492816.0,493285.0,493387.0,496022.0,497757.0,499158.0,500751.0,501981.0,503407.0,503449.0,504393.0,505170.0,505702.0,506178.0,506453.0,506465.0,506466.0,507464.0,508317.0,508539.0,508721.0,508900.0,508915.0,508915.0,509135.0,509387.0,509491.0,509601.0,509692.0,509705.0,509705.0,510126.0,513199.0,514494.0,515962.0,517831.0,518938.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,69964.0,159935.0,256852.0,260316.0,260404.0,418513.0,596236.0,705862.0,812496.0,902942.0,905875.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73574.0,73804.0,74238.0,74549.0,74642.0,74642.0,74768.0,74871.0,74945.0,75045.0,75094.0,75116.0,75116.0,75277.0,75441.0,75552.0,75653.0,75769.0,75774.0,75774.0,75896.0,76004.0,76083.0,76170.0,76222.0,76225.0,76225.0,76300.0,76360.0,76411.0,76441.0,76491.0,76496.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60288.0,60919.0,61397.0,61488.0,61519.0,61985.0,62480.0,63127.0,63778.0,64237.0,64319.0,64319.0,64699.0,64969.0,65262.0,65522.0,65522.0,65566.0,65599.0,65748.0,65979.0,66222.0,66504.0,66766.0,66833.0,66834.0,66946.0,67131.0,67332.0,67742.0,68030.0,68095.0,68095.0,68316.0,68587.0,69009.0,69455.0,69794.0,69841.0,69841.0,70165.0,70566.0,70985.0,71293.0,71493.0,71595.0,71595.0,71836.0,72072.0,72361.0,72717.0,73001.0,73054.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7671.0,7751.0,7839.0,7852.0,7852.0,7914.0,7991.0,8045.0,8089.0,8150.0,8160.0,8160.0,8225.0,8281.0,8323.0,8372.0,8408.0,8408.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2882.0,3893.0,4736.0,4799.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76687.0,79913.0,82260.0,84806.0,84806.0,84806.0,88983.0,93744.0,98491.0,102861.0,106606.0,106613.0,106613.0,110901.0,116092.0,120714.0,126436.0,131640.0,131759.0,131759.0,136827.0,142334.0,148338.0,153554.0,158822.0,159184.0,159228.0,165239.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193652.0,198751.0,203710.0,208423.0,208716.0,209172.0,209367.0,212548.0,216042.0,219872.0,222966.0,225551.0,226070.0,226214.0,229525.0,232658.0,235753.0,238382.0,240929.0,241915.0,242049.0,243512.0,244526.0,245396.0,246981.0,248099.0,248665.0,248690.0,249645.0,250558.0,251456.0,252165.0,253559.0,253592.0,253628.0,256468.0,259837.0,263028.0,266192.0,269067.0,270306.0,270561.0,274451.0,278331.0,281931.0,285358.0,289042.0,289317.0,289397.0,294018.0,299410.0,304127.0,308654.0,309175.0,310204.0,310408.0,317479.0,325288.0,331147.0,337662.0,343526.0,343775.0,343904.0,350363.0,352807.0,354738.0,357312.0,360360.0,360897.0,360917.0,363968.0,367415.0,371793.0,376142.0,379710.0,380973.0,380996.0,384863.0,388443.0,392704.0,395777.0,398496.0,398850.0,398901.0,399645.0,403506.0,407256.0,408891.0,409639.0,409757.0,409770.0,410214.0,411636.0,413614.0,416793.0,419266.0,419702.0,419736.0,421739.0,423633.0,426514.0,429062.0,431346.0,432029.0,432066.0,434597.0,438212.0,441204.0,444076.0,444859.0,445749.0,445785.0,448707.0,451696.0,454492.0,458345.0,461676.0,462279.0,462299.0,462509.0,462655.0,463218.0,463668.0,463806.0,463810.0,463810.0,467565.0,472433.0,472444.0,472459.0,472466.0,472466.0,472466.0,475697.0,478754.0,478770.0,478793.0,478810.0,478811.0,478812.0,480596.0,482378.0,482408.0,482416.0,482435.0,482435.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41271.0,41833.0,41833.0,49771.0,56579.0,62602.0,67433.0,72068.0,72223.0,72228.0,75797.0,78344.0,80417.0,82177.0,83769.0,83772.0,83792.0,87376.0,91784.0,96178.0,101187.0,101219.0,101225.0,101231.0,107461.0,112662.0,117388.0,121396.0,127205.0,127412.0,127426.0,132899.0,138042.0,143435.0,148519.0,153196.0,153931.0,153986.0,160203.0,165706.0,170901.0,175989.0,180801.0,181354.0,181516.0,186644.0,190337.0,194439.0,199475.0,201355.0,201514.0,201645.0,204905.0,208481.0,212490.0,215526.0,218125.0,218689.0,218811.0,221658.0,224965.0,227908.0,230093.0,232452.0,232545.0,232654.0,234594.0,236342.0,237716.0,239617.0,239754.0,240057.0,240091.0,241926.0,243626.0,244704.0,245775.0,247190.0,247229.0,247260.0,249456.0,251822.0,254381.0,256789.0,258914.0,259273.0,259321.0,263091.0,266779.0,270233.0,273543.0,276905.0,277534.0,277636.0,281931.0,286513.0,291067.0,295158.0,297130.0,297649.0,297799.0,299098.0,307389.0,314419.0,319358.0,323976.0,324819.0,324846.0,325458.0,330912.0,334311.0,337074.0,339890.0,340459.0,340493.0,344740.0,348397.0,352426.0,356634.0,360012.0,361065.0,361098.0,366313.0,370479.0,374509.0,378522.0,379380.0,380255.0,380320.0,383492.0,387673.0,391303.0,393668.0,395451.0,395712.0,395724.0,397479.0,398794.0,400417.0,403118.0,405234.0,405582.0,405589.0,406277.0,406947.0,408289.0,408921.0,409385.0,409392.0,409392.0,409778.0,410113.0,415015.0,417853.0,419659.0,419684.0,419688.0,420549.0,421804.0,427190.0,430736.0,433326.0,433328.0
