Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24838.0,44193.0,53498.0,56558.0,56970.0,56970.0,56970.0,56987.0,57008.0,57009.0,57009.0,57009.0,57010.0,57010.0,57010.0,70191.0,240557.0,414583.0,583273.0,611122.0,619756.0,841228.0,1083699.0,1356121.0,1607474.0,1836711.0,1866230.0,1870697.0,2136559.0,2356583.0,2544625.0,2699883.0,2842003.0,2851644.0,2852806.0,2960917.0,3055127.0,3141227.0,3227153.0,3305405.0,3315383.0,3315738.0,3452831.0,3611698.0,3769488.0,3914165.0,4050370.0,4060018.0,4061082.0,4197625.0,4336577.0,4472317.0,4643701.0,4794873.0,4819165.0,4821913.0,4979605.0,5145898.0,5296684.0,5444627.0,5580411.0,5603556.0,5606399.0,5750301.0,5897211.0,6049989.0,6206396.0,6372270.0,6385162.0,6386131.0,6536856.0,6670063.0,6796575.0,6930870.0,6932718.0,6934594.0,6935251.0,7014721.0,7107223.0,7201567.0,7277805.0,7348158.0,7359253.0,7360340.0,7437948.0,7512368.0,7591087.0,7652644.0,7710435.0,7718255.0,7719115.0,7762806.0,7801790.0,7832793.0,7888993.0,7928728.0,7934436.0,7934787.0,7977671.0,8016501.0,8059866.0,8090581.0,8141194.0,8142258.0,8143055.0,8218896.0,8299775.0,8381133.0,8462546.0,8546351.0,8563650.0,8564610.0,8667741.0,8774910.0,8879490.0,8976329.0,9079247.0,9080289.0,9080554.0,9204966.0,9340540.0,9465256.0,9591969.0,9599687.0,9626173.0,9629869.0,9805333.0,9994584.0,10174701.0,10340885.0,10485694.0,10527148.0,10536248.0,10691562.0,10830143.0,10938577.0,10993702.0,11035684.0,11050342.0,11052312.0,11105789.0,11165444.0,11241340.0,11337197.0,11417310.0,11439967.0,11441387.0,11546000.0,11630640.0,11735786.0,11806384.0,11867423.0,11883936.0,11885724.0,11892921.0,11991508.0,12063436.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8367.0,8367.0,8367.0,8367.0,8367.0,8367.0,9770.0,10365.0,10399.0,10399.0,10404.0,10404.0,10404.0,10404.0,10410.0,10410.0,12518.0,13188.0,13193.0,13195.0,24964.0,44341.0,52682.0,55566.0,55776.0,55809.0,55809.0,55809.0,55820.0,55820.0,55821.0,55821.0,55821.0,55821.0,55843.0,55883.0,56056.0,56200.0,56318.0,56322.0,56322.0,56731.0,69145.0,223199.0,389000.0,550566.0,574697.0,581591.0,795570.0,1033058.0,1298560.0,1544150.0,1767218.0,1793374.0,1797210.0,2069608.0,2313171.0,2529177.0,2715271.0,2869997.0,2880983.0,2882159.0,3004094.0,3094639.0,3159414.0,3214609.0,3265693.0,3268441.0,3268864.0,3384337.0,3528913.0,3682057.0,3850512.0,3855691.0,3857036.0,3857497.0,4062231.0,4208749.0,4347023.0,4509686.0,4657660.0,4672488.0,4673843.0,4832498.0,4992387.0,5141913.0,5285861.0,5418489.0,5432826.0,5434582.0,5583021.0,5729850.0,5874707.0,6017900.0,6161007.0,6172889.0,6173577.0,6326401.0,6457909.0,6582831.0,6706833.0,6743576.0,6744776.0,6745437.0,6820814.0,6908796.0,7001794.0,7077896.0,7141267.0,7149406.0,7149849.0,7219745.0,7304303.0,7382115.0,7442078.0,7497743.0,7498146.0,7498316.0,7544987.0,7592283.0,7633241.0,7696316.0,7697665.0,7703920.0,7704507.0,7765343.0,7821829.0,7869964.0,7906003.0,7946590.0,7952336.0,7953303.0,8012680.0,8083917.0,8155523.0,8223903.0,8292098.0,8305110.0,8306325.0,8406077.0,8510081.0,8610004.0,8703309.0,8797132.0,8806492.0,8807081.0,8919052.0,9040382.0,9156438.0,9264519.0,9307028.0,9326551.0,9328642.0,9340169.0,9535514.0,9684337.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10436.0,33733.0,73315.0,107623.0,117528.0,119318.0,146763.0,166824.0,183500.0,196614.0,200662.0,201054.0,201103.0,205294.0,208962.0,212875.0,215896.0,218222.0,218499.0,218509.0,218610.0,222302.0,233482.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14379.0,15638.0,16886.0,18235.0,19483.0,19564.0,19564.0,20357.0,21138.0,21841.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39253.0,39651.0,40015.0,40322.0,40609.0,40611.0,40611.0,40992.0,41342.0,41695.0,42015.0,42312.0,42315.0,42315.0,42578.0,42926.0,43175.0,43509.0,43811.0,43827.0,43827.0,44120.0,44380.0,44711.0,45076.0,45499.0,45600.0,45600.0,46079.0,46554.0,46938.0,47350.0,47670.0,47705.0,47705.0,48135.0,48595.0,49078.0,49449.0,49828.0,49909.0,49911.0,50378.0,50986.0,51649.0,52329.0,52329.0,52749.0,52749.0,54268.0,55796.0,57059.0,58058.0,59264.0,59593.0,59593.0,60824.0,61809.0,62542.0,62977.0,63242.0,63280.0,63314.0,63654.0,64111.0,64650.0,65272.0,65619.0,65671.0,65715.0,65963.0,66145.0,66316.0,66496.0,66630.0,66646.0,66659.0,66659.0,66851.0,67083.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5830.0,5850.0,5850.0,7048.0,8206.0,9767.0,11079.0,12336.0,12369.0,12376.0,13955.0,15423.0,16847.0,18441.0,19745.0,19814.0,19814.0,20712.0,21619.0,22084.0,22499.0,22814.0,22814.0,22814.0,23361.0,23952.0,24766.0,25543.0,25549.0,25549.0,25549.0,26302.0,26945.0,27486.0,28012.0,28538.0,28544.0,28544.0,29373.0,30288.0,31113.0,31759.0,32341.0,32345.0,32345.0,32900.0,33591.0,34131.0,34663.0,35202.0,35215.0,35216.0,35846.0,36381.0,36932.0,37542.0,37731.0,37731.0,37731.0,38070.0,38488.0,38886.0,39204.0,39464.0,39476.0,39476.0,39792.0,40184.0,40533.0,40772.0,40965.0,40974.0,40977.0,41366.0,41787.0,42052.0,42433.0,42434.0,42481.0,42481.0,42886.0,43238.0,43687.0,44014.0,44509.0,44561.0,44561.0,45064.0,45558.0,45931.0,46366.0,46659.0,46691.0,46704.0,47119.0,47694.0,48142.0,48542.0,48910.0,48982.0,48992.0,49430.0,49945.0,50542.0,51099.0,51380.0,51590.0,51644.0,51647.0,53478.0,54766.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1642.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3135.0,3431.0,3586.0,3742.0,3769.0,3779.0,3779.0,3999.0,4208.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6110.0,6330.0,9318.0,12792.0,15851.0,16035.0,16035.0,19619.0,24049.0,29756.0,36324.0,42673.0,43443.0,43448.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88979.0,93738.0,98479.0,102845.0,106591.0,106598.0,106598.0,110886.0,116077.0,120697.0,126420.0,131624.0,131743.0,131743.0,136793.0,142279.0,148264.0,153456.0,158460.0,158822.0,158866.0,164783.0,170849.0,176472.0,181720.0,186936.0,187321.0,187507.0,193022.0,198110.0,203053.0,207759.0,208052.0,208508.0,208703.0,211852.0,215325.0,219126.0,222188.0,224741.0,225254.0,225398.0,228681.0,231782.0,234850.0,237462.0,239987.0,240971.0,241105.0,242565.0,243557.0,244424.0,246008.0,247124.0,247668.0,247693.0,248647.0,249560.0,250457.0,251166.0,252556.0,252589.0,252625.0,255462.0,258829.0,262016.0,265177.0,268043.0,269274.0,269528.0,273402.0,277270.0,280866.0,284289.0,287972.0,288246.0,288326.0,292945.0,298335.0,303049.0,307575.0,308096.0,309125.0,309329.0,316395.0,324202.0,330050.0,336557.0,342408.0,342657.0,342786.0,349239.0,351672.0,353591.0,356159.0,359189.0,359726.0,359746.0,362781.0,366206.0,370555.0,374892.0,378442.0,379702.0,379725.0,383579.0,387152.0,391406.0,394476.0,397188.0,397542.0,397593.0,398331.0,402185.0,405873.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19045.0,23374.0,28864.0,35198.0,41263.0,41825.0,41825.0,49762.0,56570.0,62592.0,67422.0,72057.0,72212.0,72217.0,75784.0,78321.0,80385.0,82141.0,83729.0,83732.0,83752.0,87328.0,91733.0,96119.0,101122.0,101154.0,101160.0,101166.0,107390.0,112583.0,117302.0,121305.0,127108.0,127314.0,127328.0,132771.0,137889.0,143258.0,148313.0,152789.0,153510.0,153565.0,159670.0,165091.0,170243.0,175295.0,180082.0,180633.0,180795.0,185880.0,189563.0,193650.0,198674.0,200548.0,200707.0,200838.0,204055.0,207601.0,211573.0,214555.0,217110.0,217665.0,217786.0,220591.0,223855.0,226769.0,228938.0,231277.0,231370.0,231479.0,233394.0,235117.0,236469.0,238359.0,238494.0,238789.0,238822.0,240638.0,242302.0,243370.0,244431.0,245841.0,245880.0,245911.0,248098.0,250449.0,252997.0,255399.0,257507.0,257863.0,257911.0,261655.0,265314.0,268753.0,272060.0,275406.0,276035.0,276137.0,280425.0,285001.0,289541.0,293625.0,295593.0,296112.0,296262.0,297425.0,305248.0,311771.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,5939.0,7630.0,8423.0,8453.0,8453.0,8948.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9118.0,9142.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12406.0,14958.0,17978.0,20735.0,23618.0,23734.0,23734.0,26384.0,28465.0,30628.0,32759.0,34823.0,34878.0,34878.0,36870.0,38781.0,40105.0,41247.0,43299.0,43495.0,43495.0,44977.0,46185.0,47198.0,48027.0,49032.0,49098.0,49100.0,50230.0,51250.0,52480.0,54122.0,55459.0,55559.0,55559.0,56826.0,58489.0,60023.0,62177.0,63271.0,63335.0,63335.0,64498.0,65800.0,67229.0,68722.0,70258.0,70384.0,70384.0,71741.0,73120.0,74330.0,75494.0,75580.0,75722.0,75723.0,76693.0,78084.0,79011.0,79947.0,80206.0,80207.0,80207.0,81132.0,82052.0,83055.0,83777.0,84475.0,84506.0,84506.0,85251.0,86007.0,86691.0,87672.0,88080.0,88140.0,88140.0,88749.0,89503.0,90129.0,90555.0,90999.0,91004.0,91004.0,91889.0,92702.0,93844.0,94784.0,95628.0,95711.0,95711.0,96906.0,98200.0,99394.0,100625.0,101726.0,101786.0,101792.0,103041.0,104458.0,105903.0,107429.0,107586.0,108380.0,108380.0,110404.0,112830.0,114888.0,117145.0,118965.0,119379.0,119380.0,121440.0,123360.0,123850.0,123857.0,123876.0,123879.0,123879.0,124061.0,125473.0,127180.0,129183.0,130890.0,131459.0,131464.0,133181.0,134805.0,136375.0,137584.0,138678.0,138984.0,138984.0,139061.0,140338.0,141606.0
