Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24
Total,Primera,420.0,5199.0,8339.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,9055.0,10498.0,10703.0,10703.0,10703.0,10703.0,10703.0,10703.0,10703.0,10704.0,12822.0,13779.0,13802.0,13802.0,24847.0,44160.0,53410.0,56468.0,56879.0,56879.0,56879.0,56897.0,56918.0,56919.0,56919.0,56919.0,56919.0,56919.0,56919.0,70040.0,240199.0,413825.0,582076.0,609879.0,618464.0,839311.0,1080634.0,1352116.0,1602176.0,1830897.0,1860372.0,1864813.0,2129754.0,2349270.0,2536732.0,2691314.0,2833097.0,2842707.0,2843869.0,2951567.0,3044651.0,3123895.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9765.0,10359.0,10393.0,10393.0,10398.0,10398.0,10398.0,10398.0,10404.0,10404.0,12511.0,13181.0,13186.0,13186.0,24940.0,44268.0,52587.0,55211.0,55418.0,55452.0,55452.0,55452.0,55462.0,55462.0,55462.0,55462.0,55462.0,55462.0,55483.0,55523.0,55693.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3611.0,4939.0,6075.0,6093.0,6093.0,7330.0,8484.0,10110.0,11449.0,12804.0,12852.0,12860.0,14370.0,15628.0,16874.0,18224.0,19471.0,19552.0,19552.0,20339.0,21116.0,21778.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1680.0,1928.0,2002.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,2004.0,2009.0,2013.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5339.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6325.0,9311.0,12768.0,15826.0,16009.0,16009.0,19592.0,24020.0,29725.0,36290.0,42639.0,43408.0,43413.0,50605.0,56018.0,60810.0,64941.0,68981.0,69136.0,69136.0,73047.0,76611.0,79830.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6002.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7232.0,9513.0,9806.0,9840.0,12258.0,14523.0,17216.0,19821.0,22685.0,22797.0,22797.0,25436.0,27510.0,29663.0,31786.0,33838.0,33892.0,33892.0,35891.0,37754.0,38934.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2737.0,2805.0,2808.0,2808.0,2808.0,2808.0,2808.0,2808.0,2808.0,2808.0,2808.0,2808.0,2809.0,2824.0,2835.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1644.0,2457.0,3544.0,3808.0,3808.0,3808.0,3809.0,3811.0,3811.0,3811.0,3811.0,3811.0,3811.0,3811.0,3813.0,9386.0,15159.0,19789.0,20258.0,20258.0,23807.0,26201.0,28430.0,30372.0,32862.0,33325.0,33325.0,35019.0,36837.0,38531.0,40299.0,41324.0,41377.0,41379.0,43095.0,45006.0,46249.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1740.0,2642.0,3378.0,3455.0,3455.0,3455.0,3455.0,3455.0,3455.0,3455.0,3455.0,3455.0,3455.0,3455.0,3455.0,3455.0
