Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44202.0,53511.0,56573.0,56985.0,56985.0,56985.0,57002.0,57023.0,57024.0,57024.0,57024.0,57024.0,57024.0,57024.0,70212.0,240561.0,414608.0,583236.0,611109.0,619744.0,841176.0,1083623.0,1356094.0,1607311.0,1836530.0,1866036.0,1870501.0,2136327.0,2356325.0,2544312.0,2699544.0,2841646.0,2851284.0,2852448.0,2960557.0,3054728.0,3140723.0,3226624.0,3304696.0,3314721.0,3315073.0,3452004.0,3610830.0,3768394.0,3912829.0,4048783.0,4058509.0,4059574.0,4195811.0,4334575.0,4470032.0,4640843.0,4791493.0,4815695.0,4818393.0,4975815.0,5141791.0,5292524.0,5440363.0,5579557.0,5602634.0,5605611.0,5751298.0,5900100.0,6044441.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9766.0,10361.0,10395.0,10395.0,10400.0,10400.0,10400.0,10400.0,10406.0,10406.0,12514.0,13184.0,13189.0,13189.0,24957.0,44316.0,52644.0,55517.0,55724.0,55758.0,55758.0,55758.0,55768.0,55768.0,55768.0,55768.0,55768.0,55768.0,55789.0,55829.0,56001.0,56145.0,56262.0,56266.0,56266.0,56668.0,69066.0,222916.0,388409.0,549657.0,573821.0,580669.0,794295.0,1031390.0,1295902.0,1540615.0,1763010.0,1789082.0,1792909.0,2064777.0,2307531.0,2522847.0,2708088.0,2862480.0,2873475.0,2874642.0,2995910.0,3085258.0,3145343.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21848.0,22528.0,22901.0,22912.0,22912.0,23551.0,24365.0,25290.0,26018.0,26762.0,26767.0,26767.0,27304.0,27897.0,28428.0,29119.0,29701.0,29711.0,29711.0,30460.0,31327.0,32117.0,32904.0,33479.0,33498.0,33498.0,34085.0,34753.0,35270.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15418.0,16841.0,18428.0,19730.0,19799.0,19799.0,20698.0,21591.0,22035.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19619.0,24049.0,29756.0,36326.0,42677.0,43446.0,43451.0,50654.0,56076.0,60873.0,65005.0,69048.0,69203.0,69203.0,73118.0,76687.0,79914.0,82260.0,84806.0,84806.0,84806.0,88981.0,93740.0,98485.0,102851.0,106596.0,106602.0,106602.0,110889.0,116067.0,120687.0,126403.0,131604.0,131722.0,131722.0,136787.0,142285.0,148283.0,153479.0,158736.0,159099.0,159142.0,165136.0,171247.0,176821.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15421.0,15490.0,15490.0,19038.0,23368.0,28857.0,35188.0,41253.0,41812.0,41812.0,49746.0,56552.0,62574.0,67355.0,71952.0,72104.0,72109.0,75656.0,78178.0,80220.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26373.0,28447.0,30606.0,32736.0,34794.0,34849.0,34849.0,36842.0,38753.0,40075.0,41210.0,43260.0,43452.0,43452.0,44932.0,46138.0,47149.0,47977.0,48985.0,49049.0,49051.0,50184.0,51201.0,52424.0,54057.0,55383.0,55479.0,55479.0,56742.0,58402.0,59935.0,62100.0,63194.0,63258.0,63258.0,64432.0,65649.0,66915.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11782.0,14292.0,17112.0,19855.0,22690.0,22784.0,22784.0,25702.0,28528.0,31209.0,33684.0,35818.0,35863.0,35863.0,37930.0,39912.0,41018.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1644.0,2516.0,3607.0,3872.0,3872.0,3872.0,3872.0,3874.0,3874.0,3874.0,3874.0,3874.0,3874.0,3874.0,3876.0,9467.0,15288.0,19974.0,20449.0,20449.0,24047.0,26461.0,28692.0,30757.0,33265.0,33742.0,33742.0,35822.0,37664.0,39537.0,41476.0,42557.0,42610.0,42612.0,44527.0,46958.0,49296.0,51578.0,53107.0,53184.0,53184.0,54564.0,55749.0,56706.0,57856.0,59868.0,60167.0,60167.0,62126.0,64064.0,65900.0,67950.0,69967.0,70071.0,70071.0,72374.0,74667.0,76898.0,79066.0,80804.0,80805.0,80817.0,83293.0,85862.0,88196.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1740.0,2650.0,3635.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3712.0,3719.0,3745.0,3745.0,3745.0,3754.0,4425.0,9410.0,14593.0,19055.0,19478.0,19479.0,22909.0,25314.0,27531.0,29579.0,32008.0,32376.0,32376.0,34763.0,37461.0,40119.0,41945.0,43176.0,43200.0,43205.0,44871.0,46551.0,47808.0
