Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24847.0,44202.0,53511.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57024.0,57024.0,57024.0,70206.0,240576.0,414600.0,583275.0,611125.0,619761.0,841221.0,1083675.0,1356183.0,1607409.0,1836636.0,1866142.0,1870608.0,2136441.0,2356414.0,2544456.0,2699701.0,2841813.0,2851452.0,2852616.0,2960721.0,3054932.0,3141021.0,3226947.0,3305058.0,3315097.0,3315452.0,3452588.0,3611533.0,3769363.0,3914079.0,4050292.0,4059935.0,4061000.0,4197576.0,4336622.0,4472409.0,4643859.0,4795080.0,4819378.0,4822125.0,4979942.0,5146540.0,5297791.0,5446598.0,5586463.0,5609647.0,5612502.0,5759182.0,5909414.0,6063660.0,6221086.0,6387493.0,6400390.0,6401356.0,6552423.0,6686247.0,6813077.0,6947542.0,6949389.0,6951258.0,6951912.0,7031640.0,7124621.0,7219294.0,7295714.0,7366261.0,7377329.0,7378420.0,7456312.0,7531172.0,7610310.0,7672316.0,7730475.0,7738365.0,7739239.0,7782947.0,7821793.0,7852778.0,7908393.0,7947743.0,7953379.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24970.0,44335.0,52671.0,55554.0,55764.0,55798.0,55798.0,55798.0,55808.0,55808.0,55808.0,55808.0,55808.0,55808.0,55829.0,55869.0,56042.0,56186.0,56304.0,56308.0,56308.0,56714.0,69125.0,223116.0,388856.0,550343.0,574466.0,581358.0,795256.0,1032623.0,1297982.0,1543344.0,1766311.0,1792432.0,1796266.0,2068532.0,2311858.0,2527755.0,2713743.0,2868449.0,2879460.0,2880635.0,3002586.0,3093032.0,3157760.0,3212903.0,3263782.0,3266523.0,3266944.0,3382340.0,3526879.0,3679938.0,3848268.0,3853429.0,3854767.0,3855225.0,4059784.0,4206223.0,4344352.0,4506938.0,4654694.0,4669506.0,4670865.0,4829449.0,4989226.0,5138775.0,5283291.0,5418688.0,5433102.0,5434859.0,5585612.0,5735126.0,5880830.0,6024306.0,6166680.0,6178113.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14384.0,15643.0,16891.0,18240.0,19490.0,19571.0,19571.0,20364.0,21145.0,21848.0,22529.0,22902.0,22913.0,22913.0,23553.0,24369.0,25294.0,26023.0,26767.0,26772.0,26772.0,27309.0,27903.0,28434.0,29127.0,29710.0,29725.0,29725.0,30474.0,31341.0,32133.0,32922.0,33497.0,33517.0,33517.0,34107.0,34810.0,35354.0,35923.0,36470.0,36470.0,36470.0,37078.0,37715.0,38260.0,38854.0,38854.0,38920.0,38922.0,39337.0,39725.0,40089.0,40396.0,40683.0,40685.0,40685.0,41068.0,41419.0,41772.0,42092.0,42390.0,42393.0,42393.0,42656.0,43003.0,43252.0,43587.0,43888.0,43904.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3395.0,4760.0,5830.0,5850.0,5850.0,7048.0,8205.0,9766.0,11078.0,12334.0,12367.0,12374.0,13953.0,15420.0,16843.0,18437.0,19741.0,19810.0,19810.0,20709.0,21615.0,22080.0,22495.0,22809.0,22809.0,22809.0,23356.0,23945.0,24761.0,25536.0,25542.0,25542.0,25542.0,26296.0,26939.0,27479.0,28006.0,28530.0,28536.0,28536.0,29367.0,30281.0,31110.0,31758.0,32354.0,32358.0,32358.0,32924.0,33622.0,34168.0,34697.0,35233.0,35246.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36328.0,42679.0,43448.0,43453.0,50655.0,56077.0,60874.0,65006.0,69049.0,69204.0,69204.0,73118.0,76686.0,79912.0,82259.0,84805.0,84805.0,84805.0,88981.0,93743.0,98490.0,102857.0,106603.0,106610.0,106610.0,110898.0,116088.0,120708.0,126431.0,131633.0,131753.0,131753.0,136820.0,142324.0,148331.0,153544.0,158819.0,159182.0,159226.0,165234.0,171353.0,177012.0,182284.0,187514.0,187899.0,188084.0,193634.0,198728.0,203674.0,208379.0,208671.0,209126.0,209321.0,212498.0,215988.0,219815.0,222906.0,225487.0,226003.0,226147.0,229451.0,232582.0,235674.0,238298.0,240843.0,241829.0,241963.0,243418.0,244429.0,245299.0,246872.0,247984.0,248532.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9494.0,12765.0,15426.0,15495.0,15495.0,19043.0,23372.0,28863.0,35197.0,41263.0,41822.0,41822.0,49760.0,56568.0,62589.0,67418.0,72052.0,72204.0,72209.0,75778.0,78309.0,80372.0,82127.0,83714.0,83717.0,83737.0,87312.0,91718.0,96109.0,101109.0,101141.0,101147.0,101153.0,107379.0,112572.0,117288.0,121292.0,127093.0,127300.0,127314.0,132775.0,137912.0,143302.0,148376.0,153052.0,153788.0,153842.0,160043.0,165523.0,170704.0,175776.0,180573.0,181043.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2822.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2902.0,2979.0,4421.0,7254.0,9648.0,9952.0,9986.0,12415.0,14964.0,17979.0,20736.0,23617.0,23733.0,23733.0,26381.0,28454.0,30613.0,32743.0,34802.0,34857.0,34857.0,36849.0,38760.0,40082.0,41219.0,43270.0,43465.0,43465.0,44948.0,46156.0,47170.0,47998.0,49007.0,49072.0,49074.0,50209.0,51228.0,52458.0,54100.0,55436.0,55536.0,55536.0,56808.0,58475.0,60013.0,62184.0,63287.0,63351.0,63351.0,64533.0,65876.0,67326.0,68826.0,70342.0,70438.0,70438.0,71795.0,73182.0,74394.0,75556.0,75642.0,75784.0,75785.0,76755.0,78147.0,79080.0,80023.0,80282.0,80283.0,80283.0,81206.0,82136.0,83151.0,83873.0,84554.0,84585.0,84585.0,85328.0,86082.0,86767.0,87394.0,87785.0,87823.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,2097.0,2741.0,2809.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2812.0,2813.0,2828.0,2839.0,2851.0,2859.0,2860.0,2860.0,2862.0,2923.0,4176.0,7009.0,9237.0,9495.0,9521.0,11816.0,14326.0,17146.0,19889.0,22724.0,22818.0,22818.0,25742.0,28572.0,31256.0,33733.0,35869.0,35914.0,35914.0,38024.0,40125.0,41337.0,42143.0,42906.0,42912.0,42912.0,43795.0,44829.0,45657.0,46531.0,46537.0,46539.0,46540.0,48101.0,49387.0,50618.0,52133.0,53221.0,53273.0,53273.0,54047.0,55780.0,57483.0,59314.0,60223.0,60275.0,60277.0,60926.0,62916.0,64448.0,65169.0,66585.0,66600.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3605.0,3870.0,3870.0,3870.0,3870.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3872.0,3874.0,9466.0,15287.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33269.0,33746.0,33746.0,35827.0,37669.0,39561.0,41500.0,42581.0,42634.0,42636.0,44551.0,46982.0,49320.0,51604.0,53134.0,53211.0,53211.0,54592.0,55778.0,56745.0,57897.0,59916.0,60215.0,60215.0,62191.0,64143.0,65987.0,68041.0,70065.0,70169.0,70169.0,72512.0,74844.0,77079.0,79251.0,80995.0,80996.0,81008.0,83511.0,86091.0,88584.0,90865.0,93289.0,93289.0,93289.0,95474.0,97539.0,99280.0,100944.0,100944.0,100944.0,100944.0,102548.0,104066.0,105823.0,107009.0,108543.0,108671.0,108671.0,109090.0,110620.0,112017.0,113142.0,114171.0,114171.0,114171.0,115288.0,116658.0,117570.0,118618.0,119529.0,119529.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1746.0,2662.0,3656.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3735.0,3742.0,3769.0,3769.0,3769.0,3778.0,4450.0,9441.0,14626.0,19091.0,19514.0,19515.0,22978.0,25403.0,27623.0,29698.0,32133.0,32501.0,32501.0,34939.0,37663.0,40525.0,42355.0,43588.0,43612.0,43617.0,45289.0,46974.0,48342.0,50237.0,51563.0,51564.0,51564.0,52630.0,53889.0,55330.0,56829.0,56830.0,56830.0,56830.0,59444.0,61489.0,63263.0,65159.0,66729.0,66735.0,66735.0,68669.0,71275.0,73497.0,75619.0,77435.0,77441.0,77441.0,79512.0,82004.0,84291.0,86498.0,88255.0,88259.0
