Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22
Total,Primera,420.0,5197.0,8340.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,8651.0,9056.0,10499.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10704.0,10705.0,12824.0,13781.0,13804.0,13804.0,24855.0,44215.0,53524.0,56581.0,56993.0,56993.0,56993.0,57010.0,57031.0,57032.0,57032.0,57032.0,57033.0,57033.0,57033.0,70215.0,240581.0,414607.0,583335.0,611185.0,619821.0,841302.0,1083755.0,1356182.0,1607538.0,1836781.0,1866302.0,1870769.0,2136638.0,2356670.0,2544711.0,2699971.0,2842096.0,2851738.0,2852900.0,2961009.0,3055210.0,3141312.0,3227247.0,3305520.0,3315563.0,3315918.0,3453072.0,3612028.0,3769875.0,3914610.0,4050832.0,4060477.0,4061542.0,4198148.0,4337191.0,4473012.0,4644458.0,4795700.0,4819990.0,4822738.0,4980582.0,5147194.0,5298484.0,5447288.0,5587057.0,5610236.0,5613089.0,5759828.0,5910094.0,6064383.0,6221849.0,6388425.0,6401367.0,6402336.0,6553591.0,6687565.0,6814650.0,6949443.0,6951293.0,6953173.0,6953829.0,7033753.0,7126903.0,7221801.0,7298547.0,7369431.0,7380622.0,7381719.0,7459817.0,7534830.0,7614176.0,7676471.0,7734871.0,7742773.0,7743649.0,7787537.0,7826747.0,7857895.0,7914260.0,7954096.0,7959845.0,7960196.0,8003260.0,8042283.0,8085779.0,8116643.0,8167574.0,8168665.0,8169464.0,8245453.0,8326503.0,8407987.0,8489568.0,8573652.0,8591037.0,8591997.0,8695297.0,8802706.0,8907536.0,9004542.0,9107765.0,9108815.0,9109080.0,9233659.0,9369741.0,9495501.0,9623982.0,9632284.0,9659097.0,9662796.0,9838637.0,10028480.0,10209116.0,10376032.0,10521455.0,10563044.0,10572163.0,10728088.0,10867482.0,10976549.0,11032149.0,11074523.0,11089274.0,11091253.0,11145114.0,11205324.0,11281911.0,11378228.0,11458828.0,11481546.0,11482969.0,11587995.0,11673042.0,11778600.0,11849525.0,11910959.0,11927519.0,11929314.0,11936631.0,12036200.0,12111699.0,12160108.0,12198229.0,12209289.0,12210316.0,12211556.0,12251397.0,12299397.0,12386190.0,12451565.0,12467092.0,12469095.0,12516783.0,12560402.0,12634105.0,12692095.0,12742626.0,12762612.0,12765007.0,12814157.0,12894225.0,12948815.0,13019937.0,13022044.0,13031979.0,13032907.0,13080399.0,13120311.0,13153260.0,13187567.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8370.0,8370.0,8370.0,9773.0,10368.0,10402.0,10402.0,10407.0,10407.0,10407.0,10407.0,10413.0,10413.0,12521.0,13191.0,13196.0,13198.0,24978.0,44365.0,52709.0,55595.0,55805.0,55838.0,55838.0,55838.0,55849.0,55849.0,55850.0,55850.0,55850.0,55850.0,55872.0,55912.0,56086.0,56230.0,56348.0,56352.0,56352.0,56761.0,69177.0,223238.0,389062.0,550671.0,574806.0,581703.0,795718.0,1033192.0,1298725.0,1544334.0,1767437.0,1793598.0,1797434.0,2069871.0,2313469.0,2529497.0,2715621.0,2870399.0,2881412.0,2882583.0,3004590.0,3095178.0,3159976.0,3215192.0,3266290.0,3269037.0,3269461.0,3384960.0,3529626.0,3682841.0,3851367.0,3856548.0,3857893.0,3858355.0,4063205.0,4209834.0,4348213.0,4510992.0,4659051.0,4673887.0,4675243.0,4834114.0,4994401.0,5144528.0,5289393.0,5425129.0,5439554.0,5441316.0,5592356.0,5742440.0,5888855.0,6033180.0,6176956.0,6188887.0,6189577.0,6343175.0,6475633.0,6601267.0,6725778.0,6762693.0,6763900.0,6764566.0,6840374.0,6928957.0,7022539.0,7099162.0,7163019.0,7171225.0,7171669.0,7242037.0,7327342.0,7405834.0,7466484.0,7522704.0,7523111.0,7523282.0,7570312.0,7617945.0,7659161.0,7722479.0,7723839.0,7730118.0,7730706.0,7791784.0,7848647.0,7896976.0,7933221.0,7974078.0,7979854.0,7980827.0,8040434.0,8111958.0,8183727.0,8252280.0,8320707.0,8333759.0,8334987.0,8435028.0,8539432.0,8639723.0,8733298.0,8827581.0,8836975.0,8837570.0,8949968.0,9071865.0,9189147.0,9298952.0,9342273.0,9362076.0,9364193.0,9375749.0,9573617.0,9730732.0,9866074.0,9983711.0,10014429.0,10017666.0,10020584.0,10189298.0,10315588.0,10392965.0,10454378.0,10472307.0,10474228.0,10543762.0,10609387.0,10682911.0,10768572.0,10844159.0,10863039.0,10865204.0,10962657.0,11047764.0,11142798.0,11226800.0,11229031.0,11241243.0,11242313.0,11307794.0,11394989.0,11461995.0,11500498.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10451.0,33756.0,73364.0,107717.0,117625.0,119415.0,146873.0,166943.0,183668.0,196809.0,200856.0,201248.0,201297.0,205467.0,209136.0,213090.0,216133.0,218509.0,218787.0,218799.0,218877.0,222637.0,235050.0,298591.0,348643.0,358715.0,359970.0,361192.0,393079.0,415931.0,429929.0,441376.0,444803.0,445203.0,455601.0,463187.0,467976.0,471836.0,475752.0,477325.0,477496.0,481568.0,484400.0,487115.0,492419.0,492516.0,492984.0,493086.0,495714.0,497440.0,498833.0,500343.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67133.0,67149.0,67162.0,67162.0,67354.0,67598.0,67869.0,68149.0,68205.0,68218.0,68218.0,68387.0,68551.0,69009.0,69353.0,69412.0,69421.0,69596.0,69835.0,70302.0,70759.0,71089.0,71171.0,71171.0,71457.0,72039.0,72473.0,72891.0,72891.0,73006.0,73037.0,73272.0,73570.0,73800.0,74229.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23368.0,23959.0,24775.0,25552.0,25558.0,25558.0,25558.0,26312.0,26955.0,27496.0,28023.0,28549.0,28555.0,28555.0,29386.0,30302.0,31131.0,31779.0,32377.0,32381.0,32381.0,32950.0,33649.0,34195.0,34727.0,35266.0,35279.0,35280.0,35917.0,36455.0,37010.0,37621.0,37811.0,37811.0,37811.0,38154.0,38573.0,38971.0,39289.0,39550.0,39562.0,39562.0,39882.0,40275.0,40626.0,40865.0,41058.0,41067.0,41070.0,41461.0,41884.0,42149.0,42533.0,42534.0,42581.0,42581.0,42987.0,43341.0,43793.0,44122.0,44629.0,44682.0,44682.0,45187.0,45682.0,46055.0,46492.0,46785.0,46817.0,46830.0,47246.0,47826.0,48274.0,48674.0,49042.0,49114.0,49124.0,49566.0,50082.0,50680.0,51239.0,51520.0,51730.0,51784.0,51787.0,53624.0,55002.0,56168.0,57182.0,57444.0,57505.0,57506.0,59222.0,60278.0,60908.0,61386.0,61477.0,61508.0,61974.0,62469.0,63115.0,63766.0,64225.0,64307.0,64307.0,64686.0,64954.0,65247.0,65507.0,65507.0,65551.0,65584.0,65733.0,65964.0,66207.0,66480.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1951.0,2226.0,2489.0,2537.0,2554.0,2847.0,3137.0,3433.0,3588.0,3744.0,3771.0,3781.0,3781.0,4001.0,4233.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6010.0,6081.0,6153.0,6260.0,6260.0,6295.0,6302.0,6451.0,6565.0,6666.0,6765.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12793.0,15852.0,16036.0,16036.0,19620.0,24049.0,29756.0,36325.0,42674.0,43444.0,43449.0,50649.0,56071.0,60867.0,64999.0,69042.0,69199.0,69199.0,73117.0,76685.0,79911.0,82258.0,84804.0,84804.0,84804.0,88981.0,93742.0,98488.0,102857.0,106602.0,106609.0,106609.0,110897.0,116088.0,120708.0,126430.0,131634.0,131753.0,131753.0,136820.0,142327.0,148332.0,153548.0,158816.0,159178.0,159222.0,165233.0,171356.0,177014.0,182285.0,187515.0,187900.0,188086.0,193639.0,198737.0,203695.0,208407.0,208700.0,209156.0,209351.0,212532.0,216026.0,219857.0,222951.0,225536.0,226055.0,226199.0,229510.0,232643.0,235738.0,238367.0,240914.0,241901.0,242035.0,243497.0,244511.0,245381.0,246966.0,248083.0,248649.0,248674.0,249629.0,250542.0,251440.0,252149.0,253542.0,253575.0,253611.0,256449.0,259817.0,263008.0,266171.0,269046.0,270285.0,270540.0,274430.0,278310.0,281910.0,285336.0,289020.0,289295.0,289375.0,293996.0,299388.0,304105.0,308632.0,309153.0,310182.0,310386.0,317456.0,325265.0,331125.0,337640.0,343502.0,343751.0,343880.0,350338.0,352781.0,354713.0,357287.0,360333.0,360870.0,360890.0,363942.0,367388.0,371763.0,376113.0,379681.0,380944.0,380967.0,384834.0,388414.0,392674.0,395747.0,398465.0,398819.0,398870.0,399614.0,403474.0,407224.0,408857.0,409604.0,409723.0,409736.0,410179.0,411597.0,413575.0,416752.0,419221.0,419657.0,419691.0,421694.0,423586.0,426466.0,429011.0,431294.0,431977.0,432014.0,434541.0,438154.0,441146.0,444018.0,444798.0,445686.0,445722.0,448643.0,451632.0,454428.0,458248.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19047.0,23375.0,28865.0,35200.0,41265.0,41827.0,41827.0,49764.0,56572.0,62594.0,67424.0,72059.0,72214.0,72219.0,75788.0,78326.0,80390.0,82146.0,83735.0,83738.0,83758.0,87335.0,91741.0,96132.0,101137.0,101169.0,101175.0,101181.0,107407.0,112602.0,117321.0,121325.0,127131.0,127338.0,127352.0,132814.0,137955.0,143347.0,148428.0,153101.0,153836.0,153891.0,160100.0,165588.0,170773.0,175847.0,180652.0,181205.0,181367.0,186490.0,190185.0,194285.0,199317.0,201195.0,201354.0,201485.0,204726.0,208296.0,212296.0,215296.0,217888.0,218450.0,218572.0,221404.0,224702.0,227638.0,229821.0,232178.0,232271.0,232380.0,234303.0,236045.0,237402.0,239294.0,239430.0,239733.0,239766.0,241593.0,243277.0,244349.0,245412.0,246826.0,246865.0,246896.0,249084.0,251439.0,253990.0,256393.0,258506.0,258863.0,258911.0,262680.0,266358.0,269804.0,273113.0,276464.0,277093.0,277195.0,281487.0,286065.0,290612.0,294699.0,296668.0,297187.0,297337.0,298501.0,306332.0,312974.0,317669.0,321895.0,322654.0,322680.0,323255.0,328164.0,331263.0,333871.0,336560.0,337114.0,337147.0,340421.0,343680.0,347359.0,351224.0,354220.0,355165.0,355197.0,359183.0,362792.0,366524.0,370201.0,371004.0,371806.0,371868.0,374797.0,378772.0,382225.0,384462.0
Antofagasta,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.0,5941.0,7632.0,8425.0,8456.0,8456.0,8951.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9121.0,9146.0,11696.0,14557.0,15198.0,15202.0,15300.0,17032.0,18023.0,18561.0,19122.0,19162.0,19177.0,19620.0,19961.0,20167.0,20299.0,20381.0,20543.0,20550.0,20767.0,20896.0,20954.0,20975.0,20978.0,20982.0,20982.0,21006.0,21019.0,21035.0,21058.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,2133.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4421.0,7254.0,9648.0,9953.0,9987.0,12419.0,14972.0,17992.0,20749.0,23634.0,23751.0,23751.0,26402.0,28482.0,30643.0,32774.0,34838.0,34893.0,34893.0,36885.0,38796.0,40120.0,41262.0,43315.0,43511.0,43511.0,44996.0,46205.0,47219.0,48048.0,49053.0,49117.0,49119.0,50255.0,51275.0,52507.0,54150.0,55486.0,55585.0,55585.0,56858.0,58527.0,60069.0,62249.0,63345.0,63409.0,63409.0,64588.0,65931.0,67382.0,68882.0,70420.0,70550.0,70550.0,71912.0,73303.0,74519.0,75683.0,75769.0,75911.0,75912.0,76883.0,78281.0,79216.0,80158.0,80417.0,80418.0,80418.0,81343.0,82272.0,83282.0,84004.0,84703.0,84734.0,84734.0,85479.0,86237.0,86924.0,87904.0,88312.0,88376.0,88376.0,88988.0,89742.0,90373.0,90800.0,91245.0,91250.0,91250.0,92140.0,92958.0,94104.0,95044.0,95889.0,95974.0,95974.0,97170.0,98469.0,99669.0,100902.0,102004.0,102064.0,102070.0,103330.0,104758.0,106222.0,107759.0,107917.0,108722.0,108722.0,110766.0,113206.0,115268.0,117537.0,119486.0,119906.0,119907.0,121993.0,123918.0,124414.0,124421.0,124439.0,124442.0,124442.0,124625.0,126047.0,127758.0,129795.0,131508.0,132078.0,132085.0,133807.0,135498.0,137135.0,138346.0,139452.0,139758.0,139758.0,139835.0,141185.0,142561.0,144061.0,145305.0,145716.0,145716.0,145719.0,145932.0,146173.0,146886.0,147435.0,147607.0,147607.0,148051.0,148611.0,149415.0,150547.0,151625.0,152046.0,152046.0,153165.0,154577.0,155737.0,156766.0,156766.0,157269.0,157269.0,158464.0,159526.0,160520.0,161706.0
