Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23
Total,Primera,420.0,5201.0,8344.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,8655.0,9060.0,10503.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10708.0,10709.0,12829.0,13786.0,13809.0,13809.0,24860.0,44221.0,53530.0,56587.0,56999.0,56999.0,56999.0,57016.0,57037.0,57038.0,57038.0,57038.0,57039.0,57039.0,57039.0,70224.0,240595.0,414625.0,583389.0,611240.0,619876.0,841381.0,1083866.0,1356300.0,1607685.0,1836947.0,1866469.0,1870936.0,2136805.0,2356845.0,2544886.0,2700149.0,2842276.0,2851918.0,2853080.0,2961186.0,3055387.0,3141488.0,3227424.0,3305703.0,3315746.0,3316101.0,3453254.0,3612214.0,3770059.0,3914796.0,4051013.0,4060657.0,4061722.0,4198319.0,4337358.0,4473173.0,4644610.0,4795846.0,4820134.0,4822882.0,4980743.0,5147378.0,5298659.0,5447475.0,5587239.0,5610419.0,5613271.0,5760017.0,5910297.0,6064582.0,6222047.0,6388632.0,6401576.0,6402545.0,6553798.0,6687777.0,6814862.0,6949656.0,6951513.0,6953394.0,6954052.0,7033984.0,7127140.0,7222038.0,7298790.0,7369673.0,7380864.0,7381961.0,7460066.0,7535085.0,7614434.0,7676732.0,7735131.0,7743032.0,7743908.0,7787805.0,7827013.0,7858162.0,7914526.0,7954368.0,7960117.0,7960468.0,8003533.0,8042556.0,8086052.0,8116920.0,8167857.0,8168949.0,8169748.0,8245753.0,8326810.0,8408304.0,8489891.0,8573974.0,8591358.0,8592318.0,8695621.0,8803029.0,8907870.0,9004880.0,9108118.0,9109168.0,9109433.0,9234018.0,9370117.0,9495881.0,9624368.0,9632670.0,9659499.0,9663197.0,9839049.0,10028906.0,10209570.0,10376501.0,10521945.0,10563541.0,10572660.0,10728617.0,10868042.0,10977135.0,11032734.0,11075117.0,11089868.0,11091847.0,11145723.0,11205947.0,11282551.0,11378888.0,11459499.0,11482217.0,11483640.0,11588689.0,11673760.0,11779341.0,11850288.0,11911761.0,11928332.0,11930127.0,11937447.0,12037070.0,12112595.0,12161052.0,12199242.0,12210322.0,12211353.0,12212598.0,12252526.0,12300628.0,12387511.0,12452948.0,12468496.0,12470501.0,12518253.0,12561945.0,12635745.0,12693800.0,12744386.0,12764387.0,12766784.0,12815967.0,12896169.0,12950864.0,13022311.0,13024429.0,13034386.0,13035316.0,13082945.0,13123125.0,13156454.0,13192285.0,13250422.0,13273438.0,13275498.0,13290957.0,13300232.0,13307287.0,13315917.0,13324271.0,13325331.0,13325361.0,13424802.0,13537531.0,13542303.0,13545555.0,13548535.0,13548774.0,13548829.0,13625642.0,13693605.0,13696317.0,13698619.0,13700701.0,13700982.0,13701205.0,13739631.0,13773736.0,13775627.0,13777172.0,13778421.0,13778574.0,13778650.0,13802732.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,5828.0,8302.0,8369.0,8369.0,8369.0,8370.0,8370.0,8370.0,8374.0,8374.0,8374.0,9777.0,10372.0,10406.0,10406.0,10411.0,10411.0,10411.0,10411.0,10417.0,10417.0,12525.0,13195.0,13200.0,13202.0,24983.0,44370.0,52715.0,55603.0,55813.0,55846.0,55846.0,55846.0,55857.0,55857.0,55858.0,55858.0,55858.0,55858.0,55880.0,55920.0,56094.0,56239.0,56357.0,56361.0,56361.0,56770.0,69188.0,223280.0,389133.0,550808.0,574945.0,581844.0,795932.0,1033487.0,1299071.0,1544752.0,1767940.0,1794106.0,1797945.0,2070402.0,2314058.0,2530096.0,2716265.0,2871035.0,2882051.0,2883222.0,3005249.0,3095874.0,3160689.0,3215928.0,3267050.0,3269798.0,3270221.0,3385749.0,3530461.0,3683716.0,3852269.0,3857449.0,3858794.0,3859257.0,4064156.0,4210838.0,4349265.0,4512080.0,4660178.0,4675017.0,4676373.0,4835305.0,4995638.0,5145819.0,5290724.0,5426542.0,5440929.0,5442691.0,5593764.0,5743912.0,5890375.0,6034745.0,6178544.0,6190479.0,6191171.0,6344824.0,6477350.0,6602998.0,6727546.0,6764480.0,6765688.0,6766355.0,6842231.0,6930873.0,7024532.0,7101228.0,7165121.0,7173331.0,7173776.0,7244198.0,7329564.0,7408092.0,7468777.0,7525034.0,7525441.0,7525612.0,7572698.0,7620403.0,7661673.0,7725034.0,7726397.0,7732681.0,7733270.0,7794409.0,7851342.0,7899734.0,7936029.0,7976934.0,7982715.0,7983690.0,8043352.0,8114940.0,8186748.0,8255334.0,8323799.0,8336863.0,8338093.0,8438185.0,8542652.0,8643002.0,8736624.0,8830964.0,8840363.0,8840958.0,8953426.0,9075441.0,9192839.0,9302864.0,9346293.0,9366166.0,9368313.0,9380645.0,9586122.0,9749817.0,9891001.0,10013916.0,10045647.0,10049025.0,10052160.0,10229662.0,10363587.0,10445433.0,10510268.0,10529264.0,10531366.0,10628006.0,10706875.0,10790371.0,10885077.0,10970035.0,10991862.0,10994400.0,11120811.0,11221695.0,11327092.0,11417599.0,11420199.0,11433649.0,11434850.0,11507895.0,11600351.0,11670426.0,11711372.0,11768070.0,11778220.0,11779079.0,11819425.0,11860428.0,11887999.0,11969166.0,12037271.0,12047404.0,12047843.0,12071497.0,12096862.0,12156563.0,12199415.0,12230920.0,12231832.0,12231853.0,12253017.0,12272466.0,12390133.0,12469316.0,12518344.0,12519350.0,12519549.0,12541441.0,12565105.0,12641789.0,12700785.0,12755063.0,12756854.0,12757050.0,12780819.0
Total,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10458.0,33774.0,73391.0,107753.0,117661.0,119451.0,146917.0,166994.0,183722.0,196878.0,200926.0,201319.0,201368.0,205540.0,209216.0,213170.0,216212.0,218588.0,218866.0,218878.0,218956.0,222718.0,235135.0,298702.0,348791.0,358864.0,360119.0,361345.0,393244.0,416146.0,430153.0,441626.0,445056.0,445457.0,455863.0,463453.0,468250.0,472116.0,476034.0,477608.0,477779.0,481867.0,484700.0,487419.0,492725.0,492822.0,493291.0,493393.0,496028.0,497763.0,499165.0,500758.0,501988.0,503414.0,503456.0,504400.0,505177.0,505709.0,506185.0,506460.0,506472.0,506473.0,507471.0,508324.0,508549.0,508731.0,508911.0,508926.0,508926.0,509146.0,509398.0,509502.0,509612.0,509703.0,509716.0,509716.0,510137.0,513210.0,514510.0,515978.0,517846.0,519014.0,519630.0,524337.0
Total,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,70061.0,160038.0,256975.0,260439.0,260527.0,418684.0,596705.0,706679.0,813930.0,905274.0,908477.0,908878.0,970234.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,1706.0,1981.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2268.0,3572.0,4940.0,6076.0,6094.0,6094.0,7331.0,8488.0,10115.0,11454.0,12810.0,12858.0,12866.0,14385.0,15644.0,16892.0,18241.0,19489.0,19570.0,19570.0,20363.0,21144.0,21847.0,22527.0,22900.0,22911.0,22911.0,23551.0,24366.0,25291.0,26020.0,26764.0,26769.0,26769.0,27306.0,27900.0,28431.0,29124.0,29707.0,29722.0,29722.0,30471.0,31337.0,32130.0,32918.0,33492.0,33512.0,33512.0,34102.0,34805.0,35349.0,35918.0,36468.0,36468.0,36468.0,37077.0,37714.0,38259.0,38854.0,38854.0,38920.0,38922.0,39340.0,39739.0,40103.0,40410.0,40697.0,40699.0,40699.0,41084.0,41435.0,41790.0,42111.0,42409.0,42412.0,42412.0,42676.0,43024.0,43273.0,43609.0,43912.0,43928.0,43928.0,44224.0,44486.0,44817.0,45182.0,45612.0,45725.0,45725.0,46204.0,46680.0,47064.0,47476.0,47798.0,47833.0,47833.0,48265.0,48727.0,49210.0,49581.0,49960.0,50041.0,50043.0,50513.0,51123.0,51787.0,52468.0,52468.0,52888.0,52888.0,54409.0,55941.0,57215.0,58216.0,59428.0,59757.0,59757.0,60995.0,61988.0,62727.0,63166.0,63432.0,63470.0,63504.0,63848.0,64341.0,65041.0,65747.0,66102.0,66155.0,66199.0,66455.0,66640.0,66815.0,66999.0,67134.0,67150.0,67163.0,67163.0,67355.0,67599.0,67870.0,68150.0,68206.0,68219.0,68219.0,68388.0,68553.0,69011.0,69356.0,69415.0,69424.0,69599.0,69838.0,70305.0,70762.0,71092.0,71174.0,71174.0,71460.0,72042.0,72476.0,72894.0,72894.0,73009.0,73040.0,73275.0,73574.0,73804.0,74238.0,74549.0,74642.0,74642.0,74768.0,74871.0,74945.0,75045.0,75094.0,75116.0,75116.0,75277.0,75441.0,75552.0,75653.0,75769.0,75774.0,75774.0,75896.0,76004.0,76083.0,76170.0,76222.0,76225.0,76225.0,76300.0,76360.0,76411.0,76441.0,76491.0,76496.0,76496.0,76533.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3397.0,4765.0,5836.0,5856.0,5856.0,7054.0,8212.0,9773.0,11085.0,12342.0,12375.0,12382.0,13961.0,15429.0,16853.0,18447.0,19751.0,19820.0,19820.0,20719.0,21626.0,22091.0,22506.0,22821.0,22821.0,22821.0,23369.0,23960.0,24776.0,25553.0,25559.0,25559.0,25559.0,26313.0,26956.0,27497.0,28024.0,28550.0,28556.0,28556.0,29387.0,30303.0,31132.0,31780.0,32378.0,32382.0,32382.0,32951.0,33650.0,34196.0,34728.0,35267.0,35280.0,35281.0,35918.0,36457.0,37012.0,37623.0,37813.0,37813.0,37813.0,38156.0,38575.0,38973.0,39291.0,39552.0,39564.0,39564.0,39884.0,40277.0,40628.0,40867.0,41060.0,41069.0,41072.0,41463.0,41886.0,42152.0,42536.0,42537.0,42584.0,42584.0,42990.0,43344.0,43796.0,44125.0,44633.0,44686.0,44686.0,45191.0,45686.0,46059.0,46496.0,46790.0,46822.0,46835.0,47252.0,47832.0,48280.0,48681.0,49049.0,49121.0,49131.0,49573.0,50089.0,50687.0,51247.0,51528.0,51738.0,51792.0,51795.0,53632.0,55011.0,56177.0,57192.0,57453.0,57514.0,57515.0,59231.0,60288.0,60919.0,61397.0,61488.0,61519.0,61985.0,62480.0,63127.0,63778.0,64237.0,64319.0,64319.0,64699.0,64969.0,65262.0,65522.0,65522.0,65566.0,65599.0,65748.0,65979.0,66222.0,66504.0,66766.0,66833.0,66834.0,66946.0,67131.0,67332.0,67742.0,68030.0,68095.0,68095.0,68316.0,68587.0,69034.0,69480.0,69819.0,69866.0,69866.0,70190.0,70591.0,71010.0,71318.0,71518.0,71620.0,71620.0,71861.0,72097.0,72386.0,72742.0,73025.0,73078.0,73078.0,73197.0
Aysén,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,400.0,754.0,1018.0,1107.0,1155.0,1396.0,1643.0,1950.0,2225.0,2488.0,2536.0,2553.0,2846.0,3136.0,3432.0,3587.0,3743.0,3770.0,3780.0,3780.0,4000.0,4232.0,4509.0,4684.0,4728.0,4734.0,4734.0,4937.0,5122.0,5235.0,5326.0,5374.0,5377.0,5486.0,5585.0,5676.0,5769.0,5866.0,5890.0,5890.0,6012.0,6083.0,6155.0,6262.0,6262.0,6297.0,6304.0,6453.0,6567.0,6668.0,6768.0,6872.0,6904.0,6904.0,6999.0,7065.0,7119.0,7163.0,7194.0,7199.0,7199.0,7373.0,7578.0,7673.0,7753.0,7841.0,7854.0,7854.0,7916.0,7993.0,8047.0,8091.0,8152.0,8162.0,8162.0,8227.0,8283.0,8325.0,8374.0,8410.0,8410.0,8410.0,8444.0
Aysén,Refuerzo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,245.0,529.0,981.0,1011.0,1011.0,1481.0,2271.0,2882.0,3893.0,4736.0,4800.0,4800.0,5208.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,6331.0,9319.0,12794.0,15853.0,16037.0,16037.0,19621.0,24051.0,29758.0,36327.0,42676.0,43446.0,43451.0,50650.0,56072.0,60868.0,65000.0,69043.0,69200.0,69200.0,73118.0,76687.0,79913.0,82260.0,84806.0,84806.0,84806.0,88983.0,93744.0,98491.0,102861.0,106606.0,106613.0,106613.0,110901.0,116092.0,120714.0,126436.0,131640.0,131759.0,131759.0,136827.0,142334.0,148338.0,153554.0,158822.0,159184.0,159228.0,165239.0,171362.0,177022.0,182293.0,187525.0,187910.0,188096.0,193652.0,198751.0,203710.0,208423.0,208716.0,209172.0,209367.0,212548.0,216042.0,219872.0,222966.0,225551.0,226070.0,226214.0,229525.0,232658.0,235753.0,238382.0,240929.0,241915.0,242049.0,243512.0,244526.0,245396.0,246981.0,248099.0,248665.0,248690.0,249645.0,250558.0,251456.0,252165.0,253559.0,253592.0,253628.0,256468.0,259837.0,263028.0,266192.0,269067.0,270306.0,270561.0,274451.0,278331.0,281931.0,285358.0,289042.0,289317.0,289397.0,294018.0,299410.0,304127.0,308654.0,309175.0,310204.0,310408.0,317479.0,325288.0,331147.0,337662.0,343527.0,343776.0,343905.0,350364.0,352808.0,354739.0,357313.0,360361.0,360898.0,360918.0,363969.0,367416.0,371794.0,376143.0,379711.0,380974.0,380997.0,384864.0,388444.0,392705.0,395778.0,398497.0,398851.0,398902.0,399646.0,403507.0,407257.0,408892.0,409640.0,409758.0,409771.0,410215.0,411637.0,413615.0,416794.0,419267.0,419703.0,419737.0,421740.0,423634.0,426515.0,429063.0,431347.0,432030.0,432067.0,434598.0,438213.0,441205.0,444077.0,444860.0,445750.0,445786.0,448708.0,451697.0,454493.0,458346.0,461677.0,462280.0,462300.0,462510.0,462656.0,463219.0,463669.0,463807.0,463811.0,463811.0,467566.0,472434.0,472445.0,472460.0,472467.0,472467.0,472467.0,475698.0,478755.0,478771.0,478794.0,478811.0,478812.0,478813.0,480597.0,482379.0,482409.0,482417.0,482436.0,482436.0,482436.0,484074.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5877.0,5877.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5888.0,5889.0,5895.0,6008.0,6027.0,6030.0,6031.0,6031.0,6033.0,6554.0,9498.0,12767.0,15428.0,15497.0,15497.0,19046.0,23376.0,28866.0,35202.0,41271.0,41833.0,41833.0,49771.0,56579.0,62602.0,67433.0,72068.0,72223.0,72228.0,75797.0,78344.0,80417.0,82177.0,83769.0,83772.0,83792.0,87376.0,91784.0,96178.0,101187.0,101219.0,101225.0,101231.0,107461.0,112662.0,117388.0,121396.0,127205.0,127412.0,127426.0,132899.0,138042.0,143435.0,148519.0,153196.0,153931.0,153986.0,160203.0,165706.0,170901.0,175989.0,180801.0,181354.0,181516.0,186653.0,190354.0,194456.0,199492.0,201372.0,201531.0,201662.0,204922.0,208499.0,212513.0,215549.0,218148.0,218712.0,218834.0,221681.0,224988.0,227931.0,230120.0,232481.0,232574.0,232683.0,234623.0,236371.0,237745.0,239648.0,239785.0,240088.0,240122.0,241957.0,243657.0,244742.0,245813.0,247228.0,247267.0,247298.0,249495.0,251861.0,254420.0,256829.0,258954.0,259313.0,259361.0,263141.0,266829.0,270283.0,273593.0,276955.0,277584.0,277686.0,281981.0,286563.0,291117.0,295208.0,297180.0,297699.0,297849.0,299148.0,307439.0,314469.0,319408.0,324026.0,324869.0,324896.0,325508.0,330962.0,334361.0,337124.0,339940.0,340509.0,340543.0,344790.0,348447.0,352476.0,356684.0,360062.0,361115.0,361148.0,366363.0,370529.0,374559.0,378572.0,379430.0,380305.0,380370.0,383542.0,387723.0,391353.0,393718.0,395501.0,395762.0,395774.0,397529.0,398844.0,400467.0,403168.0,405284.0,405632.0,405639.0,406327.0,406997.0,408339.0,408971.0,409435.0,409442.0,409442.0,409828.0,410163.0,415066.0,417904.0,419710.0,419735.0,419739.0,420600.0,421855.0,427240.0,430786.0,433376.0,433378.0,433380.0,434525.0
