Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25
Total,Primera,420.0,5199.0,8339.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,8650.0,9055.0,10498.0,10703.0,10703.0,10703.0,10703.0,10703.0,10703.0,10703.0,10704.0,12822.0,13779.0,13802.0,13802.0,24847.0,44161.0,53411.0,56471.0,56882.0,56882.0,56882.0,56900.0,56921.0,56922.0,56922.0,56922.0,56922.0,56922.0,56922.0,70044.0,240228.0,413897.0,582176.0,609982.0,618567.0,839525.0,1080859.0,1352465.0,1602609.0,1831405.0,1860880.0,1865322.0,2130283.0,2349818.0,2537309.0,2691995.0,2833814.0,2843426.0,2844588.0,2952328.0,3046128.0,3131407.0,3211179.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9765.0,10359.0,10393.0,10393.0,10398.0,10398.0,10398.0,10398.0,10404.0,10404.0,12511.0,13181.0,13186.0,13186.0,24939.0,44269.0,52590.0,55215.0,55422.0,55456.0,55456.0,55456.0,55466.0,55466.0,55466.0,55466.0,55466.0,55466.0,55487.0,55527.0,55698.0,55832.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3611.0,4939.0,6074.0,6092.0,6092.0,7329.0,8484.0,10110.0,11449.0,12804.0,12852.0,12860.0,14371.0,15629.0,16875.0,18225.0,19472.0,19553.0,19553.0,20342.0,21120.0,21820.0,22461.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5339.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6325.0,9311.0,12768.0,15826.0,16009.0,16009.0,19592.0,24020.0,29725.0,36290.0,42639.0,43408.0,43413.0,50615.0,56029.0,60823.0,64954.0,68996.0,69151.0,69151.0,73063.0,76628.0,79854.0,82197.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2399.0,5242.0,5874.0,5874.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5885.0,5891.0,6002.0,6022.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7232.0,9513.0,9806.0,9840.0,12258.0,14523.0,17216.0,19821.0,22685.0,22797.0,22797.0,25436.0,27510.0,29663.0,31786.0,33838.0,33892.0,33892.0,35880.0,37746.0,38961.0,39907.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2847.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1644.0,2457.0,3546.0,3810.0,3810.0,3810.0,3811.0,3813.0,3813.0,3813.0,3813.0,3813.0,3813.0,3813.0,3815.0,9388.0,15201.0,19844.0,20313.0,20313.0,23865.0,26259.0,28488.0,30430.0,32921.0,33384.0,33384.0,35079.0,36897.0,38591.0,40414.0,41434.0,41487.0,41489.0,43205.0,45494.0,47624.0,49046.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1740.0,2643.0,3380.0,3457.0,3457.0,3457.0,3457.0,3457.0,3457.0,3457.0,3457.0,3457.0,3457.0,3457.0,3457.0,3457.0,3463.0
