Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24846.0,44201.0,53510.0,56572.0,56984.0,56984.0,56984.0,57001.0,57022.0,57023.0,57023.0,57023.0,57023.0,57023.0,57023.0,70211.0,240560.0,414607.0,583235.0,611108.0,619743.0,841168.0,1083615.0,1356092.0,1607309.0,1836529.0,1866035.0,1870500.0,2136330.0,2356329.0,2544317.0,2699551.0,2841655.0,2851293.0,2852457.0,2960566.0,3054738.0,3140746.0,3226663.0,3304731.0,3314758.0,3315110.0,3452042.0,3610869.0,3768434.0,3912875.0,4048912.0,4058633.0,4059698.0,4195933.0,4334699.0,4470165.0,4640985.0,4791652.0,4815862.0,4818560.0,4975989.0,5142043.0,5292911.0,5440861.0,5580217.0,5603336.0,5606313.0,5752242.0,5901675.0,6054322.0,6202268.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8297.0,8364.0,8364.0,8364.0,8366.0,8366.0,8366.0,8366.0,8366.0,8366.0,9766.0,10361.0,10395.0,10395.0,10400.0,10400.0,10400.0,10400.0,10406.0,10406.0,12514.0,13184.0,13189.0,13189.0,24957.0,44317.0,52645.0,55518.0,55725.0,55759.0,55759.0,55759.0,55769.0,55769.0,55769.0,55769.0,55769.0,55769.0,55790.0,55830.0,56002.0,56146.0,56264.0,56268.0,56268.0,56670.0,69068.0,222933.0,388436.0,549745.0,573854.0,580702.0,794327.0,1031427.0,1295973.0,1540684.0,1763099.0,1789212.0,1793039.0,2064978.0,2307845.0,2523370.0,2708729.0,2863133.0,2874138.0,2875305.0,2996844.0,3086682.0,3150553.0,3201581.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1707.0,1982.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2052.0,2269.0,3573.0,4941.0,6077.0,6095.0,6095.0,7332.0,8489.0,10116.0,11455.0,12811.0,12859.0,12867.0,14385.0,15644.0,16892.0,18241.0,19491.0,19572.0,19572.0,20365.0,21146.0,21848.0,22528.0,22901.0,22912.0,22912.0,23551.0,24365.0,25289.0,26018.0,26762.0,26767.0,26767.0,27304.0,27897.0,28428.0,29119.0,29701.0,29711.0,29711.0,30460.0,31327.0,32117.0,32904.0,33479.0,33498.0,33498.0,34085.0,34771.0,35310.0,35829.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1682.0,1930.0,2004.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2005.0,2006.0,2011.0,2015.0,2021.0,2033.0,2033.0,2033.0,2035.0,2265.0,3394.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12333.0,12366.0,12373.0,13952.0,15418.0,16841.0,18428.0,19730.0,19799.0,19799.0,20698.0,21598.0,22061.0,22439.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9315.0,12792.0,15852.0,16036.0,16036.0,19620.0,24050.0,29757.0,36327.0,42678.0,43447.0,43452.0,50655.0,56077.0,60874.0,65006.0,69049.0,69204.0,69204.0,73119.0,76688.0,79915.0,82261.0,84807.0,84807.0,84807.0,88982.0,93741.0,98486.0,102852.0,106597.0,106603.0,106603.0,110890.0,116068.0,120688.0,126404.0,131605.0,131723.0,131723.0,136788.0,142286.0,148284.0,153480.0,158737.0,159100.0,159143.0,165137.0,171248.0,176905.0,181981.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6004.0,6023.0,6026.0,6027.0,6027.0,6029.0,6550.0,9492.0,12763.0,15421.0,15490.0,15490.0,19038.0,23368.0,28857.0,35188.0,41253.0,41812.0,41812.0,49746.0,56552.0,62575.0,67356.0,71953.0,72105.0,72110.0,75657.0,78179.0,80234.0,81979.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,2132.0,2821.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2901.0,2978.0,4419.0,7252.0,9644.0,9948.0,9982.0,12410.0,14959.0,17974.0,20730.0,23611.0,23727.0,23727.0,26373.0,28447.0,30606.0,32736.0,34794.0,34849.0,34849.0,36842.0,38753.0,40075.0,41212.0,43262.0,43454.0,43454.0,44934.0,46140.0,47152.0,47980.0,48987.0,49051.0,49053.0,50186.0,51203.0,52426.0,54059.0,55385.0,55481.0,55481.0,56744.0,58404.0,59937.0,62103.0,63199.0,63263.0,63263.0,64437.0,65721.0,67166.0,68325.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,2094.0,2738.0,2806.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2810.0,2825.0,2836.0,2848.0,2856.0,2857.0,2857.0,2859.0,2920.0,4173.0,6983.0,9207.0,9465.0,9491.0,11782.0,14292.0,17112.0,19855.0,22690.0,22784.0,22784.0,25702.0,28528.0,31209.0,33685.0,35820.0,35865.0,35865.0,37974.0,40059.0,41271.0,42026.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1643.0,2515.0,3606.0,3871.0,3871.0,3871.0,3871.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3875.0,9466.0,15287.0,19973.0,20448.0,20448.0,24046.0,26460.0,28691.0,30756.0,33265.0,33742.0,33742.0,35822.0,37664.0,39537.0,41476.0,42557.0,42610.0,42612.0,44527.0,46958.0,49296.0,51579.0,53109.0,53186.0,53186.0,54566.0,55751.0,56708.0,57858.0,59870.0,60169.0,60169.0,62128.0,64066.0,65902.0,67952.0,69969.0,70073.0,70073.0,72376.0,74669.0,76900.0,79068.0,80806.0,80807.0,80819.0,83315.0,85885.0,88376.0,90426.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,500.0,1741.0,2651.0,3636.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3713.0,3720.0,3747.0,3747.0,3747.0,3756.0,4427.0,9413.0,14596.0,19058.0,19481.0,19482.0,22912.0,25317.0,27534.0,29582.0,32010.0,32378.0,32378.0,34765.0,37463.0,40122.0,41948.0,43179.0,43203.0,43208.0,44879.0,46565.0,47904.0,49581.0
