Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24
Total,Primera,420.0,5198.0,8338.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,8649.0,9054.0,10497.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10702.0,10703.0,12821.0,13778.0,13801.0,13801.0,24836.0,44188.0,53491.0,56552.0,56964.0,56964.0,56964.0,56981.0,57002.0,57003.0,57003.0,57003.0,57004.0,57004.0,57004.0,70185.0,240596.0,414673.0,583366.0,611214.0,619850.0,841382.0,1083905.0,1356497.0,1607801.0,1837092.0,1866599.0,1871065.0,2136979.0,2357043.0,2545151.0,2700443.0,2842622.0,2852261.0,2853425.0,2961555.0,3055792.0,3141912.0,3227854.0,3306003.0,3315977.0,3316332.0,3453457.0,3612376.0,3770212.0,3914902.0,4051186.0,4060830.0,4061895.0,4198499.0,4337491.0,4473244.0,4644670.0,4795875.0,4820170.0,4822916.0,4980619.0,5146932.0,5297729.0,5445697.0,5581509.0,5604653.0,5607499.0,5751413.0,5898333.0,6051141.0,6207609.0,6373516.0,6386379.0,6387348.0,6538102.0,6671356.0,6797885.0,6932194.0,6934041.0,6935916.0,6936572.0,7016072.0,7108595.0,7202935.0,7279181.0,7349519.0,7360611.0,7361698.0,7439325.0,7513746.0,7592477.0,7654036.0,7711827.0,7719646.0,7720505.0,7764181.0,7803117.0,7834094.0,7890243.0,7929927.0,7935633.0,7935981.0,7978818.0,8017556.0,8060816.0,8091474.0,8142000.0,8143048.0,8143834.0,8219585.0,8300402.0,8381676.0,8462988.0,8546403.0,8563677.0,8564634.0,8667653.0,8774699.0,8879163.0,8975658.0,9078364.0,9079464.0,9079729.0,9203972.0,9339169.0,9463254.0,9588572.0,9596329.0,9622487.0,9626163.0,9789366.0
Total,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,5825.0,8299.0,8366.0,8366.0,8366.0,8368.0,8368.0,8368.0,8368.0,8368.0,8368.0,9771.0,10366.0,10400.0,10400.0,10405.0,10405.0,10405.0,10405.0,10411.0,10411.0,12519.0,13189.0,13194.0,13195.0,24958.0,44331.0,52666.0,55548.0,55758.0,55792.0,55792.0,55792.0,55803.0,55803.0,55803.0,55803.0,55803.0,55803.0,55824.0,55864.0,56037.0,56181.0,56299.0,56303.0,56303.0,56710.0,69122.0,223176.0,388990.0,550540.0,574666.0,581560.0,795553.0,1033037.0,1298527.0,1544032.0,1767127.0,1793258.0,1797092.0,2069495.0,2312941.0,2528948.0,2715010.0,2869757.0,2880740.0,2881915.0,3003845.0,3094368.0,3159130.0,3214323.0,3265285.0,3268028.0,3268449.0,3383912.0,3528469.0,3681608.0,3850037.0,3855209.0,3856552.0,3857011.0,4061704.0,4208174.0,4346402.0,4509024.0,4656967.0,4671784.0,4673141.0,4831728.0,4991491.0,5140903.0,5284803.0,5417389.0,5431720.0,5433472.0,5581823.0,5728575.0,5873374.0,6016491.0,6159530.0,6171390.0,6172075.0,6324862.0,6456324.0,6581088.0,6705048.0,6741714.0,6742914.0,6743572.0,6818855.0,6906762.0,6999682.0,7075747.0,7139056.0,7147173.0,7147615.0,7217447.0,7301900.0,7379638.0,7439514.0,7495079.0,7495481.0,7495649.0,7542206.0,7589257.0,7629976.0,7692490.0,7693834.0,7700052.0,7700637.0,7758276.0
Aysén,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,1702.0,1975.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045.0,2262.0,3566.0,4934.0,6070.0,6088.0,6088.0,7325.0,8482.0,10109.0,11448.0,12804.0,12852.0,12860.0,14378.0,15637.0,16885.0,18234.0,19482.0,19563.0,19563.0,20356.0,21137.0,21840.0,22521.0,22894.0,22905.0,22905.0,23544.0,24359.0,25282.0,26011.0,26755.0,26760.0,26760.0,27296.0,27890.0,28421.0,29113.0,29696.0,29711.0,29711.0,30457.0,31320.0,32112.0,32898.0,33451.0,33471.0,33471.0,34045.0,34741.0,35281.0,35850.0,36400.0,36400.0,36400.0,37002.0,37635.0,38177.0,38771.0,38771.0,38835.0,38837.0,39252.0,39649.0,40013.0,40320.0,40607.0,40609.0,40609.0,40990.0,41340.0,41692.0,42012.0,42309.0,42312.0,42312.0,42575.0,42923.0,43172.0,43505.0,43807.0,43823.0,43823.0,44115.0,44375.0,44706.0,45070.0,45491.0,45592.0,45592.0,46069.0,46538.0,46922.0,47333.0,47652.0,47687.0,47687.0,48115.0,48575.0,49058.0,49428.0,49807.0,49888.0,49890.0,50356.0,50964.0,51627.0,52300.0,52300.0,52718.0,52718.0,54071.0
Aysén,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,1681.0,1926.0,1998.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,2005.0,2009.0,2015.0,2027.0,2027.0,2027.0,2029.0,2259.0,3391.0,4759.0,5829.0,5849.0,5849.0,7047.0,8204.0,9765.0,11077.0,12334.0,12367.0,12374.0,13953.0,15420.0,16844.0,18438.0,19742.0,19811.0,19811.0,20709.0,21616.0,22081.0,22496.0,22811.0,22811.0,22811.0,23358.0,23949.0,24763.0,25540.0,25546.0,25546.0,25546.0,26299.0,26942.0,27482.0,28008.0,28534.0,28540.0,28540.0,29368.0,30282.0,31107.0,31754.0,32336.0,32340.0,32340.0,32893.0,33584.0,34124.0,34654.0,35193.0,35206.0,35207.0,35837.0,36372.0,36923.0,37533.0,37722.0,37722.0,37722.0,38061.0,38475.0,38873.0,39191.0,39451.0,39463.0,39463.0,39779.0,40171.0,40518.0,40756.0,40949.0,40958.0,40961.0,41350.0,41771.0,42035.0,42412.0,42413.0,42460.0,42460.0,42825.0
Antofagasta,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774.0,5338.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6108.0,6328.0,9316.0,12790.0,15849.0,16033.0,16033.0,19617.0,24047.0,29754.0,36322.0,42671.0,43441.0,43446.0,50647.0,56069.0,60865.0,64997.0,69040.0,69195.0,69195.0,73108.0,76676.0,79902.0,82249.0,84795.0,84795.0,84795.0,88969.0,93728.0,98468.0,102833.0,106579.0,106586.0,106586.0,110874.0,116065.0,120685.0,126408.0,131611.0,131730.0,131730.0,136779.0,142263.0,148247.0,153436.0,158438.0,158800.0,158844.0,164760.0,170826.0,176448.0,181697.0,186911.0,187296.0,187482.0,192996.0,198084.0,203024.0,207729.0,208022.0,208478.0,208673.0,211822.0,215295.0,219096.0,222158.0,224711.0,225224.0,225368.0,228650.0,231750.0,234817.0,237429.0,239954.0,240937.0,241071.0,242530.0,243521.0,244388.0,245970.0,247084.0,247628.0,247653.0,248609.0,249520.0,250417.0,251123.0,252511.0,252544.0,252580.0,255416.0,258781.0,261966.0,265125.0,267990.0,269219.0,269473.0,273344.0,277212.0,280805.0,284228.0,287909.0,288183.0,288263.0,292876.0,298263.0,302975.0,307501.0,308022.0,309051.0,309255.0,316109.0
Antofagasta,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,5243.0,5875.0,5875.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5886.0,5892.0,6005.0,6024.0,6027.0,6028.0,6028.0,6030.0,6551.0,9495.0,12764.0,15425.0,15494.0,15494.0,19042.0,23371.0,28861.0,35196.0,41261.0,41823.0,41823.0,49760.0,56568.0,62590.0,67420.0,72054.0,72206.0,72211.0,75778.0,78310.0,80374.0,82129.0,83717.0,83720.0,83740.0,87314.0,91719.0,96104.0,101105.0,101137.0,101143.0,101149.0,107373.0,112565.0,117284.0,121287.0,127086.0,127292.0,127306.0,132748.0,137864.0,143232.0,148279.0,152753.0,153474.0,153528.0,159628.0,165047.0,170197.0,175248.0,180030.0,180581.0,180743.0,185827.0,189509.0,193593.0,198614.0,200486.0,200645.0,200775.0,203990.0,207532.0,211502.0,214480.0,217034.0,217587.0,217708.0,220511.0,223772.0,226685.0,228852.0,231187.0,231280.0,231389.0,233303.0,235026.0,236377.0,238264.0,238399.0,238693.0,238726.0,240479.0
Arica y Parinacota,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,2123.0,2811.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2968.0,4410.0,7243.0,9637.0,9941.0,9975.0,12404.0,14953.0,17968.0,20725.0,23606.0,23722.0,23722.0,26370.0,28443.0,30600.0,32730.0,34789.0,34844.0,34844.0,36836.0,38747.0,40071.0,41208.0,43260.0,43455.0,43455.0,44937.0,46144.0,47157.0,47985.0,48993.0,49059.0,49061.0,50191.0,51211.0,52441.0,54085.0,55422.0,55522.0,55522.0,56789.0,58451.0,59983.0,62131.0,63227.0,63291.0,63291.0,64454.0,65757.0,67186.0,68679.0,70214.0,70313.0,70313.0,71669.0,73048.0,74258.0,75422.0,75508.0,75650.0,75651.0,76622.0,78010.0,78937.0,79873.0,80132.0,80133.0,80133.0,81057.0,81978.0,82989.0,83712.0,84410.0,84441.0,84441.0,85186.0,85941.0,86622.0,87602.0,88010.0,88071.0,88071.0,88677.0,89431.0,90016.0,90440.0,90883.0,90887.0,90887.0,91754.0,92567.0,93698.0,94636.0,95435.0,95516.0,95516.0,96676.0,97970.0,99126.0,100164.0,101263.0,101324.0,101330.0,102578.0,103993.0,105438.0,106960.0,107116.0,107909.0,107909.0,109727.0
Arica y Parinacota,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,2090.0,2733.0,2801.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2804.0,2805.0,2820.0,2831.0,2843.0,2851.0,2852.0,2852.0,2854.0,2915.0,4168.0,7002.0,9230.0,9488.0,9514.0,11809.0,14319.0,17141.0,19884.0,22720.0,22814.0,22814.0,25754.0,28584.0,31269.0,33746.0,35882.0,35927.0,35927.0,38037.0,40138.0,41350.0,42155.0,42919.0,42925.0,42925.0,43807.0,44842.0,45669.0,46544.0,46551.0,46555.0,46556.0,48114.0,49402.0,50634.0,52162.0,53252.0,53304.0,53304.0,54080.0,55812.0,57506.0,59334.0,60248.0,60300.0,60302.0,60950.0,62889.0,64395.0,65114.0,66572.0,66590.0,66593.0,68182.0,69826.0,71131.0,72197.0,72582.0,72582.0,72583.0,73490.0,74590.0,75457.0,75641.0,75854.0,75862.0,75862.0,77022.0,78221.0,79068.0,79573.0,80168.0,80184.0,80187.0,81103.0,82064.0,82820.0,83562.0,83603.0,83755.0,83756.0,84518.0
Atacama,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,1640.0,2511.0,3601.0,3866.0,3866.0,3866.0,3866.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3868.0,3870.0,9463.0,15284.0,19997.0,20451.0,20451.0,24049.0,26463.0,28694.0,30759.0,33268.0,33745.0,33745.0,35826.0,37667.0,39559.0,41498.0,42579.0,42632.0,42634.0,44549.0,46980.0,49316.0,51600.0,53130.0,53207.0,53207.0,54587.0,55771.0,56738.0,57890.0,59907.0,60206.0,60206.0,62182.0,64132.0,65978.0,68032.0,70056.0,70160.0,70160.0,72491.0,74800.0,77007.0,79158.0,80877.0,80878.0,80890.0,83354.0,85902.0,88370.0,90631.0,93047.0,93047.0,93047.0,95229.0,97287.0,99020.0,100681.0,100681.0,100681.0,100681.0,102280.0,103796.0,105547.0,106737.0,108244.0,108375.0,108375.0,108791.0,110315.0,111708.0,112829.0,113850.0,113850.0,113850.0,114958.0,116327.0,117233.0,118283.0,119195.0,119195.0,119195.0,119986.0,121104.0,122195.0,123041.0,124126.0,124126.0,124126.0,125595.0,127120.0,128429.0,129754.0,131147.0,131336.0,131336.0,132867.0,134636.0,136219.0,137567.0,139182.0,139206.0,139206.0,140869.0,142765.0,144636.0,146368.0,146368.0,146415.0,146415.0,148905.0
Atacama,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,8.0,504.0,1742.0,2658.0,3653.0,3732.0,3732.0,3732.0,3732.0,3733.0,3733.0,3733.0,3733.0,3733.0,3733.0,3733.0,3733.0,3733.0,3740.0,3767.0,3767.0,3767.0,3776.0,4448.0,9441.0,14629.0,19096.0,19519.0,19520.0,22984.0,25410.0,27630.0,29707.0,32143.0,32511.0,32511.0,34950.0,37674.0,40536.0,42367.0,43600.0,43624.0,43629.0,45302.0,46988.0,48356.0,50251.0,51577.0,51578.0,51578.0,52645.0,53903.0,55343.0,56840.0,56841.0,56841.0,56841.0,59460.0,61507.0,63283.0,65199.0,66769.0,66775.0,66775.0,68706.0,71293.0,73489.0,75670.0,77472.0,77478.0,77478.0,79521.0,81980.0,84241.0,86436.0,88198.0,88202.0,88202.0,89517.0,91730.0,93949.0,95745.0,96528.0,96528.0,96528.0,97738.0,99177.0,100904.0,102037.0,103009.0,103073.0,103073.0,103930.0,105572.0,106877.0,107918.0,108601.0,108601.0,108601.0,109693.0,111042.0,112089.0,113249.0,113249.0,113258.0,113258.0,114198.0
